GeographyCode,DC2110NI0001,DC2110NI0002,DC2110NI0003,DC2110NI0004,DC2110NI0005,DC2110NI0006,DC2110NI0007,DC2110NI0008,DC2110NI0009,DC2110NI0010,DC2110NI0011,DC2110NI0012,DC2110NI0013,DC2110NI0014,DC2110NI0015,DC2110NI0016,DC2110NI0017,DC2110NI0018,DC2110NI0019,DC2110NI0020,DC2110NI0021,DC2110NI0022,DC2110NI0023,DC2110NI0024,DC2110NI0025,DC2110NI0026,DC2110NI0027,DC2110NI0028,DC2110NI0029,DC2110NI0030,DC2110NI0031,DC2110NI0032,DC2110NI0033,DC2110NI0034,DC2110NI0035,DC2110NI0036,DC2110NI0037,DC2110NI0038,DC2110NI0039,DC2110NI0040,DC2110NI0041,DC2110NI0042,DC2110NI0043,DC2110NI0044,DC2110NI0045,DC2110NI0046,DC2110NI0047,DC2110NI0048,DC2110NI0049,DC2110NI0050,DC2110NI0051,DC2110NI0052,DC2110NI0053,DC2110NI0054,DC2110NI0055,DC2110NI0056,DC2110NI0057,DC2110NI0058,DC2110NI0059,DC2110NI0060,DC2110NI0061,DC2110NI0062,DC2110NI0063,DC2110NI0064,DC2110NI0065,DC2110NI0066,DC2110NI0067,DC2110NI0068,DC2110NI0069,DC2110NI0070,DC2110NI0071,DC2110NI0072,DC2110NI0073,DC2110NI0074,DC2110NI0075,DC2110NI0076,DC2110NI0077,DC2110NI0078,DC2110NI0079,DC2110NI0080,DC2110NI0081,DC2110NI0082,DC2110NI0083,DC2110NI0084,DC2110NI0085,DC2110NI0086,DC2110NI0087,DC2110NI0088,DC2110NI0089,DC2110NI0090,DC2110NI0091,DC2110NI0092,DC2110NI0093,DC2110NI0094,DC2110NI0095,DC2110NI0096,DC2110NI0097,DC2110NI0098,DC2110NI0099,DC2110NI0100,DC2110NI0101,DC2110NI0102,DC2110NI0103,DC2110NI0104,DC2110NI0105,DC2110NI0106,DC2110NI0107,DC2110NI0108,DC2110NI0109,DC2110NI0110,DC2110NI0111,DC2110NI0112,DC2110NI0113,DC2110NI0114,DC2110NI0115,DC2110NI0116,DC2110NI0117,DC2110NI0118,DC2110NI0119,DC2110NI0120,DC2110NI0121,DC2110NI0122,DC2110NI0123,DC2110NI0124,DC2110NI0125,DC2110NI0126,DC2110NI0127,DC2110NI0128,DC2110NI0129,DC2110NI0130,DC2110NI0131,DC2110NI0132,DC2110NI0133,DC2110NI0134,DC2110NI0135,DC2110NI0136,DC2110NI0137,DC2110NI0138,DC2110NI0139,DC2110NI0140,DC2110NI0141,DC2110NI0142,DC2110NI0143,DC2110NI0144,DC2110NI0145,DC2110NI0146,DC2110NI0147,DC2110NI0148,DC2110NI0149,DC2110NI0150,DC2110NI0151,DC2110NI0152,DC2110NI0153,DC2110NI0154,DC2110NI0155,DC2110NI0156,DC2110NI0157,DC2110NI0158,DC2110NI0159,DC2110NI0160,DC2110NI0161,DC2110NI0162,DC2110NI0163,DC2110NI0164,DC2110NI0165,DC2110NI0166,DC2110NI0167,DC2110NI0168,DC2110NI0169,DC2110NI0170,DC2110NI0171,DC2110NI0172,DC2110NI0173,DC2110NI0174,DC2110NI0175,DC2110NI0176,DC2110NI0177,DC2110NI0178,DC2110NI0179,DC2110NI0180,DC2110NI0181,DC2110NI0182,DC2110NI0183,DC2110NI0184,DC2110NI0185,DC2110NI0186,DC2110NI0187,DC2110NI0188,DC2110NI0189,DC2110NI0190,DC2110NI0191,DC2110NI0192,DC2110NI0193,DC2110NI0194,DC2110NI0195,DC2110NI0196,DC2110NI0197,DC2110NI0198,DC2110NI0199,DC2110NI0200,DC2110NI0201,DC2110NI0202,DC2110NI0203,DC2110NI0204,DC2110NI0205,DC2110NI0206,DC2110NI0207,DC2110NI0208,DC2110NI0209,DC2110NI0210,DC2110NI0211,DC2110NI0212,DC2110NI0213,DC2110NI0214,DC2110NI0215,DC2110NI0216,DC2110NI0217,DC2110NI0218,DC2110NI0219,DC2110NI0220,DC2110NI0221,DC2110NI0222,DC2110NI0223,DC2110NI0224,DC2110NI0225,DC2110NI0226,DC2110NI0227,DC2110NI0228,DC2110NI0229,DC2110NI0230,DC2110NI0231,DC2110NI0232,DC2110NI0233,DC2110NI0234,DC2110NI0235,DC2110NI0236,DC2110NI0237,DC2110NI0238,DC2110NI0239,DC2110NI0240,DC2110NI0241,DC2110NI0242,DC2110NI0243,DC2110NI0244,DC2110NI0245,DC2110NI0246,DC2110NI0247,DC2110NI0248,DC2110NI0249,DC2110NI0250,DC2110NI0251,DC2110NI0252,DC2110NI0253,DC2110NI0254,DC2110NI0255,DC2110NI0256,DC2110NI0257,DC2110NI0258,DC2110NI0259,DC2110NI0260,DC2110NI0261,DC2110NI0262,DC2110NI0263,DC2110NI0264,DC2110NI0265,DC2110NI0266,DC2110NI0267,DC2110NI0268,DC2110NI0269,DC2110NI0270
N06000001,92221,13283,68501,5028,1574,347,84,2135,1269,17080,3957,11240,1095,86,92,27,354,229,9862,783,7962,632,95,20,7,261,102,13380,719,9828,938,344,56,11,1008,476,13457,954,10733,764,322,63,18,295,308,12911,1218,10619,567,198,51,10,159,89,9507,1195,7724,282,182,35,3,50,36,7922,1471,5712,463,231,17,7,7,14,5710,1756,3571,256,106,9,1,0,11,2392,1230,1112,31,10,4,0,1,4,44086,6318,32583,2359,876,178,47,1084,641,8730,2060,5700,534,46,53,18,197,122,4861,434,3907,299,43,13,6,103,56,6419,388,4628,438,180,24,6,518,237,6639,499,5225,357,184,31,10,165,168,6255,639,5086,267,123,29,2,73,36,4712,640,3771,131,114,17,1,25,13,3592,714,2528,208,125,5,4,3,5,2142,622,1342,117,54,5,0,0,2,736,322,396,8,7,1,0,0,2,48135,6965,35918,2669,698,169,37,1051,628,8350,1897,5540,561,40,39,9,157,107,5001,349,4055,333,52,7,1,158,46,6961,331,5200,500,164,32,5,490,239,6818,455,5508,407,138,32,8,130,140,6656,579,5533,300,75,22,8,86,53,4795,555,3953,151,68,18,2,25,23,4330,757,3184,255,106,12,3,4,9,3568,1134,2229,139,52,4,1,0,9,1656,908,716,23,3,3,0,1,2
N06000002,102531,19019,60865,18010,1622,214,86,1769,946,20979,6331,9983,3963,114,49,29,348,162,12721,1457,7953,2858,134,25,7,195,92,14496,1239,9331,2580,316,31,10,686,303,13413,1508,8572,2391,313,56,25,309,239,14035,1901,9132,2521,219,18,8,151,85,10448,1695,6934,1543,169,13,4,54,36,8445,1802,5032,1316,249,9,1,19,17,5903,1990,3055,735,99,8,2,6,8,2091,1096,873,103,9,5,0,1,4,49107,9339,28501,8831,889,112,39,925,471,10784,3284,5068,2051,64,25,15,192,85,6332,768,3884,1438,79,15,4,92,52,6820,627,4280,1257,151,14,7,334,150,6510,763,4099,1134,179,29,9,175,122,6749,994,4235,1240,132,12,2,91,43,5207,939,3354,764,105,7,1,26,11,3848,910,2196,589,135,3,0,10,5,2252,752,1127,322,40,5,1,4,1,605,302,258,36,4,2,0,1,2,53424,9680,32364,9179,733,102,47,844,475,10195,3047,4915,1912,50,24,14,156,77,6389,689,4069,1420,55,10,3,103,40,7676,612,5051,1323,165,17,3,352,153,6903,745,4473,1257,134,27,16,134,117,7286,907,4897,1281,87,6,6,60,42,5241,756,3580,779,64,6,3,28,25,4597,892,2836,727,114,6,1,9,12,3651,1238,1928,413,59,3,1,2,7,1486,794,615,67,5,3,0,0,2
N06000003,111402,12421,64929,22978,3171,548,278,3531,3546,17678,3707,8711,3831,185,99,71,510,564,21069,1128,12492,5855,400,91,46,446,611,19443,849,10393,4315,770,122,42,1637,1315,14433,912,8596,2840,587,103,66,611,718,13912,1088,9032,2860,387,74,33,222,216,9806,1051,6682,1545,329,30,12,76,81,7423,1170,4805,1037,348,18,5,19,21,5457,1486,3195,592,148,10,0,9,17,2181,1030,1023,103,17,1,3,1,3,54202,6073,31357,11087,1690,282,137,1784,1792,9081,1935,4418,2010,92,62,41,253,270,10082,627,6063,2676,204,37,26,186,263,9965,466,5337,2170,414,56,24,801,697,7342,484,4325,1372,308,58,23,375,397,6737,615,4295,1337,208,38,13,118,113,4850,581,3238,742,196,15,6,39,33,3364,555,2102,492,184,11,3,9,8,2168,554,1255,262,81,5,0,3,8,613,256,324,26,3,0,1,0,3,57200,6348,33572,11891,1481,266,141,1747,1754,8597,1772,4293,1821,93,37,30,257,294,10987,501,6429,3179,196,54,20,260,348,9478,383,5056,2145,356,66,18,836,618,7091,428,4271,1468,279,45,43,236,321,7175,473,4737,1523,179,36,20,104,103,4956,470,3444,803,133,15,6,37,48,4059,615,2703,545,164,7,2,10,13,3289,932,1940,330,67,5,0,6,9,1568,774,699,77,14,1,2,1,0
N06000004,93986,18006,38293,34554,1618,118,103,663,631,21628,6587,7106,7491,144,20,29,120,131,13923,1716,5663,6255,142,16,17,63,51,13285,1299,6337,4761,357,21,10,263,237,11667,1409,5509,4164,273,24,16,135,137,12738,1938,5431,5034,209,17,17,58,34,8966,1567,4026,3124,189,10,8,18,24,6423,1397,2497,2301,212,4,2,5,5,3995,1365,1326,1203,83,5,4,0,9,1361,728,398,221,9,1,0,1,3,44532,9019,17414,16514,808,58,57,336,326,11069,3404,3637,3801,73,15,15,57,67,6988,937,2725,3186,70,7,12,28,23,6135,643,2829,2236,158,9,4,134,122,5347,719,2438,1876,139,9,8,75,83,5830,998,2340,2313,114,5,11,30,19,4309,857,1780,1544,99,7,5,8,9,2904,710,1061,1024,103,2,1,3,0,1550,549,487,461,47,3,1,0,2,400,202,117,73,5,1,0,1,1,49454,8987,20879,18040,810,60,46,327,305,10559,3183,3469,3690,71,5,14,63,64,6935,779,2938,3069,72,9,5,35,28,7150,656,3508,2525,199,12,6,129,115,6320,690,3071,2288,134,15,8,60,54,6908,940,3091,2721,95,12,6,28,15,4657,710,2246,1580,90,3,3,10,15,3519,687,1436,1277,109,2,1,2,5,2445,816,839,742,36,2,3,0,7,961,526,281,148,4,0,0,0,2
N06000005,90067,15028,66051,5815,1292,303,59,742,777,17710,4701,11522,1084,51,97,7,122,126,11385,1143,8795,1054,116,30,3,119,125,10022,709,8006,604,170,39,9,244,241,12711,1181,10209,782,191,41,15,135,157,13548,1478,10905,770,198,45,8,68,76,10418,1479,8094,574,182,22,8,31,28,7928,1618,5334,639,286,19,3,17,12,4697,1745,2542,292,88,9,6,6,9,1648,974,644,16,10,1,0,0,3,43822,7426,31814,2895,745,131,34,387,390,8992,2422,5844,518,26,42,5,66,69,5853,698,4389,565,68,16,2,60,55,4709,354,3698,312,92,11,3,118,121,6104,586,4848,377,119,17,9,68,80,6745,788,5344,390,110,22,7,44,40,5144,811,3904,272,115,11,2,15,14,3810,797,2513,310,160,10,2,12,6,1979,711,1061,143,51,2,4,4,3,486,259,213,8,4,0,0,0,2,46245,7602,34237,2920,547,172,25,355,387,8718,2279,5678,566,25,55,2,56,57,5532,445,4406,489,48,14,1,59,70,5313,355,4308,292,78,28,6,126,120,6607,595,5361,405,72,24,6,67,77,6803,690,5561,380,88,23,1,24,36,5274,668,4190,302,67,11,6,16,14,4118,821,2821,329,126,9,1,5,6,2718,1034,1481,149,37,7,2,2,6,1162,715,431,8,6,1,0,0,1
N06000006,99673,22777,58927,14218,1401,222,106,1370,652,20483,7120,9714,2963,107,50,32,349,148,12940,1916,8138,2508,113,29,20,118,98,11968,1422,7727,1928,234,31,5,482,139,14203,2011,9421,2047,260,35,16,261,152,13975,2356,9277,1907,209,35,20,102,69,11157,2420,7125,1340,185,21,4,44,18,8579,2395,4870,1045,223,13,6,9,18,4681,2059,2119,420,63,6,3,4,7,1687,1078,536,60,7,2,0,1,3,49241,11563,28606,7090,801,106,53,718,304,10528,3702,4956,1512,57,27,23,170,81,6495,1062,4026,1231,59,7,7,56,47,5966,754,3737,1039,117,15,3,246,55,6953,1022,4526,988,155,23,7,159,73,7022,1278,4557,945,132,14,8,58,30,5611,1343,3445,665,114,9,1,26,8,4100,1178,2292,489,123,9,2,2,5,2029,888,897,198,39,1,2,1,3,537,336,170,23,5,1,0,0,2,50432,11214,30321,7128,600,116,53,652,348,9955,3418,4758,1451,50,23,9,179,67,6445,854,4112,1277,54,22,13,62,51,6002,668,3990,889,117,16,2,236,84,7250,989,4895,1059,105,12,9,102,79,6953,1078,4720,962,77,21,12,44,39,5546,1077,3680,675,71,12,3,18,10,4479,1217,2578,556,100,4,4,7,13,2652,1171,1222,222,24,5,1,3,4,1150,742,366,37,2,1,0,1,1
N06000007,102553,24206,45661,24915,1337,151,164,5566,553,22316,8054,7741,4993,85,47,66,1171,159,12112,1656,5775,3713,87,20,15,803,43,14165,1247,6974,3594,279,17,5,1914,135,14393,1906,7445,3608,295,28,26,953,132,13881,2415,6929,3718,188,19,17,554,41,11189,2626,5469,2736,177,6,12,144,19,7973,2583,3471,1699,172,9,12,15,12,4745,2459,1485,726,49,4,6,9,7,1779,1260,372,128,5,1,5,3,5,51407,12525,22376,12409,751,69,86,2935,256,11445,4221,3939,2524,41,21,39,573,87,6348,934,2987,1968,39,8,6,386,20,7153,646,3431,1824,144,7,2,1052,47,7286,969,3680,1820,178,16,15,542,66,7062,1328,3453,1815,125,8,7,307,19,5618,1506,2612,1315,102,3,7,67,6,3911,1401,1594,801,93,4,6,6,6,2022,1116,566,303,28,1,3,1,4,562,404,114,39,1,1,1,1,1,51146,11681,23285,12506,586,82,78,2631,297,10871,3833,3802,2469,44,26,27,598,72,5764,722,2788,1745,48,12,9,417,23,7012,601,3543,1770,135,10,3,862,88,7107,937,3765,1788,117,12,11,411,66,6819,1087,3476,1903,63,11,10,247,22,5571,1120,2857,1421,75,3,5,77,13,4062,1182,1877,898,79,5,6,9,6,2723,1343,919,423,21,3,3,8,3,1217,856,258,89,4,0,4,2,4
N06000008,100807,18967,35301,42975,1441,115,184,983,841,22424,7183,6031,8651,91,30,61,207,170,13902,1834,4683,7058,122,15,24,116,50,13963,1306,5399,6408,239,11,15,338,247,14147,1679,5711,6034,267,24,26,183,223,13939,1865,5180,6487,207,15,24,92,69,10403,1681,4180,4239,200,11,18,27,47,7120,1448,2624,2766,231,6,10,15,20,3789,1352,1179,1155,80,3,5,5,10,1120,619,314,177,4,0,1,0,5,49076,9665,16709,20858,763,52,87,504,438,11455,3733,3050,4394,36,15,35,109,83,6860,924,2263,3500,72,7,15,52,27,6744,638,2497,3188,120,6,6,170,119,6819,876,2693,2886,132,9,12,89,122,6693,974,2444,3040,114,10,11,57,43,5136,968,1991,2018,113,3,3,16,24,3418,779,1178,1295,135,2,4,11,14,1621,598,489,489,40,0,1,0,4,330,175,104,48,1,0,0,0,2,51731,9302,18592,22117,678,63,97,479,403,10969,3450,2981,4257,55,15,26,98,87,7042,910,2420,3558,50,8,9,64,23,7219,668,2902,3220,119,5,9,168,128,7328,803,3018,3148,135,15,14,94,101,7246,891,2736,3447,93,5,13,35,26,5267,713,2189,2221,87,8,15,11,23,3702,669,1446,1471,96,4,6,4,6,2168,754,690,666,40,3,4,5,6,790,444,210,129,3,0,1,0,3
N06000009,101710,15686,74261,7144,1822,322,85,1561,829,20915,5277,13212,1639,105,105,32,358,187,11113,995,8842,893,115,26,6,180,56,12914,744,9942,1087,276,35,9,559,262,15043,1173,11921,1075,334,61,14,267,198,14491,1361,11664,924,269,44,12,138,79,11179,1380,8894,561,250,23,7,37,27,8946,1769,6174,594,367,16,2,11,13,5246,1895,2886,344,94,9,2,10,6,1863,1092,726,27,12,3,1,1,1,50025,7715,36416,3484,1038,152,41,788,391,10768,2748,6730,860,54,55,17,206,98,5791,567,4611,422,62,14,4,87,24,6408,398,4950,517,147,12,5,263,116,7367,639,5763,499,200,25,6,136,99,7218,744,5716,462,169,20,2,70,35,5485,727,4292,271,148,12,5,20,10,4242,863,2884,274,205,7,1,3,5,2198,730,1239,171,46,6,0,3,3,548,299,231,8,7,1,1,0,1,51685,7971,37845,3660,784,170,44,773,438,10147,2529,6482,779,51,50,15,152,89,5322,428,4231,471,53,12,2,93,32,6506,346,4992,570,129,23,4,296,146,7676,534,6158,576,134,36,8,131,99,7273,617,5948,462,100,24,10,68,44,5694,653,4602,290,102,11,2,17,17,4704,906,3290,320,162,9,1,8,8,3048,1165,1647,173,48,3,2,7,3,1315,793,495,19,5,2,0,1,0
N06000010,99155,24795,44053,25307,1637,126,165,2736,336,23081,9225,7446,5557,86,30,59,613,65,13060,1990,6126,4402,139,17,33,327,26,14189,1229,7605,3777,451,21,10,1005,91,14282,2068,7417,3811,375,22,22,492,75,12607,2365,6306,3431,200,17,26,222,40,9650,2384,4846,2141,180,11,6,62,20,6883,2342,2887,1474,149,5,7,12,7,3956,2118,1154,617,52,3,2,2,8,1447,1074,266,97,5,0,0,1,4,49602,12618,21409,12882,897,68,85,1487,156,11867,4725,3755,2944,41,10,40,320,32,6661,1166,3017,2213,65,11,13,162,14,7128,625,3734,1940,227,15,4,540,43,7204,1035,3673,1937,228,8,7,282,34,6406,1261,3069,1772,126,12,14,137,15,4820,1312,2304,1054,96,6,3,36,9,3316,1217,1281,721,81,3,3,8,2,1748,954,482,272,29,3,1,2,5,452,323,94,29,4,0,0,0,2,49553,12177,22644,12425,740,58,80,1249,180,11214,4500,3691,2613,45,20,19,293,33,6399,824,3109,2189,74,6,20,165,12,7061,604,3871,1837,224,6,6,465,48,7078,1033,3744,1874,147,14,15,210,41,6201,1104,3237,1659,74,5,12,85,25,4830,1072,2542,1087,84,5,3,26,11,3567,1125,1606,753,68,2,4,4,5,2208,1164,672,345,23,0,1,0,3,995,751,172,68,1,0,0,1,2
