GeographyCode,DC2126NI0001,DC2126NI0002,DC2126NI0003,DC2126NI0004,DC2126NI0005,DC2126NI0006,DC2126NI0007,DC2126NI0008,DC2126NI0009,DC2126NI0010,DC2126NI0011,DC2126NI0012,DC2126NI0013,DC2126NI0014,DC2126NI0015,DC2126NI0016,DC2126NI0017,DC2126NI0018,DC2126NI0019,DC2126NI0020,DC2126NI0021,DC2126NI0022,DC2126NI0023,DC2126NI0024,DC2126NI0025,DC2126NI0026,DC2126NI0027,DC2126NI0028,DC2126NI0029,DC2126NI0030,DC2126NI0031,DC2126NI0032,DC2126NI0033,DC2126NI0034,DC2126NI0035,DC2126NI0036,DC2126NI0037,DC2126NI0038,DC2126NI0039,DC2126NI0040,DC2126NI0041,DC2126NI0042,DC2126NI0043,DC2126NI0044,DC2126NI0045,DC2126NI0046,DC2126NI0047,DC2126NI0048,DC2126NI0049,DC2126NI0050,DC2126NI0051,DC2126NI0052,DC2126NI0053,DC2126NI0054,DC2126NI0055,DC2126NI0056,DC2126NI0057,DC2126NI0058,DC2126NI0059,DC2126NI0060,DC2126NI0061,DC2126NI0062,DC2126NI0063,DC2126NI0064,DC2126NI0065,DC2126NI0066,DC2126NI0067,DC2126NI0068,DC2126NI0069,DC2126NI0070,DC2126NI0071,DC2126NI0072,DC2126NI0073,DC2126NI0074,DC2126NI0075,DC2126NI0076,DC2126NI0077,DC2126NI0078,DC2126NI0079,DC2126NI0080,DC2126NI0081,DC2126NI0082,DC2126NI0083,DC2126NI0084,DC2126NI0085,DC2126NI0086,DC2126NI0087,DC2126NI0088,DC2126NI0089,DC2126NI0090,DC2126NI0091,DC2126NI0092,DC2126NI0093,DC2126NI0094,DC2126NI0095,DC2126NI0096,DC2126NI0097,DC2126NI0098,DC2126NI0099,DC2126NI0100,DC2126NI0101,DC2126NI0102,DC2126NI0103,DC2126NI0104,DC2126NI0105,DC2126NI0106,DC2126NI0107,DC2126NI0108,DC2126NI0109,DC2126NI0110,DC2126NI0111,DC2126NI0112,DC2126NI0113,DC2126NI0114,DC2126NI0115,DC2126NI0116,DC2126NI0117,DC2126NI0118,DC2126NI0119,DC2126NI0120,DC2126NI0121,DC2126NI0122,DC2126NI0123,DC2126NI0124,DC2126NI0125,DC2126NI0126,DC2126NI0127,DC2126NI0128,DC2126NI0129,DC2126NI0130,DC2126NI0131,DC2126NI0132,DC2126NI0133,DC2126NI0134,DC2126NI0135,DC2126NI0136,DC2126NI0137,DC2126NI0138,DC2126NI0139,DC2126NI0140,DC2126NI0141,DC2126NI0142,DC2126NI0143,DC2126NI0144,DC2126NI0145,DC2126NI0146,DC2126NI0147,DC2126NI0148,DC2126NI0149,DC2126NI0150
N06000001,92221,11712,69533,1324,9652,17080,2513,10672,275,3620,9862,1259,6968,112,1523,13380,2871,8386,321,1802,13457,2163,9805,242,1247,12911,1423,10628,143,717,9507,638,8372,100,397,7922,453,7215,67,187,5710,269,5292,44,105,2392,123,2195,20,54,44086,5490,32626,666,5304,8730,1278,5430,123,1899,4861,584,3391,59,827,6419,1367,3893,174,985,6639,1012,4726,140,761,6255,644,5125,72,414,4712,279,4154,46,233,3592,194,3241,36,121,2142,91,1994,13,44,736,41,672,3,20,48135,6222,36907,658,4348,8350,1235,5242,152,1721,5001,675,3577,53,696,6961,1504,4493,147,817,6818,1151,5079,102,486,6656,779,5503,71,303,4795,359,4218,54,164,4330,259,3974,31,66,3568,178,3298,31,61,1656,82,1523,17,34
N06000002,102531,48126,46821,1066,6518,20979,10969,7279,213,2518,12721,6404,5147,73,1097,14496,7261,5825,238,1172,13413,6610,5837,192,774,14035,6655,6773,138,469,10448,4487,5582,79,300,8445,3243,5021,69,112,5903,1941,3857,50,55,2091,556,1500,14,21,49107,22934,22001,571,3601,10784,5620,3756,113,1295,6332,3180,2500,41,611,6820,3365,2675,119,661,6510,3122,2795,121,472,6749,3157,3242,75,275,5207,2168,2818,40,181,3848,1440,2303,36,69,2252,731,1473,19,29,605,151,439,7,8,53424,25192,24820,495,2917,10195,5349,3523,100,1223,6389,3224,2647,32,486,7676,3896,3150,119,511,6903,3488,3042,71,302,7286,3498,3531,63,194,5241,2319,2764,39,119,4597,1803,2718,33,43,3651,1210,2384,31,26,1486,405,1061,7,13
N06000003,111402,49025,48630,3124,10623,17678,8637,5436,598,3007,21069,9738,8393,462,2476,19443,9836,6281,936,2390,14433,6850,5709,580,1294,13912,6392,6536,257,727,9806,3693,5556,138,419,7423,2077,5069,84,193,5457,1364,3956,50,87,2181,438,1694,19,30,54202,23312,23156,1710,6024,9081,4440,2736,293,1612,10082,4507,3963,256,1356,9965,4865,3219,509,1372,7342,3273,2879,359,831,6737,2935,3222,149,431,4850,1711,2812,74,253,3364,935,2284,38,107,2168,541,1551,25,51,613,105,490,7,11,57200,25713,25474,1414,4599,8597,4197,2700,305,1395,10987,5231,4430,206,1120,9478,4971,3062,427,1018,7091,3577,2830,221,463,7175,3457,3314,108,296,4956,1982,2744,64,166,4059,1142,2785,46,86,3289,823,2405,25,36,1568,333,1204,12,19
N06000004,93986,75263,15645,549,2529,21628,17498,3037,105,988,13923,11473,1979,58,413,13285,10452,2177,160,496,11667,9173,2092,100,302,12738,10394,2105,54,185,8966,7256,1584,34,92,6423,4992,1381,22,28,3995,3066,897,15,17,1361,959,393,1,8,44532,35400,7432,308,1392,11069,8950,1550,56,513,6988,5791,927,31,239,6135,4767,1028,90,250,5347,4066,1022,65,194,5830,4707,981,31,111,4309,3443,797,17,52,2904,2230,642,13,19,1550,1161,376,5,8,400,285,109,0,6,49454,39863,8213,241,1137,10559,8548,1487,49,475,6935,5682,1052,27,174,7150,5685,1149,70,246,6320,5107,1070,35,108,6908,5687,1124,23,74,4657,3813,787,17,40,3519,2762,739,9,9,2445,1905,521,10,9,961,674,284,1,2
N06000005,90067,18362,63148,877,7680,17710,3652,10904,141,3013,11385,2584,7264,87,1450,10022,2236,6587,180,1019,12711,2791,8857,134,929,13548,2764,9985,135,664,10418,1975,7978,107,358,7928,1311,6387,59,171,4697,797,3813,27,60,1648,252,1373,7,16,43822,8779,30378,439,4226,8992,1802,5560,59,1571,5853,1313,3693,40,807,4709,1021,3030,104,554,6104,1325,4159,74,546,6745,1332,4960,64,389,5144,945,3920,55,224,3810,609,3070,34,97,1979,353,1587,8,31,486,79,399,1,7,46245,9583,32770,438,3454,8718,1850,5344,82,1442,5532,1271,3571,47,643,5313,1215,3557,76,465,6607,1466,4698,60,383,6803,1432,5025,71,275,5274,1030,4058,52,134,4118,702,3317,25,74,2718,444,2226,19,29,1162,173,974,6,9
N06000006,99673,41564,53097,674,4338,20483,9568,9075,111,1729,12940,5767,6285,74,814,11968,5852,5443,87,586,14203,6296,7295,111,501,13975,5389,8079,122,385,11157,4141,6752,82,182,8579,2748,5682,49,100,4681,1328,3291,29,33,1687,475,1195,9,8,49241,20463,26019,339,2420,10528,4885,4675,54,914,6495,2864,3144,48,439,5966,2908,2676,41,341,6953,3057,3538,53,305,7022,2707,4031,60,224,5611,2053,3401,47,110,4100,1289,2729,20,62,2029,561,1433,13,22,537,139,392,3,3,50432,21101,27078,335,1918,9955,4683,4400,57,815,6445,2903,3141,26,375,6002,2944,2767,46,245,7250,3239,3757,58,196,6953,2682,4048,62,161,5546,2088,3351,35,72,4479,1459,2953,29,38,2652,767,1858,16,11,1150,336,803,6,5
N06000007,102553,59159,40100,628,2666,22316,13450,7748,90,1028,12112,7361,4310,72,369,14165,8991,4632,109,433,14393,8382,5557,103,351,13881,7825,5706,95,255,11189,6099,4890,66,134,7973,3937,3902,59,75,4745,2275,2425,26,19,1779,839,930,8,2,51407,29672,19970,302,1463,11445,6819,4059,41,526,6348,3913,2207,39,189,7153,4545,2335,41,232,7286,4260,2760,58,208,7062,3885,2975,46,156,5618,3048,2450,32,88,3911,1961,1868,31,51,2022,984,1014,12,12,562,257,302,2,1,51146,29487,20130,326,1203,10871,6631,3689,49,502,5764,3448,2103,33,180,7012,4446,2297,68,201,7107,4122,2797,45,143,6819,3940,2731,49,99,5571,3051,2440,34,46,4062,1976,2034,28,24,2723,1291,1411,14,7,1217,582,628,6,1
N06000008,100807,75731,22193,793,2090,22424,17559,3954,177,734,13902,10787,2696,72,347,13963,10624,2797,185,357,14147,10645,3056,161,285,13939,10468,3194,91,186,10403,7504,2725,60,114,7120,4991,2055,33,41,3789,2501,1253,11,24,1120,652,463,3,2,49076,36548,10914,418,1196,11455,8943,2061,77,374,6860,5307,1319,44,190,6744,5055,1370,103,216,6819,5044,1512,87,176,6693,4937,1588,53,115,5136,3611,1420,29,76,3418,2366,1003,18,31,1621,1107,491,6,17,330,178,150,1,1,51731,39183,11279,375,894,10969,8616,1893,100,360,7042,5480,1377,28,157,7219,5569,1427,82,141,7328,5601,1544,74,109,7246,5531,1606,38,71,5267,3893,1305,31,38,3702,2625,1052,15,10,2168,1394,762,5,7,790,474,313,2,1
N06000009,101710,19346,73158,1006,8200,20915,4467,12807,191,3450,11113,2128,7515,63,1407,12914,3329,8217,148,1220,15043,3395,10562,175,911,14491,2563,11080,166,682,11179,1658,9088,108,325,8946,1038,7679,86,143,5246,589,4555,54,48,1863,179,1655,15,14,50025,9325,35629,524,4547,10768,2305,6543,108,1812,5791,1054,3932,34,771,6408,1610,4040,78,680,7367,1594,5145,89,539,7218,1210,5508,94,406,5485,759,4461,49,216,4242,492,3624,35,91,2198,249,1890,31,28,548,52,486,6,4,51685,10021,37529,482,3653,10147,2162,6264,83,1638,5322,1074,3583,29,636,6506,1719,4177,70,540,7676,1801,5417,86,372,7273,1353,5572,72,276,5694,899,4627,59,109,4704,546,4055,51,52,3048,340,2665,23,20,1315,127,1169,9,10
N06000010,99155,66152,30522,438,2043,23081,16354,5852,71,804,13060,9125,3562,49,324,14189,10007,3806,52,324,14282,9642,4314,73,253,12607,8101,4261,55,190,9650,5978,3519,66,87,6883,3995,2798,47,43,3956,2177,1745,22,12,1447,773,665,3,6,49602,32954,15264,231,1153,11867,8449,2963,32,423,6661,4617,1827,31,186,7128,4967,1942,35,184,7204,4803,2202,38,161,6406,4062,2202,30,112,4820,2928,1810,32,50,3316,1942,1328,20,26,1748,965,763,11,9,452,221,227,2,2,49553,33198,15258,207,890,11214,7905,2889,39,381,6399,4508,1735,18,138,7061,5040,1864,17,140,7078,4839,2112,35,92,6201,4039,2059,25,78,4830,3050,1709,34,37,3567,2053,1470,27,17,2208,1212,982,11,3,995,552,438,1,4
