GeographyCode,DC2248NI0001,DC2248NI0002,DC2248NI0003,DC2248NI0004,DC2248NI0005,DC2248NI0006,DC2248NI0007,DC2248NI0008,DC2248NI0009,DC2248NI0010,DC2248NI0011,DC2248NI0012,DC2248NI0013,DC2248NI0014,DC2248NI0015,DC2248NI0016,DC2248NI0017,DC2248NI0018,DC2248NI0019,DC2248NI0020,DC2248NI0021,DC2248NI0022,DC2248NI0023,DC2248NI0024,DC2248NI0025,DC2248NI0026,DC2248NI0027,DC2248NI0028,DC2248NI0029,DC2248NI0030,DC2248NI0031,DC2248NI0032,DC2248NI0033,DC2248NI0034,DC2248NI0035,DC2248NI0036,DC2248NI0037,DC2248NI0038,DC2248NI0039,DC2248NI0040,DC2248NI0041,DC2248NI0042,DC2248NI0043,DC2248NI0044,DC2248NI0045,DC2248NI0046,DC2248NI0047,DC2248NI0048,DC2248NI0049,DC2248NI0050,DC2248NI0051,DC2248NI0052,DC2248NI0053,DC2248NI0054,DC2248NI0055,DC2248NI0056,DC2248NI0057,DC2248NI0058,DC2248NI0059,DC2248NI0060,DC2248NI0061,DC2248NI0062,DC2248NI0063,DC2248NI0064,DC2248NI0065,DC2248NI0066,DC2248NI0067,DC2248NI0068,DC2248NI0069,DC2248NI0070,DC2248NI0071,DC2248NI0072,DC2248NI0073,DC2248NI0074,DC2248NI0075,DC2248NI0076,DC2248NI0077,DC2248NI0078,DC2248NI0079,DC2248NI0080
N06000001,92221,11712,69533,1324,9652,89579,11032,68894,684,8969,89554,11013,68890,684,8967,25,19,4,0,2,1747,521,246,493,487,540,19,68,45,408,513,149,50,275,39,71,3,0,62,6,44,0,0,44,0,579,350,128,67,34,298,45,174,40,39,30,5,21,0,4,228,36,131,37,24,40,4,22,3,11,427,79,162,54,132,170,35,57,53,25
N06000002,102531,48126,46821,1066,6518,100305,47260,46425,539,6081,100262,47222,46421,539,6080,43,38,4,0,1,1428,588,168,393,279,294,23,34,19,218,568,258,58,211,41,69,2,0,64,3,18,2,2,13,1,479,303,74,86,16,298,70,104,68,56,27,8,13,2,4,225,51,81,56,37,46,11,10,10,15,380,164,108,30,78,120,44,16,36,24
N06000003,111402,49025,48630,3124,10623,104970,47756,47663,848,8703,104902,47708,47648,846,8700,68,48,15,2,3,4609,679,456,1876,1598,1852,77,233,152,1390,1403,237,107,961,98,186,0,4,174,8,160,1,3,140,16,1008,364,109,449,86,684,189,244,162,89,28,7,15,0,6,602,169,212,152,69,54,13,17,10,14,771,271,200,124,176,368,130,67,114,57
N06000004,93986,75263,15645,549,2529,92477,74506,15415,229,2327,92319,74363,15404,229,2323,158,143,11,0,4,972,484,107,241,140,171,29,17,17,108,311,131,17,142,21,24,3,0,21,0,17,2,2,12,1,449,319,71,49,10,178,48,64,43,23,18,7,9,1,1,124,28,47,29,20,36,13,8,13,2,290,188,53,17,32,69,37,6,19,7
N06000005,90067,18362,63148,877,7680,88689,18116,62826,550,7197,88678,18113,62820,548,7197,11,3,6,2,0,874,149,103,268,354,419,14,47,38,320,230,71,38,107,14,52,1,0,50,1,16,1,1,14,0,157,62,17,59,19,101,19,62,9,11,9,2,6,0,1,74,15,47,5,7,18,2,9,4,3,345,69,136,32,108,58,9,21,18,10
N06000006,99673,41564,53097,674,4338,98510,41257,52794,431,4028,98476,41227,52791,431,4027,34,30,3,0,1,681,174,85,192,230,272,27,36,10,199,157,34,17,85,21,40,2,0,37,1,11,0,5,6,0,201,111,27,54,9,97,26,66,3,2,6,3,3,0,0,69,18,47,2,2,22,5,16,1,0,279,76,119,19,65,106,31,33,29,13
N06000007,102553,59159,40100,628,2666,100893,58123,39880,437,2453,100781,58017,39876,437,2451,112,106,4,0,2,675,325,94,129,127,164,17,18,16,113,233,137,34,57,5,42,5,5,28,4,9,2,2,5,0,227,164,35,23,5,365,275,40,25,25,15,9,4,2,0,121,68,20,20,13,229,198,16,3,12,322,207,50,24,41,298,229,36,13,20
N06000008,100807,75731,22193,793,2090,99053,75008,21962,272,1811,98982,74947,21953,272,1810,71,61,9,0,1,1092,338,103,444,207,251,38,18,15,180,603,204,74,314,11,46,2,0,40,4,12,0,0,12,0,180,94,11,63,12,164,58,62,18,26,51,13,23,3,12,80,28,28,14,10,33,17,11,1,4,374,262,51,22,39,124,65,15,37,7
N06000009,101710,19346,73158,1006,8200,99905,18848,72596,657,7804,99879,18829,72592,656,7802,26,19,4,1,2,1092,355,219,235,283,333,11,67,13,242,434,217,79,113,25,46,2,4,40,0,7,0,1,6,0,272,125,68,63,16,208,34,110,36,28,19,1,15,2,1,131,24,68,29,10,58,9,27,5,17,368,90,157,51,70,137,19,76,27,15
N06000010,99155,66152,30522,438,2043,98374,65815,30396,310,1853,98191,65642,30387,310,1852,183,173,9,0,1,356,92,37,95,132,181,27,26,9,119,90,25,2,53,10,18,1,1,16,0,2,1,1,0,0,65,38,7,17,3,141,86,32,10,13,14,7,7,0,0,92,52,23,9,8,35,27,2,1,5,202,128,40,8,26,82,31,17,15,19
N06000011,112401,74591,34380,616,2814,111442,74195,34214,404,2629,111231,73999,34202,403,2627,211,196,12,1,2,572,192,58,180,142,197,32,16,15,134,219,84,25,104,6,45,6,0,39,0,7,1,0,5,1,104,69,17,17,1,67,31,26,6,4,6,3,3,0,0,37,18,13,3,3,24,10,10,3,1,221,110,64,19,28,99,63,18,7,11
