GeographyCode,DC2250NI0001,DC2250NI0002,DC2250NI0003,DC2250NI0004,DC2250NI0005,DC2250NI0006,DC2250NI0007,DC2250NI0008,DC2250NI0009,DC2250NI0010,DC2250NI0011,DC2250NI0012,DC2250NI0013,DC2250NI0014,DC2250NI0015,DC2250NI0016,DC2250NI0017,DC2250NI0018,DC2250NI0019,DC2250NI0020,DC2250NI0021,DC2250NI0022,DC2250NI0023,DC2250NI0024,DC2250NI0025,DC2250NI0026,DC2250NI0027,DC2250NI0028,DC2250NI0029,DC2250NI0030,DC2250NI0031,DC2250NI0032,DC2250NI0033,DC2250NI0034,DC2250NI0035,DC2250NI0036,DC2250NI0037,DC2250NI0038,DC2250NI0039,DC2250NI0040,DC2250NI0041,DC2250NI0042,DC2250NI0043,DC2250NI0044,DC2250NI0045
N06000001,92221,11712,69533,1324,9652,13283,1428,10083,109,1663,79335,10306,60243,883,7903,70450,5415,57370,742,6923,6712,3425,2650,105,532,1280,1124,20,16,120,105,69,8,1,27,788,273,195,19,301,1660,385,552,406,317
N06000002,102531,48126,46821,1066,6518,19019,8413,9069,119,1418,84243,40559,37953,738,4993,62717,21662,36334,579,4142,19734,17686,1414,130,504,1093,890,85,11,107,80,50,9,0,21,619,271,111,18,219,1223,467,277,259,220
N06000003,111402,49025,48630,3124,10623,12421,4066,6780,201,1374,98798,46304,42326,1636,8532,68694,21881,38959,1257,6597,26468,22088,2973,271,1136,1767,1568,39,22,138,127,93,5,3,26,1742,674,350,83,635,4260,947,805,1437,1071
N06000004,93986,75263,15645,549,2529,18006,14328,2999,58,621,76999,62153,12670,313,1863,40040,26358,12045,218,1419,36286,35363,539,70,314,321,280,11,5,25,46,38,3,1,4,306,114,72,19,101,842,418,134,203,87
N06000005,90067,18362,63148,877,7680,15028,3416,10070,78,1464,75621,15219,53687,632,6083,67665,10110,51440,548,5567,7185,4679,2075,81,350,281,243,15,0,23,43,33,3,0,7,447,154,154,3,136,1110,256,358,216,280
N06000006,99673,41564,53097,674,4338,22777,9891,11728,78,1080,77727,32226,41814,511,3176,60581,17833,39597,404,2747,15754,13307,2084,78,285,942,894,15,2,31,50,38,5,3,4,400,154,113,24,109,956,361,308,121,166
N06000007,102553,59159,40100,628,2666,24206,13402,10100,93,611,79199,46428,30280,473,2018,47166,17937,27704,318,1207,26431,23867,2224,83,257,1800,1709,49,11,31,1925,1657,77,6,185,1877,1258,226,55,338,830,463,204,82,81
N06000008,100807,75731,22193,793,2090,18967,14156,4344,28,439,82474,62499,17916,505,1554,36867,19092,16334,379,1062,44610,42612,1488,104,406,519,481,17,9,12,63,50,1,1,11,415,264,76,12,63,1126,492,207,293,134
N06000009,101710,19346,73158,1006,8200,15686,2783,11147,90,1666,87119,16877,62908,818,6516,76440,10246,59663,699,5832,9086,5598,2970,101,417,686,587,48,2,49,341,259,15,5,62,566,187,212,11,156,1202,342,533,166,161
N06000010,99155,66152,30522,438,2043,24795,15736,8425,74,560,75696,51634,22288,321,1453,45828,23572,21025,262,969,27121,25870,1060,40,151,822,792,11,2,17,745,654,38,3,50,1180,746,154,14,266,616,411,90,62,53
N06000011,112401,74591,34380,616,2814,22012,13704,7655,62,591,91663,62044,26979,451,2189,47711,20944,25045,314,1408,39898,37854,1602,95,347,1739,1625,40,6,68,1280,1147,41,10,82,1035,474,251,26,284,926,496,196,127,107
N06000012,108207,30723,71446,801,5237,26163,7009,17557,171,1426,82984,24246,54355,557,3826,69620,13918,51962,495,3245,11135,8824,1974,46,291,1119,1068,11,1,39,64,56,1,0,7,1046,380,407,15,244,671,199,299,98,75
N06000013,89498,11269,66618,1026,10585,10943,1102,7972,86,1783,79785,10254,59834,828,8869,72396,7299,56264,725,8108,6506,2495,3348,88,575,300,261,18,2,19,46,34,8,0,4,537,165,196,13,163,1314,379,545,185,205
N06000014,99238,31619,59349,867,7403,15824,4722,9492,73,1537,84373,27475,50405,639,5854,70091,16054,48335,562,5140,12499,10101,1934,57,407,855,785,10,0,60,332,269,14,5,44,596,266,112,15,203,991,335,317,189,150
N06000015,108835,75384,29224,570,3657,22042,14911,6213,78,840,88540,62001,23321,432,2786,54954,30860,21679,329,2086,31734,29772,1470,83,409,869,809,19,0,41,390,316,20,0,54,593,244,133,20,196,915,478,225,102,110
N06000016,89370,15447,65353,839,7731,15366,2912,10749,103,1602,75063,12840,55403,677,6143,67415,8495,52743,613,5564,6766,3803,2539,59,365,288,272,2,0,14,180,143,10,0,27,414,127,109,5,173,739,171,339,99,130
N06000017,118010,51919,58998,1033,6060,21733,9534,10710,98,1391,97284,43099,48772,815,4598,70961,20622,46314,664,3361,21351,18688,2145,108,410,2270,2063,51,9,147,1070,829,35,3,203,1632,897,227,31,477,1123,414,370,189,150
N06000018,91199,61993,27502,361,1343,23157,15395,7324,51,387,68970,47433,20339,264,934,40817,21254,18770,185,608,26550,24910,1427,68,145,789,765,7,2,15,136,119,3,0,14,678,385,132,9,152,663,447,88,76,52
