GeographyCode,DC2251NI0001,DC2251NI0002,DC2251NI0003,DC2251NI0004,DC2251NI0005,DC2251NI0006,DC2251NI0007,DC2251NI0008,DC2251NI0009,DC2251NI0010,DC2251NI0011,DC2251NI0012,DC2251NI0013,DC2251NI0014,DC2251NI0015,DC2251NI0016,DC2251NI0017,DC2251NI0018,DC2251NI0019,DC2251NI0020,DC2251NI0021,DC2251NI0022,DC2251NI0023,DC2251NI0024,DC2251NI0025,DC2251NI0026,DC2251NI0027,DC2251NI0028,DC2251NI0029,DC2251NI0030,DC2251NI0031,DC2251NI0032,DC2251NI0033,DC2251NI0034,DC2251NI0035,DC2251NI0036,DC2251NI0037,DC2251NI0038,DC2251NI0039,DC2251NI0040,DC2251NI0041,DC2251NI0042,DC2251NI0043,DC2251NI0044,DC2251NI0045,DC2251NI0046,DC2251NI0047,DC2251NI0048,DC2251NI0049,DC2251NI0050,DC2251NI0051,DC2251NI0052,DC2251NI0053,DC2251NI0054,DC2251NI0055,DC2251NI0056,DC2251NI0057,DC2251NI0058,DC2251NI0059,DC2251NI0060,DC2251NI0061,DC2251NI0062,DC2251NI0063,DC2251NI0064,DC2251NI0065,DC2251NI0066,DC2251NI0067,DC2251NI0068,DC2251NI0069,DC2251NI0070,DC2251NI0071,DC2251NI0072,DC2251NI0073,DC2251NI0074,DC2251NI0075,DC2251NI0076,DC2251NI0077,DC2251NI0078,DC2251NI0079,DC2251NI0080,DC2251NI0081,DC2251NI0082,DC2251NI0083,DC2251NI0084,DC2251NI0085,DC2251NI0086,DC2251NI0087,DC2251NI0088,DC2251NI0089,DC2251NI0090
N06000001,92221,8783,57976,25401,17011,6744,8820,1165,17570,6727,13283,1096,8639,3806,2628,971,1234,100,2402,1046,68501,3660,46662,20662,13717,5529,6754,593,13032,4554,5028,2270,1195,453,347,131,264,64,768,731,1574,232,841,350,244,75,172,16,353,132,347,35,162,64,30,11,57,37,93,20,84,22,26,9,7,1,9,8,25,3,2135,1206,154,15,8,4,127,31,565,179,1269,262,297,42,30,22,203,316,332,62
N06000002,102531,41872,38718,16659,12347,5066,4646,956,11426,9559,19019,7322,7691,3327,2531,956,877,109,2085,1812,60865,17765,29601,12896,9444,3977,3284,484,7375,5640,18010,14362,745,263,246,106,130,97,1080,1726,1622,990,289,119,98,18,54,16,168,159,214,73,49,10,7,3,29,20,52,20,86,53,10,0,0,0,10,1,19,3,1769,1019,160,20,6,1,133,24,435,131,946,288,173,24,15,5,129,205,212,68
N06000003,111402,41803,38701,15796,12767,4070,6068,2789,19922,8187,12421,3511,5700,2465,1966,609,660,186,1963,1061,64929,16706,30022,12515,10004,3220,4283,1010,12329,4862,22978,17324,1346,436,458,153,299,187,2690,1431,3171,1606,716,272,247,58,139,39,574,236,548,116,141,38,32,3,68,66,184,41,278,134,36,2,4,4,26,19,77,12,3531,1875,261,21,15,1,224,87,1001,307,3546,531,479,47,41,22,369,1195,1104,237
N06000004,93986,68246,11589,4432,4909,886,1362,479,4187,9485,18006,13144,2274,899,1000,138,237,53,777,1758,38293,22275,8795,3415,3758,714,908,167,2116,4940,34554,30751,267,78,110,20,59,51,936,2549,1618,1317,81,27,29,5,20,4,79,137,118,62,14,4,3,0,7,10,18,14,103,73,1,0,0,0,1,7,18,4,663,375,66,3,6,4,53,24,159,39,631,249,91,6,3,5,77,163,84,44
N06000005,90067,15925,54120,27416,13945,5415,7344,799,13893,5330,15028,3002,8819,4705,2090,832,1192,73,2115,1019,66051,8249,43171,21902,11309,4380,5580,456,10453,3722,5815,3708,1066,442,312,124,188,51,549,441,1292,379,613,276,177,47,113,15,219,66,303,46,139,49,31,13,46,15,94,9,59,29,10,5,3,1,1,9,8,3,742,354,129,16,6,4,103,2,215,42,777,158,173,21,17,14,121,178,240,28
N06000006,99673,38264,46777,23446,17591,1056,4684,609,8420,5603,22777,9102,10593,5220,4381,170,822,65,1618,1399,58927,15484,34132,17421,12555,804,3352,340,5617,3354,14218,11684,1205,523,461,40,181,59,588,682,1401,700,483,228,144,29,82,9,149,60,222,50,86,28,17,8,33,18,63,5,106,65,14,2,3,0,9,3,19,5,1370,970,99,5,10,0,84,23,205,73,652,209,165,19,20,5,121,92,161,25
N06000007,102553,54435,36400,6839,21387,3609,4565,564,4849,6305,24206,12374,9254,1621,5746,958,929,84,910,1584,45661,15481,24791,4820,14511,2461,2999,272,2472,2645,24915,21170,1543,308,874,148,213,69,631,1502,1337,829,322,68,171,30,53,3,91,92,151,51,57,5,21,9,22,9,22,12,164,121,27,2,11,2,12,5,4,7,5566,4153,302,8,29,1,264,54,629,428,553,256,104,7,24,0,73,68,90,35
N06000008,100807,68042,19195,9016,7672,792,1715,702,4655,8213,18967,12741,3787,1805,1610,153,219,24,701,1714,35301,15830,13936,6703,5574,588,1071,306,2277,2952,42975,37281,1046,403,406,35,202,81,1264,3303,1441,1055,177,72,62,14,29,9,91,109,115,38,39,12,8,0,19,15,16,7,184,135,10,2,2,0,6,4,24,11,983,693,73,1,5,0,67,13,136,68,841,269,127,18,5,2,102,250,146,49
N06000009,101710,16776,63571,25603,23411,4694,9863,934,14695,5734,15686,2378,9871,4036,3862,681,1292,83,2260,1094,74261,8315,50589,20565,18571,3779,7674,593,10910,3854,7144,4353,1460,499,567,120,274,67,706,558,1822,491,973,401,308,77,187,19,245,94,322,37,170,45,48,6,71,30,78,7,85,38,26,6,5,6,9,4,13,4,1561,921,199,15,17,2,165,18,349,74,829,243,283,36,33,23,191,120,134,49
N06000010,99155,61964,27359,11142,11117,734,4366,379,3771,5682,24795,14703,7680,3136,3280,208,1056,55,812,1545,44053,20668,18566,7676,7470,499,2921,218,2030,2571,25307,22954,683,215,265,20,183,23,400,1247,1637,1282,200,84,77,6,33,8,67,80,126,66,28,9,11,0,8,8,17,7,165,149,3,0,1,0,2,1,4,8,2736,1963,149,8,10,0,131,17,394,213,336,179,50,14,3,1,32,49,47,11
