GeographyCode,DC2421NI0001,DC2421NI0002,DC2421NI0003,DC2421NI0004,DC2421NI0005,DC2421NI0006,DC2421NI0007,DC2421NI0008,DC2421NI0009,DC2421NI0010,DC2421NI0011,DC2421NI0012,DC2421NI0013,DC2421NI0014,DC2421NI0015,DC2421NI0016,DC2421NI0017,DC2421NI0018,DC2421NI0019,DC2421NI0020,DC2421NI0021,DC2421NI0022,DC2421NI0023,DC2421NI0024,DC2421NI0025,DC2421NI0026,DC2421NI0027,DC2421NI0028,DC2421NI0029,DC2421NI0030,DC2421NI0031,DC2421NI0032,DC2421NI0033,DC2421NI0034,DC2421NI0035
N06000001,40918,4745,32740,547,2886,14342,1384,11888,169,901,13195,1467,10714,143,871,6143,850,4659,122,512,4990,629,3869,79,413,2248,415,1610,34,189,2.23,2.47,2.18,2.41,2.38
N06000002,44601,19485,22632,484,2000,15823,6206,8800,189,628,13367,5507,7131,101,628,7160,3334,3374,92,360,5180,2628,2219,61,272,3071,1810,1108,41,112,2.28,2.45,2.12,2.35,2.33
N06000003,46630,18926,23034,1192,3478,15710,5542,8773,347,1048,14529,5672,7392,312,1153,7191,3114,3229,254,594,5648,2671,2359,186,432,3552,1927,1281,93,251,2.32,2.50,2.16,2.51,2.37
N06000004,36580,28508,7078,239,755,10445,7635,2519,72,219,10339,8021,2072,51,195,6963,5536,1226,52,149,4959,4010,791,40,118,3874,3306,470,24,74,2.55,2.61,2.28,2.60,2.59
N06000005,36112,6862,26910,355,1985,10210,1904,7669,122,515,11697,2005,8991,94,607,6176,1201,4506,51,418,5266,1011,3896,56,303,2763,741,1848,32,142,2.44,2.56,2.40,2.40,2.49
N06000006,37981,14531,22035,282,1133,10031,3510,6131,83,307,11787,3957,7374,93,363,6475,2610,3622,46,197,5618,2317,3091,39,171,4070,2137,1817,21,95,2.57,2.77,2.45,2.40,2.48
N06000007,37590,20848,15730,250,762,9952,5393,4310,66,183,10412,5305,4797,81,229,6159,3511,2462,50,136,5828,3310,2352,26,140,5239,3329,1809,27,74,2.70,2.80,2.58,2.57,2.65
N06000008,38404,28110,9378,286,630,10861,7721,2863,63,214,10790,7668,2860,74,188,6642,4941,1542,64,95,5708,4301,1269,55,83,4403,3479,844,30,50,2.59,2.64,2.44,2.74,2.36
N06000009,39850,7065,30324,413,2048,10435,1586,8309,125,415,13000,2090,10132,129,649,6793,1322,4963,68,440,6180,1183,4581,54,362,3442,884,2339,37,182,2.51,2.73,2.45,2.42,2.67
N06000010,33690,21290,11708,175,517,7457,4388,2928,40,101,8897,5150,3513,64,170,5476,3448,1904,29,95,5784,3779,1897,19,89,6076,4525,1466,23,62,2.92,3.07,2.67,2.61,2.75
N06000011,40538,26491,13052,234,761,10225,6669,3352,48,156,11186,7071,3795,67,253,6923,4467,2269,50,137,6197,4047,1982,41,127,6007,4237,1654,28,88,2.75,2.79,2.66,2.79,2.73
N06000012,41458,10787,29066,320,1285,10676,2587,7711,100,278,12930,2829,9609,101,391,7082,1872,4870,50,290,6295,1762,4291,36,206,4475,1737,2585,33,120,2.59,2.83,2.50,2.39,2.65
N06000013,37740,4558,29950,412,2820,11356,1321,9209,130,696,13031,1356,10634,137,904,5981,806,4556,63,556,5023,662,3869,40,452,2349,413,1682,42,212,2.33,2.48,2.29,2.40,2.52
N06000014,37715,10976,24566,323,1850,9129,2328,6345,74,382,11829,2967,8204,92,566,6767,2056,4277,69,365,6267,2050,3799,58,360,3723,1575,1941,30,177,2.60,2.84,2.49,2.65,2.70
N06000015,39030,26533,11381,245,871,9606,6460,2885,66,195,10801,7048,3429,69,255,6525,4491,1834,38,162,6266,4294,1770,43,159,5832,4240,1463,29,100,2.76,2.81,2.67,2.64,2.74
N06000016,35412,5733,27384,339,1956,9058,1447,7104,108,399,11874,1604,9522,110,638,6014,1039,4565,43,367,5518,931,4173,47,367,2948,712,2020,31,185,2.50,2.68,2.46,2.40,2.68
N06000017,45766,19014,24659,409,1684,12225,4685,7014,131,395,13741,5237,7889,112,503,8047,3543,4100,64,340,7126,3089,3698,52,287,4627,2460,1958,50,159,2.56,2.71,2.45,2.57,2.64
N06000018,33260,22115,10586,149,410,8873,5904,2822,39,108,8881,5677,3049,41,114,5403,3583,1712,23,85,5284,3512,1683,27,62,4819,3439,1320,19,41,2.72,2.76,2.65,2.68,2.59
