ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2509NI0001,Count,PERSONS,"All categories: Sex, All categories: Highest level of qualification, All categories: Religion brought up in"
DC2509NI0002,Count,PERSONS,"All categories: Sex, All categories: Highest level of qualification, Catholic"
DC2509NI0003,Count,PERSONS,"All categories: Sex, All categories: Highest level of qualification, Protestant and other Christian (including Christian related)"
DC2509NI0004,Count,PERSONS,"All categories: Sex, All categories: Highest level of qualification, Other religions "
DC2509NI0005,Count,PERSONS,"All categories: Sex, All categories: Highest level of qualification, None"
DC2509NI0006,Count,PERSONS,"All categories: Sex, No qualifications, All categories: Religion brought up in"
DC2509NI0007,Count,PERSONS,"All categories: Sex, No qualifications, Catholic"
DC2509NI0008,Count,PERSONS,"All categories: Sex, No qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0009,Count,PERSONS,"All categories: Sex, No qualifications, Other religions "
DC2509NI0010,Count,PERSONS,"All categories: Sex, No qualifications, None"
DC2509NI0011,Count,PERSONS,"All categories: Sex, Level 1 qualifications, All categories: Religion brought up in"
DC2509NI0012,Count,PERSONS,"All categories: Sex, Level 1 qualifications, Catholic"
DC2509NI0013,Count,PERSONS,"All categories: Sex, Level 1 qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0014,Count,PERSONS,"All categories: Sex, Level 1 qualifications, Other religions "
DC2509NI0015,Count,PERSONS,"All categories: Sex, Level 1 qualifications, None"
DC2509NI0016,Count,PERSONS,"All categories: Sex, Level 2 qualifications, All categories: Religion brought up in"
DC2509NI0017,Count,PERSONS,"All categories: Sex, Level 2 qualifications, Catholic"
DC2509NI0018,Count,PERSONS,"All categories: Sex, Level 2 qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0019,Count,PERSONS,"All categories: Sex, Level 2 qualifications, Other religions "
DC2509NI0020,Count,PERSONS,"All categories: Sex, Level 2 qualifications, None"
DC2509NI0021,Count,PERSONS,"All categories: Sex, Apprenticeship, All categories: Religion brought up in"
DC2509NI0022,Count,PERSONS,"All categories: Sex, Apprenticeship, Catholic"
DC2509NI0023,Count,PERSONS,"All categories: Sex, Apprenticeship, Protestant and other Christian (including Christian related)"
DC2509NI0024,Count,PERSONS,"All categories: Sex, Apprenticeship, Other religions "
DC2509NI0025,Count,PERSONS,"All categories: Sex, Apprenticeship, None"
DC2509NI0026,Count,PERSONS,"All categories: Sex, Level 3 qualifications, All categories: Religion brought up in"
DC2509NI0027,Count,PERSONS,"All categories: Sex, Level 3 qualifications, Catholic"
DC2509NI0028,Count,PERSONS,"All categories: Sex, Level 3 qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0029,Count,PERSONS,"All categories: Sex, Level 3 qualifications, Other religions "
DC2509NI0030,Count,PERSONS,"All categories: Sex, Level 3 qualifications, None"
DC2509NI0031,Count,PERSONS,"All categories: Sex, Level 4 qualifications and above, All categories: Religion brought up in"
DC2509NI0032,Count,PERSONS,"All categories: Sex, Level 4 qualifications and above, Catholic"
DC2509NI0033,Count,PERSONS,"All categories: Sex, Level 4 qualifications and above, Protestant and other Christian (including Christian related)"
DC2509NI0034,Count,PERSONS,"All categories: Sex, Level 4 qualifications and above, Other religions "
DC2509NI0035,Count,PERSONS,"All categories: Sex, Level 4 qualifications and above, None"
DC2509NI0036,Count,PERSONS,"All categories: Sex, Other qualifications, All categories: Religion brought up in"
DC2509NI0037,Count,PERSONS,"All categories: Sex, Other qualifications, Catholic"
DC2509NI0038,Count,PERSONS,"All categories: Sex, Other qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0039,Count,PERSONS,"All categories: Sex, Other qualifications, Other religions "
DC2509NI0040,Count,PERSONS,"All categories: Sex, Other qualifications, None"
DC2509NI0041,Count,PERSONS,"Males, All categories: Highest level of qualification, All categories: Religion brought up in"
DC2509NI0042,Count,PERSONS,"Males, All categories: Highest level of qualification, Catholic"
DC2509NI0043,Count,PERSONS,"Males, All categories: Highest level of qualification, Protestant and other Christian (including Christian related)"
DC2509NI0044,Count,PERSONS,"Males, All categories: Highest level of qualification, Other religions "
DC2509NI0045,Count,PERSONS,"Males, All categories: Highest level of qualification, None"
DC2509NI0046,Count,PERSONS,"Males, No qualifications, All categories: Religion brought up in"
DC2509NI0047,Count,PERSONS,"Males, No qualifications, Catholic"
DC2509NI0048,Count,PERSONS,"Males, No qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0049,Count,PERSONS,"Males, No qualifications, Other religions "
DC2509NI0050,Count,PERSONS,"Males, No qualifications, None"
DC2509NI0051,Count,PERSONS,"Males, Level 1 qualifications, All categories: Religion brought up in"
DC2509NI0052,Count,PERSONS,"Males, Level 1 qualifications, Catholic"
DC2509NI0053,Count,PERSONS,"Males, Level 1 qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0054,Count,PERSONS,"Males, Level 1 qualifications, Other religions "
DC2509NI0055,Count,PERSONS,"Males, Level 1 qualifications, None"
DC2509NI0056,Count,PERSONS,"Males, Level 2 qualifications, All categories: Religion brought up in"
DC2509NI0057,Count,PERSONS,"Males, Level 2 qualifications, Catholic"
DC2509NI0058,Count,PERSONS,"Males, Level 2 qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0059,Count,PERSONS,"Males, Level 2 qualifications, Other religions "
DC2509NI0060,Count,PERSONS,"Males, Level 2 qualifications, None"
DC2509NI0061,Count,PERSONS,"Males, Apprenticeship, All categories: Religion brought up in"
DC2509NI0062,Count,PERSONS,"Males, Apprenticeship, Catholic"
DC2509NI0063,Count,PERSONS,"Males, Apprenticeship, Protestant and other Christian (including Christian related)"
DC2509NI0064,Count,PERSONS,"Males, Apprenticeship, Other religions "
DC2509NI0065,Count,PERSONS,"Males, Apprenticeship, None"
DC2509NI0066,Count,PERSONS,"Males, Level 3 qualifications, All categories: Religion brought up in"
DC2509NI0067,Count,PERSONS,"Males, Level 3 qualifications, Catholic"
DC2509NI0068,Count,PERSONS,"Males, Level 3 qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0069,Count,PERSONS,"Males, Level 3 qualifications, Other religions "
DC2509NI0070,Count,PERSONS,"Males, Level 3 qualifications, None"
DC2509NI0071,Count,PERSONS,"Males, Level 4 qualifications and above, All categories: Religion brought up in"
DC2509NI0072,Count,PERSONS,"Males, Level 4 qualifications and above, Catholic"
DC2509NI0073,Count,PERSONS,"Males, Level 4 qualifications and above, Protestant and other Christian (including Christian related)"
DC2509NI0074,Count,PERSONS,"Males, Level 4 qualifications and above, Other religions "
DC2509NI0075,Count,PERSONS,"Males, Level 4 qualifications and above, None"
DC2509NI0076,Count,PERSONS,"Males, Other qualifications, All categories: Religion brought up in"
DC2509NI0077,Count,PERSONS,"Males, Other qualifications, Catholic"
DC2509NI0078,Count,PERSONS,"Males, Other qualifications, Protestant and other Christian (including Christian related)"
DC2509NI0079,Count,PERSONS,"Males, Other qualifications, Other religions "
DC2509NI0080,Count,PERSONS,"Males, Other qualifications, None"
DC2509NI0081,Count,PERSONS,"Females, All categories: Highest level of qualification, All categories: Religion brought up in"
