GeographyCode,DC2623NI0001,DC2623NI0002,DC2623NI0003,DC2623NI0004,DC2623NI0005,DC2623NI0006,DC2623NI0007,DC2623NI0008,DC2623NI0009,DC2623NI0010,DC2623NI0011,DC2623NI0012,DC2623NI0013,DC2623NI0014,DC2623NI0015,DC2623NI0016,DC2623NI0017,DC2623NI0018,DC2623NI0019,DC2623NI0020,DC2623NI0021,DC2623NI0022,DC2623NI0023,DC2623NI0024,DC2623NI0025,DC2623NI0026,DC2623NI0027,DC2623NI0028,DC2623NI0029,DC2623NI0030,DC2623NI0031,DC2623NI0032,DC2623NI0033,DC2623NI0034,DC2623NI0035,DC2623NI0036,DC2623NI0037,DC2623NI0038,DC2623NI0039,DC2623NI0040,DC2623NI0041,DC2623NI0042,DC2623NI0043,DC2623NI0044,DC2623NI0045,DC2623NI0046,DC2623NI0047,DC2623NI0048,DC2623NI0049,DC2623NI0050,DC2623NI0051,DC2623NI0052,DC2623NI0053,DC2623NI0054,DC2623NI0055,DC2623NI0056,DC2623NI0057,DC2623NI0058,DC2623NI0059,DC2623NI0060,DC2623NI0061,DC2623NI0062,DC2623NI0063,DC2623NI0064,DC2623NI0065,DC2623NI0066,DC2623NI0067,DC2623NI0068,DC2623NI0069,DC2623NI0070,DC2623NI0071,DC2623NI0072,DC2623NI0073,DC2623NI0074,DC2623NI0075,DC2623NI0076,DC2623NI0077,DC2623NI0078,DC2623NI0079,DC2623NI0080,DC2623NI0081,DC2623NI0082,DC2623NI0083,DC2623NI0084,DC2623NI0085,DC2623NI0086,DC2623NI0087,DC2623NI0088,DC2623NI0089,DC2623NI0090,DC2623NI0091,DC2623NI0092,DC2623NI0093,DC2623NI0094,DC2623NI0095,DC2623NI0096,DC2623NI0097,DC2623NI0098,DC2623NI0099,DC2623NI0100,DC2623NI0101,DC2623NI0102,DC2623NI0103,DC2623NI0104,DC2623NI0105,DC2623NI0106,DC2623NI0107,DC2623NI0108,DC2623NI0109,DC2623NI0110,DC2623NI0111,DC2623NI0112,DC2623NI0113,DC2623NI0114,DC2623NI0115,DC2623NI0116,DC2623NI0117,DC2623NI0118,DC2623NI0119,DC2623NI0120,DC2623NI0121,DC2623NI0122,DC2623NI0123,DC2623NI0124,DC2623NI0125,DC2623NI0126,DC2623NI0127,DC2623NI0128,DC2623NI0129,DC2623NI0130,DC2623NI0131,DC2623NI0132,DC2623NI0133,DC2623NI0134,DC2623NI0135,DC2623NI0136,DC2623NI0137,DC2623NI0138,DC2623NI0139,DC2623NI0140,DC2623NI0141,DC2623NI0142,DC2623NI0143,DC2623NI0144,DC2623NI0145,DC2623NI0146,DC2623NI0147,DC2623NI0148,DC2623NI0149,DC2623NI0150,DC2623NI0151,DC2623NI0152,DC2623NI0153,DC2623NI0154,DC2623NI0155,DC2623NI0156,DC2623NI0157,DC2623NI0158,DC2623NI0159,DC2623NI0160,DC2623NI0161,DC2623NI0162,DC2623NI0163,DC2623NI0164,DC2623NI0165,DC2623NI0166,DC2623NI0167,DC2623NI0168,DC2623NI0169,DC2623NI0170,DC2623NI0171,DC2623NI0172,DC2623NI0173,DC2623NI0174,DC2623NI0175,DC2623NI0176,DC2623NI0177,DC2623NI0178,DC2623NI0179,DC2623NI0180,DC2623NI0181,DC2623NI0182,DC2623NI0183,DC2623NI0184,DC2623NI0185,DC2623NI0186,DC2623NI0187,DC2623NI0188,DC2623NI0189,DC2623NI0190,DC2623NI0191,DC2623NI0192,DC2623NI0193,DC2623NI0194,DC2623NI0195,DC2623NI0196,DC2623NI0197,DC2623NI0198,DC2623NI0199,DC2623NI0200,DC2623NI0201,DC2623NI0202,DC2623NI0203,DC2623NI0204,DC2623NI0205,DC2623NI0206,DC2623NI0207,DC2623NI0208,DC2623NI0209,DC2623NI0210
N06000001,67039,8807,51374,985,5873,32478,4080,24530,527,3341,34561,4727,26844,458,2532,6875,1098,5040,188,549,4312,560,3270,132,350,2563,538,1770,56,199,1168,151,934,8,75,731,68,616,4,43,437,83,318,4,32,5707,947,4106,180,474,3581,492,2654,128,307,2126,455,1452,52,167,14212,2203,10707,211,1091,6173,873,4598,93,609,8039,1330,6109,118,482,10079,1076,8042,104,857,3292,389,2469,42,392,6787,687,5573,62,465,3797,331,3012,85,369,2743,229,2172,59,283,1054,102,840,26,86,4600,535,3597,45,423,3316,331,2620,34,331,1284,204,977,11,92,10590,1198,8443,128,821,3959,510,3013,56,380,6631,688,5430,72,441,8110,1119,6337,70,584,4398,603,3407,36,352,3712,516,2930,34,232,3746,586,2666,77,417,1845,272,1320,27,226,1901,314,1346,50,191,2509,412,1757,60,280,1030,167,707,20,136,1479,245,1050,40,144,1237,174,909,17,137,815,105,613,7,90,422,69,296,10,47,5030,661,3530,77,762,2440,313,1661,48,418,2590,348,1869,29,344
N06000002,73558,34660,34185,789,3924,35466,16432,16333,432,2269,38092,18228,17852,357,1655,4347,2373,1632,82,260,2742,1438,1061,59,184,1605,935,571,23,76,775,388,346,8,33,436,198,212,5,21,339,190,134,3,12,3572,1985,1286,74,227,2306,1240,849,54,163,1266,745,437,20,64,11486,6057,4712,132,585,4975,2472,2097,63,343,6511,3585,2615,69,242,9675,4549,4507,109,510,2902,1347,1287,45,223,6773,3202,3220,64,287,3708,1804,1648,65,191,2808,1375,1243,49,141,900,429,405,16,50,5230,2095,2774,54,307,3672,1416,1974,42,240,1558,679,800,12,67,13345,5623,6955,97,670,5024,2151,2531,42,300,8321,3472,4424,55,370,11827,4684,6574,90,479,6436,2573,3519,51,293,5391,2111,3055,39,186,7543,3987,3033,104,419,3756,1985,1467,48,256,3787,2002,1566,56,163,5454,2938,2138,88,290,2362,1275,884,39,164,3092,1663,1254,49,126,2089,1049,895,16,129,1394,710,583,9,92,695,339,312,7,37,6397,3488,2350,56,503,3151,1675,1154,33,289,3246,1813,1196,23,214
N06000003,86086,38586,37544,2457,7499,42340,18226,18379,1385,4350,43746,20360,19165,1072,3149,12902,6866,4479,588,969,7892,3906,2904,405,677,5010,2960,1575,183,292,1353,684,579,21,69,807,361,378,15,53,546,323,201,6,16,11549,6182,3900,567,900,7085,3545,2526,390,624,4464,2637,1374,177,276,18594,9498,7556,367,1173,7962,3709,3412,172,669,10632,5789,4144,195,504,10341,4489,4848,212,792,3684,1595,1598,91,400,6657,2894,3250,121,392,3925,1642,1774,127,382,2745,1188,1214,81,262,1180,454,560,46,120,4259,1558,2097,96,508,2901,1017,1448,80,356,1358,541,649,16,152,9028,3083,4894,187,864,3694,1301,1867,94,432,5334,1782,3027,93,432,6741,2197,3888,110,546,3731,1227,2147,57,300,3010,970,1741,53,246,4426,1627,2103,245,451,2220,821,1079,85,235,2206,806,1024,160,216,3041,1127,1422,196,296,1314,531,600,56,127,1727,596,822,140,169,1385,500,681,49,155,906,290,479,29,108,479,210,202,20,47,15870,7626,5905,525,1814,7511,3462,2710,320,1019,8359,4164,3195,205,795
N06000004,67002,53740,11318,428,1516,31513,25004,5397,247,865,35489,28736,5921,181,651,2601,2033,409,60,99,1594,1190,291,45,68,1007,843,118,15,31,469,385,72,1,11,243,186,48,0,9,226,199,24,1,2,2132,1648,337,59,88,1351,1004,243,45,59,781,644,94,14,29,8973,7296,1371,80,226,3819,3008,640,44,127,5154,4288,731,36,99,8810,7326,1261,49,174,2495,1972,418,26,79,6315,5354,843,23,95,3222,2626,506,25,65,2620,2165,380,21,54,602,461,126,4,11,4260,3239,885,38,98,2929,2216,614,31,68,1331,1023,271,7,30,11567,8920,2333,55,259,4465,3420,901,28,116,7102,5500,1432,27,143,11087,8629,2250,35,173,5620,4417,1073,17,113,5467,4212,1177,18,60,9151,7523,1393,43,192,4449,3661,670,17,101,4702,3862,723,26,91,7087,5888,1030,37,132,3080,2574,431,13,62,4007,3314,599,24,70,2064,1635,363,6,60,1369,1087,239,4,39,695,548,124,2,21,7331,6148,910,43,230,3522,2955,410,18,139,3809,3193,500,25,91
N06000005,66012,13661,47058,702,4591,32365,6545,22832,371,2617,33647,7116,24226,331,1974,5244,1059,3741,79,365,3444,630,2531,50,233,1800,429,1210,29,132,1088,201,819,5,63,718,111,562,4,41,370,90,257,1,22,4156,858,2922,74,302,2726,519,1969,46,192,1430,339,953,28,110,12911,2628,9477,113,693,5552,992,4145,55,360,7359,1636,5332,58,333,9578,1693,7263,93,529,2826,495,2069,29,233,6752,1198,5194,64,296,5234,1238,3644,56,296,3749,903,2581,40,225,1485,335,1063,16,71,5335,993,3959,32,351,3869,706,2855,27,281,1466,287,1104,5,70,10045,1901,7396,103,645,3433,641,2469,45,278,6612,1260,4927,58,367,7810,1671,5568,57,514,4667,991,3290,32,354,3143,680,2278,25,160,3188,773,2055,48,312,1548,373,991,18,166,1640,400,1064,30,146,1972,494,1251,33,194,774,201,474,8,91,1198,293,777,25,103,1216,279,804,15,118,774,172,517,10,75,442,107,287,5,43,6667,1705,3955,121,886,3277,814,1901,75,487,3390,891,2054,46,399
N06000006,72822,30193,39536,525,2568,36147,14878,19519,269,1481,36675,15315,20017,256,1087,4533,1625,2639,60,209,2904,953,1761,40,150,1629,672,878,20,59,796,293,475,0,28,523,181,322,0,20,273,112,153,0,8,3737,1332,2164,60,181,2381,772,1439,40,130,1356,560,725,20,51,12381,4729,7192,94,366,5016,1741,3032,39,204,7365,2988,4160,55,162,8393,3059,5033,50,251,2589,788,1660,18,123,5804,2271,3373,32,128,8181,3717,4227,56,181,6327,3038,3123,38,128,1854,679,1104,18,53,4926,1988,2704,28,206,3342,1323,1843,21,155,1584,665,861,7,51,10889,4202,6281,71,335,3669,1364,2140,23,142,7220,2838,4141,48,193,9784,4559,4937,38,250,5781,2677,2901,22,181,4003,1882,2036,16,69,5793,2773,2736,47,237,2878,1386,1353,15,124,2915,1387,1383,32,113,3899,1878,1829,31,161,1621,764,776,7,74,2278,1114,1053,24,87,1894,895,907,16,76,1257,622,577,8,50,637,273,330,8,26,7942,3541,3787,81,533,3641,1608,1706,53,274,4301,1933,2081,28,259
N06000007,73713,42595,28997,504,1617,37378,21612,14595,247,924,36335,20983,14402,257,693,4233,2436,1652,47,98,2609,1445,1067,32,65,1624,991,585,15,33,844,449,367,6,22,543,267,258,3,15,301,182,109,3,7,3389,1987,1285,41,76,2066,1178,809,29,50,1323,809,476,12,26,11848,6700,4873,74,201,4508,2413,1945,29,121,7340,4287,2928,45,80,7634,3885,3591,47,111,1969,947,972,11,39,5665,2938,2619,36,72,9545,4954,4381,69,141,7373,3881,3347,40,105,2172,1073,1034,29,36,5287,2952,2148,41,146,3633,2012,1491,28,102,1654,940,657,13,44,12531,7169,4956,92,314,4661,2734,1747,35,145,7870,4435,3209,57,169,10874,6849,3710,60,255,7005,4461,2336,41,167,3869,2388,1374,19,88,5470,3714,1568,33,155,2566,1785,697,11,73,2904,1929,871,22,82,3915,2663,1117,29,106,1526,1074,400,10,42,2389,1589,717,19,64,1555,1051,451,4,49,1040,711,297,1,31,515,340,154,3,18,6291,3936,2118,41,196,3054,1934,993,20,107,3237,2002,1125,21,89
N06000008,73474,55019,16523,602,1330,35670,26320,8212,334,804,37804,28699,8311,268,526,4295,3100,978,109,108,2777,1976,652,74,75,1518,1124,326,35,33,888,663,209,7,9,591,427,152,5,7,297,236,57,2,2,3407,2437,769,102,99,2186,1549,500,69,68,1221,888,269,33,31,12278,9066,2869,93,250,5344,3854,1301,45,144,6934,5212,1568,48,106,8200,5794,2228,52,126,2719,1875,765,15,64,5481,3919,1463,37,62,4692,3310,1250,50,82,3588,2575,923,32,58,1104,735,327,18,24,4859,3432,1308,41,78,3302,2267,943,34,58,1557,1165,365,7,20,11662,8628,2796,77,161,4330,3138,1063,46,83,7332,5490,1733,31,78,10318,7818,2364,35,101,5217,3849,1281,12,75,5101,3969,1083,23,26,8623,7129,1271,52,171,4403,3646,639,16,102,4220,3483,632,36,69,5912,4942,838,41,91,2671,2258,355,11,47,3241,2684,483,30,44,2711,2187,433,11,80,1732,1388,284,5,55,979,799,149,6,25,8547,6742,1459,93,253,3990,3140,645,60,145,4557,3602,814,33,108
N06000009,73686,14111,54141,746,4688,36511,6719,26710,379,2703,37175,7392,27431,367,1985,7547,1647,5362,120,418,4913,923,3623,76,291,2634,724,1739,44,127,1525,309,1137,7,72,1038,177,807,5,49,487,132,330,2,23,6022,1338,4225,113,346,3875,746,2816,71,242,2147,592,1409,42,104,16337,3303,12070,147,817,7102,1309,5241,59,493,9235,1994,6829,88,324,10840,2004,8121,83,632,3363,608,2427,24,304,7477,1396,5694,59,328,6770,1094,5242,94,340,4963,818,3819,73,253,1807,276,1423,21,87,4934,858,3683,47,346,3530,589,2649,32,260,1404,269,1034,15,86,10611,1921,7913,104,673,3590,697,2573,40,280,7021,1224,5340,64,393,7852,1494,5816,53,489,4688,876,3482,30,300,3164,618,2334,23,189,2935,635,1962,52,286,1467,341,936,21,169,1468,294,1026,31,117,1856,424,1217,28,187,760,197,458,8,97,1096,227,759,20,90,1079,211,745,24,99,707,144,478,13,72,372,67,267,11,27,5860,1155,3972,46,687,2895,558,1960,24,353,2965,597,2012,22,334
N06000010,70671,46848,22260,342,1221,35535,23319,11311,186,719,35136,23529,10949,156,502,3965,2683,1206,26,50,2481,1669,761,19,32,1484,1014,445,7,18,866,570,277,5,14,579,382,186,2,9,287,188,91,3,5,3099,2113,929,21,36,1902,1287,575,17,23,1197,826,354,4,13,11473,7792,3491,51,139,4060,2627,1323,20,90,7413,5165,2168,31,49,6713,4352,2267,26,68,1431,849,553,8,21,5282,3503,1714,18,47,9526,6156,3201,57,112,7763,5112,2532,39,80,1763,1044,669,18,32,4917,3074,1694,18,131,3516,2172,1236,11,97,1401,902,458,7,34,10100,6218,3605,54,223,3279,1904,1250,19,106,6821,4314,2355,35,117,11545,7566,3692,51,236,7359,4901,2274,34,150,4186,2665,1418,17,86,5320,3922,1261,26,111,2398,1773,554,12,59,2922,2149,707,14,52,3859,2845,927,17,70,1467,1079,349,7,32,2392,1766,578,10,38,1461,1077,334,9,41,931,694,205,5,27,530,383,129,4,14,7112,5085,1843,33,151,3248,2312,828,24,84,3864,2773,1015,9,67
