GeographyCode,DC4405NI0001,DC4405NI0002,DC4405NI0003,DC4405NI0004,DC4405NI0005,DC4405NI0006,DC4405NI0007,DC4405NI0008,DC4405NI0009,DC4405NI0010,DC4405NI0011,DC4405NI0012,DC4405NI0013,DC4405NI0014,DC4405NI0015,DC4405NI0016,DC4405NI0017,DC4405NI0018,DC4405NI0019,DC4405NI0020,DC4405NI0021,DC4405NI0022,DC4405NI0023,DC4405NI0024,DC4405NI0025,DC4405NI0026,DC4405NI0027,DC4405NI0028,DC4405NI0029,DC4405NI0030,DC4405NI0031,DC4405NI0032,DC4405NI0033,DC4405NI0034,DC4405NI0035,DC4405NI0036,DC4405NI0037,DC4405NI0038,DC4405NI0039,DC4405NI0040,DC4405NI0041,DC4405NI0042,DC4405NI0043,DC4405NI0044,DC4405NI0045,DC4405NI0046,DC4405NI0047,DC4405NI0048,DC4405NI0049,DC4405NI0050,DC4405NI0051,DC4405NI0052,DC4405NI0053,DC4405NI0054,DC4405NI0055,DC4405NI0056,DC4405NI0057,DC4405NI0058,DC4405NI0059,DC4405NI0060,DC4405NI0061,DC4405NI0062,DC4405NI0063,DC4405NI0064,DC4405NI0065,DC4405NI0066,DC4405NI0067,DC4405NI0068,DC4405NI0069,DC4405NI0070,DC4405NI0071,DC4405NI0072,DC4405NI0073,DC4405NI0074,DC4405NI0075,DC4405NI0076,DC4405NI0077,DC4405NI0078,DC4405NI0079,DC4405NI0080,DC4405NI0081,DC4405NI0082,DC4405NI0083,DC4405NI0084,DC4405NI0085,DC4405NI0086,DC4405NI0087,DC4405NI0088,DC4405NI0089,DC4405NI0090,DC4405NI0091,DC4405NI0092,DC4405NI0093,DC4405NI0094,DC4405NI0095,DC4405NI0096,DC4405NI0097,DC4405NI0098,DC4405NI0099,DC4405NI0100,DC4405NI0101,DC4405NI0102,DC4405NI0103,DC4405NI0104,DC4405NI0105,DC4405NI0106,DC4405NI0107,DC4405NI0108,DC4405NI0109,DC4405NI0110,DC4405NI0111,DC4405NI0112,DC4405NI0113,DC4405NI0114,DC4405NI0115,DC4405NI0116,DC4405NI0117,DC4405NI0118,DC4405NI0119,DC4405NI0120,DC4405NI0121,DC4405NI0122,DC4405NI0123,DC4405NI0124,DC4405NI0125,DC4405NI0126,DC4405NI0127,DC4405NI0128,DC4405NI0129,DC4405NI0130,DC4405NI0131,DC4405NI0132,DC4405NI0133,DC4405NI0134,DC4405NI0135,DC4405NI0136,DC4405NI0137,DC4405NI0138,DC4405NI0139,DC4405NI0140,DC4405NI0141,DC4405NI0142,DC4405NI0143,DC4405NI0144,DC4405NI0145,DC4405NI0146,DC4405NI0147,DC4405NI0148,DC4405NI0149,DC4405NI0150,DC4405NI0151,DC4405NI0152,DC4405NI0153,DC4405NI0154,DC4405NI0155,DC4405NI0156,DC4405NI0157,DC4405NI0158,DC4405NI0159,DC4405NI0160,DC4405NI0161,DC4405NI0162,DC4405NI0163,DC4405NI0164,DC4405NI0165,DC4405NI0166,DC4405NI0167,DC4405NI0168,DC4405NI0169,DC4405NI0170,DC4405NI0171,DC4405NI0172,DC4405NI0173,DC4405NI0174,DC4405NI0175,DC4405NI0176,DC4405NI0177,DC4405NI0178,DC4405NI0179,DC4405NI0180,DC4405NI0181,DC4405NI0182,DC4405NI0183,DC4405NI0184,DC4405NI0185,DC4405NI0186,DC4405NI0187,DC4405NI0188,DC4405NI0189,DC4405NI0190,DC4405NI0191,DC4405NI0192,DC4405NI0193,DC4405NI0194,DC4405NI0195,DC4405NI0196,DC4405NI0197,DC4405NI0198,DC4405NI0199,DC4405NI0200,DC4405NI0201,DC4405NI0202,DC4405NI0203,DC4405NI0204,DC4405NI0205,DC4405NI0206,DC4405NI0207,DC4405NI0208,DC4405NI0209,DC4405NI0210,DC4405NI0211,DC4405NI0212,DC4405NI0213,DC4405NI0214,DC4405NI0215,DC4405NI0216
N06000001,40918,4,16993,17927,4161,1833,11675,0,8079,2859,551,186,18343,3,8527,7977,1391,445,9111,1,345,6635,1536,594,1418,0,20,388,618,392,371,0,22,68,65,216,6419,0,1460,3566,907,486,637,0,435,147,36,19,2138,0,957,1001,140,40,2853,0,60,2205,437,151,603,0,4,184,257,158,188,0,4,29,37,118,13834,3,4555,6923,1657,696,2447,0,1663,645,108,31,6681,3,2770,3210,545,153,3963,0,106,2883,710,264,609,0,10,156,273,170,134,0,6,29,21,78,14015,0,6344,5662,1420,589,5325,0,3369,1505,342,109,6612,0,2846,2897,639,230,1854,0,120,1212,351,171,188,0,4,41,83,60,36,0,5,7,5,19,6649,1,4634,1775,177,62,3266,0,2612,562,65,27,2911,0,1954,868,67,22,441,1,59,335,38,8,18,0,2,7,5,4,13,0,7,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06000002,44601,8,20664,16526,4916,2487,18167,6,12496,4293,1018,354,18577,2,7806,8039,1999,731,6488,0,317,3955,1440,776,1102,0,25,194,414,469,267,0,20,45,45,157,5874,0,1610,2679,948,637,1157,0,752,309,72,24,2149,0,796,1036,240,77,1944,0,61,1215,426,242,477,0,0,91,180,206,147,0,1,28,30,88,15044,3,5810,6456,1885,890,4375,1,2891,1140,261,82,7266,2,2766,3426,801,271,2890,0,139,1805,639,307,436,0,11,72,176,177,77,0,3,13,8,53,16399,3,7981,5706,1826,883,8245,3,5258,2198,571,215,6592,0,2621,2766,851,354,1363,0,84,715,347,217,169,0,11,25,50,83,30,0,7,2,7,14,7272,2,5256,1682,255,77,4384,2,3590,645,114,33,2565,0,1621,810,105,29,290,0,33,219,28,10,20,0,3,6,8,3,13,0,9,2,0,2,12,0,7,3,2,0,6,0,5,1,0,0,5,0,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06000003,46630,8,17867,19809,5382,3564,13668,6,8326,3659,1003,674,19662,1,9041,8253,1612,755,10732,1,412,7382,1896,1041,1968,0,60,431,760,717,600,0,28,84,111,377,8136,0,1682,4289,1335,830,714,0,458,184,40,32,2696,0,1133,1273,209,81,3677,0,83,2609,674,311,788,0,3,182,341,262,261,0,5,41,71,144,13098,1,4227,6394,1614,862,2093,0,1319,538,175,61,6270,0,2769,2788,518,195,4038,1,119,2908,688,322,569,0,16,142,209,202,128,0,4,18,24,82,15827,3,6635,5928,1769,1492,6486,2,3646,1863,533,442,6701,1,2837,2796,693,374,2023,0,113,1186,391,333,447,0,26,64,140,217,170,0,13,19,12,126,9565,4,5323,3196,662,380,4375,4,2903,1074,255,139,3993,0,2302,1394,192,105,993,0,97,679,142,75,164,0,15,43,70,36,40,0,6,6,3,25,4,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
N06000004,36580,9,15461,13037,5026,3047,16314,6,9930,4394,1438,546,14924,2,5315,6340,2144,1123,4382,1,187,2166,1186,842,760,0,15,117,232,396,200,0,14,20,26,140,3483,1,985,1360,639,498,942,0,560,254,95,33,1237,0,400,542,190,105,965,1,19,519,255,171,263,0,3,41,86,133,76,0,3,4,13,56,12278,1,4227,4899,1930,1221,4019,1,2297,1165,397,159,5814,0,1843,2648,863,460,2042,0,78,1027,559,378,319,0,6,47,103,163,84,0,3,12,8,61,16301,4,7004,5694,2317,1282,8415,2,4729,2472,878,334,6454,2,2187,2688,1037,540,1226,0,78,506,357,285,171,0,6,25,40,100,35,0,4,3,5,23,4511,3,3240,1083,140,45,2934,3,2341,502,68,20,1417,0,883,462,54,18,148,0,12,114,15,7,7,0,0,4,3,0,5,0,4,1,0,0,7,0,5,1,0,1,4,0,3,1,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
N06000005,36112,3,12651,16705,4591,2162,7406,0,5351,1638,327,90,15268,3,6799,6950,1198,318,10293,0,429,7326,1872,666,2327,0,49,648,1022,608,818,0,23,143,172,480,14114,0,2767,7639,2414,1294,834,0,588,190,39,17,4741,0,1937,2361,360,83,6170,0,207,4487,1100,376,1713,0,22,489,769,433,656,0,13,112,146,385,9005,1,3060,4353,1117,474,1563,0,1077,384,77,25,4379,1,1857,2035,381,105,2526,0,106,1809,445,166,417,0,14,104,193,106,120,0,6,21,21,72,9309,2,4146,3820,973,368,3211,0,2144,835,191,41,4574,2,1910,2115,427,120,1304,0,78,814,293,119,181,0,11,47,57,66,39,0,3,9,5,22,3657,0,2663,885,85,24,1791,0,1537,228,19,7,1563,0,1087,437,30,9,285,0,36,211,33,5,16,0,2,8,3,3,2,0,1,1,0,0,27,0,15,8,2,2,7,0,5,1,1,0,11,0,8,2,0,1,8,0,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1
N06000006,37981,6,12516,17315,5080,3064,7695,4,5265,1851,386,189,15892,2,6701,7250,1410,529,10775,0,481,7344,2061,889,2618,0,49,722,1016,831,1001,0,20,148,207,626,18372,2,4155,9470,2871,1874,1558,1,1020,398,86,53,6745,1,2801,3198,552,193,7279,0,289,5171,1295,524,1958,0,32,582,764,580,832,0,13,121,174,524,10179,3,3666,4506,1305,699,2233,2,1504,537,137,53,4995,1,2041,2337,439,177,2353,0,106,1514,506,227,476,0,13,100,195,168,122,0,2,18,28,74,6934,1,2907,2759,814,453,2599,1,1666,728,134,70,3172,0,1187,1455,389,141,959,0,50,535,240,134,165,0,2,34,48,81,39,0,2,7,3,27,2464,0,1773,566,89,36,1300,0,1071,187,29,13,968,0,664,257,30,17,171,0,33,115,20,3,17,0,2,5,8,2,8,0,3,2,2,1,32,0,15,14,1,2,5,0,4,1,0,0,12,0,8,3,0,1,13,0,3,9,0,1,2,0,0,1,1,0,0,0,0,0,0,0
N06000007,37590,2,11896,16763,5124,3805,6117,0,4306,1322,275,214,14910,2,6918,6254,1178,558,11873,0,539,8179,2192,963,3130,0,85,841,1203,1001,1560,0,48,167,276,1069,21581,1,5058,10355,3463,2704,1701,0,1249,325,70,57,7311,1,3367,3157,531,255,8620,0,344,6018,1607,651,2572,0,60,716,998,798,1377,0,38,139,257,943,9009,1,3359,3960,1003,686,1841,0,1215,452,96,78,4396,1,2014,1833,367,181,2244,0,104,1572,376,192,389,0,18,83,149,139,139,0,8,20,15,96,5385,0,2420,2014,584,367,1738,0,1195,400,83,60,2591,0,1153,1078,254,106,870,0,68,497,193,112,148,0,4,34,50,60,38,0,0,5,4,29,1519,0,1009,393,71,46,819,0,630,144,26,19,566,0,358,168,25,15,117,0,17,77,15,8,15,0,3,4,5,3,2,0,1,0,0,1,96,0,50,41,3,2,18,0,17,1,0,0,46,0,26,18,1,1,22,0,6,15,1,0,6,0,0,4,1,1,4,0,1,3,0,0
N06000008,38404,2,15090,14588,5272,3452,12489,0,8300,2982,820,387,16236,1,6424,6783,1984,1044,7549,1,309,4433,1748,1058,1604,0,39,309,627,629,526,0,18,81,93,334,9091,0,2080,4208,1682,1121,1139,0,727,295,75,42,3211,0,1209,1428,392,182,3499,0,118,2234,780,367,884,0,18,192,365,309,358,0,8,59,70,221,12732,2,4562,5203,1851,1114,3331,0,2122,857,249,103,6182,1,2333,2720,771,357,2630,1,90,1530,626,383,482,0,13,83,189,197,107,0,4,13,16,74,12506,0,5350,4384,1612,1160,5335,0,3256,1423,444,212,5611,0,2009,2340,768,494,1285,0,77,583,326,299,225,0,7,32,67,119,50,0,1,6,7,36,4067,0,3095,789,127,56,2681,0,2193,406,52,30,1229,0,872,293,53,11,134,0,24,85,16,9,13,0,1,2,6,4,10,0,5,3,0,2,8,0,3,4,0,1,3,0,2,1,0,0,3,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
N06000009,39850,2,12506,19932,4897,2513,6304,0,4473,1460,270,101,16387,2,7458,7449,1132,346,13065,0,475,9849,2027,714,2946,0,68,932,1243,703,1148,0,32,242,225,649,16738,1,2982,9582,2611,1562,826,0,577,204,24,21,4990,1,2110,2503,283,93,7733,0,232,5935,1165,401,2233,0,44,740,941,508,956,0,19,200,198,539,10680,1,3471,5413,1269,526,1563,0,1080,380,79,24,5199,1,2238,2442,418,100,3275,0,133,2418,538,186,502,0,11,144,217,130,141,0,9,29,17,86,9178,0,3785,4026,955,412,2476,0,1632,640,151,53,4683,0,2073,2053,409,148,1779,0,67,1280,308,124,196,0,11,42,78,65,44,0,2,11,9,22,3207,0,2248,887,60,12,1430,0,1177,234,16,3,1494,0,1026,442,22,4,264,0,41,204,16,3,12,0,2,5,5,0,7,0,2,2,1,2,47,0,20,24,2,1,9,0,7,2,0,0,21,0,11,9,0,1,14,0,2,12,0,0,3,0,0,1,2,0,0,0,0,0,0,0
N06000010,33690,4,9272,15229,4773,4412,4942,1,3500,1087,230,124,12862,1,5227,5893,1154,587,10914,1,438,7381,2002,1092,3145,1,68,709,1139,1228,1827,0,39,159,248,1381,19347,4,3827,9176,3089,3251,1452,1,1026,313,66,46,6105,1,2433,2883,505,283,7673,1,285,5264,1382,741,2488,1,52,574,901,960,1629,0,31,142,235,1221,8215,0,2709,3781,1041,684,1450,0,997,342,88,23,3962,0,1607,1805,386,164,2230,0,93,1525,397,215,440,0,7,97,162,174,133,0,5,12,8,108,5120,0,2097,1973,599,451,1514,0,1046,348,67,53,2456,0,993,1082,247,134,897,0,50,513,209,125,191,0,6,26,71,88,62,0,2,4,5,51,875,0,589,224,43,19,505,0,411,83,9,2,286,0,168,97,16,5,65,0,6,37,14,8,18,0,3,7,4,4,1,0,1,0,0,0,133,0,50,75,1,7,21,0,20,1,0,0,53,0,26,26,0,1,49,0,4,42,0,3,8,0,0,5,1,2,2,0,0,1,0,1
