GeographyCode,DC4407NI0001,DC4407NI0002,DC4407NI0003,DC4407NI0004,DC4407NI0005,DC4407NI0006,DC4407NI0007,DC4407NI0008,DC4407NI0009,DC4407NI0010,DC4407NI0011,DC4407NI0012,DC4407NI0013,DC4407NI0014,DC4407NI0015,DC4407NI0016,DC4407NI0017,DC4407NI0018,DC4407NI0019,DC4407NI0020,DC4407NI0021,DC4407NI0022,DC4407NI0023,DC4407NI0024,DC4407NI0025,DC4407NI0026,DC4407NI0027,DC4407NI0028,DC4407NI0029,DC4407NI0030,DC4407NI0031,DC4407NI0032,DC4407NI0033,DC4407NI0034,DC4407NI0035,DC4407NI0036,DC4407NI0037,DC4407NI0038,DC4407NI0039,DC4407NI0040,DC4407NI0041,DC4407NI0042,DC4407NI0043,DC4407NI0044,DC4407NI0045,DC4407NI0046,DC4407NI0047,DC4407NI0048,DC4407NI0049,DC4407NI0050,DC4407NI0051,DC4407NI0052,DC4407NI0053,DC4407NI0054,DC4407NI0055,DC4407NI0056,DC4407NI0057,DC4407NI0058,DC4407NI0059,DC4407NI0060,DC4407NI0061,DC4407NI0062,DC4407NI0063,DC4407NI0064,DC4407NI0065,DC4407NI0066,DC4407NI0067,DC4407NI0068,DC4407NI0069,DC4407NI0070,DC4407NI0071,DC4407NI0072,DC4407NI0073,DC4407NI0074,DC4407NI0075,DC4407NI0076,DC4407NI0077,DC4407NI0078,DC4407NI0079,DC4407NI0080,DC4407NI0081,DC4407NI0082,DC4407NI0083,DC4407NI0084,DC4407NI0085,DC4407NI0086,DC4407NI0087,DC4407NI0088,DC4407NI0089,DC4407NI0090,DC4407NI0091,DC4407NI0092,DC4407NI0093,DC4407NI0094,DC4407NI0095,DC4407NI0096,DC4407NI0097,DC4407NI0098,DC4407NI0099,DC4407NI0100,DC4407NI0101,DC4407NI0102,DC4407NI0103,DC4407NI0104,DC4407NI0105,DC4407NI0106,DC4407NI0107,DC4407NI0108,DC4407NI0109,DC4407NI0110,DC4407NI0111,DC4407NI0112,DC4407NI0113,DC4407NI0114,DC4407NI0115,DC4407NI0116,DC4407NI0117,DC4407NI0118,DC4407NI0119,DC4407NI0120,DC4407NI0121,DC4407NI0122,DC4407NI0123,DC4407NI0124,DC4407NI0125,DC4407NI0126,DC4407NI0127,DC4407NI0128,DC4407NI0129,DC4407NI0130,DC4407NI0131,DC4407NI0132,DC4407NI0133,DC4407NI0134,DC4407NI0135,DC4407NI0136,DC4407NI0137,DC4407NI0138,DC4407NI0139,DC4407NI0140,DC4407NI0141,DC4407NI0142,DC4407NI0143,DC4407NI0144,DC4407NI0145,DC4407NI0146,DC4407NI0147,DC4407NI0148,DC4407NI0149,DC4407NI0150,DC4407NI0151,DC4407NI0152,DC4407NI0153,DC4407NI0154,DC4407NI0155,DC4407NI0156,DC4407NI0157,DC4407NI0158,DC4407NI0159,DC4407NI0160,DC4407NI0161,DC4407NI0162,DC4407NI0163,DC4407NI0164,DC4407NI0165,DC4407NI0166,DC4407NI0167,DC4407NI0168,DC4407NI0169,DC4407NI0170,DC4407NI0171,DC4407NI0172,DC4407NI0173,DC4407NI0174,DC4407NI0175,DC4407NI0176,DC4407NI0177,DC4407NI0178,DC4407NI0179,DC4407NI0180,DC4407NI0181,DC4407NI0182,DC4407NI0183,DC4407NI0184,DC4407NI0185,DC4407NI0186,DC4407NI0187,DC4407NI0188,DC4407NI0189,DC4407NI0190,DC4407NI0191,DC4407NI0192,DC4407NI0193,DC4407NI0194,DC4407NI0195,DC4407NI0196,DC4407NI0197,DC4407NI0198,DC4407NI0199,DC4407NI0200
N06000001,40918,6419,13834,14015,6192,387,70,1,30235,5117,9989,9877,4909,294,48,1,10096,1256,3702,3866,1173,77,22,0,458,34,120,217,80,7,0,0,129,12,23,55,30,9,0,0,25926,5638,11142,7620,1439,72,15,0,19662,4618,8167,5596,1217,55,9,0,6057,997,2900,1923,215,16,6,0,167,16,64,81,5,1,0,0,40,7,11,20,2,0,0,0,5680,202,773,2744,1910,43,8,0,4052,123,534,1719,1638,33,5,0,1501,70,221,940,258,9,3,0,106,7,16,70,12,1,0,0,21,2,2,15,2,0,0,0,2472,98,453,748,1141,26,6,0,1767,53,288,436,964,23,3,0,645,42,146,284,167,3,3,0,46,1,16,26,3,0,0,0,14,2,3,2,7,0,0,0,6840,481,1466,2903,1702,246,41,1,4754,323,1000,2126,1090,183,31,1,1893,147,435,719,533,49,10,0,139,10,24,40,60,5,0,0,54,1,7,18,19,9,0,0
N06000002,44601,5874,15044,16399,6516,669,87,12,31454,4294,10116,11232,5238,502,64,8,12302,1504,4672,4805,1156,143,19,3,657,58,207,297,82,10,2,1,188,18,49,65,40,14,2,0,24379,4704,10569,7800,1159,113,27,7,17189,3535,7239,5384,927,81,18,5,6840,1135,3192,2261,213,30,8,1,290,25,117,129,16,2,0,1,60,9,21,26,3,0,1,0,8534,436,1483,4302,2254,49,9,1,6186,275,1025,2902,1941,36,7,0,2163,144,425,1294,289,9,1,1,135,14,24,84,11,1,1,0,50,3,9,22,13,3,0,0,3989,191,902,1318,1468,106,3,1,2661,124,447,779,1222,86,2,1,1219,60,418,496,225,19,1,0,82,5,31,38,8,0,0,0,27,2,6,5,13,1,0,0,7699,543,2090,2979,1635,401,48,3,5418,360,1405,2167,1148,299,37,2,2080,165,637,754,429,85,9,1,150,14,35,46,47,7,1,0,51,4,13,12,11,10,1,0
N06000003,46630,8136,13098,15827,7785,1651,129,4,33284,6314,9390,11053,5467,975,85,0,12395,1722,3540,4404,2100,590,36,3,665,79,136,267,136,42,5,0,286,21,32,103,82,44,3,1,26401,7191,10225,6729,2088,141,24,3,20326,5731,7546,5198,1716,118,17,0,5816,1407,2602,1429,350,22,4,2,199,40,64,80,14,0,1,0,60,13,13,22,8,1,2,1,4873,194,566,2805,1263,34,11,0,3417,115,367,1872,1032,24,7,0,1302,69,173,848,201,8,3,0,119,9,23,66,18,2,1,0,35,1,3,19,12,0,0,0,2319,61,257,757,1139,98,6,1,1652,42,138,455,938,75,4,0,588,17,98,265,186,19,2,1,59,2,19,34,4,0,0,0,20,0,2,3,11,4,0,0,13037,690,2050,5536,3295,1378,88,0,7889,426,1339,3528,1781,758,57,0,4689,229,667,1862,1363,541,27,0,288,28,30,87,100,40,3,0,171,7,14,59,51,39,1,0
N06000004,36580,3483,12278,16301,4286,165,60,7,22187,2175,7032,9722,3102,114,39,3,13144,1203,4845,5972,1063,41,18,2,995,86,328,492,81,3,3,2,254,19,73,115,40,7,0,0,20005,2487,8421,8204,850,32,9,2,12129,1588,4980,4933,599,23,5,1,7338,852,3243,2993,239,8,3,0,438,40,156,229,11,0,1,1,100,7,42,49,1,1,0,0,8668,491,1758,5033,1319,57,9,1,5175,288,934,2902,1003,41,6,1,3113,174,734,1910,279,15,1,0,305,24,72,181,26,0,2,0,75,5,18,40,11,1,0,0,3197,176,990,900,1101,21,7,2,1841,99,417,428,879,15,3,0,1189,62,491,420,207,3,4,2,140,10,76,42,10,2,0,0,27,5,6,10,5,1,0,0,4710,329,1109,2164,1016,55,35,2,3042,200,701,1459,621,35,25,1,1504,115,377,649,338,15,10,0,112,12,24,40,34,1,0,1,52,2,7,16,23,4,0,0
N06000005,36112,14114,9005,9309,3409,173,75,27,26882,11043,6157,6641,2835,126,64,16,8890,2973,2732,2569,552,43,11,10,283,79,98,88,16,2,0,0,57,19,18,11,6,2,0,1,26378,12882,6832,5630,954,39,18,23,19709,10168,4689,4017,780,26,14,15,6471,2645,2075,1561,169,9,4,8,168,59,58,45,4,2,0,0,30,10,10,7,1,2,0,0,3638,170,667,1603,1176,11,10,1,2705,117,468,1071,1032,7,10,0,888,49,182,515,138,4,0,0,35,1,16,15,3,0,0,0,10,3,1,2,3,0,0,1,785,33,152,140,445,15,0,0,654,21,108,104,409,12,0,0,124,10,42,34,35,3,0,0,3,1,1,1,0,0,0,0,4,1,1,1,1,0,0,0,5311,1029,1354,1936,834,108,47,3,3814,737,892,1449,614,81,40,1,1407,269,433,459,210,27,7,2,77,18,23,27,9,0,0,0,13,5,6,1,1,0,0,0
N06000006,37981,18372,10179,6934,2166,188,110,32,27183,13603,6922,4658,1760,135,87,18,10197,4562,3039,2147,367,47,23,12,470,162,179,102,22,3,0,2,131,45,39,27,17,3,0,0,25826,15568,6435,3309,431,35,22,26,18695,11677,4351,2247,359,25,21,15,6810,3747,1964,1013,67,9,1,9,262,116,95,44,4,1,0,2,59,28,25,5,1,0,0,0,4227,403,1222,1954,629,13,6,0,2968,263,889,1236,566,9,5,0,1159,127,296,672,60,3,1,0,79,8,32,36,2,1,0,0,21,5,5,10,1,0,0,0,753,54,215,105,360,19,0,0,546,31,124,57,318,16,0,0,188,22,79,46,38,3,0,0,13,0,8,2,3,0,0,0,6,1,4,0,1,0,0,0,7175,2347,2307,1566,746,121,82,6,4974,1632,1558,1118,517,85,61,3,2040,666,700,416,202,32,21,3,116,38,44,20,13,1,0,0,45,11,5,12,14,3,0,0
N06000007,37590,21581,9009,5385,1231,176,112,96,25971,15256,5867,3687,912,108,84,57,10798,5990,2874,1551,277,49,27,30,624,254,207,120,26,10,1,6,197,81,61,27,16,9,0,3,26691,18477,5295,2617,177,26,22,77,18663,13118,3517,1807,146,17,14,44,7600,5127,1666,739,28,7,7,26,344,188,86,62,1,1,1,5,84,44,26,9,2,1,0,2,2998,335,1009,1359,272,14,5,4,2134,212,729,951,229,7,4,2,791,113,251,377,42,5,1,2,51,3,22,23,1,2,0,0,22,7,7,8,0,0,0,0,696,59,304,78,244,5,6,0,496,39,181,52,214,5,5,0,184,17,112,25,29,0,1,0,14,3,10,0,1,0,0,0,2,0,1,1,0,0,0,0,7205,2710,2401,1331,538,131,79,15,4678,1887,1440,877,323,79,61,11,2223,733,845,410,178,37,18,2,215,60,89,35,23,7,0,1,89,30,27,9,14,8,0,1
N06000008,38404,9091,12732,12506,3607,377,83,8,25018,6402,7734,7651,2895,261,71,4,12353,2532,4645,4420,649,94,11,2,810,118,285,359,34,13,1,0,223,39,68,76,29,9,0,2,21751,7323,7692,6227,464,29,9,7,14065,5260,4662,3738,376,19,7,3,7208,1991,2870,2254,79,10,2,2,390,52,133,198,7,0,0,0,88,20,27,37,2,0,0,2,6616,534,1694,3201,1153,32,2,0,4168,315,1043,1846,940,22,2,0,2194,185,571,1235,194,9,0,0,190,28,60,95,7,0,0,0,64,6,20,25,12,1,0,0,2467,160,955,529,777,39,7,0,1518,91,460,253,679,29,6,0,866,58,453,257,90,7,1,0,66,10,33,17,3,3,0,0,17,1,9,2,5,0,0,0,7570,1074,2391,2549,1213,277,65,1,5267,736,1569,1814,900,191,56,1,2085,298,751,674,286,68,8,0,164,28,59,49,17,10,1,0,54,12,12,12,10,8,0,0
N06000009,39850,16738,10680,9178,3029,125,53,47,29281,13198,7167,6259,2493,94,40,30,10093,3428,3343,2758,506,29,13,16,398,90,147,137,24,0,0,0,78,22,23,24,6,2,0,1,29499,15182,7878,5509,848,31,10,41,22113,12102,5353,3889,710,25,9,25,7151,3002,2442,1553,133,5,1,15,194,61,71,58,4,0,0,0,41,17,12,9,1,1,0,1,4235,230,854,2007,1115,21,7,1,2992,147,616,1217,985,20,6,1,1154,74,215,740,123,1,1,0,73,6,19,43,5,0,0,0,16,3,4,7,2,0,0,0,1048,55,365,201,413,14,0,0,687,41,194,94,350,8,0,0,318,11,148,93,61,5,0,0,39,3,23,11,2,0,0,0,4,0,0,3,0,1,0,0,5068,1271,1583,1461,653,59,36,5,3489,908,1004,1059,448,41,25,4,1470,341,538,372,189,18,11,1,92,20,34,25,13,0,0,0,17,2,7,5,3,0,0,0
N06000010,33690,19347,8215,5120,710,81,84,133,21806,12630,5060,3381,539,52,68,76,11083,6316,2925,1600,157,26,14,45,632,323,181,108,8,2,1,9,169,78,49,31,6,1,1,3,24701,16828,5070,2610,80,10,21,82,15755,10928,3029,1679,55,8,15,41,8402,5582,1900,858,24,2,4,32,445,258,117,60,1,0,1,8,99,60,24,13,0,0,1,1,2479,255,830,1129,241,4,2,18,1670,167,562,727,202,2,2,8,724,70,249,362,33,2,0,8,57,13,11,29,3,0,0,1,28,5,8,11,3,0,0,1,410,41,145,87,129,7,1,0,288,21,85,60,115,6,1,0,115,19,57,24,14,1,0,0,7,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6100,2223,2170,1294,260,60,60,33,4093,1514,1384,915,167,36,50,27,1842,645,719,356,86,21,10,5,123,51,50,16,4,2,0,0,42,13,17,7,3,1,0,1
