GeographyCode,DC6202NI0001,DC6202NI0002,DC6202NI0003,DC6202NI0004,DC6202NI0005,DC6202NI0006,DC6202NI0007,DC6202NI0008,DC6202NI0009,DC6202NI0010,DC6202NI0011,DC6202NI0012,DC6202NI0013,DC6202NI0014,DC6202NI0015
N06000001,75141,11715,63426,9199,1341,7858,58861,9354,49507,1049,209,840,6032,811,5221
N06000002,81552,9681,71871,37157,4826,32331,39542,4235,35307,853,147,706,4000,473,3527
N06000003,93724,18775,74949,40388,8328,32060,43194,8471,34723,2526,526,2000,7616,1450,6166
N06000004,72358,7385,64973,57765,5908,51857,12608,1226,11382,444,65,379,1541,186,1355
N06000005,72357,11197,61160,14710,2211,12499,52244,8223,44021,736,138,598,4667,625,4042
N06000006,79190,12132,67058,31996,4435,27561,44022,7149,36873,563,142,421,2609,406,2203
N06000007,80237,12789,67448,45709,6867,38842,32352,5598,26754,538,105,433,1638,219,1419
N06000008,78383,10708,67675,58172,7737,50435,18239,2616,15623,616,111,505,1356,244,1112
N06000009,80795,13034,67761,14879,2031,12848,60351,10248,50103,815,154,661,4750,601,4149
N06000010,76074,10439,65635,49798,6580,43218,24670,3659,21011,367,72,295,1239,128,1111
N06000011,86877,12587,74290,57233,7906,49327,27313,4370,22943,525,84,441,1806,227,1579
N06000012,86137,12690,73447,23791,3347,20444,58652,8852,49800,665,133,532,3029,358,2671
N06000013,73038,12414,60624,9205,1633,7572,56602,9736,46866,844,171,673,6387,874,5513
N06000014,77330,11123,66207,23637,3044,20593,48731,7496,41235,702,128,574,4260,455,3805
N06000015,83951,13497,70454,57394,8660,48734,23871,4397,19474,469,109,360,2217,331,1886
N06000016,71638,10769,60869,12166,1666,10500,54249,8430,45819,681,115,566,4542,558,3984
N06000017,92049,12360,79689,39689,4421,35268,47840,7423,40417,810,120,690,3710,396,3314
N06000018,70709,10556,60153,47453,6860,40593,22119,3546,18573,293,56,237,844,94,750
