GeographyCode,DC6302NI0001,DC6302NI0002,DC6302NI0003,DC6302NI0004,DC6302NI0005,DC6302NI0006,DC6302NI0007,DC6302NI0008,DC6302NI0009,DC6302NI0010,DC6302NI0011,DC6302NI0012,DC6302NI0013,DC6302NI0014,DC6302NI0015,DC6302NI0016,DC6302NI0017,DC6302NI0018,DC6302NI0019,DC6302NI0020,DC6302NI0021,DC6302NI0022,DC6302NI0023,DC6302NI0024,DC6302NI0025,DC6302NI0026,DC6302NI0027,DC6302NI0028,DC6302NI0029,DC6302NI0030,DC6302NI0031,DC6302NI0032,DC6302NI0033,DC6302NI0034,DC6302NI0035,DC6302NI0036,DC6302NI0037,DC6302NI0038,DC6302NI0039,DC6302NI0040,DC6302NI0041,DC6302NI0042,DC6302NI0043,DC6302NI0044,DC6302NI0045,DC6302NI0046,DC6302NI0047,DC6302NI0048,DC6302NI0049,DC6302NI0050,DC6302NI0051,DC6302NI0052,DC6302NI0053,DC6302NI0054,DC6302NI0055,DC6302NI0056,DC6302NI0057,DC6302NI0058,DC6302NI0059,DC6302NI0060,DC6302NI0061,DC6302NI0062,DC6302NI0063,DC6302NI0064,DC6302NI0065,DC6302NI0066,DC6302NI0067,DC6302NI0068,DC6302NI0069,DC6302NI0070,DC6302NI0071,DC6302NI0072
N06000001,75141,11715,63426,28199,5728,22471,26821,4402,22419,14412,1351,13061,4527,201,4326,1182,33,1149,11181,589,10592,136,26,110,955,83,872,5058,300,4758,3909,152,3757,1123,28,1095,8369,1136,7233,334,88,246,2707,501,2206,4798,510,4288,501,35,466,29,2,27,55591,9990,45601,27729,5614,22115,23159,3818,19341,4556,541,4015,117,14,103,30,3,27
N06000002,81552,9681,71871,27913,4327,23586,27121,3662,23459,17386,1385,16001,7053,253,6800,2079,54,2025,16103,698,15405,194,22,172,1142,104,1038,6656,342,6314,6118,180,5938,1993,50,1943,9368,1029,8339,299,57,242,2718,414,2304,5566,498,5068,751,60,691,34,0,34,56081,7954,48127,27420,4248,23172,23261,3144,20117,5164,545,4619,184,13,171,52,4,48
N06000003,93724,18775,74949,43972,10694,33278,31195,6208,24987,13497,1573,11924,3978,252,3726,1082,48,1034,10176,687,9489,195,41,154,976,116,860,4575,305,4270,3402,184,3218,1028,41,987,7998,1334,6664,459,138,321,2843,605,2238,4248,541,3707,423,49,374,25,1,24,75550,16754,58796,43318,10515,32803,27376,5487,21889,4674,727,3947,153,19,134,29,6,23
N06000004,72358,7385,64973,25630,3496,22134,22091,2572,19519,14932,1038,13894,7382,244,7138,2323,35,2288,16232,598,15634,184,17,167,1133,88,1045,6279,266,6013,6422,196,6226,2214,31,2183,7705,732,6973,280,39,241,2123,283,1840,4496,373,4123,756,35,721,50,2,48,48421,6055,42366,25166,3440,21726,18835,2201,16634,4157,399,3758,204,13,191,59,2,57
N06000005,72357,11197,61160,28161,5383,22778,26865,4289,22576,13015,1321,11694,3466,173,3293,850,31,819,9324,577,8747,116,18,98,899,98,801,4496,297,4199,3003,137,2866,810,27,783,7786,1130,6656,342,95,247,2647,475,2172,4417,530,3887,363,29,334,17,1,16,55247,9490,45757,27703,5270,22433,23319,3716,19603,4102,494,3608,100,7,93,23,3,20
N06000006,79190,12132,67058,31376,5932,25444,28702,4644,24058,14325,1370,12955,3880,166,3714,907,20,887,10524,580,9944,154,24,130,1016,118,898,5157,298,4859,3350,125,3225,847,15,832,8413,1132,7281,384,90,294,2806,462,2344,4798,547,4251,406,31,375,19,2,17,60253,10420,49833,30838,5818,25020,24880,4064,20816,4370,525,3845,124,10,114,41,3,38
N06000007,80237,12789,67448,33215,6340,26875,28363,4783,23580,14263,1448,12815,3492,183,3309,904,35,869,10617,660,9957,167,23,144,1019,119,900,5574,345,5229,2998,147,2851,859,26,833,8223,1213,7010,357,74,283,2698,538,2160,4776,575,4201,370,24,346,22,2,20,61397,10916,50481,32691,6243,26448,24646,4126,20520,3913,528,3385,124,12,112,23,7,16
N06000008,78383,10708,67675,31305,5292,26013,25341,3764,21577,14727,1372,13355,5472,233,5239,1538,47,1491,13509,729,12780,184,22,162,1120,107,1013,5962,372,5590,4775,187,4588,1468,41,1427,8096,1026,7070,362,79,283,2494,416,2078,4665,494,4171,537,34,503,38,3,35,56778,8953,47825,30759,5191,25568,21727,3241,18486,4100,506,3594,160,12,148,32,3,29
N06000009,80795,13034,67761,33918,6555,27363,29173,4895,24278,13322,1378,11944,3509,181,3328,873,25,848,9578,602,8976,145,20,125,981,121,860,4611,306,4305,3017,135,2882,824,20,804,8026,1221,6805,374,91,283,2767,520,2247,4486,573,3913,385,37,348,14,0,14,63191,11211,51980,33399,6444,26955,25425,4254,21171,4225,499,3726,107,9,98,35,5,30
N06000010,76074,10439,65635,31112,5185,25927,25892,3802,22090,13950,1239,12711,4014,174,3840,1106,39,1067,10660,561,10099,143,11,132,862,82,780,5202,298,4904,3407,134,3273,1046,36,1010,7805,950,6855,310,65,245,2309,389,1920,4698,465,4233,466,31,435,22,0,22,57609,8928,48681,30659,5109,25550,22721,3331,19390,4050,476,3574,141,9,132,38,3,35
N06000011,86877,12587,74290,36541,6474,30067,29101,4474,24627,15345,1409,13936,4695,197,4498,1195,33,1162,12815,685,12130,239,29,210,1185,108,1077,6203,367,5836,4058,153,3905,1130,28,1102,8523,1150,7373,370,81,289,2815,508,2307,4852,535,4317,451,25,426,35,1,34,65539,10752,54787,35932,6364,29568,25101,3858,21243,4290,507,3783,186,19,167,30,4,26
N06000012,86137,12690,73447,34005,6438,27567,31768,4657,27111,15501,1388,14113,3917,173,3744,946,34,912,11340,601,10739,166,21,145,1171,93,1078,5696,323,5373,3427,140,3287,880,24,856,8959,1176,7783,385,82,303,3023,517,2506,5136,547,4589,386,28,358,29,2,27,65838,10913,54925,33454,6335,27119,27574,4047,23527,4669,518,4151,104,5,99,37,8,29
N06000013,73038,12414,60624,29223,5983,23240,27541,4826,22715,12357,1397,10960,3080,176,2904,837,32,805,8862,614,8248,177,26,151,910,100,810,4313,332,3981,2670,131,2539,792,25,767,7891,1213,6678,397,94,303,2932,559,2373,4225,524,3701,322,34,288,15,2,13,56285,10587,45698,28649,5863,22786,23699,4167,19532,3819,541,3278,88,11,77,30,5,25
N06000014,77330,11123,66207,32002,5489,26513,28566,4220,24346,12608,1232,11376,3300,165,3135,854,17,837,9099,512,8587,142,21,121,930,77,853,4360,275,4085,2845,123,2722,822,16,806,7423,1056,6367,335,78,257,2568,466,2102,4151,476,3675,354,35,319,15,1,14,60808,9555,51253,31525,5390,26135,25068,3677,21391,4097,481,3616,101,7,94,17,0,17
N06000015,83951,13497,70454,35836,6989,28847,28729,4781,23948,14350,1491,12859,3994,203,3791,1042,33,1009,11507,722,10785,196,32,164,1128,125,1003,5688,383,5305,3515,151,3364,980,31,949,8400,1265,7135,404,79,325,2911,549,2362,4692,594,4098,364,42,322,29,1,28,64044,11510,52534,35236,6878,28358,24690,4107,20583,3970,514,3456,115,10,105,33,1,32
N06000016,71638,10769,60869,27594,5165,22429,26798,4121,22677,12957,1285,11672,3407,179,3228,882,19,863,9381,535,8846,112,14,98,973,94,879,4468,267,4201,2985,141,2844,843,19,824,7887,1095,6792,349,85,264,2717,477,2240,4466,504,3962,334,29,305,21,0,21,54370,9139,45231,27133,5066,22067,23108,3550,19558,4023,514,3509,88,9,79,18,0,18
