GeographyCode,DC2119NI0001,DC2119NI0002,DC2119NI0003,DC2119NI0004,DC2119NI0005,DC2119NI0006,DC2119NI0007,DC2119NI0008,DC2119NI0009,DC2119NI0010,DC2119NI0011,DC2119NI0012,DC2119NI0013,DC2119NI0014,DC2119NI0015,DC2119NI0016,DC2119NI0017,DC2119NI0018,DC2119NI0019,DC2119NI0020,DC2119NI0021,DC2119NI0022,DC2119NI0023,DC2119NI0024,DC2119NI0025,DC2119NI0026,DC2119NI0027,DC2119NI0028,DC2119NI0029,DC2119NI0030,DC2119NI0031,DC2119NI0032,DC2119NI0033,DC2119NI0034,DC2119NI0035,DC2119NI0036,DC2119NI0037,DC2119NI0038,DC2119NI0039,DC2119NI0040,DC2119NI0041,DC2119NI0042,DC2119NI0043,DC2119NI0044,DC2119NI0045,DC2119NI0046,DC2119NI0047,DC2119NI0048,DC2119NI0049,DC2119NI0050,DC2119NI0051,DC2119NI0052,DC2119NI0053,DC2119NI0054,DC2119NI0055,DC2119NI0056,DC2119NI0057,DC2119NI0058,DC2119NI0059,DC2119NI0060,DC2119NI0061,DC2119NI0062,DC2119NI0063,DC2119NI0064,DC2119NI0065,DC2119NI0066,DC2119NI0067,DC2119NI0068,DC2119NI0069,DC2119NI0070,DC2119NI0071,DC2119NI0072,DC2119NI0073,DC2119NI0074,DC2119NI0075,DC2119NI0076,DC2119NI0077,DC2119NI0078,DC2119NI0079,DC2119NI0080,DC2119NI0081,DC2119NI0082,DC2119NI0083,DC2119NI0084,DC2119NI0085,DC2119NI0086,DC2119NI0087,DC2119NI0088,DC2119NI0089,DC2119NI0090,DC2119NI0091,DC2119NI0092,DC2119NI0093,DC2119NI0094,DC2119NI0095,DC2119NI0096,DC2119NI0097,DC2119NI0098,DC2119NI0099,DC2119NI0100,DC2119NI0101,DC2119NI0102,DC2119NI0103,DC2119NI0104,DC2119NI0105,DC2119NI0106,DC2119NI0107,DC2119NI0108,DC2119NI0109,DC2119NI0110,DC2119NI0111,DC2119NI0112,DC2119NI0113,DC2119NI0114,DC2119NI0115,DC2119NI0116,DC2119NI0117,DC2119NI0118,DC2119NI0119,DC2119NI0120,DC2119NI0121,DC2119NI0122,DC2119NI0123,DC2119NI0124,DC2119NI0125,DC2119NI0126,DC2119NI0127,DC2119NI0128,DC2119NI0129,DC2119NI0130,DC2119NI0131,DC2119NI0132,DC2119NI0133,DC2119NI0134,DC2119NI0135,DC2119NI0136,DC2119NI0137,DC2119NI0138,DC2119NI0139,DC2119NI0140,DC2119NI0141,DC2119NI0142,DC2119NI0143,DC2119NI0144,DC2119NI0145,DC2119NI0146,DC2119NI0147,DC2119NI0148,DC2119NI0149,DC2119NI0150,DC2119NI0151,DC2119NI0152,DC2119NI0153,DC2119NI0154,DC2119NI0155,DC2119NI0156,DC2119NI0157,DC2119NI0158,DC2119NI0159,DC2119NI0160,DC2119NI0161,DC2119NI0162,DC2119NI0163,DC2119NI0164,DC2119NI0165,DC2119NI0166,DC2119NI0167,DC2119NI0168,DC2119NI0169,DC2119NI0170,DC2119NI0171,DC2119NI0172,DC2119NI0173,DC2119NI0174,DC2119NI0175,DC2119NI0176,DC2119NI0177,DC2119NI0178,DC2119NI0179,DC2119NI0180,DC2119NI0181,DC2119NI0182,DC2119NI0183,DC2119NI0184,DC2119NI0185,DC2119NI0186,DC2119NI0187,DC2119NI0188,DC2119NI0189,DC2119NI0190,DC2119NI0191,DC2119NI0192,DC2119NI0193,DC2119NI0194,DC2119NI0195,DC2119NI0196,DC2119NI0197,DC2119NI0198,DC2119NI0199,DC2119NI0200,DC2119NI0201,DC2119NI0202,DC2119NI0203,DC2119NI0204,DC2119NI0205,DC2119NI0206,DC2119NI0207,DC2119NI0208,DC2119NI0209,DC2119NI0210,DC2119NI0211,DC2119NI0212,DC2119NI0213,DC2119NI0214,DC2119NI0215,DC2119NI0216,DC2119NI0217,DC2119NI0218,DC2119NI0219,DC2119NI0220
95AA01,1522,426,738,365,176,32,165,17,263,78,296,68,158,96,43,6,13,4,38,28,94,13,75,50,21,3,1,0,1,5,202,55,83,46,22,3,12,4,37,23,1135,326,544,248,129,23,144,12,209,44,71,14,47,27,14,2,4,0,5,5,875,254,412,180,80,18,134,10,175,24,257,59,128,55,30,6,37,4,60,6,514,163,223,85,37,11,90,6,105,17,104,32,61,40,13,1,7,0,10,1,74,26,26,12,12,0,2,1,16,5,44,15,14,6,6,0,2,1,12,2,26,10,10,4,6,0,0,0,4,2,4,1,2,2,0,0,0,0,0,1,115,32,59,29,23,3,4,1,13,10,61,19,26,12,9,1,4,0,11,5,54,13,33,17,14,2,0,1,2,5,91,32,36,21,4,3,8,1,16,6,40,17,16,9,1,2,4,0,6,1,3,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,47,13,18,10,3,1,4,1,10,5
95AA02,839,223,451,249,160,12,30,3,86,76,346,88,181,107,60,4,10,1,32,44,155,34,100,59,34,1,6,0,6,15,191,54,81,48,26,3,4,1,26,29,450,127,244,130,88,7,19,2,49,28,53,12,38,22,12,0,4,0,1,2,236,69,126,67,45,4,10,2,27,12,93,28,54,33,16,2,3,1,6,4,81,17,43,20,16,1,6,1,15,5,62,24,29,14,13,1,1,0,6,3,59,14,27,15,9,1,2,0,16,2,34,10,13,7,3,1,2,0,10,1,22,4,12,6,6,0,0,0,5,1,3,0,2,2,0,0,0,0,1,0,102,32,53,26,22,2,3,0,5,12,60,19,29,11,16,0,2,0,3,9,42,13,24,15,6,2,1,0,2,3,43,8,26,12,12,1,1,0,5,4,16,5,10,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,26,3,15,9,4,1,1,0,4,4
95AA03,845,60,587,341,162,26,58,8,123,67,323,14,222,133,53,7,29,1,50,36,123,5,98,55,25,4,14,0,8,12,200,9,124,78,28,3,15,1,42,24,479,43,338,192,101,18,27,7,61,30,54,2,45,27,15,1,2,1,1,5,209,23,144,78,40,8,18,5,28,9,69,5,48,24,11,5,8,0,11,5,98,16,62,33,19,3,7,5,13,2,42,2,34,21,10,0,3,0,4,2,58,12,32,19,8,3,2,1,11,2,31,6,16,9,5,1,1,1,6,2,26,6,15,9,3,2,1,0,5,0,1,0,1,1,0,0,0,0,0,0,158,6,117,68,38,6,5,0,21,14,103,5,74,45,24,2,3,0,16,8,55,1,43,23,14,4,2,0,5,6,43,3,27,16,8,1,2,0,12,1,15,0,13,9,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,27,3,13,7,4,0,2,0,11,0
95AA04,1014,232,614,424,106,23,61,7,111,50,171,34,97,72,19,1,5,1,21,18,73,8,55,45,8,0,2,1,4,5,98,26,42,27,11,1,3,0,17,13,752,175,461,314,76,20,51,6,82,28,77,9,62,44,7,3,8,0,4,2,557,128,343,235,56,15,37,5,65,16,141,22,87,59,15,5,8,2,24,6,287,82,168,112,27,8,21,2,28,7,129,24,88,64,14,2,8,1,13,3,47,17,17,8,7,1,1,1,9,3,18,3,8,4,3,1,0,0,5,2,25,13,6,3,2,0,1,1,4,1,4,1,3,1,2,0,0,0,0,0,71,21,39,27,6,1,5,0,4,7,31,11,13,7,4,1,1,0,3,4,40,10,26,20,2,0,4,0,1,3,91,23,56,38,11,2,5,0,8,4,47,13,28,19,5,0,4,0,5,1,1,0,1,0,1,0,0,0,0,0,4,1,3,3,0,0,0,0,0,0,39,9,24,16,5,2,1,0,3,3
95AA05,920,495,300,185,69,3,43,4,56,65,192,91,68,39,22,1,6,0,8,25,88,43,39,23,13,0,3,0,1,5,104,48,29,16,9,1,3,0,7,20,675,371,218,135,45,2,36,4,43,39,69,21,45,25,14,1,5,0,0,3,468,269,141,88,24,1,28,3,33,22,91,40,40,22,10,0,8,1,5,5,252,152,64,42,10,1,11,1,21,14,125,77,37,24,4,0,9,1,7,3,44,25,8,7,1,0,0,1,6,4,17,10,4,3,1,0,0,1,0,2,20,10,4,4,0,0,0,0,4,2,7,5,0,0,0,0,0,0,2,0,94,56,24,15,6,0,3,0,4,10,57,35,11,8,2,0,1,0,4,7,37,21,13,7,4,0,2,0,0,3,53,33,14,11,2,0,1,0,5,1,28,21,4,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,0,0,0,0,0,0,21,11,7,5,2,0,0,0,2,1
95AA06,1570,1090,274,112,126,5,31,3,94,109,356,193,99,46,41,0,12,1,18,45,159,78,64,33,26,0,5,0,5,12,197,115,35,13,15,0,7,1,13,33,1121,833,163,60,81,5,17,2,70,53,73,46,26,12,10,2,2,0,1,0,732,557,105,36,54,2,13,2,45,23,142,87,36,12,20,0,4,1,12,6,468,382,46,16,20,2,8,1,25,14,122,88,23,8,14,0,1,0,8,3,87,56,10,4,5,0,1,0,11,10,36,25,5,1,3,0,1,0,6,0,47,29,4,2,2,0,0,0,5,9,4,2,1,1,0,0,0,0,0,1,229,174,22,8,12,1,1,0,13,20,177,137,9,3,5,1,0,0,12,19,52,37,13,5,7,0,1,0,1,1,93,64,12,6,4,0,2,0,6,11,57,39,6,4,1,0,1,0,4,8,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,33,23,5,1,3,0,1,0,2,3
95AA07,820,96,608,405,124,4,75,5,61,50,201,24,143,101,26,1,15,0,14,20,73,5,62,48,9,0,5,0,2,4,128,19,81,53,17,1,10,0,12,16,569,64,430,277,96,3,54,5,44,26,69,3,57,38,9,0,10,0,4,5,356,33,279,179,61,3,36,3,26,15,108,8,90,60,19,0,11,1,5,4,159,17,121,80,24,3,14,0,15,6,89,8,68,39,18,0,11,2,6,5,51,10,31,24,5,0,2,0,8,2,24,5,15,10,4,0,1,0,3,1,25,4,15,13,1,0,1,0,5,1,2,1,1,1,0,0,0,0,0,0,93,18,63,36,21,0,6,2,6,4,56,12,37,20,12,0,5,2,4,1,37,6,26,16,9,0,1,0,2,3,50,8,35,27,2,0,6,0,3,4,24,3,18,12,2,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,7,0,5,5,0,0,0,0,1,1,19,5,12,10,0,0,2,0,1,1
95AA08,699,268,274,170,72,6,26,4,90,63,215,76,86,56,20,4,6,0,21,32,67,21,31,20,7,3,1,0,3,12,148,55,55,36,13,1,5,0,18,20,436,169,173,102,49,2,20,4,63,27,48,14,30,15,12,1,2,0,2,2,189,70,75,44,20,1,10,4,29,11,50,15,22,14,4,1,3,0,10,3,75,29,24,14,8,0,2,4,11,7,64,26,29,16,8,0,5,0,8,1,51,21,17,12,4,0,1,0,10,3,18,9,6,5,1,0,0,0,3,0,28,12,8,5,2,0,1,0,6,2,5,0,3,2,1,0,0,0,1,1,148,64,51,31,13,0,7,0,22,11,100,46,30,17,9,0,4,0,16,8,48,18,21,14,4,0,3,0,6,3,48,23,15,12,3,0,0,0,6,4,21,12,5,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,25,10,10,7,3,0,0,0,4,1
95AA09,943,158,545,301,169,25,50,9,143,88,307,46,181,95,58,11,17,2,40,38,87,14,62,38,16,4,4,2,3,6,220,32,119,57,42,7,13,0,37,32,581,96,341,199,103,13,26,5,96,43,58,13,40,25,12,0,3,0,4,1,279,42,162,97,39,8,18,5,53,17,96,11,64,40,11,3,10,1,16,4,112,17,62,34,18,3,7,3,23,7,71,14,36,23,10,2,1,1,14,6,68,9,31,20,8,2,1,0,20,8,29,3,12,9,2,1,0,0,10,4,31,6,14,8,5,1,0,0,8,3,8,0,5,3,1,0,1,0,2,1,176,32,108,57,44,3,4,0,19,17,131,22,80,39,35,3,3,0,14,15,45,10,28,18,9,0,1,0,5,2,55,16,23,7,8,1,7,2,7,7,23,9,8,4,3,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,29,6,13,2,4,0,7,2,5,3
95AA10,792,296,339,187,85,22,45,8,103,46,199,82,80,45,15,5,15,2,21,14,64,17,36,23,7,2,4,2,7,2,135,65,44,22,8,3,11,0,14,12,542,189,243,132,66,17,28,4,77,29,69,12,47,30,11,5,1,1,5,4,276,84,134,74,36,9,15,2,43,13,94,29,44,26,13,1,4,0,18,3,113,31,57,29,17,4,7,1,19,5,69,24,33,19,6,4,4,1,6,5,47,14,17,9,4,1,3,0,13,3,17,3,10,4,4,1,1,0,4,0,25,8,6,4,0,0,2,0,9,2,5,3,1,1,0,0,0,0,0,1,150,79,45,19,15,2,9,1,16,9,94,48,26,9,12,1,4,1,13,6,56,31,19,10,3,1,5,0,3,3,51,25,16,10,4,0,2,2,5,3,28,17,7,5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,20,7,7,3,2,0,2,0,3,3
