GeographyCode,DC2120NI0001,DC2120NI0002,DC2120NI0003,DC2120NI0004,DC2120NI0005,DC2120NI0006,DC2120NI0007,DC2120NI0008,DC2120NI0009,DC2120NI0010,DC2120NI0011,DC2120NI0012,DC2120NI0013,DC2120NI0014,DC2120NI0015,DC2120NI0016,DC2120NI0017,DC2120NI0018,DC2120NI0019,DC2120NI0020,DC2120NI0021,DC2120NI0022,DC2120NI0023,DC2120NI0024,DC2120NI0025,DC2120NI0026,DC2120NI0027,DC2120NI0028,DC2120NI0029,DC2120NI0030,DC2120NI0031,DC2120NI0032,DC2120NI0033,DC2120NI0034,DC2120NI0035,DC2120NI0036,DC2120NI0037,DC2120NI0038,DC2120NI0039,DC2120NI0040,DC2120NI0041,DC2120NI0042,DC2120NI0043,DC2120NI0044,DC2120NI0045,DC2120NI0046,DC2120NI0047,DC2120NI0048,DC2120NI0049,DC2120NI0050,DC2120NI0051,DC2120NI0052,DC2120NI0053,DC2120NI0054,DC2120NI0055,DC2120NI0056,DC2120NI0057,DC2120NI0058,DC2120NI0059,DC2120NI0060,DC2120NI0061,DC2120NI0062,DC2120NI0063,DC2120NI0064,DC2120NI0065,DC2120NI0066,DC2120NI0067,DC2120NI0068,DC2120NI0069,DC2120NI0070,DC2120NI0071,DC2120NI0072,DC2120NI0073,DC2120NI0074,DC2120NI0075,DC2120NI0076,DC2120NI0077,DC2120NI0078,DC2120NI0079,DC2120NI0080,DC2120NI0081,DC2120NI0082,DC2120NI0083,DC2120NI0084,DC2120NI0085,DC2120NI0086,DC2120NI0087,DC2120NI0088,DC2120NI0089,DC2120NI0090,DC2120NI0091,DC2120NI0092,DC2120NI0093,DC2120NI0094,DC2120NI0095,DC2120NI0096,DC2120NI0097,DC2120NI0098,DC2120NI0099,DC2120NI0100,DC2120NI0101,DC2120NI0102,DC2120NI0103,DC2120NI0104,DC2120NI0105,DC2120NI0106,DC2120NI0107,DC2120NI0108,DC2120NI0109,DC2120NI0110
95AA01,1522,476,883,18,145,296,82,191,5,18,94,14,79,0,1,202,68,112,5,17,1135,361,647,12,115,71,15,56,0,0,875,281,482,10,102,257,63,146,4,44,514,182,270,6,56,104,36,66,0,2,74,28,38,1,7,44,16,22,1,5,26,11,13,0,2,4,1,3,0,0,115,37,71,1,6,61,22,34,0,5,54,15,37,1,1,91,33,45,1,12,40,17,18,0,5,3,2,1,0,0,1,0,1,0,0,47,14,25,1,7
95AA02,839,259,546,4,30,346,107,229,1,9,155,38,116,0,1,191,69,113,1,8,450,140,288,3,19,53,12,41,0,0,236,72,149,3,12,93,30,61,1,1,81,18,53,2,8,62,24,35,0,3,59,18,35,0,6,34,13,18,0,3,22,5,14,0,3,3,0,3,0,0,102,38,63,0,1,60,25,34,0,1,42,13,29,0,0,43,12,29,0,2,16,6,10,0,0,0,0,0,0,0,1,0,1,0,0,26,6,18,0,2
95AA03,845,87,699,8,51,323,21,277,1,24,123,7,116,0,0,200,14,161,1,24,479,59,389,7,24,54,5,48,1,0,209,29,164,5,11,69,8,56,0,5,98,18,71,5,4,42,3,37,0,2,58,14,38,1,5,31,8,21,1,1,26,6,16,0,4,1,0,1,0,0,158,11,139,0,8,103,9,88,0,6,55,2,51,0,2,43,7,33,0,3,15,1,13,0,1,0,0,0,0,0,1,0,1,0,0,27,6,19,0,2
95AA04,1014,274,697,8,35,171,47,115,1,8,73,9,61,1,2,98,38,54,0,6,752,199,520,7,26,77,9,67,0,1,557,144,387,6,20,141,30,101,3,7,287,88,187,2,10,129,26,99,1,3,47,20,22,1,4,18,3,13,0,2,25,16,6,1,2,4,1,3,0,0,71,26,44,0,1,31,14,16,0,1,40,12,28,0,0,91,28,62,0,1,47,16,30,0,1,1,0,1,0,0,4,1,3,0,0,39,11,28,0,0
95AA05,920,532,357,5,26,192,105,85,0,2,88,48,40,0,0,104,57,45,0,2,675,394,256,5,20,69,22,47,0,0,468,282,171,3,12,91,42,46,1,2,252,161,81,1,9,125,79,44,1,1,44,25,12,2,5,17,10,6,1,0,20,10,6,1,3,7,5,0,0,2,94,65,26,0,3,57,43,11,0,3,37,22,15,0,0,53,33,16,0,4,28,21,5,0,2,0,0,0,0,0,4,1,3,0,0,21,11,8,0,2
95AA06,1570,1181,351,3,35,356,224,124,1,7,159,87,72,0,0,197,137,52,1,7,1121,884,210,2,25,73,46,26,0,1,732,589,127,2,14,142,96,43,1,2,468,400,56,1,11,122,93,28,0,1,87,65,16,0,6,36,27,6,0,3,47,35,9,0,3,4,3,1,0,0,229,184,41,0,4,177,146,27,0,4,52,38,14,0,0,93,73,17,0,3,57,47,8,0,2,0,0,0,0,0,3,2,1,0,0,33,24,8,0,1
95AA07,820,121,673,6,20,201,35,163,0,3,73,5,68,0,0,128,30,95,0,3,569,75,471,6,17,69,3,65,0,1,356,41,302,4,9,108,11,96,1,0,159,22,130,1,6,89,8,76,2,3,51,10,36,0,5,24,5,17,0,2,25,4,18,0,3,2,1,1,0,0,93,21,68,2,2,56,13,40,2,1,37,8,28,0,1,50,11,39,0,0,24,5,19,0,0,0,0,0,0,0,7,0,7,0,0,19,6,13,0,0
95AA08,699,305,336,5,53,215,91,110,0,14,67,23,43,0,1,148,68,67,0,13,436,190,207,5,34,48,15,33,0,0,189,77,91,5,16,50,17,28,0,5,75,30,32,4,9,64,30,31,1,2,51,24,20,0,7,18,10,7,0,1,28,13,9,0,6,5,1,4,0,0,148,74,63,0,11,100,53,38,0,9,48,21,25,0,2,48,24,19,0,5,21,12,7,0,2,0,0,0,0,0,2,1,1,0,0,25,11,11,0,3
95AA09,943,200,657,9,77,307,61,223,2,21,87,15,67,2,3,220,46,156,0,18,581,117,407,5,52,58,13,45,0,0,279,50,199,5,25,96,13,74,1,8,112,21,77,3,11,71,16,48,1,6,68,14,41,0,13,29,5,16,0,8,31,9,18,0,4,8,0,7,0,1,176,40,122,0,14,131,29,92,0,10,45,11,30,0,4,55,22,27,2,4,23,11,11,0,1,0,0,0,0,0,3,1,2,0,0,29,10,14,2,3
95AA10,792,335,406,9,42,199,86,100,2,11,64,18,40,2,4,135,68,60,0,7,542,220,287,5,30,69,15,52,1,1,276,98,155,3,20,94,35,53,1,5,113,35,66,1,11,69,28,36,1,4,47,19,24,0,4,17,5,10,0,2,25,11,12,0,2,5,3,2,0,0,150,88,56,1,5,94,54,35,1,4,56,34,21,0,1,51,29,19,2,1,28,19,7,2,0,0,0,0,0,0,3,1,2,0,0,20,9,10,0,1
