GeographyCode,DC2420NI0001,DC2420NI0002,DC2420NI0003,DC2420NI0004,DC2420NI0005,DC2420NI0006,DC2420NI0007,DC2420NI0008,DC2420NI0009,DC2420NI0010,DC2420NI0011,DC2420NI0012,DC2420NI0013,DC2420NI0014,DC2420NI0015,DC2420NI0016,DC2420NI0017,DC2420NI0018,DC2420NI0019,DC2420NI0020,DC2420NI0021,DC2420NI0022,DC2420NI0023,DC2420NI0024,DC2420NI0025,DC2420NI0026,DC2420NI0027,DC2420NI0028,DC2420NI0029,DC2420NI0030,DC2420NI0031,DC2420NI0032,DC2420NI0033,DC2420NI0034,DC2420NI0035,DC2420NI0036,DC2420NI0037,DC2420NI0038,DC2420NI0039,DC2420NI0040,DC2420NI0041,DC2420NI0042,DC2420NI0043,DC2420NI0044,DC2420NI0045,DC2420NI0046,DC2420NI0047,DC2420NI0048,DC2420NI0049,DC2420NI0050,DC2420NI0051,DC2420NI0052,DC2420NI0053,DC2420NI0054,DC2420NI0055,DC2420NI0056,DC2420NI0057,DC2420NI0058,DC2420NI0059,DC2420NI0060,DC2420NI0061,DC2420NI0062,DC2420NI0063,DC2420NI0064,DC2420NI0065,DC2420NI0066,DC2420NI0067,DC2420NI0068,DC2420NI0069,DC2420NI0070
95AA01,1522,426,738,365,176,32,165,17,263,78,296,68,158,96,43,6,13,4,38,28,455,110,230,110,66,10,44,6,86,23,279,72,139,66,28,3,42,3,53,12,293,94,133,56,30,7,40,4,52,10,199,82,78,37,9,6,26,0,34,5,2.82,3.13,2.68,2.56,2.43,2.91,3.19,2.41,2.87,2.28
95AA02,839,223,451,249,160,12,30,3,86,76,346,88,181,107,60,4,10,1,32,44,254,67,149,84,47,6,12,1,21,16,131,43,63,32,28,1,2,0,18,7,68,16,33,14,15,1,3,0,11,8,40,9,25,12,10,0,3,1,4,1,2.07,2.09,2.07,1.97,2.18,1.92,2.33,3.00,2.23,1.76
95AA03,845,60,587,341,162,26,58,8,123,67,323,14,222,133,53,7,29,1,50,36,262,17,189,103,59,11,16,2,31,23,124,13,85,57,23,2,3,3,20,3,94,13,59,32,16,5,6,1,17,4,42,3,32,16,11,1,4,1,5,1,2.16,2.57,2.16,2.12,2.25,2.38,1.98,2.88,2.16,1.70
95AA04,1014,232,614,424,106,23,61,7,111,50,171,34,97,72,19,1,5,1,21,18,299,50,197,135,31,10,21,2,36,14,183,44,109,73,21,7,8,3,18,9,195,56,115,75,24,2,14,1,15,8,166,48,96,69,11,3,13,0,21,1,2.96,3.25,2.93,2.92,2.81,2.83,3.18,2.57,2.89,2.26
95AA05,920,495,300,185,69,3,43,4,56,65,192,91,68,39,22,1,6,0,8,25,246,108,112,65,30,1,16,2,9,15,164,88,49,36,6,0,7,1,17,9,182,107,48,29,8,1,10,0,16,11,136,101,23,16,3,0,4,1,6,5,2.88,3.15,2.51,2.58,2.13,2.33,2.81,3.00,3.09,2.40
95AA06,1570,1090,274,112,126,5,31,3,94,109,356,193,99,46,41,0,12,1,18,45,364,243,82,30,43,2,7,1,23,15,252,187,35,13,17,1,4,1,15,14,330,253,36,13,17,2,4,0,22,19,268,214,22,10,8,0,4,0,16,16,2.93,3.12,2.31,2.25,2.29,3.00,2.45,2.00,2.97,2.64
95AA07,820,96,608,405,124,4,75,5,61,50,201,24,143,101,26,1,15,0,14,20,258,27,201,131,44,0,26,2,13,15,144,20,97,59,27,1,10,3,19,5,139,16,104,70,20,2,12,0,13,6,78,9,63,44,7,0,12,0,2,4,2.58,2.63,2.60,2.59,2.54,3.00,2.79,2.60,2.62,2.22
95AA08,699,268,274,170,72,6,26,4,90,63,215,76,86,56,20,4,6,0,21,32,203,75,87,50,25,2,10,0,28,13,144,57,55,34,14,0,7,3,21,8,80,32,28,17,8,0,3,0,14,6,57,28,18,13,5,0,0,1,6,4,2.40,2.51,2.32,2.33,2.40,1.33,2.27,3.50,2.52,2.02
95AA09,943,158,545,301,169,25,50,9,143,88,307,46,181,95,58,11,17,2,40,38,291,54,177,108,46,5,18,1,45,14,195,32,104,53,37,6,8,4,35,20,94,15,54,28,17,2,7,1,13,11,56,11,29,17,11,1,0,1,10,5,2.27,2.35,2.23,2.23,2.28,2.08,2.10,2.89,2.36,2.23
95AA10,792,296,339,187,85,22,45,8,103,46,199,82,80,45,15,5,15,2,21,14,271,95,129,73,36,8,12,1,32,14,148,59,56,32,10,3,11,3,20,10,119,40,51,22,19,6,4,1,21,6,55,20,23,15,5,0,3,1,9,2,2.47,2.42,2.46,2.44,2.58,2.45,2.31,2.75,2.68,2.30
95AA11,1993,678,888,476,273,43,96,20,281,126,487,156,229,128,71,11,19,6,58,38,614,191,295,163,75,19,38,4,90,34,360,143,139,71,51,5,12,4,53,21,362,124,153,82,49,5,17,3,61,21,170,64,72,32,27,3,10,3,19,12,2.57,2.65,2.50,2.43,2.62,2.33,2.60,2.70,2.63,2.51
95AA12,971,37,772,545,132,14,81,5,110,47,180,10,141,110,25,3,3,0,16,13,283,10,230,163,45,4,18,0,31,12,171,5,132,90,20,5,17,1,25,8,204,6,166,121,25,0,20,3,22,7,133,6,103,61,17,2,23,1,16,7,2.86,2.70,2.86,2.78,2.76,2.64,3.58,4.00,2.94,2.70
95AA13,1239,747,312,187,81,6,38,4,82,94,326,158,109,66,31,1,11,0,17,42,351,217,91,57,22,2,10,3,26,14,219,142,47,26,14,0,7,0,15,15,196,126,42,26,8,3,5,1,15,12,147,104,23,12,6,0,5,0,9,11,2.64,2.80,2.30,2.27,2.21,2.83,2.61,2.50,2.71,2.37
95AA14,779,234,443,308,64,9,62,5,53,44,130,29,86,64,13,2,7,0,4,11,252,58,151,100,29,5,17,3,21,19,122,39,73,47,13,1,12,1,5,4,143,50,76,56,7,0,13,0,13,4,132,58,57,41,2,1,13,1,10,6,2.96,3.37,2.77,2.77,2.31,2.22,3.29,2.80,3.13,2.48
95AA15,1595,618,616,335,171,25,85,29,248,84,395,171,133,74,40,5,14,2,57,32,468,175,201,120,52,10,19,2,69,21,341,130,128,64,35,6,23,11,51,21,249,88,97,46,29,3,19,11,49,4,142,54,57,31,15,1,10,3,22,6,2.57,2.52,2.60,2.53,2.58,2.40,2.96,3.38,2.65,2.24
95AA16,832,127,533,298,168,15,52,6,111,55,318,42,200,119,59,5,17,2,47,27,243,36,171,87,60,6,18,2,21,13,137,23,86,50,27,1,8,1,22,5,91,19,47,27,13,1,6,1,15,9,43,7,29,15,9,2,3,0,6,1,2.17,2.32,2.14,2.12,2.14,2.27,2.25,2.17,2.23,1.98
95AA17,855,264,371,171,139,18,43,11,132,77,237,60,110,48,47,6,9,3,32,32,252,87,106,51,32,6,17,6,39,14,160,49,72,30,32,2,8,1,24,14,140,48,53,25,19,3,6,1,27,11,66,20,30,17,9,1,3,0,10,6,2.51,2.58,2.46,2.51,2.40,2.33,2.56,2.00,2.61,2.36
95AA18,1004,100,696,443,159,23,71,17,131,60,257,21,168,104,38,7,19,7,33,28,409,36,309,195,78,9,27,4,47,13,140,16,94,64,16,3,11,3,20,7,135,10,95,60,22,2,11,1,22,7,63,17,30,20,5,2,3,2,9,5,2.36,2.70,2.31,2.32,2.24,2.39,2.35,2.29,2.47,2.22
95AA19,832,712,58,31,14,0,13,0,16,46,157,126,10,7,1,0,2,0,4,17,185,157,7,5,1,0,1,0,5,16,141,126,9,2,4,0,3,0,2,4,168,145,18,9,6,0,3,0,2,3,181,158,14,8,2,0,4,0,3,6,3.18,3.22,3.47,3.32,3.64,0,3.62,0,2.75,2.26
95BB01,1307,133,938,609,162,51,116,15,158,63,270,26,182,138,22,8,14,3,31,28,373,42,276,172,49,18,37,4,40,11,255,23,187,123,36,8,20,3,32,10,265,22,199,124,40,13,22,5,33,6,144,20,94,52,15,4,23,0,22,8,2.76,2.83,2.76,2.66,2.89,2.76,3.11,2.67,2.85,2.43
95BB02,1126,78,782,435,206,56,85,12,160,94,438,32,302,159,93,22,28,2,55,47,378,23,274,161,65,22,26,4,51,26,163,12,113,62,30,6,15,3,27,8,100,7,59,30,13,6,10,2,24,8,47,4,34,23,5,0,6,1,3,5,2.07,2.13,2.05,2.09,1.89,1.93,2.32,2.75,2.19,1.94
95BB03,1776,77,1324,677,404,69,174,20,261,94,477,11,362,173,120,25,44,7,59,38,652,35,474,237,154,24,59,3,110,30,299,14,225,114,69,11,31,4,48,8,241,13,182,107,44,7,24,5,34,7,107,4,81,46,17,2,16,1,10,11,2.37,2.55,2.38,2.46,2.23,2.12,2.51,2.50,2.36,2.23
95BB04,1307,78,939,514,219,86,120,9,188,93,349,24,249,141,59,25,24,3,38,35,521,25,389,221,84,38,46,5,70,32,209,17,144,72,34,13,25,0,36,12,167,9,116,58,33,5,20,1,34,7,61,3,41,22,9,5,5,0,10,7,2.30,2.26,2.27,2.23,2.32,2.15,2.49,1.89,2.53,2.20
95BB05,1318,35,999,569,261,49,120,15,189,80,282,10,199,106,65,5,23,5,40,28,485,10,377,207,100,26,44,5,64,29,218,5,169,100,45,6,18,1,33,10,211,6,160,103,26,7,24,3,33,9,122,4,94,53,25,5,11,1,19,4,2.58,2.57,2.60,2.66,2.43,2.69,2.66,2.33,2.67,2.15
95BB06,1518,137,992,598,222,67,105,29,241,119,680,59,450,268,98,41,43,17,88,66,520,39,353,216,85,13,39,4,95,29,178,20,114,69,24,6,15,1,34,9,94,10,52,28,12,6,6,5,19,8,46,9,23,17,3,1,2,2,5,7,1.89,2.07,1.84,1.85,1.82,1.72,1.90,2.00,2.00,1.86
95BB07,1315,42,975,605,197,68,105,14,196,88,431,14,322,189,79,21,33,5,51,39,485,17,370,240,63,26,41,3,66,29,185,8,127,82,24,7,14,3,36,11,154,2,115,71,22,10,12,2,28,7,60,1,41,23,9,4,5,1,15,2,2.20,2.14,2.18,2.19,2.10,2.26,2.20,2.36,2.45,1.91
95BB08,1068,48,801,513,159,52,77,12,150,57,279,6,215,126,49,17,23,6,31,21,350,15,263,168,55,18,22,1,50,21,201,15,150,101,26,9,14,3,27,6,170,5,134,93,21,5,15,1,28,2,68,7,39,25,8,3,3,1,14,7,2.46,2.94,2.41,2.47,2.28,2.31,2.40,2.42,2.64,2.21
95BB09,1253,45,914,573,196,47,98,4,221,69,340,13,241,141,62,16,22,1,52,33,467,14,339,222,64,18,35,3,85,26,213,13,158,104,30,7,17,0,38,4,183,3,138,80,30,6,22,0,38,4,50,2,38,26,10,0,2,0,8,2,2.32,2.27,2.35,2.36,2.32,2.06,2.46,1.75,2.41,1.80
95BB10,1509,71,1046,518,323,114,91,18,279,95,515,25,357,170,117,40,30,4,89,40,556,13,401,193,126,44,38,8,97,37,204,14,134,71,37,15,11,4,47,5,158,14,107,57,31,9,10,2,30,5,76,5,47,27,12,6,2,0,16,8,2.17,2.52,2.14,2.20,2.08,2.11,2.08,2.22,2.24,2.01
95BB11,1338,49,990,521,299,86,84,12,204,83,477,18,344,188,91,39,26,4,65,46,455,15,352,186,105,32,29,3,66,19,197,8,152,76,62,8,6,3,28,6,141,6,100,51,28,6,15,0,29,6,68,2,42,20,13,1,8,2,16,6,2.17,2.16,2.15,2.10,2.23,1.81,2.46,2.75,2.36,1.89
95BB12,1130,99,741,410,191,60,80,16,196,78,291,26,190,114,40,18,18,6,41,28,400,34,273,148,76,22,27,2,67,24,209,20,140,75,41,11,13,2,34,13,132,8,80,41,24,4,11,2,35,7,98,11,58,32,10,5,11,4,19,6,2.46,2.43,2.42,2.38,2.45,2.32,2.69,2.81,2.65,2.26
95BB13,1687,89,1188,657,282,98,151,21,292,97,323,17,227,137,46,23,21,5,43,31,603,31,438,241,102,34,61,4,105,25,323,13,234,116,70,15,33,3,58,15,290,22,196,114,44,16,22,2,54,16,148,6,93,49,20,10,14,7,32,10,2.63,2.66,2.59,2.56,2.62,2.56,2.68,3.10,2.79,2.55
95BB14,1172,45,815,513,207,29,66,17,237,58,259,9,182,120,47,3,12,2,48,18,392,17,256,156,71,12,17,10,89,20,192,5,146,85,38,5,18,2,34,5,214,8,149,99,33,4,13,0,46,11,115,6,82,53,18,5,6,3,20,4,2.63,2.91,2.65,2.65,2.54,2.97,2.77,2.65,2.60,2.40
95BB15,1287,648,398,210,122,20,46,6,147,88,301,151,91,49,30,5,7,2,28,29,403,180,140,69,51,6,14,3,52,28,205,113,60,36,14,3,7,1,22,9,204,102,64,28,20,4,12,0,25,13,174,102,43,28,7,2,6,0,20,9,2.71,2.79,2.62,2.68,2.39,2.65,2.98,1.83,2.76,2.48
95BB16,1176,40,879,558,208,33,80,6,187,64,225,7,166,105,39,6,16,0,25,27,417,9,336,215,75,12,34,5,53,14,206,8,152,94,39,9,10,0,36,10,210,9,150,102,32,6,10,0,45,6,118,7,75,42,23,0,10,1,28,7,2.66,3.05,2.60,2.59,2.66,2.45,2.58,2.67,3.02,2.28
95BB17,1399,72,951,517,236,69,129,8,281,87,335,13,233,130,56,20,27,1,54,34,473,21,334,178,87,25,44,3,94,21,248,17,166,91,42,10,23,3,52,10,232,12,148,86,29,11,22,0,57,15,111,9,70,32,22,3,13,1,24,7,2.53,2.82,2.48,2.46,2.49,2.30,2.61,2.63,2.67,2.33
95BB18,1638,54,1197,660,287,102,148,14,273,100,372,8,269,151,68,26,24,4,53,38,560,19,421,220,106,35,60,8,83,29,284,8,206,116,54,17,19,2,56,12,276,14,199,114,37,16,32,0,47,16,146,5,102,59,22,8,13,0,34,5,2.57,2.80,2.56,2.57,2.46,2.49,2.70,1.86,2.77,2.21
95BB19,1724,106,1250,662,299,121,168,11,271,86,301,17,240,133,48,25,34,3,21,20,550,36,418,221,109,37,51,3,68,25,357,29,246,134,59,24,29,1,65,16,370,14,247,127,60,26,34,1,86,22,146,10,99,47,23,9,20,3,31,3,2.74,2.72,2.65,2.61,2.70,2.66,2.76,3.18,3.19,2.57
95BB20,1290,937,182,74,69,22,17,4,101,66,369,247,55,20,22,6,7,2,28,37,353,247,53,21,19,8,5,1,40,12,218,165,27,11,12,3,1,1,18,7,183,147,22,8,7,3,4,0,8,6,167,131,25,14,9,2,0,0,7,4,2.61,2.70,2.61,2.76,2.61,2.50,2.12,1.75,2.27,1.91
95BB21,1821,165,1250,614,269,107,260,18,272,116,440,30,307,141,87,29,50,4,50,49,617,40,440,201,103,39,97,7,98,32,283,24,196,105,40,20,31,0,46,17,293,39,194,109,26,11,48,7,45,8,188,32,113,58,13,8,34,0,33,10,2.58,3.07,2.52,2.60,2.17,2.37,2.76,2.56,2.72,2.17
95BB22,1194,38,853,477,222,54,100,4,215,84,320,8,232,124,58,20,30,2,42,36,370,13,257,138,79,14,26,2,71,27,208,6,151,89,35,8,19,0,41,10,207,6,147,84,41,5,17,0,45,9,89,5,66,42,9,7,8,0,16,2,2.51,2.68,2.51,2.57,2.41,2.41,2.51,1.50,2.68,1.98
95BB23,1161,80,809,425,189,79,116,14,191,67,236,17,157,87,35,15,20,4,40,18,431,20,319,168,69,33,49,5,67,20,203,15,138,76,30,14,18,3,32,15,213,20,150,73,43,15,19,1,35,7,78,8,45,21,12,2,10,1,17,7,2.56,2.81,2.53,2.48,2.67,2.44,2.59,2.29,2.62,2.51
95CC01,904,766,33,14,8,1,10,4,33,68,234,189,5,2,1,1,1,0,11,29,256,222,8,4,1,0,3,1,9,16,180,147,12,6,3,0,3,1,7,13,133,115,5,1,3,0,1,1,6,6,101,93,3,1,0,0,2,1,0,4,2.63,2.67,2.85,2.64,3.00,1.00,3.20,4.50,2.24,2.16
95CC02,875,551,228,69,114,17,28,2,43,51,171,97,46,19,22,2,3,0,7,21,214,132,64,18,33,7,6,1,7,10,161,97,41,12,20,3,6,1,10,12,139,92,37,8,24,3,2,0,7,3,190,133,40,12,15,2,11,0,12,5,3.08,3.18,2.96,2.77,2.89,2.88,3.79,2.50,3.35,2.29
95CC03,1127,863,86,21,45,4,16,8,60,110,367,260,54,15,30,2,7,1,20,32,295,232,12,4,7,1,0,2,16,33,196,152,14,2,5,1,6,4,6,20,152,128,4,0,2,0,2,1,9,10,117,91,2,0,1,0,1,0,9,15,2.48,2.53,1.70,1.38,1.60,1.75,2.38,2.63,2.65,2.53
95CC04,790,506,205,135,45,0,25,2,19,58,177,96,65,42,16,0,7,0,3,13,188,124,44,31,9,0,4,0,3,17,132,80,36,18,9,0,9,2,7,7,126,87,28,19,5,0,4,0,4,7,167,119,32,25,6,0,1,0,2,14,3.02,3.13,2.69,2.76,2.56,0,2.56,3.00,3.05,3.16
95CC05,954,568,273,83,139,22,29,5,34,74,227,130,60,22,29,6,3,0,3,34,261,138,86,24,46,6,10,1,13,23,134,88,35,10,22,2,1,0,6,5,156,89,53,12,27,5,9,2,8,4,176,123,39,15,15,3,6,2,4,8,2.88,3.00,2.79,2.70,2.71,2.82,3.41,4.40,3.00,2.14
95CC06,1096,507,422,172,193,13,44,8,73,86,301,128,119,50,53,5,11,4,13,37,351,140,165,79,67,5,14,1,26,19,179,98,47,14,28,1,4,1,15,18,156,79,62,17,32,1,12,1,10,4,109,62,29,12,13,1,3,1,9,8,2.51,2.67,2.35,2.21,2.44,2.08,2.61,2.25,2.70,2.21
95CC07,1108,823,137,87,27,2,21,2,32,114,227,158,20,14,5,0,1,1,11,37,250,193,34,24,5,0,5,0,4,19,181,129,24,17,5,0,2,1,8,19,193,154,19,11,3,2,3,0,5,15,257,189,40,21,9,0,10,0,4,24,3.14,3.13,3.45,3.18,3.48,4.00,4.48,2.00,2.66,2.99
95CC08,990,831,22,5,8,0,9,3,27,107,286,236,6,1,3,0,2,1,8,35,292,247,5,1,3,0,1,0,9,31,158,128,7,0,2,0,5,2,4,17,141,121,2,1,0,0,1,0,5,13,113,99,2,2,0,0,0,0,1,11,2.54,2.56,2.55,3.60,1.88,0,2.56,2.33,2.33,2.39
95CC09,1190,74,966,405,368,53,140,7,73,70,235,9,186,74,80,11,21,1,18,21,378,29,302,126,113,17,46,2,24,21,191,8,160,64,67,6,23,2,10,11,232,14,192,90,65,11,26,0,14,12,154,14,126,51,43,8,24,2,7,5,2.79,3.05,2.81,2.84,2.73,2.83,2.96,3.29,2.56,2.44
95CC10,901,150,649,187,271,66,125,7,58,37,186,30,128,29,67,12,20,1,13,14,281,38,216,64,88,22,42,2,18,7,169,28,118,31,49,14,24,2,11,10,138,31,94,30,37,11,16,1,10,2,127,23,93,33,30,7,23,1,6,4,2.77,2.98,2.75,2.90,2.57,2.68,2.94,2.86,2.67,2.41
95CC11,786,644,21,12,3,1,5,0,18,103,290,229,6,4,0,0,2,0,7,48,232,193,9,5,0,1,3,0,6,24,115,96,3,2,1,0,0,0,1,15,89,77,1,1,0,0,0,0,4,7,60,49,2,0,2,0,0,0,0,9,2.27,2.30,2.33,2.00,5.00,2.00,1.60,0,2.11,2.13
95CC12,890,361,437,243,141,8,45,4,34,54,175,71,79,43,30,1,5,1,7,17,209,61,123,66,42,2,13,1,11,13,158,46,91,48,31,3,9,1,9,11,155,70,73,41,23,2,7,1,4,7,193,113,71,45,15,0,11,0,3,6,3.09,3.40,2.96,3.03,2.71,2.75,3.38,2.50,2.56,2.52
95CC13,817,381,362,158,160,8,36,6,24,44,168,77,69,22,45,0,2,0,3,19,214,83,111,52,46,2,11,4,8,8,124,52,65,25,29,2,9,0,3,4,155,80,61,34,18,1,8,1,6,7,156,89,56,25,22,3,6,1,4,6,3.03,3.19,2.91,2.98,2.61,4.38,3.67,2.83,3.13,2.52
95CC14,1132,89,889,268,425,56,140,12,92,50,249,21,193,51,103,11,28,0,12,23,355,39,272,93,116,24,39,4,29,11,199,11,165,42,84,11,28,3,16,4,212,10,170,59,78,7,26,3,22,7,117,8,89,23,44,3,19,2,13,5,2.67,2.43,2.68,2.68,2.66,2.43,2.83,3.33,2.95,2.20
95CC15,1007,347,546,108,296,58,84,4,55,55,213,72,112,17,70,13,12,0,11,18,274,80,165,37,94,11,23,3,10,16,189,65,98,18,52,12,16,0,14,12,171,58,95,23,48,11,13,0,15,3,160,72,76,13,32,11,20,1,5,6,2.87,3.06,2.80,2.84,2.64,3.05,3.15,2.75,2.91,2.40
95CC16,1076,153,789,407,259,12,111,7,64,63,302,46,215,108,72,4,31,1,14,26,306,46,219,113,72,3,31,4,20,17,187,25,134,65,50,1,18,1,18,9,137,19,105,57,37,1,10,0,8,5,144,17,116,64,28,3,21,1,4,6,2.60,2.50,2.66,2.71,2.57,2.83,2.70,2.57,2.50,2.19
95CC17,897,565,243,109,93,2,39,7,28,54,178,95,51,23,20,0,8,1,9,22,220,129,66,24,33,1,8,3,7,15,164,111,45,18,16,0,11,0,3,5,149,108,32,17,11,0,4,1,6,2,186,122,49,27,13,1,8,2,3,10,3.04,3.15,2.96,3.17,2.71,4.50,2.90,3.00,2.57,2.43
95CC18,937,450,351,106,186,14,45,8,66,62,284,132,104,24,62,8,10,2,20,26,277,132,114,38,56,2,18,1,16,14,163,79,58,16,34,2,6,4,13,9,122,60,43,17,18,2,6,1,12,6,91,47,32,11,16,0,5,0,5,7,2.46,2.49,2.44,2.62,2.35,1.86,2.58,2.50,2.50,2.32
95CC19,981,308,561,274,175,10,102,3,53,56,242,65,147,84,46,4,13,0,5,25,267,92,145,67,49,2,27,2,15,13,155,54,84,38,26,2,18,0,11,6,179,59,98,44,33,2,19,1,14,7,138,38,87,41,21,0,25,0,8,5,2.77,2.76,2.80,2.71,2.67,2.20,3.29,2.67,3.13,2.27
95CC20,1127,51,913,310,386,108,109,8,100,55,275,9,228,80,92,32,24,1,20,17,319,12,251,74,118,29,30,7,28,21,228,12,186,57,82,21,26,0,23,7,196,9,160,64,59,20,17,0,21,6,109,9,88,35,35,6,12,0,8,4,2.63,3.02,2.63,2.74,2.58,2.44,2.68,1.88,2.73,2.29
95CC21,1167,128,859,282,391,69,117,5,107,68,307,32,223,79,93,18,33,2,25,25,394,44,285,98,124,22,41,1,39,25,174,17,132,37,72,12,11,1,14,10,183,21,142,53,63,9,17,0,13,7,109,14,77,15,39,8,15,1,16,1,2.51,2.55,2.52,2.41,2.59,2.54,2.51,2.40,2.67,2.03
95CC22,842,150,542,164,306,16,56,10,73,67,370,60,239,72,138,9,20,8,25,38,247,48,163,50,92,4,17,2,19,15,118,18,77,22,40,2,13,0,14,9,54,12,32,12,18,1,1,0,9,1,53,12,31,8,18,0,5,0,6,4,2.05,2.15,2.01,1.99,2.00,1.69,2.21,1.20,2.40,1.87
95DD01,836,114,604,389,122,21,72,7,67,44,196,23,131,80,33,4,14,1,21,20,330,36,260,159,65,8,28,2,21,11,142,27,99,70,10,4,15,3,7,6,103,16,69,50,7,5,7,1,13,4,65,12,45,30,7,0,8,0,5,3,2.43,2.64,2.41,2.47,2.11,2.48,2.58,2.57,2.43,2.09
95DD02,1490,58,1231,785,223,26,197,12,123,66,345,12,286,197,38,9,42,4,26,17,467,17,387,234,78,7,68,4,35,24,292,8,241,160,48,3,30,3,30,10,255,10,211,131,39,5,36,1,23,10,131,11,106,63,20,2,21,0,9,5,2.60,3.02,2.59,2.55,2.69,2.38,2.65,2.08,2.64,2.44
95DD03,1389,170,934,565,181,30,158,18,164,103,305,28,215,137,46,9,23,5,19,38,521,58,361,217,73,12,59,5,58,39,268,40,178,102,33,8,35,1,39,10,193,25,124,73,21,1,29,2,32,10,102,19,56,36,8,0,12,5,16,6,2.50,2.77,2.43,2.40,2.33,2.03,2.70,2.83,2.84,2.15
