GeographyCode,DC2612NI0001,DC2612NI0002,DC2612NI0003,DC2612NI0004,DC2612NI0005,DC2612NI0006,DC2612NI0007,DC2612NI0008,DC2612NI0009,DC2612NI0010,DC2612NI0011,DC2612NI0012,DC2612NI0013,DC2612NI0014,DC2612NI0015,DC2612NI0016,DC2612NI0017,DC2612NI0018,DC2612NI0019,DC2612NI0020,DC2612NI0021,DC2612NI0022,DC2612NI0023,DC2612NI0024,DC2612NI0025,DC2612NI0026,DC2612NI0027,DC2612NI0028,DC2612NI0029,DC2612NI0030,DC2612NI0031,DC2612NI0032,DC2612NI0033,DC2612NI0034,DC2612NI0035,DC2612NI0036,DC2612NI0037,DC2612NI0038,DC2612NI0039,DC2612NI0040,DC2612NI0041,DC2612NI0042,DC2612NI0043,DC2612NI0044,DC2612NI0045,DC2612NI0046,DC2612NI0047,DC2612NI0048,DC2612NI0049,DC2612NI0050,DC2612NI0051,DC2612NI0052,DC2612NI0053,DC2612NI0054,DC2612NI0055,DC2612NI0056,DC2612NI0057,DC2612NI0058,DC2612NI0059,DC2612NI0060,DC2612NI0061,DC2612NI0062,DC2612NI0063,DC2612NI0064,DC2612NI0065,DC2612NI0066,DC2612NI0067,DC2612NI0068,DC2612NI0069,DC2612NI0070,DC2612NI0071,DC2612NI0072,DC2612NI0073,DC2612NI0074,DC2612NI0075,DC2612NI0076,DC2612NI0077,DC2612NI0078,DC2612NI0079,DC2612NI0080,DC2612NI0081,DC2612NI0082,DC2612NI0083,DC2612NI0084,DC2612NI0085,DC2612NI0086,DC2612NI0087,DC2612NI0088,DC2612NI0089,DC2612NI0090,DC2612NI0091,DC2612NI0092,DC2612NI0093,DC2612NI0094,DC2612NI0095,DC2612NI0096,DC2612NI0097,DC2612NI0098,DC2612NI0099,DC2612NI0100,DC2612NI0101,DC2612NI0102,DC2612NI0103,DC2612NI0104,DC2612NI0105,DC2612NI0106,DC2612NI0107,DC2612NI0108,DC2612NI0109,DC2612NI0110,DC2612NI0111,DC2612NI0112,DC2612NI0113,DC2612NI0114,DC2612NI0115,DC2612NI0116,DC2612NI0117,DC2612NI0118,DC2612NI0119,DC2612NI0120,DC2612NI0121,DC2612NI0122,DC2612NI0123,DC2612NI0124,DC2612NI0125,DC2612NI0126,DC2612NI0127,DC2612NI0128,DC2612NI0129,DC2612NI0130,DC2612NI0131,DC2612NI0132,DC2612NI0133,DC2612NI0134,DC2612NI0135,DC2612NI0136,DC2612NI0137,DC2612NI0138,DC2612NI0139,DC2612NI0140,DC2612NI0141,DC2612NI0142,DC2612NI0143,DC2612NI0144,DC2612NI0145,DC2612NI0146,DC2612NI0147,DC2612NI0148,DC2612NI0149,DC2612NI0150,DC2612NI0151,DC2612NI0152,DC2612NI0153,DC2612NI0154,DC2612NI0155,DC2612NI0156,DC2612NI0157,DC2612NI0158,DC2612NI0159,DC2612NI0160,DC2612NI0161,DC2612NI0162,DC2612NI0163,DC2612NI0164,DC2612NI0165,DC2612NI0166,DC2612NI0167,DC2612NI0168,DC2612NI0169,DC2612NI0170,DC2612NI0171,DC2612NI0172,DC2612NI0173,DC2612NI0174,DC2612NI0175,DC2612NI0176,DC2612NI0177,DC2612NI0178,DC2612NI0179,DC2612NI0180,DC2612NI0181,DC2612NI0182,DC2612NI0183,DC2612NI0184,DC2612NI0185,DC2612NI0186,DC2612NI0187,DC2612NI0188,DC2612NI0189,DC2612NI0190,DC2612NI0191,DC2612NI0192,DC2612NI0193,DC2612NI0194,DC2612NI0195,DC2612NI0196
95AA01,3177,3088,24,8,3,1,2,0,0,0,2,0,10,39,2473,2392,23,8,3,1,2,0,0,0,2,0,10,32,383,377,2,1,0,1,0,0,0,0,0,0,0,2,1518,1457,20,2,3,0,2,0,0,0,2,0,10,22,98,97,0,0,0,0,0,0,0,0,0,0,0,1,270,267,0,0,0,0,0,0,0,0,0,0,0,3,107,98,1,4,0,0,0,0,0,0,0,0,0,4,97,96,0,1,0,0,0,0,0,0,0,0,0,0,704,696,1,0,0,0,0,0,0,0,0,0,0,7,275,275,0,0,0,0,0,0,0,0,0,0,0,0,129,127,0,0,0,0,0,0,0,0,0,0,0,2,157,154,0,0,0,0,0,0,0,0,0,0,0,3,94,93,0,0,0,0,0,0,0,0,0,0,0,1,49,47,1,0,0,0,0,0,0,0,0,0,0,1
95AA02,1319,1262,23,3,0,0,12,2,1,0,0,0,5,11,892,842,21,3,0,0,10,1,1,0,0,0,4,10,189,181,3,0,0,0,1,0,0,0,0,0,1,3,543,504,17,2,0,0,9,1,1,0,0,0,3,6,17,17,0,0,0,0,0,0,0,0,0,0,0,0,46,44,1,0,0,0,0,0,0,0,0,0,0,1,57,56,0,1,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,427,420,2,0,0,0,2,1,0,0,0,0,1,1,232,232,0,0,0,0,0,0,0,0,0,0,0,0,32,30,0,0,0,0,1,1,0,0,0,0,0,0,37,34,1,0,0,0,0,0,0,0,0,0,1,1,99,98,0,0,0,0,1,0,0,0,0,0,0,0,27,26,1,0,0,0,0,0,0,0,0,0,0,0
95AA03,1317,1283,16,2,0,0,2,0,2,0,0,0,3,9,840,812,15,1,0,0,0,0,1,0,0,0,3,8,204,198,4,1,0,0,0,0,0,0,0,0,1,0,502,482,11,0,0,0,0,0,1,0,0,0,2,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,41,40,0,0,0,0,0,0,0,0,0,0,0,1,57,56,0,0,0,0,0,0,0,0,0,0,0,1,29,29,0,0,0,0,0,0,0,0,0,0,0,0,477,471,1,1,0,0,2,0,1,0,0,0,0,1,204,204,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,69,67,0,0,0,0,0,0,1,0,0,0,0,1,103,103,0,0,0,0,0,0,0,0,0,0,0,0,59,55,1,1,0,0,2,0,0,0,0,0,0,0
95AA04,2227,2215,0,0,0,0,4,1,0,0,2,0,0,5,1660,1652,0,0,0,0,4,1,0,0,0,0,0,3,318,316,0,0,0,0,0,1,0,0,0,0,0,1,800,795,0,0,0,0,4,0,0,0,0,0,0,1,69,69,0,0,0,0,0,0,0,0,0,0,0,0,295,294,0,0,0,0,0,0,0,0,0,0,0,1,72,72,0,0,0,0,0,0,0,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,0,0,0,567,563,0,0,0,0,0,0,0,0,2,0,0,2,244,244,0,0,0,0,0,0,0,0,0,0,0,0,125,124,0,0,0,0,0,0,0,0,0,0,0,1,77,76,0,0,0,0,0,0,0,0,0,0,0,1,75,75,0,0,0,0,0,0,0,0,0,0,0,0,46,44,0,0,0,0,0,0,0,0,2,0,0,0
95AA05,1924,1884,2,10,5,2,2,0,3,0,2,0,0,14,1362,1332,2,7,3,2,2,0,3,0,2,0,0,9,228,220,0,2,1,1,0,0,0,0,1,0,0,3,758,740,2,2,1,1,2,0,3,0,1,0,0,6,34,34,0,0,0,0,0,0,0,0,0,0,0,0,195,194,0,1,0,0,0,0,0,0,0,0,0,0,77,74,0,2,1,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,562,552,0,3,2,0,0,0,0,0,0,0,0,5,242,242,0,0,0,0,0,0,0,0,0,0,0,0,99,95,0,0,2,0,0,0,0,0,0,0,0,2,69,69,0,0,0,0,0,0,0,0,0,0,0,0,98,95,0,0,0,0,0,0,0,0,0,0,0,3,54,51,0,3,0,0,0,0,0,0,0,0,0,0
95AA06,3133,3075,13,0,25,1,2,0,5,0,1,3,1,7,2258,2211,12,0,18,1,2,0,4,0,1,3,1,5,503,494,2,0,3,0,1,0,1,0,0,1,0,1,1231,1201,8,0,10,0,1,0,3,0,1,2,1,4,62,60,0,0,2,0,0,0,0,0,0,0,0,0,173,173,0,0,0,0,0,0,0,0,0,0,0,0,126,123,2,0,0,1,0,0,0,0,0,0,0,0,163,160,0,0,3,0,0,0,0,0,0,0,0,0,875,864,1,0,7,0,0,0,1,0,0,0,0,2,276,274,0,0,2,0,0,0,0,0,0,0,0,0,197,193,1,0,2,0,0,0,1,0,0,0,0,0,141,140,0,0,0,0,0,0,0,0,0,0,0,1,206,202,0,0,3,0,0,0,0,0,0,0,0,1,55,55,0,0,0,0,0,0,0,0,0,0,0,0
95AA07,1592,1558,6,16,0,0,5,0,0,0,0,0,0,7,1112,1086,5,13,0,0,4,0,0,0,0,0,0,4,206,203,0,1,0,0,1,0,0,0,0,0,0,1,591,573,4,10,0,0,3,0,0,0,0,0,0,1,35,35,0,0,0,0,0,0,0,0,0,0,0,0,181,181,0,0,0,0,0,0,0,0,0,0,0,0,56,51,1,2,0,0,0,0,0,0,0,0,0,2,43,43,0,0,0,0,0,0,0,0,0,0,0,0,480,472,1,3,0,0,1,0,0,0,0,0,0,3,215,214,0,0,0,0,0,0,0,0,0,0,0,1,64,63,1,0,0,0,0,0,0,0,0,0,0,0,48,46,0,1,0,0,1,0,0,0,0,0,0,0,117,115,0,0,0,0,0,0,0,0,0,0,0,2,36,34,0,2,0,0,0,0,0,0,0,0,0,0
95AA08,1262,1196,23,13,0,4,6,0,2,0,0,2,3,13,804,751,19,10,0,2,6,0,2,0,0,2,3,9,200,188,3,4,0,0,1,0,2,0,0,0,2,0,434,397,15,5,0,2,5,0,0,0,0,2,1,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0,1,0,0,0,0,0,0,0,0,0,1,88,86,1,0,0,0,0,0,0,0,0,0,0,1,39,39,0,0,0,0,0,0,0,0,0,0,0,0,458,445,4,3,0,2,0,0,0,0,0,0,0,4,182,181,0,0,0,0,0,0,0,0,0,0,0,1,44,42,0,0,0,1,0,0,0,0,0,0,0,1,59,58,1,0,0,0,0,0,0,0,0,0,0,0,136,135,1,0,0,0,0,0,0,0,0,0,0,0,37,29,2,3,0,1,0,0,0,0,0,0,0,2
95AA09,1595,1514,32,3,0,0,3,2,1,0,0,9,3,28,1015,947,30,3,0,0,3,1,1,0,0,7,2,21,233,216,7,0,0,0,1,1,0,0,0,2,1,5,576,538,18,3,0,0,2,0,1,0,0,5,1,8,29,25,1,0,0,0,0,0,0,0,0,0,0,3,39,35,1,0,0,0,0,0,0,0,0,0,0,3,90,88,2,0,0,0,0,0,0,0,0,0,0,0,48,45,1,0,0,0,0,0,0,0,0,0,0,2,580,567,2,0,0,0,0,1,0,0,0,2,1,7,251,249,0,0,0,0,0,0,0,0,0,0,0,2,73,71,0,0,0,0,0,0,0,0,0,2,0,0,78,71,2,0,0,0,0,0,0,0,0,0,1,4,126,125,0,0,0,0,0,0,0,0,0,0,0,1,52,51,0,0,0,0,0,1,0,0,0,0,0,0
95AA10,1461,1405,19,8,2,0,0,1,1,2,0,0,0,23,900,863,15,8,0,0,0,0,0,1,0,0,0,13,196,189,2,0,0,0,0,0,0,1,0,0,0,4,488,463,11,8,0,0,0,0,0,0,0,0,0,6,19,19,0,0,0,0,0,0,0,0,0,0,0,0,60,57,0,0,0,0,0,0,0,0,0,0,0,3,77,76,1,0,0,0,0,0,0,0,0,0,0,0,60,59,1,0,0,0,0,0,0,0,0,0,0,0,561,542,4,0,2,0,0,1,1,1,0,0,0,10,260,255,0,0,0,0,0,1,0,0,0,0,0,4,53,52,1,0,0,0,0,0,0,0,0,0,0,0,75,69,3,0,0,0,0,0,0,0,0,0,0,3,127,125,0,0,0,0,0,0,0,1,0,0,0,1,46,41,0,0,2,0,0,0,1,0,0,0,0,2
