ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2614NI0001,Count,PERSONS,"All categories: Sex, All categories: Economic Activity, All categories: Religion"
DC2614NI0002,Count,PERSONS,"All categories: Sex, All categories: Economic Activity, Catholic"
DC2614NI0003,Count,PERSONS,"All categories: Sex, All categories: Economic Activity, Protestant and other Christian: Total"
DC2614NI0004,Count,PERSONS,"All categories: Sex, All categories: Economic Activity, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0005,Count,PERSONS,"All categories: Sex, All categories: Economic Activity, Protestant and other Christian: Church of Ireland"
DC2614NI0006,Count,PERSONS,"All categories: Sex, All categories: Economic Activity, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0007,Count,PERSONS,"All categories: Sex, All categories: Economic Activity, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0008,Count,PERSONS,"All categories: Sex, All categories: Economic Activity, Other religions "
DC2614NI0009,Count,PERSONS,"All categories: Sex, All categories: Economic Activity, No religion"
DC2614NI0010,Count,PERSONS,"All categories: Sex, All categories: Economic Activity, Not stated"
DC2614NI0011,Count,PERSONS,"All categories: Sex, Economically active, All categories: Religion"
DC2614NI0012,Count,PERSONS,"All categories: Sex, Economically active, Catholic"
DC2614NI0013,Count,PERSONS,"All categories: Sex, Economically active, Protestant and other Christian: Total"
DC2614NI0014,Count,PERSONS,"All categories: Sex, Economically active, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0015,Count,PERSONS,"All categories: Sex, Economically active, Protestant and other Christian: Church of Ireland"
DC2614NI0016,Count,PERSONS,"All categories: Sex, Economically active, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0017,Count,PERSONS,"All categories: Sex, Economically active, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0018,Count,PERSONS,"All categories: Sex, Economically active, Other religions "
DC2614NI0019,Count,PERSONS,"All categories: Sex, Economically active, No religion"
DC2614NI0020,Count,PERSONS,"All categories: Sex, Economically active, Not stated"
DC2614NI0021,Count,PERSONS,"All categories: Sex, Economically active: Employee - Part-time, All categories: Religion"
DC2614NI0022,Count,PERSONS,"All categories: Sex, Economically active: Employee - Part-time, Catholic"
DC2614NI0023,Count,PERSONS,"All categories: Sex, Economically active: Employee - Part-time, Protestant and other Christian: Total"
DC2614NI0024,Count,PERSONS,"All categories: Sex, Economically active: Employee - Part-time, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0025,Count,PERSONS,"All categories: Sex, Economically active: Employee - Part-time, Protestant and other Christian: Church of Ireland"
DC2614NI0026,Count,PERSONS,"All categories: Sex, Economically active: Employee - Part-time, Protestant and other Christian: Methodist Church in Ireland"
DC2614NI0027,Count,PERSONS,"All categories: Sex, Economically active: Employee - Part-time, Protestant and other Christian: Other Christian (including Christian related)"
DC2614NI0028,Count,PERSONS,"All categories: Sex, Economically active: Employee - Part-time, Other religions "
DC2614NI0029,Count,PERSONS,"All categories: Sex, Economically active: Employee - Part-time, No religion"
DC2614NI0030,Count,PERSONS,"All categories: Sex, Economically active: Employee - Part-time, Not stated"
DC2614NI0031,Count,PERSONS,"All categories: Sex, Economically active: Employee - Full-time, All categories: Religion"
DC2614NI0032,Count,PERSONS,"All categories: Sex, Economically active: Employee - Full-time, Catholic"
DC2614NI0033,Count,PERSONS,"All categories: Sex, Economically active: Employee - Full-time, Protestant and other Christian: Total"
DC2614NI0034,Count,PERSONS,"All categories: Sex, Economically active: Employee - Full-time, Protestant and other Christian: Presbyterian Church in Ireland"
DC2614NI0035,Count,PERSONS,"All categories: Sex, Economically active: Employee - Full-time, Protestant and other Christian: Church of Ireland"
DC2614NI0036,Count,PERSONS,"All categories: Sex, Economically active: Employee - Full-time, Protestant and other Christian: Methodist Church in Ireland"
