GeographyCode,DC3606NI0001,DC3606NI0002,DC3606NI0003,DC3606NI0004,DC3606NI0005,DC3606NI0006,DC3606NI0007,DC3606NI0008,DC3606NI0009,DC3606NI0010,DC3606NI0011,DC3606NI0012,DC3606NI0013,DC3606NI0014,DC3606NI0015,DC3606NI0016,DC3606NI0017,DC3606NI0018,DC3606NI0019,DC3606NI0020,DC3606NI0021,DC3606NI0022,DC3606NI0023,DC3606NI0024,DC3606NI0025,DC3606NI0026,DC3606NI0027,DC3606NI0028,DC3606NI0029,DC3606NI0030,DC3606NI0031,DC3606NI0032,DC3606NI0033,DC3606NI0034,DC3606NI0035,DC3606NI0036,DC3606NI0037,DC3606NI0038,DC3606NI0039,DC3606NI0040,DC3606NI0041,DC3606NI0042,DC3606NI0043,DC3606NI0044,DC3606NI0045,DC3606NI0046,DC3606NI0047,DC3606NI0048,DC3606NI0049,DC3606NI0050,DC3606NI0051,DC3606NI0052,DC3606NI0053,DC3606NI0054,DC3606NI0055,DC3606NI0056,DC3606NI0057,DC3606NI0058,DC3606NI0059,DC3606NI0060,DC3606NI0061,DC3606NI0062,DC3606NI0063,DC3606NI0064,DC3606NI0065,DC3606NI0066,DC3606NI0067,DC3606NI0068,DC3606NI0069,DC3606NI0070,DC3606NI0071,DC3606NI0072,DC3606NI0073,DC3606NI0074,DC3606NI0075,DC3606NI0076,DC3606NI0077,DC3606NI0078,DC3606NI0079,DC3606NI0080,DC3606NI0081,DC3606NI0082,DC3606NI0083,DC3606NI0084,DC3606NI0085,DC3606NI0086,DC3606NI0087,DC3606NI0088,DC3606NI0089,DC3606NI0090,DC3606NI0091,DC3606NI0092,DC3606NI0093,DC3606NI0094,DC3606NI0095,DC3606NI0096,DC3606NI0097,DC3606NI0098,DC3606NI0099,DC3606NI0100,DC3606NI0101,DC3606NI0102,DC3606NI0103,DC3606NI0104,DC3606NI0105,DC3606NI0106,DC3606NI0107,DC3606NI0108,DC3606NI0109,DC3606NI0110,DC3606NI0111,DC3606NI0112,DC3606NI0113,DC3606NI0114,DC3606NI0115,DC3606NI0116,DC3606NI0117,DC3606NI0118,DC3606NI0119,DC3606NI0120,DC3606NI0121,DC3606NI0122,DC3606NI0123,DC3606NI0124,DC3606NI0125,DC3606NI0126,DC3606NI0127,DC3606NI0128,DC3606NI0129,DC3606NI0130,DC3606NI0131,DC3606NI0132,DC3606NI0133,DC3606NI0134,DC3606NI0135,DC3606NI0136,DC3606NI0137,DC3606NI0138,DC3606NI0139,DC3606NI0140,DC3606NI0141,DC3606NI0142,DC3606NI0143,DC3606NI0144,DC3606NI0145,DC3606NI0146,DC3606NI0147,DC3606NI0148,DC3606NI0149,DC3606NI0150,DC3606NI0151,DC3606NI0152,DC3606NI0153,DC3606NI0154,DC3606NI0155,DC3606NI0156,DC3606NI0157,DC3606NI0158,DC3606NI0159,DC3606NI0160,DC3606NI0161,DC3606NI0162,DC3606NI0163,DC3606NI0164,DC3606NI0165,DC3606NI0166,DC3606NI0167,DC3606NI0168,DC3606NI0169,DC3606NI0170,DC3606NI0171,DC3606NI0172,DC3606NI0173,DC3606NI0174,DC3606NI0175,DC3606NI0176,DC3606NI0177,DC3606NI0178,DC3606NI0179,DC3606NI0180,DC3606NI0181,DC3606NI0182
95AA01,3177,2473,383,1518,98,270,107,97,704,275,129,157,94,49,83,49,6,29,2,10,1,1,34,22,1,2,6,3,26,14,1,9,0,3,1,0,12,3,2,0,6,1,30,9,2,4,1,1,1,0,21,3,2,0,15,1,182,67,17,30,2,9,6,3,115,62,5,4,41,3,45,14,2,8,2,1,1,0,31,0,7,1,22,1,111,52,14,26,3,4,5,0,59,14,1,4,35,5,223,117,27,66,5,17,2,0,106,57,2,8,36,3,172,103,20,53,2,13,11,4,69,40,5,7,13,4,18,2,0,2,0,0,0,0,16,8,1,0,7,0,144,70,11,40,2,12,1,4,74,51,4,1,17,1,127,79,17,47,4,6,3,2,48,23,0,5,17,3,2453,2038,299,1280,79,214,83,83,415,130,109,134,9,33
95AA02,1319,892,189,543,17,46,57,40,427,232,32,37,99,27,75,30,7,17,1,3,2,0,45,30,1,4,9,1,18,1,0,0,0,1,0,0,17,12,0,0,3,2,28,11,4,6,0,0,1,0,17,6,0,0,10,1,213,49,19,22,0,4,4,0,164,88,5,3,63,5,22,8,4,3,0,0,1,0,14,0,0,0,12,2,110,38,14,20,0,0,4,0,72,19,1,4,45,3,208,56,20,29,1,3,3,0,152,80,4,7,57,4,139,56,8,36,1,4,4,3,83,48,2,3,27,3,27,4,1,3,0,0,0,0,23,10,0,1,11,1,97,24,3,17,1,2,1,0,73,55,2,1,15,0,98,43,15,21,1,3,2,1,55,22,3,4,26,0,801,671,133,416,12,34,40,36,130,66,24,20,5,15
95AA03,1317,840,204,502,7,41,57,29,477,204,42,69,103,59,67,29,3,18,2,2,4,0,38,27,1,1,5,4,21,6,2,3,0,0,1,0,15,9,0,0,4,2,12,6,1,3,0,0,2,0,6,2,0,0,3,1,182,31,10,16,0,2,3,0,151,77,3,5,60,6,31,15,4,2,0,1,3,5,16,0,2,2,9,3,139,57,21,20,2,4,10,0,82,17,0,7,46,12,216,63,19,35,1,4,4,0,153,75,3,8,59,8,146,64,12,36,0,3,9,4,82,39,4,3,31,5,25,5,2,3,0,0,0,0,20,6,0,2,10,2,120,34,5,24,0,1,4,0,86,52,2,2,28,2,80,39,12,23,0,1,3,0,41,16,0,1,20,4,782,598,146,365,5,32,29,21,184,65,31,49,5,34
95AA04,2227,1660,318,800,69,295,72,106,567,244,125,77,75,46,80,40,6,20,3,9,2,0,40,29,1,2,5,3,12,7,2,2,0,1,2,0,5,3,1,0,1,0,15,5,3,2,0,0,0,0,10,1,2,1,5,1,158,50,10,20,9,9,1,1,108,47,8,4,44,5,32,19,7,9,0,0,0,3,13,3,3,0,6,1,90,39,6,18,4,7,3,1,51,12,4,5,27,3,174,90,21,35,11,16,4,3,84,37,5,4,34,4,125,72,21,35,1,8,3,4,53,24,11,4,13,1,14,5,1,2,1,0,1,0,9,5,1,0,3,0,124,54,7,28,1,17,1,0,70,44,1,2,19,4,104,53,15,21,4,8,3,2,51,20,4,4,16,7,1651,1341,244,656,50,242,55,94,310,120,101,57,6,26
95AA05,1924,1362,228,758,34,195,77,70,562,242,99,69,98,54,80,46,5,26,1,13,1,0,34,25,2,2,5,0,18,7,1,5,0,0,0,1,11,6,2,0,2,1,14,1,0,0,0,1,0,0,13,2,1,0,10,0,162,51,5,21,2,16,5,2,111,53,1,5,45,7,21,9,2,3,0,1,3,0,12,2,1,0,8,1,99,33,9,11,0,4,7,2,66,10,2,8,41,5,177,78,19,36,1,16,5,1,99,54,0,5,35,5,122,76,9,45,1,14,3,4,46,15,3,5,16,7,17,4,1,1,0,2,0,0,13,2,0,0,9,2,117,39,2,30,0,6,0,1,78,51,1,5,17,4,104,62,17,31,4,10,0,0,42,15,2,5,17,3,1352,1058,167,602,26,144,58,61,294,120,88,43,10,33
95AA06,3133,2258,503,1231,62,173,126,163,875,276,197,141,206,55,115,59,14,31,2,7,4,1,56,36,2,5,13,0,29,12,3,4,1,2,1,1,17,7,1,1,8,0,33,7,1,5,0,0,1,0,26,3,4,1,18,0,327,82,22,37,7,6,7,3,245,108,7,10,115,5,59,14,2,7,0,0,2,3,45,5,6,1,33,0,211,75,29,31,3,3,7,2,136,22,2,13,89,10,302,101,31,48,6,10,4,2,201,89,4,9,96,3,271,140,37,73,4,9,5,12,131,61,17,13,38,2,31,3,2,0,0,0,0,1,28,10,0,0,18,0,186,66,17,35,2,3,7,2,120,68,4,4,42,2,189,92,21,53,5,10,2,1,97,44,8,8,35,2,2160,1771,380,976,44,133,101,137,389,76,160,101,17,35
95AA07,1592,1112,206,591,35,181,56,43,480,215,64,48,117,36,53,21,7,10,2,1,1,0,32,20,1,1,10,0,17,5,0,5,0,0,0,0,12,4,1,0,6,1,37,3,1,0,0,0,2,0,34,2,2,0,30,0,173,28,11,13,2,2,0,0,145,58,2,4,76,5,41,3,2,0,0,0,0,1,38,3,2,1,29,3,103,37,15,11,1,6,4,0,66,15,0,4,42,5,172,50,16,24,2,7,1,0,122,53,0,6,50,13,117,55,11,27,3,9,4,1,62,28,4,4,21,5,17,1,0,1,0,0,0,0,16,2,1,0,12,1,115,34,4,17,1,10,1,1,81,37,1,2,41,0,94,43,14,22,0,4,1,2,51,28,1,2,16,4,1076,894,150,487,25,146,48,38,182,77,55,32,5,13
95AA08,1262,804,200,434,10,33,88,39,458,182,44,59,136,37,53,20,4,12,0,1,3,0,33,26,0,0,7,0,18,3,1,1,0,0,1,0,15,12,0,0,3,0,14,1,0,1,0,0,0,0,13,0,1,1,11,0,186,37,14,16,3,0,4,0,149,78,2,0,69,0,30,6,1,3,0,0,2,0,24,4,3,3,13,1,133,30,5,16,0,1,6,2,103,25,1,4,67,6,193,56,16,28,2,2,8,0,137,76,2,4,54,1,143,48,16,25,0,1,6,0,95,39,3,10,39,4,26,3,0,3,0,0,0,0,23,4,0,0,19,0,106,28,6,19,0,2,1,0,78,42,0,3,32,1,90,39,9,24,0,2,3,1,51,25,2,4,19,1,764,620,155,332,7,25,65,36,144,42,34,37,6,25
95AA09,1595,1015,233,576,29,39,90,48,580,251,73,78,126,52,96,39,7,26,1,0,4,1,57,37,2,6,8,4,17,3,0,3,0,0,0,0,14,9,0,1,3,1,22,3,0,3,0,0,0,0,19,5,2,0,11,1,211,46,10,25,3,1,6,1,165,78,1,5,74,7,31,7,3,2,0,0,2,0,24,4,5,0,13,2,129,42,15,18,2,2,5,0,87,18,0,8,54,7,229,64,18,36,1,3,6,0,165,79,1,6,73,6,150,61,15,30,2,1,7,6,89,45,5,4,29,6,32,4,1,3,0,0,0,0,28,9,0,1,16,2,115,30,4,22,0,1,2,1,85,40,1,6,33,5,81,30,7,19,0,0,2,2,51,21,2,3,22,3,1026,787,177,446,22,34,68,40,239,89,60,50,10,30
95AA10,1461,900,196,488,19,60,77,60,561,260,53,75,127,46,84,27,6,16,2,0,2,1,57,42,1,1,13,0,28,8,3,3,0,0,1,1,20,14,0,1,5,0,32,4,2,1,0,0,1,0,28,5,2,2,17,2,201,37,12,13,1,2,8,1,164,80,0,6,74,4,38,6,1,2,0,0,2,1,32,4,3,1,15,9,124,37,13,12,0,1,8,3,87,18,0,10,55,4,200,59,19,30,0,1,7,2,141,69,0,10,62,0,141,58,6,38,1,2,4,7,83,34,2,10,35,2,24,1,0,1,0,0,0,0,23,7,0,1,15,0,128,39,13,19,1,3,3,0,89,57,0,1,31,0,109,46,14,22,1,3,5,1,63,26,5,3,24,5,870,672,134,376,13,49,53,47,198,77,43,43,7,28
