GeographyCode,DC4103NI0001,DC4103NI0002,DC4103NI0003,DC4103NI0004,DC4103NI0005,DC4103NI0006,DC4103NI0007,DC4103NI0008,DC4103NI0009,DC4103NI0010,DC4103NI0011,DC4103NI0012,DC4103NI0013,DC4103NI0014,DC4103NI0015,DC4103NI0016,DC4103NI0017,DC4103NI0018,DC4103NI0019,DC4103NI0020,DC4103NI0021,DC4103NI0022,DC4103NI0023,DC4103NI0024,DC4103NI0025,DC4103NI0026,DC4103NI0027,DC4103NI0028,DC4103NI0029,DC4103NI0030,DC4103NI0031,DC4103NI0032,DC4103NI0033,DC4103NI0034,DC4103NI0035,DC4103NI0036,DC4103NI0037,DC4103NI0038,DC4103NI0039,DC4103NI0040,DC4103NI0041,DC4103NI0042,DC4103NI0043,DC4103NI0044,DC4103NI0045,DC4103NI0046,DC4103NI0047,DC4103NI0048,DC4103NI0049,DC4103NI0050,DC4103NI0051,DC4103NI0052,DC4103NI0053,DC4103NI0054,DC4103NI0055,DC4103NI0056,DC4103NI0057,DC4103NI0058,DC4103NI0059,DC4103NI0060,DC4103NI0061,DC4103NI0062,DC4103NI0063,DC4103NI0064,DC4103NI0065,DC4103NI0066,DC4103NI0067,DC4103NI0068,DC4103NI0069,DC4103NI0070,DC4103NI0071,DC4103NI0072,DC4103NI0073,DC4103NI0074,DC4103NI0075,DC4103NI0076,DC4103NI0077,DC4103NI0078,DC4103NI0079,DC4103NI0080,DC4103NI0081,DC4103NI0082,DC4103NI0083,DC4103NI0084,DC4103NI0085,DC4103NI0086,DC4103NI0087,DC4103NI0088,DC4103NI0089,DC4103NI0090,DC4103NI0091,DC4103NI0092,DC4103NI0093,DC4103NI0094,DC4103NI0095,DC4103NI0096
95AA01,1522,113,627,570,132,80,296,67,201,22,2,4,94,37,53,3,1,0,202,30,148,19,1,4,1135,32,405,520,109,69,71,4,39,23,4,1,301,7,99,169,20,6,540,16,180,271,43,30,108,0,11,34,34,29,61,4,46,7,2,2,54,1,30,16,6,1,91,14,21,28,21,7,40,4,4,13,14,5,3,3,0,0,0,0,1,0,0,1,0,0,47,7,17,14,7,2
95AA02,839,287,392,128,25,7,346,189,151,6,0,0,155,93,60,2,0,0,191,96,91,4,0,0,450,85,229,110,20,6,53,14,36,2,1,0,127,20,70,35,2,0,103,8,55,35,4,1,65,11,18,22,10,4,60,16,35,9,0,0,42,16,15,7,3,1,43,13,12,12,5,1,16,2,4,6,3,1,0,0,0,0,0,0,1,1,0,0,0,0,26,10,8,6,2,0
95AA03,845,293,399,129,22,2,323,179,139,5,0,0,123,80,41,2,0,0,200,99,98,3,0,0,479,107,236,115,19,2,54,10,38,6,0,0,100,13,53,31,3,0,124,16,48,52,7,1,43,5,18,13,6,1,103,48,49,3,3,0,55,15,30,10,0,0,43,7,24,9,3,0,15,0,9,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,27,6,15,4,2,0
95AA04,1014,46,312,418,167,71,171,25,123,16,7,0,73,15,53,5,0,0,98,10,70,11,7,0,752,17,171,361,143,60,77,3,40,30,3,1,159,1,41,97,17,3,312,2,46,179,59,26,133,3,13,36,52,29,31,3,21,4,3,0,40,5,10,15,9,1,91,4,18,41,17,11,47,2,4,23,9,9,1,0,0,1,0,0,4,1,3,0,0,0,39,1,11,17,8,2
95AA05,920,86,357,339,93,45,192,50,128,13,0,1,88,23,59,6,0,0,104,27,69,7,0,1,675,33,216,307,80,39,69,4,46,18,0,1,108,5,36,57,7,3,272,5,63,160,33,11,132,1,24,47,36,24,57,13,28,13,3,0,37,5,19,12,1,0,53,3,13,19,13,5,28,2,6,11,6,3,0,0,0,0,0,0,4,0,3,1,0,0,21,1,4,7,7,2
95AA06,1570,251,669,522,93,35,356,153,194,6,2,1,159,94,62,1,1,1,197,59,132,5,1,0,1121,88,443,478,81,31,73,9,54,7,2,1,178,11,80,79,5,3,515,8,147,309,36,15,126,2,32,52,30,10,177,43,107,21,4,2,52,15,23,10,4,0,93,10,32,38,10,3,57,4,18,23,10,2,0,0,0,0,0,0,3,0,3,0,0,0,33,6,11,15,0,1
95AA07,820,107,319,263,85,46,201,67,127,6,1,0,73,30,42,0,1,0,128,37,85,6,0,0,569,32,178,243,76,40,69,2,43,19,5,0,132,4,45,71,10,2,184,5,30,106,28,15,91,1,13,24,30,23,56,16,33,6,1,0,37,4,14,17,2,0,50,8,14,14,8,6,24,2,5,9,3,5,0,0,0,0,0,0,7,4,2,1,0,0,19,2,7,4,5,1
95AA08,699,230,333,100,26,10,215,111,101,2,1,0,67,40,26,0,1,0,148,71,75,2,0,0,436,104,210,88,25,9,48,7,37,3,0,1,68,12,32,19,5,0,103,11,55,31,4,2,69,8,25,17,13,6,100,52,38,10,0,0,48,14,23,8,3,0,48,15,22,10,0,1,21,4,10,7,0,0,0,0,0,0,0,0,2,2,0,0,0,0,25,9,12,3,0,1
95AA09,943,357,370,172,34,10,307,182,120,4,0,1,87,57,29,1,0,0,220,125,91,3,0,1,581,153,237,151,32,8,58,12,29,17,0,0,125,13,67,43,1,1,143,24,54,50,10,5,79,13,20,29,16,1,131,78,45,5,2,1,45,13,22,7,3,0,55,22,13,17,2,1,23,7,5,9,1,1,0,0,0,0,0,0,3,2,1,0,0,0,29,13,7,8,1,0
95AA10,792,228,335,177,40,12,199,104,92,2,1,0,64,32,32,0,0,0,135,72,60,2,1,0,542,109,220,164,37,12,69,9,49,11,0,0,111,14,55,40,2,0,138,13,38,69,14,4,74,3,19,27,18,7,94,48,40,4,2,0,56,22,19,13,1,1,51,15,23,11,2,0,28,6,13,7,2,0,0,0,0,0,0,0,3,1,1,1,0,0,20,8,9,3,0,0
