GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
95AA01,3344,573,2771,2947,454,2493,258,82,176,59,18,41,80,19,61
95AA02,1468,164,1304,1265,125,1140,107,28,79,35,6,29,61,5,56
95AA03,1436,133,1303,1218,100,1118,98,20,78,45,5,40,75,8,67
95AA04,2373,453,1920,1975,333,1642,261,88,173,64,15,49,73,17,56
95AA05,2083,324,1759,1777,245,1532,208,59,149,36,7,29,62,13,49
95AA06,3346,432,2914,2809,315,2494,294,84,210,89,16,73,154,17,137
95AA07,1714,281,1433,1449,201,1248,172,62,110,41,8,33,52,10,42
95AA08,1347,148,1199,1143,112,1031,80,18,62,43,6,37,81,12,69
95AA09,1772,198,1574,1574,147,1427,113,36,77,26,7,19,59,8,51
95AA10,1551,208,1343,1300,164,1136,123,30,93,44,4,40,84,10,74
95AA11,4152,526,3626,3651,423,3228,294,76,218,82,10,72,125,17,108
95AA12,2162,421,1741,1789,295,1494,263,108,155,51,8,43,59,10,49
95AA13,2528,352,2176,2197,251,1946,200,76,124,43,10,33,88,15,73
95AA14,1852,318,1534,1570,230,1340,173,69,104,52,10,42,57,9,48
95AA15,3150,320,2830,2783,262,2521,198,39,159,67,9,58,102,10,92
95AA16,1463,117,1346,1274,83,1191,102,24,78,30,6,24,57,4,53
95AA17,1669,170,1499,1472,127,1345,113,32,81,31,7,24,53,4,49
95AA18,2063,403,1660,1735,295,1440,237,90,147,34,11,23,57,7,50
95AA19,2006,243,1763,1738,169,1569,144,52,92,45,12,33,79,10,69
95BB01,2837,445,2392,2333,321,2012,316,89,227,82,10,72,106,25,81
95BB02,2020,232,1788,1689,170,1519,159,40,119,59,10,49,113,12,101
95BB03,3402,437,2965,2831,322,2509,279,67,212,103,16,87,189,32,157
95BB04,2614,426,2188,2142,300,1842,305,99,206,50,12,38,117,15,102
95BB05,2759,453,2306,2282,341,1941,290,94,196,76,10,66,111,8,103
95BB06,2484,251,2233,2152,194,1958,182,41,141,44,6,38,106,10,96
95BB07,2445,300,2145,2076,233,1843,215,53,162,53,5,48,101,9,92
95BB08,2102,237,1865,1758,177,1581,190,43,147,54,6,48,100,11,89
95BB09,2507,428,2079,2069,309,1760,313,94,219,58,18,40,67,7,60
95BB10,2828,508,2320,2349,370,1979,318,108,210,69,10,59,92,20,72
95BB11,2480,314,2166,2070,223,1847,219,62,157,68,12,56,123,17,106
95BB12,2177,331,1846,1830,247,1583,226,63,163,49,9,40,72,12,60
95BB13,3448,474,2974,2885,351,2534,338,92,246,92,19,73,133,12,121
95BB14,2533,482,2051,2121,372,1749,293,88,205,39,4,35,80,18,62
95BB15,2699,353,2346,2290,266,2024,217,62,155,68,10,58,124,15,109
95BB16,2571,483,2088,2115,363,1752,315,96,219,47,6,41,94,18,76
95BB17,2711,358,2353,2224,272,1952,276,55,221,71,13,58,140,18,122
95BB18,3308,505,2803,2748,371,2377,310,88,222,91,16,75,159,30,129
95BB19,3719,565,3154,3145,451,2694,367,82,285,90,21,69,117,11,106
95BB20,2729,428,2301,2322,332,1990,234,69,165,68,9,59,105,18,87
95BB21,3671,443,3228,3045,329,2716,307,73,234,108,15,93,211,26,185
95BB22,2238,209,2029,1900,176,1724,178,18,160,61,6,55,99,9,90
95BB23,2531,413,2118,2083,305,1778,287,81,206,70,16,54,91,11,80
95CC01,2046,254,1792,1783,201,1582,134,32,102,51,12,39,78,9,69
95CC02,2140,388,1752,1835,292,1543,171,70,101,57,12,45,77,14,63
95CC03,2141,258,1883,1902,202,1700,114,32,82,41,9,32,84,15,69
95CC04,1879,278,1601,1632,199,1433,154,60,94,34,7,27,59,12,47
95CC05,2112,300,1812,1806,219,1587,172,60,112,57,9,48,77,12,65
95CC06,2186,382,1804,1849,286,1563,211,74,137,59,16,43,67,6,61
95CC07,2554,369,2185,2197,266,1931,193,69,124,69,15,54,95,19,76
95CC08,1988,252,1736,1711,189,1522,143,42,101,46,9,37,88,12,76
95CC09,2630,451,2179,2249,341,1908,262,85,177,61,14,47,58,11,47
95CC10,2101,385,1716,1777,285,1492,198,74,124,52,13,39,74,13,61
95CC11,1482,146,1336,1333,123,1210,71,16,55,31,2,29,47,5,42
95CC12,2119,331,1788,1847,256,1591,171,44,127,48,17,31,53,14,39
95CC13,1923,312,1611,1688,243,1445,144,54,90,31,3,28,60,12,48
95CC14,2328,339,1989,1968,248,1720,234,72,162,55,14,41,71,5,66
95CC15,2228,357,1871,1909,271,1638,190,69,121,34,8,26,95,9,86
95CC16,2155,321,1834,1836,238,1598,169,52,117,57,17,40,93,14,79
95CC17,2117,357,1760,1844,271,1573,162,62,100,48,12,36,63,12,51
95CC18,1899,331,1568,1634,256,1378,170,54,116,35,8,27,60,13,47
95CC19,2070,344,1726,1757,254,1503,189,67,122,52,12,40,72,11,61
95CC20,2342,361,1981,1989,281,1708,228,66,162,57,7,50,68,7,61
95CC21,2289,353,1936,1951,264,1687,191,72,119,65,11,54,82,6,76
95CC22,1466,180,1286,1291,136,1155,86,26,60,44,7,37,45,11,34
95DD01,1765,316,1449,1518,244,1274,163,57,106,32,8,24,52,7,45
95DD02,3041,437,2604,2637,356,2281,256,56,200,53,7,46,95,18,77
95DD03,2779,515,2264,2407,414,1993,241,79,162,57,8,49,74,14,60
95DD04,1512,135,1377,1305,107,1198,78,14,64,44,5,39,85,9,76
95DD05,1330,114,1216,1151,82,1069,88,17,71,47,8,39,44,7,37
95DD06,2216,358,1858,1890,267,1623,202,74,128,46,6,40,78,11,67
95DD07,2710,481,2229,2344,366,1978,217,84,133,57,8,49,92,23,69
95DD08,1842,173,1669,1628,134,1494,111,27,84,40,4,36,63,8,55
95DD09,2059,364,1695,1769,275,1494,170,63,107,37,12,25,83,14,69
95DD10,2297,285,2012,1998,221,1777,178,48,130,43,7,36,78,9,69
95DD11,1718,167,1551,1535,140,1395,100,20,80,36,6,30,47,1,46
95DD12,2069,352,1717,1775,261,1514,162,51,111,52,14,38,80,26,54
95DD13,1435,158,1277,1290,121,1169,60,18,42,30,9,21,55,10,45
95DD14,2600,515,2085,2232,392,1840,253,95,158,38,7,31,77,21,56
95DD15,2606,467,2139,2243,350,1893,216,84,132,52,15,37,95,18,77
95DD16,2368,382,1986,2004,289,1715,246,76,170,52,9,43,66,8,58
95DD17,2658,474,2184,2302,369,1933,231,77,154,43,11,32,82,17,65
95DD18,1635,220,1415,1409,173,1236,115,32,83,39,3,36,72,12,60
95DD19,2661,344,2317,2256,258,1998,243,69,174,47,7,40,115,10,105
95DD20,1442,139,1303,1248,117,1131,84,11,73,39,1,38,71,10,61
95DD21,1744,222,1522,1505,159,1346,152,49,103,30,3,27,57,11,46
95DD22,2519,394,2125,2220,322,1898,167,51,116,56,10,46,76,11,65
95DD23,2027,335,1692,1690,263,1427,210,58,152,47,7,40,80,7,73
95DD24,2152,293,1859,1852,224,1628,179,52,127,51,6,45,70,11,59
95EE01,1421,196,1225,1213,140,1073,106,42,64,40,5,35,62,9,53
95EE02,1644,235,1409,1411,188,1223,126,32,94,32,7,25,75,8,67
95EE03,1605,212,1393,1383,158,1225,118,31,87,34,7,27,70,16,54
95EE04,1602,226,1376,1394,181,1213,111,29,82,35,7,28,62,9,53
95EE05,1243,174,1069,1070,128,942,106,35,71,29,4,25,38,7,31
95EE06,1700,245,1455,1467,189,1278,140,41,99,37,4,33,56,11,45
95EE07,1407,155,1252,1242,124,1118,75,22,53,38,5,33,52,4,48
95EE08,1457,231,1226,1240,173,1067,133,44,89,31,7,24,53,7,46
95EE09,1500,265,1235,1315,219,1096,114,38,76,19,3,16,52,5,47
95EE10,1388,159,1229,1228,128,1100,87,27,60,31,3,28,42,1,41
95EE11,1339,214,1125,1161,172,989,106,36,70,32,2,30,40,4,36
95EE12,1968,206,1762,1712,157,1555,123,35,88,51,4,47,82,10,72
95EE13,1280,179,1101,1127,147,980,73,21,52,16,1,15,64,10,54
95EE14,2083,288,1795,1773,231,1542,179,40,139,40,6,34,91,11,80
95EE15,1357,228,1129,1166,167,999,112,42,70,23,5,18,56,14,42
95EE16,1614,226,1388,1387,183,1204,117,31,86,50,8,42,60,4,56
95FF01,3660,595,3065,3124,464,2660,334,94,240,86,18,68,116,19,97
95FF02,2105,355,1750,1776,252,1524,198,77,121,50,10,40,81,16,65
95FF03,2304,287,2017,1967,223,1744,178,45,133,64,11,53,95,8,87
95FF04,2038,378,1660,1718,273,1445,214,85,129,38,5,33,68,15,53
95FF05,2045,265,1780,1749,192,1557,172,50,122,50,14,36,74,9,65
95FF06,3093,516,2577,2647,395,2252,281,86,195,67,22,45,98,13,85
95FF07,2091,218,1873,1793,169,1624,146,31,115,58,7,51,94,11,83
95FF08,1941,256,1685,1649,195,1454,160,36,124,39,11,28,93,14,79
95FF09,1935,230,1705,1622,167,1455,162,48,114,62,6,56,89,9,80
95FF10,2625,413,2212,2236,319,1917,230,71,159,54,9,45,105,14,91
95FF11,2014,323,1691,1718,255,1463,191,55,136,46,9,37,59,4,55
95FF12,2184,325,1859,1809,225,1584,217,67,150,66,14,52,92,19,73
95FF13,2087,366,1721,1730,268,1462,192,67,125,59,10,49,106,21,85
95FF14,1917,390,1527,1627,300,1327,177,59,118,45,12,33,68,19,49
95FF15,2144,265,1879,1820,204,1616,186,43,143,47,7,40,91,11,80
95FF16,1910,319,1591,1632,235,1397,169,61,108,48,15,33,61,8,53
95FF17,1434,135,1299,1268,110,1158,93,14,79,27,2,25,46,9,37
95GG01,4151,499,3652,3431,364,3067,279,79,200,150,26,124,291,30,261
95GG02,4454,379,4075,3766,296,3470,241,32,209,182,24,158,265,27,238
95GG03,4897,1077,3820,4158,850,3308,509,182,327,83,16,67,147,29,118
95GG04,3862,340,3522,3336,281,3055,225,35,190,112,10,102,189,14,175
95GG05,5043,1003,4040,4521,853,3668,330,112,218,101,19,82,91,19,72
95GG06,4503,483,4020,3792,355,3437,368,87,281,122,13,109,221,28,193
95GG07,4242,384,3858,3570,292,3278,290,55,235,173,18,155,209,19,190
95GG08,3870,481,3389,3278,358,2920,321,89,232,108,14,94,163,20,143
95GG09,5018,850,4168,4207,644,3563,487,157,330,122,17,105,202,32,170
95GG10,3388,454,2934,3008,381,2627,189,49,140,80,14,66,111,10,101
95GG11,4544,703,3841,3944,574,3370,343,94,249,96,20,76,161,15,146
95GG12,8071,1991,6080,7465,1840,5625,389,127,262,103,18,85,114,6,108
95GG13,3820,556,3264,3219,403,2816,316,105,211,120,23,97,165,25,140
95GG14,3890,825,3065,3219,634,2585,436,141,295,95,26,69,140,24,116
95GG15,4901,964,3937,4167,738,3429,515,188,327,67,14,53,152,24,128
95GG16,4343,716,3627,3716,554,3162,353,119,234,117,24,93,157,19,138
95GG17,4048,462,3586,3388,341,3047,306,74,232,147,20,127,207,27,180
95GG18,3841,351,3490,3234,265,2969,240,56,184,151,15,136,216,15,201
95GG19,3619,184,3435,3090,141,2949,174,25,149,130,8,122,225,10,215
95GG20,3992,405,3587,3502,341,3161,192,41,151,119,12,107,179,11,168
95GG21,4134,339,3795,3538,265,3273,217,34,183,158,20,138,221,20,201
95GG22,4400,538,3862,3634,396,3238,392,88,304,137,18,119,237,36,201
95GG23,3766,694,3072,3105,497,2608,444,154,290,71,20,51,146,23,123
95GG24,3756,570,3186,3163,414,2749,343,118,225,98,22,76,152,16,136
95GG25,4483,545,3938,3714,386,3328,351,100,251,162,27,135,256,32,224
95GG26,2990,261,2729,2554,197,2357,185,42,143,103,6,97,148,16,132
95GG27,5057,487,4570,4185,382,3803,358,63,295,216,21,195,298,21,277
95GG28,4393,400,3993,3646,285,3361,364,75,289,137,18,119,246,22,224
95GG29,3992,487,3505,3508,418,3090,212,44,168,102,10,92,170,15,155
95GG30,3947,658,3289,3315,519,2796,383,103,280,82,13,69,167,23,144
95GG31,5115,603,4512,4173,439,3734,434,97,337,192,24,168,316,43,273
95GG32,4915,544,4371,4114,410,3704,359,84,275,168,26,142,274,24,250
95GG33,4534,1157,3377,3772,881,2891,579,220,359,77,25,52,106,31,75
95GG34,4057,669,3388,3369,530,2839,428,105,323,91,18,73,169,16,153
95GG35,3931,320,3611,3350,246,3104,177,32,145,133,17,116,271,25,246
95GG36,4625,791,3834,3887,610,3277,484,142,342,87,15,72,167,24,143
95GG37,5118,1028,4090,4407,805,3602,488,181,307,81,18,63,142,24,118
95GG38,5511,1154,4357,4769,928,3841,530,175,355,87,33,54,125,18,107
95GG39,6134,833,5301,5426,722,4704,315,82,233,179,13,166,214,16,198
95GG40,3020,176,2844,2633,145,2488,144,21,123,70,1,69,173,9,164
95GG41,4523,1167,3356,3748,888,2860,553,233,320,84,19,65,138,27,111
95GG42,7120,2189,4931,6340,1889,4451,593,261,332,80,19,61,107,20,87
95GG43,4087,513,3574,3561,425,3136,292,69,223,70,6,64,164,13,151
95GG44,4484,443,4041,3946,368,3578,235,48,187,114,11,103,189,16,173
95GG45,3956,699,3257,3294,509,2785,394,147,247,97,16,81,171,27,144
95GG46,4092,383,3709,3378,285,3093,263,58,205,165,11,154,286,29,257
95GG47,4629,589,4040,3963,470,3493,295,79,216,139,15,124,232,25,207
95GG48,4142,310,3832,3423,237,3186,236,40,196,178,15,163,305,18,287
95GG49,7475,1968,5507,6877,1776,5101,409,150,259,80,27,53,109,15,94
95GG50,4477,535,3942,3938,442,3496,268,63,205,103,12,91,168,18,150
95GG51,3319,250,3069,2809,185,2624,192,39,153,128,10,118,190,16,174
95HH01,1711,283,1428,1444,211,1233,163,46,117,43,11,32,61,15,46
95HH02,2293,404,1889,1914,315,1599,240,70,170,41,7,34,98,12,86
95HH03,1404,259,1145,1131,179,952,162,53,109,39,11,28,72,16,56
95HH04,2531,371,2160,2106,282,1824,250,65,185,67,14,53,108,10,98
95HH05,1630,136,1494,1405,107,1298,94,18,76,43,3,40,88,8,80
95HH06,3611,562,3049,3077,408,2669,337,112,225,68,13,55,129,29,100
95HH07,1234,139,1095,1065,104,961,89,25,64,24,4,20,56,6,50
95HH08,2169,410,1759,1804,309,1495,253,81,172,38,8,30,74,12,62
95HH09,2301,300,2001,2024,250,1774,158,33,125,43,9,34,76,8,68
95HH10,1923,396,1527,1582,291,1291,236,77,159,47,13,34,58,15,43
95HH11,1143,87,1056,983,67,916,89,14,75,19,3,16,52,3,49
95HH12,1252,168,1084,1027,120,907,110,30,80,35,6,29,80,12,68
95HH13,1052,94,958,898,77,821,73,9,64,25,1,24,56,7,49
95HH14,1281,141,1140,1102,110,992,81,20,61,27,2,25,71,9,62
