GeographyCode,DC2104NI0001,DC2104NI0002,DC2104NI0003,DC2104NI0004,DC2104NI0005,DC2104NI0006,DC2104NI0007,DC2104NI0008,DC2104NI0009,DC2104NI0010,DC2104NI0011,DC2104NI0012,DC2104NI0013,DC2104NI0014,DC2104NI0015,DC2104NI0016,DC2104NI0017,DC2104NI0018,DC2104NI0019,DC2104NI0020,DC2104NI0021,DC2104NI0022,DC2104NI0023,DC2104NI0024,DC2104NI0025,DC2104NI0026,DC2104NI0027,DC2104NI0028,DC2104NI0029,DC2104NI0030,DC2104NI0031,DC2104NI0032,DC2104NI0033,DC2104NI0034,DC2104NI0035,DC2104NI0036,DC2104NI0037,DC2104NI0038,DC2104NI0039,DC2104NI0040,DC2104NI0041,DC2104NI0042,DC2104NI0043,DC2104NI0044,DC2104NI0045,DC2104NI0046,DC2104NI0047,DC2104NI0048,DC2104NI0049,DC2104NI0050,DC2104NI0051,DC2104NI0052,DC2104NI0053,DC2104NI0054,DC2104NI0055,DC2104NI0056,DC2104NI0057,DC2104NI0058,DC2104NI0059,DC2104NI0060,DC2104NI0061,DC2104NI0062,DC2104NI0063,DC2104NI0064,DC2104NI0065,DC2104NI0066,DC2104NI0067,DC2104NI0068,DC2104NI0069,DC2104NI0070,DC2104NI0071,DC2104NI0072,DC2104NI0073,DC2104NI0074,DC2104NI0075,DC2104NI0076,DC2104NI0077,DC2104NI0078,DC2104NI0079,DC2104NI0080,DC2104NI0081,DC2104NI0082,DC2104NI0083,DC2104NI0084,DC2104NI0085,DC2104NI0086,DC2104NI0087,DC2104NI0088,DC2104NI0089,DC2104NI0090,DC2104NI0091,DC2104NI0092,DC2104NI0093,DC2104NI0094,DC2104NI0095,DC2104NI0096,DC2104NI0097,DC2104NI0098,DC2104NI0099,DC2104NI0100,DC2104NI0101,DC2104NI0102,DC2104NI0103,DC2104NI0104,DC2104NI0105,DC2104NI0106,DC2104NI0107,DC2104NI0108,DC2104NI0109,DC2104NI0110,DC2104NI0111,DC2104NI0112,DC2104NI0113,DC2104NI0114,DC2104NI0115,DC2104NI0116,DC2104NI0117,DC2104NI0118,DC2104NI0119,DC2104NI0120,DC2104NI0121,DC2104NI0122,DC2104NI0123,DC2104NI0124,DC2104NI0125,DC2104NI0126,DC2104NI0127,DC2104NI0128,DC2104NI0129,DC2104NI0130,DC2104NI0131,DC2104NI0132,DC2104NI0133,DC2104NI0134,DC2104NI0135,DC2104NI0136,DC2104NI0137,DC2104NI0138,DC2104NI0139,DC2104NI0140,DC2104NI0141,DC2104NI0142,DC2104NI0143,DC2104NI0144,DC2104NI0145,DC2104NI0146,DC2104NI0147,DC2104NI0148,DC2104NI0149,DC2104NI0150,DC2104NI0151,DC2104NI0152,DC2104NI0153,DC2104NI0154,DC2104NI0155,DC2104NI0156,DC2104NI0157,DC2104NI0158,DC2104NI0159,DC2104NI0160
N92000002,1409368,1388520,1387763,757,13815,4798,4386,749,351,3531,2574,306,1676,592,2655,1804,750247,737832,737610,222,9053,2671,3259,443,225,2455,1316,191,864,261,1095,951,662810,651867,651694,173,8303,2272,3116,421,212,2282,1024,154,675,195,829,787,87437,85965,85916,49,750,399,143,22,13,173,292,37,189,66,266,164,659121,650688,650153,535,4762,2127,1127,306,126,1076,1258,115,812,331,1560,853,443578,437699,437417,282,3261,1534,762,194,62,709,746,72,462,212,1310,562,15152,14102,14081,21,744,292,187,38,44,183,189,6,133,50,61,56,48233,47671,47521,150,234,87,48,22,11,66,181,16,123,42,80,67,63601,63024,62990,34,290,121,63,38,7,61,99,15,61,23,69,119,88557,88192,88144,48,233,93,67,14,2,57,43,6,33,4,40,49
BHSCT,277668,269346,269210,136,5958,2093,1836,213,155,1661,1010,88,837,85,799,555,123308,118599,118573,26,3666,1077,1279,125,88,1097,462,52,378,32,317,264,103016,98945,98929,16,3307,869,1216,118,84,1020,340,34,285,21,222,202,20292,19654,19644,10,359,208,63,7,4,77,122,18,93,11,95,62,154360,150747,150637,110,2292,1016,557,88,67,564,548,36,459,53,482,291,104900,102319,102258,61,1653,777,392,52,31,401,322,26,265,31,408,198,3068,2617,2613,4,351,116,114,16,24,81,68,2,64,2,16,16,12224,11971,11946,25,108,41,16,11,6,34,96,4,80,12,22,27,14570,14373,14365,8,88,35,22,5,4,22,46,2,37,7,25,38,19598,19467,19455,12,92,47,13,4,2,26,16,2,13,1,11,12
NHSCT,360672,356726,356612,114,2732,1054,914,192,28,544,386,62,255,69,546,282,204341,201882,201851,31,1807,597,707,104,19,380,226,48,144,34,246,180,182300,180102,180076,26,1660,517,677,97,18,351,189,47,114,28,194,155,22041,21780,21775,5,147,80,30,7,1,29,37,1,30,6,52,25,156331,154844,154761,83,925,457,207,88,9,164,160,14,111,35,300,102,103463,102453,102402,51,609,318,128,55,5,103,89,8,53,28,260,52,3713,3527,3526,1,135,70,24,10,3,28,38,2,33,3,6,7,10993,10902,10885,17,47,20,10,8,0,9,19,0,16,3,14,11,15755,15633,15626,7,73,33,18,8,1,13,7,2,5,0,17,25,22407,22329,22322,7,61,16,27,7,0,11,7,2,4,1,3,7
SEHSCT,270942,267728,267651,77,1989,693,578,102,125,491,420,64,242,114,522,283,157144,155004,154977,27,1441,437,477,69,88,370,285,40,167,78,235,179,139192,137253,137234,19,1344,385,462,64,85,348,254,33,153,68,184,157,17952,17751,17743,8,97,52,15,5,3,22,31,7,14,10,51,22,113798,112724,112674,50,548,256,101,33,37,121,135,24,75,36,287,104,73120,72374,72346,28,353,188,64,17,20,64,77,14,39,24,248,68,2494,2395,2394,1,76,17,18,3,11,27,13,0,12,1,5,5,8414,8324,8314,10,39,12,5,2,4,16,30,9,12,9,17,4,12937,12844,12841,3,57,29,6,10,2,10,10,1,7,2,8,18,16833,16787,16779,8,23,10,8,1,0,4,5,0,5,0,9,9
SHSCT,274244,270984,270708,276,1754,597,447,169,32,509,575,39,259,277,473,458,150898,149083,149001,82,1161,340,337,102,22,360,256,22,135,99,185,213,135048,133478,133413,65,1079,308,321,102,18,330,182,19,96,67,134,175,15850,15605,15588,17,82,32,16,0,4,30,74,3,39,32,51,38,123346,121901,121707,194,593,257,110,67,10,149,319,17,124,178,288,245,84561,83561,83466,95,400,170,80,46,4,100,196,7,77,112,232,172,3163,2941,2934,7,110,55,14,7,6,28,68,2,22,44,20,24,8299,8226,8154,72,14,6,4,0,0,4,29,1,11,17,15,15,11020,10931,10920,11,38,11,8,13,0,6,20,6,10,4,11,20,16303,16242,16233,9,31,15,4,1,0,11,6,1,4,1,10,14
WHSCT,225842,223736,223582,154,1382,361,611,73,11,326,183,53,83,47,315,226,114556,113264,113208,56,978,220,459,43,8,248,87,29,40,18,112,115,103254,102089,102042,47,913,193,440,40,7,233,59,21,27,11,95,98,11302,11175,11166,9,65,27,19,3,1,15,28,8,13,7,17,17,111286,110472,110374,98,404,141,152,30,3,78,96,24,43,29,203,111,77534,76992,76945,47,246,81,98,24,2,41,62,17,28,17,162,72,2714,2622,2614,8,72,34,17,2,0,19,2,0,2,0,14,4,8303,8248,8222,26,26,8,13,1,1,3,7,2,4,1,12,10,9319,9243,9238,5,34,13,9,2,0,10,16,4,2,10,8,18,13416,13367,13355,12,26,5,15,1,0,5,9,1,7,1,7,7
BELB,224006,216964,216832,132,4971,1719,1626,153,131,1342,917,78,758,81,680,474,92136,88312,88288,24,2948,828,1105,84,71,860,399,44,324,31,264,213,75410,72167,72152,15,2623,633,1046,80,68,796,286,28,238,20,179,155,16726,16145,16136,9,325,195,59,4,3,64,113,16,86,11,85,58,131870,128652,128544,108,2023,891,521,69,60,482,518,34,434,50,416,261,90726,88418,88358,60,1467,685,365,40,27,350,309,26,252,31,353,179,2602,2195,2191,4,313,99,112,13,22,67,65,2,61,2,15,14,10773,10552,10527,25,91,33,15,9,5,29,89,4,76,9,17,24,12050,11875,11868,7,78,33,19,5,4,17,41,1,33,7,21,35,15719,15612,15600,12,74,41,10,2,2,19,14,1,12,1,10,9
NEELB,332245,328512,328403,109,2613,976,897,183,28,529,316,56,212,48,531,273,188793,186448,186418,30,1732,548,695,99,19,371,199,43,128,28,238,176,168102,165997,165972,25,1591,471,665,93,18,344,175,42,108,25,187,152,20691,20451,20446,5,141,77,30,6,1,27,24,1,20,3,51,24,143452,142064,141985,79,881,428,202,84,9,158,117,13,84,20,293,97,94315,93369,93321,48,579,297,124,53,5,100,60,8,38,14,256,51,3356,3183,3182,1,128,65,24,8,3,28,33,1,30,2,6,6,10213,10131,10114,17,47,20,10,8,0,9,14,0,11,3,11,10,14777,14667,14660,7,67,30,17,8,1,11,3,2,1,0,17,23,20791,20714,20708,6,60,16,27,7,0,10,7,2,4,1,3,7
SEELB,324604,320110,320029,81,2976,1067,788,162,149,810,513,74,321,118,641,364,188316,185291,185262,29,2159,686,651,110,105,607,348,48,221,79,288,230,166798,164031,164011,20,2028,621,632,102,101,572,308,39,200,69,227,204,21518,21260,21251,9,131,65,19,8,4,35,40,9,21,10,61,26,136288,134819,134767,52,817,381,137,52,44,203,165,26,100,39,353,134,87294,86275,86246,29,539,280,91,29,24,115,90,14,52,24,303,87,2960,2817,2816,1,114,34,20,6,13,41,16,0,15,1,6,7,9865,9743,9733,10,56,20,6,4,5,21,37,9,16,12,22,7,15457,15342,15338,4,67,31,9,10,2,15,15,2,11,2,12,21,20712,20642,20634,8,41,16,11,3,0,11,7,1,6,0,10,12
SELB,302671,299198,298917,281,1873,675,464,178,32,524,645,45,302,298,488,467,166446,164517,164434,83,1236,389,349,107,22,369,283,27,151,105,193,217,149246,147583,147517,66,1148,354,333,106,18,337,196,24,102,70,141,178,17200,16934,16917,17,88,35,16,1,4,32,87,3,49,35,52,39,136225,134681,134483,198,637,286,115,71,10,155,362,18,151,193,295,250,93709,92645,92547,98,430,191,84,48,4,103,225,7,92,126,236,173,3520,3285,3278,7,117,60,14,9,6,28,73,3,25,45,20,25,9079,8997,8925,72,14,6,4,0,0,4,34,1,16,17,18,16,11998,11897,11886,11,44,14,9,13,0,8,24,6,14,4,11,22,17919,17857,17847,10,32,15,4,1,0,12,6,1,4,1,10,14
