GeographyCode,DC2106NI0001,DC2106NI0002,DC2106NI0003,DC2106NI0004,DC2106NI0005,DC2106NI0006,DC2106NI0007,DC2106NI0008,DC2106NI0009,DC2106NI0010,DC2106NI0011,DC2106NI0012,DC2106NI0013,DC2106NI0014,DC2106NI0015,DC2106NI0016,DC2106NI0017,DC2106NI0018,DC2106NI0019,DC2106NI0020,DC2106NI0021,DC2106NI0022,DC2106NI0023,DC2106NI0024,DC2106NI0025,DC2106NI0026,DC2106NI0027,DC2106NI0028,DC2106NI0029,DC2106NI0030,DC2106NI0031,DC2106NI0032,DC2106NI0033,DC2106NI0034,DC2106NI0035,DC2106NI0036,DC2106NI0037,DC2106NI0038,DC2106NI0039,DC2106NI0040,DC2106NI0041,DC2106NI0042,DC2106NI0043,DC2106NI0044,DC2106NI0045,DC2106NI0046,DC2106NI0047,DC2106NI0048,DC2106NI0049,DC2106NI0050,DC2106NI0051,DC2106NI0052,DC2106NI0053,DC2106NI0054,DC2106NI0055,DC2106NI0056,DC2106NI0057,DC2106NI0058,DC2106NI0059,DC2106NI0060,DC2106NI0061,DC2106NI0062,DC2106NI0063,DC2106NI0064,DC2106NI0065,DC2106NI0066,DC2106NI0067,DC2106NI0068,DC2106NI0069,DC2106NI0070,DC2106NI0071,DC2106NI0072,DC2106NI0073,DC2106NI0074,DC2106NI0075,DC2106NI0076,DC2106NI0077,DC2106NI0078,DC2106NI0079,DC2106NI0080,DC2106NI0081,DC2106NI0082,DC2106NI0083,DC2106NI0084,DC2106NI0085,DC2106NI0086,DC2106NI0087,DC2106NI0088,DC2106NI0089,DC2106NI0090,DC2106NI0091,DC2106NI0092,DC2106NI0093,DC2106NI0094,DC2106NI0095,DC2106NI0096,DC2106NI0097,DC2106NI0098,DC2106NI0099,DC2106NI0100,DC2106NI0101,DC2106NI0102,DC2106NI0103,DC2106NI0104,DC2106NI0105,DC2106NI0106,DC2106NI0107,DC2106NI0108,DC2106NI0109,DC2106NI0110,DC2106NI0111,DC2106NI0112,DC2106NI0113,DC2106NI0114,DC2106NI0115,DC2106NI0116,DC2106NI0117,DC2106NI0118,DC2106NI0119,DC2106NI0120,DC2106NI0121,DC2106NI0122,DC2106NI0123,DC2106NI0124,DC2106NI0125,DC2106NI0126,DC2106NI0127,DC2106NI0128,DC2106NI0129,DC2106NI0130,DC2106NI0131,DC2106NI0132,DC2106NI0133,DC2106NI0134,DC2106NI0135,DC2106NI0136,DC2106NI0137,DC2106NI0138,DC2106NI0139,DC2106NI0140,DC2106NI0141,DC2106NI0142,DC2106NI0143,DC2106NI0144,DC2106NI0145,DC2106NI0146,DC2106NI0147,DC2106NI0148,DC2106NI0149,DC2106NI0150,DC2106NI0151,DC2106NI0152,DC2106NI0153,DC2106NI0154,DC2106NI0155,DC2106NI0156,DC2106NI0157,DC2106NI0158,DC2106NI0159,DC2106NI0160,DC2106NI0161,DC2106NI0162,DC2106NI0163,DC2106NI0164,DC2106NI0165,DC2106NI0166,DC2106NI0167,DC2106NI0168,DC2106NI0169,DC2106NI0170,DC2106NI0171,DC2106NI0172,DC2106NI0173,DC2106NI0174,DC2106NI0175,DC2106NI0176,DC2106NI0177,DC2106NI0178,DC2106NI0179,DC2106NI0180,DC2106NI0181,DC2106NI0182,DC2106NI0183,DC2106NI0184,DC2106NI0185,DC2106NI0186,DC2106NI0187,DC2106NI0188,DC2106NI0189,DC2106NI0190,DC2106NI0191,DC2106NI0192,DC2106NI0193,DC2106NI0194,DC2106NI0195,DC2106NI0196,DC2106NI0197,DC2106NI0198,DC2106NI0199,DC2106NI0200,DC2106NI0201,DC2106NI0202,DC2106NI0203,DC2106NI0204,DC2106NI0205,DC2106NI0206,DC2106NI0207,DC2106NI0208,DC2106NI0209,DC2106NI0210,DC2106NI0211,DC2106NI0212,DC2106NI0213,DC2106NI0214,DC2106NI0215,DC2106NI0216,DC2106NI0217,DC2106NI0218,DC2106NI0219,DC2106NI0220,DC2106NI0221,DC2106NI0222,DC2106NI0223,DC2106NI0224,DC2106NI0225,DC2106NI0226,DC2106NI0227,DC2106NI0228,DC2106NI0229,DC2106NI0230,DC2106NI0231,DC2106NI0232,DC2106NI0233,DC2106NI0234,DC2106NI0235,DC2106NI0236,DC2106NI0237,DC2106NI0238,DC2106NI0239,DC2106NI0240,DC2106NI0241,DC2106NI0242,DC2106NI0243,DC2106NI0244,DC2106NI0245,DC2106NI0246,DC2106NI0247,DC2106NI0248,DC2106NI0249,DC2106NI0250,DC2106NI0251,DC2106NI0252,DC2106NI0253,DC2106NI0254,DC2106NI0255,DC2106NI0256,DC2106NI0257,DC2106NI0258,DC2106NI0259,DC2106NI0260,DC2106NI0261,DC2106NI0262,DC2106NI0263,DC2106NI0264,DC2106NI0265,DC2106NI0266,DC2106NI0267,DC2106NI0268,DC2106NI0269,DC2106NI0270,DC2106NI0271,DC2106NI0272,DC2106NI0273,DC2106NI0274,DC2106NI0275,DC2106NI0276,DC2106NI0277,DC2106NI0278,DC2106NI0279,DC2106NI0280,DC2106NI0281,DC2106NI0282,DC2106NI0283,DC2106NI0284,DC2106NI0285,DC2106NI0286,DC2106NI0287,DC2106NI0288,DC2106NI0289,DC2106NI0290,DC2106NI0291,DC2106NI0292,DC2106NI0293,DC2106NI0294,DC2106NI0295,DC2106NI0296,DC2106NI0297,DC2106NI0298,DC2106NI0299,DC2106NI0300,DC2106NI0301,DC2106NI0302,DC2106NI0303,DC2106NI0304,DC2106NI0305,DC2106NI0306,DC2106NI0307,DC2106NI0308,DC2106NI0309,DC2106NI0310,DC2106NI0311,DC2106NI0312,DC2106NI0313,DC2106NI0314,DC2106NI0315,DC2106NI0316,DC2106NI0317,DC2106NI0318,DC2106NI0319,DC2106NI0320,DC2106NI0321,DC2106NI0322,DC2106NI0323,DC2106NI0324,DC2106NI0325,DC2106NI0326,DC2106NI0327,DC2106NI0328,DC2106NI0329,DC2106NI0330,DC2106NI0331,DC2106NI0332,DC2106NI0333,DC2106NI0334,DC2106NI0335,DC2106NI0336,DC2106NI0337,DC2106NI0338,DC2106NI0339,DC2106NI0340,DC2106NI0341,DC2106NI0342,DC2106NI0343,DC2106NI0344,DC2106NI0345,DC2106NI0346,DC2106NI0347,DC2106NI0348,DC2106NI0349,DC2106NI0350,DC2106NI0351,DC2106NI0352,DC2106NI0353,DC2106NI0354,DC2106NI0355,DC2106NI0356,DC2106NI0357,DC2106NI0358,DC2106NI0359,DC2106NI0360,DC2106NI0361,DC2106NI0362,DC2106NI0363,DC2106NI0364,DC2106NI0365,DC2106NI0366,DC2106NI0367,DC2106NI0368,DC2106NI0369,DC2106NI0370,DC2106NI0371,DC2106NI0372,DC2106NI0373,DC2106NI0374,DC2106NI0375,DC2106NI0376,DC2106NI0377,DC2106NI0378,DC2106NI0379,DC2106NI0380,DC2106NI0381,DC2106NI0382,DC2106NI0383,DC2106NI0384,DC2106NI0385,DC2106NI0386,DC2106NI0387,DC2106NI0388,DC2106NI0389,DC2106NI0390
N92000002,1810863,876577,513390,533085,18041,9374,1772,6712,34417,19770,7017,7630,20755,379323,171230,119271,115764,2304,929,205,1183,7981,4974,1652,1355,4468,227634,100679,73537,67490,2356,801,163,794,4343,2057,1247,1039,2367,243938,98753,75596,73127,2419,1443,240,1784,13614,8204,2329,3081,5619,254108,120203,72850,74417,3217,1794,348,1578,5163,2904,977,1282,4598,248578,126361,70299,69570,2793,1762,282,818,2489,1199,617,673,2084,193562,105397,48144,55789,2178,1248,256,340,719,381,169,169,975,145600,83772,31024,43323,1540,742,166,145,75,36,17,22,391,86724,50823,17026,25270,840,467,79,51,24,10,8,6,210,31396,19359,5643,8335,394,188,33,19,9,5,1,3,43,887323,426879,256817,258542,9751,4918,1018,3531,17724,10356,3425,3943,10487,194392,87672,61177,59218,1192,498,113,629,4136,2517,891,728,2340,115789,52028,37443,33978,1279,414,79,401,1989,946,584,459,1159,119005,47956,37586,35214,1323,707,116,899,6909,4226,1128,1555,2752,124690,58404,36454,35843,1789,1015,216,868,2963,1749,499,715,2375,122827,62128,35424,33699,1594,1005,172,457,1325,678,257,390,1079,95982,52375,24553,26901,1215,678,170,185,362,226,56,80,477,69076,39582,15217,20313,860,353,100,66,30,10,8,12,201,35951,20831,7236,10743,370,187,37,21,5,2,1,2,90,9611,5903,1727,2633,129,61,15,5,5,2,1,2,14,923540,449698,256573,274543,8290,4456,754,3181,16693,9414,3592,3687,10268,184931,83558,58094,56546,1112,431,92,554,3845,2457,761,627,2128,111845,48651,36094,33512,1077,387,84,393,2354,1111,663,580,1208,124933,50797,38010,37913,1096,736,124,885,6705,3978,1201,1526,2867,129418,61799,36396,38574,1428,779,132,710,2200,1155,478,567,2223,125751,64233,34875,35871,1199,757,110,361,1164,521,360,283,1005,97580,53022,23591,28888,963,570,86,155,357,155,113,89,498,76524,44190,15807,23010,680,389,66,79,45,26,9,10,190,50773,29992,9790,14527,470,280,42,30,19,8,7,4,120,21785,13456,3916,5702,265,127,18,14,4,3,0,1,29
BHSCT,348204,165783,107535,96406,3107,1843,349,1725,6286,4490,313,1483,8047,65125,29157,22488,17865,309,147,38,206,1207,924,47,236,1526,50508,20859,18700,14613,618,220,48,244,746,474,70,202,1097,52889,20116,17541,15375,521,355,65,609,2927,2102,124,701,2684,46245,21126,14289,12765,537,348,61,396,897,637,42,218,1704,46954,23671,14531,12300,431,329,44,178,357,246,19,92,601,33778,18690,9101,9058,325,226,49,52,129,90,11,28,282,26786,15937,5977,7516,175,100,26,25,18,12,0,6,86,18752,11507,3716,5108,123,76,11,12,3,3,0,0,58,7167,4720,1192,1806,68,42,7,3,2,2,0,0,9,167364,79197,52567,46267,1664,1038,194,876,3239,2361,138,740,4167,33310,14922,11468,9092,167,81,23,118,619,470,26,123,786,24656,10387,9197,7144,282,109,24,110,315,201,26,88,525,25893,9752,8717,7658,281,185,26,295,1500,1106,50,344,1402,22793,10432,6996,6281,306,223,38,209,544,393,27,124,934,22534,11328,7041,5793,255,198,28,95,188,132,7,49,324,16687,9327,4596,4318,197,139,35,29,63,54,2,7,129,12144,7222,2793,3393,96,54,14,13,9,4,0,5,42,7233,4442,1424,2006,55,34,4,6,0,0,0,0,22,2114,1385,335,582,25,15,2,1,1,1,0,0,3,180840,86586,54968,50139,1443,805,155,849,3047,2129,175,743,3880,31815,14235,11020,8773,142,66,15,88,588,454,21,113,740,25852,10472,9503,7469,336,111,24,134,431,273,44,114,572,26996,10364,8824,7717,240,170,39,314,1427,996,74,357,1282,23452,10694,7293,6484,231,125,23,187,353,244,15,94,770,24420,12343,7490,6507,176,131,16,83,169,114,12,43,277,17091,9363,4505,4740,128,87,14,23,66,36,9,21,153,14642,8715,3184,4123,79,46,12,12,9,8,0,1,44,11519,7065,2292,3102,68,42,7,6,3,3,0,0,36,5053,3335,857,1224,43,27,5,2,1,1,0,0,6
NHSCT,463297,273012,85771,141688,4581,2639,440,1126,7651,4552,847,2252,4058,96425,53639,20250,31246,603,277,50,234,1814,1249,199,366,856,56365,31247,12050,17673,495,182,33,145,876,450,141,285,467,58602,29811,11973,19177,585,403,51,246,3114,1845,310,959,964,66054,38257,12763,20149,808,490,81,255,1156,672,112,372,894,64435,39836,11683,18416,748,504,67,146,515,243,65,207,524,50990,33087,7864,14843,588,346,74,63,156,84,18,54,203,39315,26200,5342,11464,438,234,54,26,13,6,1,6,96,23063,15468,2915,6532,218,147,25,8,6,3,1,2,47,8048,5467,931,2188,98,56,5,3,1,0,0,1,7,227074,132632,43578,68921,2479,1367,247,582,4048,2390,411,1247,2011,49293,27326,10356,15934,330,147,28,120,946,630,108,208,459,28811,16177,6142,8879,259,98,15,84,404,209,61,134,233,28426,14270,6094,9162,312,194,25,113,1620,945,144,531,442,32253,18319,6582,9750,453,270,49,132,691,418,61,212,442,32060,19620,6077,9043,425,272,35,82,292,136,29,127,257,25267,16372,4087,7176,322,201,47,30,89,50,7,32,107,18620,12357,2646,5398,249,106,30,16,4,1,1,2,47,9814,6477,1310,2879,97,57,14,5,2,1,0,1,20,2530,1714,284,700,32,22,4,0,0,0,0,0,4,236223,140380,42193,72767,2102,1272,193,544,3603,2162,436,1005,2047,47132,26313,9894,15312,273,130,22,114,868,619,91,158,397,27554,15070,5908,8794,236,84,18,61,472,241,80,151,234,30176,15541,5879,10015,273,209,26,133,1494,900,166,428,522,33801,19938,6181,10399,355,220,32,123,465,254,51,160,452,32375,20216,5606,9373,323,232,32,64,223,107,36,80,267,25723,16715,3777,7667,266,145,27,33,67,34,11,22,96,20695,13843,2696,6066,189,128,24,10,9,5,0,4,49,13249,8991,1605,3653,121,90,11,3,4,2,1,1,27,5518,3753,647,1488,66,34,1,3,1,0,0,1,3
SEHSCT,346911,208430,65155,109137,4882,2236,478,853,3025,1639,639,747,3433,71305,40080,15410,24066,631,206,57,195,675,379,148,148,812,39677,22272,8656,12510,712,190,49,71,397,168,124,105,302,42860,22358,9279,14448,676,348,66,152,1231,706,246,279,817,48194,28423,8981,15492,827,448,85,206,438,239,71,128,753,49169,30509,9252,14747,702,359,85,125,216,106,43,67,379,40893,27112,6693,11794,562,324,65,55,60,35,7,18,235,30854,21124,4101,9279,399,191,36,33,3,2,0,1,86,17305,11849,2048,5062,242,123,21,14,4,3,0,1,39,6654,4703,735,1739,131,47,14,2,1,1,0,0,10,169123,101595,32528,52542,2863,1233,301,401,1506,832,322,352,1714,36731,20643,8023,12363,331,112,35,111,345,190,83,72,439,20554,11657,4443,6349,482,113,23,32,194,80,67,47,154,20720,10918,4473,6892,427,191,36,57,591,349,121,121,383,23099,13702,4367,7285,493,257,57,95,239,136,36,67,361,23908,14869,4545,7027,431,216,58,64,98,51,13,34,195,20059,13334,3467,5543,312,181,47,26,38,25,2,11,118,14829,10122,2078,4386,235,95,28,11,0,0,0,0,47,7202,4938,882,2142,112,55,10,4,1,1,0,0,16,2021,1412,250,555,40,13,7,1,0,0,0,0,1,177788,106835,32627,56595,2019,1003,177,452,1519,807,317,395,1719,34574,19437,7387,11703,300,94,22,84,330,189,65,76,373,19123,10615,4213,6161,230,77,26,39,203,88,57,58,148,22140,11440,4806,7556,249,157,30,95,640,357,125,158,434,25095,14721,4614,8207,334,191,28,111,199,103,35,61,392,25261,15640,4707,7720,271,143,27,61,118,55,30,33,184,20834,13778,3226,6251,250,143,18,29,22,10,5,7,117,16025,11002,2023,4893,164,96,8,22,3,2,0,1,39,10103,6911,1166,2920,130,68,11,10,3,2,0,1,23,4633,3291,485,1184,91,34,7,1,1,1,0,0,9
SHSCT,358034,138805,125957,101318,2821,1300,282,2357,13560,6733,4619,2208,3022,81380,29525,30722,23933,396,158,41,436,3312,1773,1112,427,713,43856,15850,16491,12220,277,109,16,257,1843,721,798,324,326,50333,16181,18444,13415,327,192,32,627,4895,2615,1461,819,676,51542,19621,18186,14352,563,235,69,563,2087,1041,666,380,745,47648,19459,16859,13091,487,255,46,286,1076,439,442,195,335,36112,15673,11904,10371,349,176,33,129,303,129,118,56,123,26544,12454,7731,7950,245,99,26,41,33,12,15,6,58,15303,7293,4249,4577,126,56,14,10,8,1,6,1,37,5316,2749,1371,1409,51,20,5,8,3,2,1,0,9,177711,68438,63672,49565,1402,652,147,1357,6834,3512,2248,1074,1458,41692,15100,15825,12260,200,87,19,216,1704,889,591,224,352,22716,8329,8606,6305,134,48,11,143,839,347,371,121,149,24681,7967,9157,6376,155,81,16,371,2439,1336,711,392,309,25802,9721,9222,6935,285,125,43,352,1162,619,332,211,382,24100,9767,8711,6479,255,155,23,169,539,246,193,100,165,17990,7815,6058,5082,190,81,17,80,133,70,41,22,53,12739,5915,3864,3745,121,43,11,18,15,4,7,4,27,6351,2965,1813,1956,45,23,5,5,1,0,1,0,18,1640,859,416,427,17,9,2,3,2,1,1,0,3,180323,70367,62285,51753,1419,648,135,1000,6726,3221,2371,1134,1564,39688,14425,14897,11673,196,71,22,220,1608,884,521,203,361,21140,7521,7885,5915,143,61,5,114,1004,374,427,203,177,25652,8214,9287,7039,172,111,16,256,2456,1279,750,427,367,25740,9900,8964,7417,278,110,26,211,925,422,334,169,363,23548,9692,8148,6612,232,100,23,117,537,193,249,95,170,18122,7858,5846,5289,159,95,16,49,170,59,77,34,70,13805,6539,3867,4205,124,56,15,23,18,8,8,2,31,8952,4328,2436,2621,81,33,9,5,7,1,5,1,19,3676,1890,955,982,34,11,3,5,1,1,0,0,6
WHSCT,294417,90547,128972,84536,2650,1356,223,651,3895,2356,599,940,2195,65088,18829,30401,18654,365,141,19,112,973,649,146,178,561,37228,10451,17640,10474,254,100,17,77,481,244,114,123,175,39254,10287,18359,10712,310,145,26,150,1447,936,188,323,478,42073,12776,18631,11659,482,273,52,158,585,315,86,184,502,40372,12886,17974,11016,425,315,40,83,325,165,48,112,245,31789,10835,12582,9723,354,176,35,41,71,43,15,13,132,22101,8057,7873,7114,283,118,24,20,8,4,1,3,65,12301,4706,4098,3991,131,65,8,7,3,0,1,2,29,4211,1720,1414,1193,46,23,2,3,2,0,0,2,8,146051,45017,64472,41247,1343,628,129,315,2097,1261,306,530,1137,33366,9681,15505,9569,164,71,8,64,522,338,83,101,304,19052,5478,9055,5301,122,46,6,32,237,109,59,69,98,19285,5049,9145,5126,148,56,13,63,759,490,102,167,216,20743,6230,9287,5592,252,140,29,80,327,183,43,101,256,20225,6544,9050,5357,228,164,28,47,208,113,15,80,138,15979,5527,6345,4782,194,76,24,20,39,27,4,8,70,10744,3966,3836,3391,159,55,17,8,2,1,0,1,38,5351,2009,1807,1760,61,18,4,1,1,0,0,1,14,1306,533,442,369,15,2,0,0,2,0,0,2,3,148366,45530,64500,43289,1307,728,94,336,1798,1095,293,410,1058,31722,9148,14896,9085,201,70,11,48,451,311,63,77,257,18176,4973,8585,5173,132,54,11,45,244,135,55,54,77,19969,5238,9214,5586,162,89,13,87,688,446,86,156,262,21330,6546,9344,6067,230,133,23,78,258,132,43,83,246,20147,6342,8924,5659,197,151,12,36,117,52,33,32,107,15810,5308,6237,4941,160,100,11,21,32,16,11,5,62,11357,4091,4037,3723,124,63,7,12,6,3,1,2,27,6950,2697,2291,2231,70,47,4,6,2,0,1,1,15,2905,1187,972,824,31,21,2,3,0,0,0,0,5
BELB,280962,121272,97682,75356,2538,1474,282,1540,5709,4073,262,1374,7043,52283,21287,20131,13486,251,122,33,181,1053,807,37,209,1303,43173,16138,17596,12163,579,198,45,227,698,438,63,197,1031,44992,15691,16070,12579,452,307,49,572,2694,1939,104,651,2417,36478,15137,12622,9678,416,275,54,334,790,559,34,197,1444,36457,16725,12847,9087,336,246,32,153,330,228,15,87,491,26688,13375,8366,7113,239,172,36,42,121,85,9,27,236,20821,11280,5520,5880,138,68,21,18,18,12,0,6,70,14447,8139,3427,3957,80,58,7,10,3,3,0,0,45,5623,3500,1103,1413,47,28,5,3,2,2,0,0,6,135077,57867,47642,36252,1343,822,153,779,2967,2163,115,689,3651,26696,10905,10254,6828,132,71,18,100,549,419,20,110,662,20904,7929,8599,5961,266,95,24,103,295,184,25,86,489,22183,7653,8009,6352,243,160,20,278,1392,1028,41,323,1268,18000,7441,6161,4833,236,177,33,172,486,354,22,110,798,17529,8023,6230,4264,193,144,20,85,176,122,6,48,275,13219,6727,4217,3380,147,105,25,24,59,51,1,7,106,9435,5106,2570,2641,73,38,11,10,9,4,0,5,34,5516,3099,1296,1556,32,25,2,6,0,0,0,0,17,1595,984,306,437,21,7,0,1,1,1,0,0,2,145885,63405,50040,39104,1195,652,129,761,2742,1910,147,685,3392,25587,10382,9877,6658,119,51,15,81,504,388,17,99,641,22269,8209,8997,6202,313,103,21,124,403,254,38,111,542,22809,8038,8061,6227,209,147,29,294,1302,911,63,328,1149,18478,7696,6461,4845,180,98,21,162,304,205,12,87,646,18928,8702,6617,4823,143,102,12,68,154,106,9,39,216,13469,6648,4149,3733,92,67,11,18,62,34,8,20,130,11386,6174,2950,3239,65,30,10,8,9,8,0,1,36,8931,5040,2131,2401,48,33,5,4,3,3,0,0,28,4028,2516,797,976,26,21,5,2,1,1,0,0,4
NEELB,426284,259216,73354,129798,4294,2508,424,845,6805,4284,703,1818,3831,88131,50851,17219,28468,554,258,49,170,1618,1174,164,280,822,51453,29586,10198,16115,469,170,30,107,769,430,108,231,437,53172,28083,10091,17445,541,382,49,165,2783,1738,262,783,897,60853,36348,10986,18512,756,459,78,199,1019,624,95,300,853,59655,37930,10063,16994,699,482,63,115,453,230,56,167,482,47352,31498,6830,13660,553,333,73,54,144,80,16,48,196,36631,24983,4635,10548,417,227,53,24,13,6,1,6,93,21553,14735,2546,6049,208,142,24,8,5,2,1,2,44,7484,5202,786,2007,97,55,5,3,1,0,0,1,7,208609,125820,37261,63068,2331,1297,242,418,3574,2241,335,998,1899,45002,25927,8765,14481,303,135,28,86,831,585,85,161,445,26329,15317,5225,8113,244,93,12,60,347,199,46,102,214,25686,13382,5133,8319,291,186,25,61,1442,893,123,426,409,29647,17393,5658,8947,428,253,49,101,609,387,50,172,421,29638,18641,5232,8351,403,261,34,66,256,128,24,104,235,23478,15580,3564,6611,302,192,47,23,84,48,6,30,105,17336,11802,2292,4947,237,102,30,16,4,1,1,2,46,9135,6152,1141,2657,92,53,13,5,1,0,0,1,20,2358,1626,251,642,31,22,4,0,0,0,0,0,4,217675,133396,36093,66730,1963,1211,182,427,3231,2043,368,820,1932,43129,24924,8454,13987,251,123,21,84,787,589,79,119,377,25124,14269,4973,8002,225,77,18,47,422,231,62,129,223,27486,14701,4958,9126,250,196,24,104,1341,845,139,357,488,31206,18955,5328,9565,328,206,29,98,410,237,45,128,432,30017,19289,4831,8643,296,221,29,49,197,102,32,63,247,23874,15918,3266,7049,251,141,26,31,60,32,10,18,91,19295,13181,2343,5601,180,125,23,8,9,5,0,4,47,12418,8583,1405,3392,116,89,11,3,4,2,1,1,24,5126,3576,535,1365,66,33,1,3,1,0,0,1,3
SEELB,414153,252941,75008,130187,5451,2605,545,1038,3602,2056,690,856,4437,84147,47950,17767,28445,689,231,62,220,829,496,158,175,1035,47012,26993,9760,14960,751,212,52,88,445,204,131,110,368,50757,26783,10750,17244,745,396,82,189,1464,869,266,329,1084,57961,34412,10648,18579,948,521,92,268,545,317,79,149,1013,59666,37455,10936,17960,797,442,97,150,243,124,47,72,489,47983,32427,7428,13739,648,378,78,65,68,40,9,19,281,36819,25781,4558,10915,436,223,41,40,3,2,0,1,102,21610,15217,2337,6213,285,141,25,16,4,3,0,1,52,8198,5923,824,2132,152,61,16,2,1,1,0,0,13,201410,122925,37453,62557,3184,1449,342,498,1778,1030,345,403,2230,43345,24660,9237,14627,366,122,40,129,415,241,89,85,563,24306,14115,5041,7532,498,127,23,39,214,97,68,49,190,24430,13017,5181,8198,465,216,42,74,699,427,130,142,517,27892,16693,5202,8733,563,303,62,132,297,175,41,81,497,28913,18174,5356,8556,493,270,66,74,110,61,14,35,244,23527,15934,3846,6481,362,215,57,31,42,28,3,11,141,17538,12238,2301,5138,258,111,31,14,0,0,0,0,55,8919,6281,1010,2592,135,64,12,4,1,1,0,0,21,2540,1813,279,700,44,21,9,1,0,0,0,0,2,212743,130016,37555,67630,2267,1156,203,540,1824,1026,345,453,2207,40802,23290,8530,13818,323,109,22,91,414,255,69,90,472,22706,12878,4719,7428,253,85,29,49,231,107,63,61,178,26327,13766,5569,9046,280,180,40,115,765,442,136,187,567,30069,17719,5446,9846,385,218,30,136,248,142,38,68,516,30753,19281,5580,9404,304,172,31,76,133,63,33,37,245,24456,16493,3582,7258,286,163,21,34,26,12,6,8,140,19281,13543,2257,5777,178,112,10,26,3,2,0,1,47,12691,8936,1327,3621,150,77,13,12,3,2,0,1,31,5658,4110,545,1432,108,40,7,1,1,1,0,0,11
SELB,395047,152601,138374,113208,3108,1431,298,2638,14406,7001,4763,2642,3249,89674,32313,33753,26711,445,177,42,500,3508,1848,1147,513,747,48768,17511,18343,13778,303,121,19,295,1950,741,831,378,356,55763,17909,20326,15147,371,213,34,708,5226,2722,1509,995,743,56743,21530,19963,15989,615,266,72,619,2224,1089,683,452,786,52428,21365,18479,14513,536,277,50,317,1138,452,451,235,377,39750,17262,12938,11554,384,189,34,138,315,133,120,62,130,29228,13671,8438,8866,266,106,27,43,33,12,15,6,61,16813,8026,4618,5060,136,61,15,10,9,2,6,1,40,5880,3014,1516,1590,52,21,5,8,3,2,1,0,9,196176,75250,69989,55418,1550,722,152,1521,7308,3661,2324,1323,1570,45983,16499,17416,13713,227,99,19,250,1819,934,614,271,366,25198,9189,9523,7071,149,53,14,167,896,357,386,153,168,27421,8855,10118,7219,176,89,16,423,2617,1388,732,497,342,28408,10647,10146,7738,310,142,43,383,1244,650,343,251,403,26522,10746,9556,7171,277,166,24,185,575,254,198,123,187,19779,8607,6581,5647,210,90,17,87,138,72,42,24,55,14023,6470,4218,4196,133,47,11,18,15,4,7,4,28,7030,3290,1982,2178,50,27,6,5,2,1,1,0,18,1812,947,449,485,18,9,2,3,2,1,1,0,3,198871,77351,68385,57790,1558,709,146,1117,7098,3340,2439,1319,1679,43691,15814,16337,12998,218,78,23,250,1689,914,533,242,381,23570,8322,8820,6707,154,68,5,128,1054,384,445,225,188,28342,9054,10208,7928,195,124,18,285,2609,1334,777,498,401,28335,10883,9817,8251,305,124,29,236,980,439,340,201,383,25906,10619,8923,7342,259,111,26,132,563,198,253,112,190,19971,8655,6357,5907,174,99,17,51,177,61,78,38,75,15205,7201,4220,4670,133,59,16,25,18,8,8,2,33,9783,4736,2636,2882,86,34,9,5,7,1,5,1,22,4068,2067,1067,1105,34,12,3,5,1,1,0,0,6
