GeographyCode,DC2112NI0001,DC2112NI0002,DC2112NI0003,DC2112NI0004,DC2112NI0005,DC2112NI0006,DC2112NI0007,DC2112NI0008,DC2112NI0009,DC2112NI0010,DC2112NI0011,DC2112NI0012,DC2112NI0013,DC2112NI0014,DC2112NI0015,DC2112NI0016,DC2112NI0017,DC2112NI0018,DC2112NI0019,DC2112NI0020,DC2112NI0021,DC2112NI0022,DC2112NI0023,DC2112NI0024,DC2112NI0025,DC2112NI0026,DC2112NI0027,DC2112NI0028,DC2112NI0029,DC2112NI0030,DC2112NI0031,DC2112NI0032,DC2112NI0033,DC2112NI0034,DC2112NI0035,DC2112NI0036,DC2112NI0037,DC2112NI0038,DC2112NI0039,DC2112NI0040,DC2112NI0041,DC2112NI0042,DC2112NI0043,DC2112NI0044,DC2112NI0045,DC2112NI0046,DC2112NI0047,DC2112NI0048,DC2112NI0049,DC2112NI0050,DC2112NI0051,DC2112NI0052,DC2112NI0053,DC2112NI0054,DC2112NI0055,DC2112NI0056,DC2112NI0057,DC2112NI0058,DC2112NI0059,DC2112NI0060,DC2112NI0061,DC2112NI0062,DC2112NI0063,DC2112NI0064,DC2112NI0065,DC2112NI0066,DC2112NI0067,DC2112NI0068,DC2112NI0069,DC2112NI0070,DC2112NI0071,DC2112NI0072,DC2112NI0073,DC2112NI0074,DC2112NI0075,DC2112NI0076,DC2112NI0077,DC2112NI0078,DC2112NI0079,DC2112NI0080,DC2112NI0081,DC2112NI0082,DC2112NI0083,DC2112NI0084,DC2112NI0085,DC2112NI0086,DC2112NI0087,DC2112NI0088,DC2112NI0089,DC2112NI0090,DC2112NI0091,DC2112NI0092,DC2112NI0093,DC2112NI0094,DC2112NI0095,DC2112NI0096,DC2112NI0097,DC2112NI0098,DC2112NI0099,DC2112NI0100,DC2112NI0101,DC2112NI0102,DC2112NI0103,DC2112NI0104,DC2112NI0105,DC2112NI0106,DC2112NI0107,DC2112NI0108,DC2112NI0109,DC2112NI0110,DC2112NI0111,DC2112NI0112,DC2112NI0113,DC2112NI0114,DC2112NI0115,DC2112NI0116,DC2112NI0117,DC2112NI0118,DC2112NI0119,DC2112NI0120,DC2112NI0121,DC2112NI0122,DC2112NI0123,DC2112NI0124,DC2112NI0125,DC2112NI0126,DC2112NI0127,DC2112NI0128,DC2112NI0129,DC2112NI0130,DC2112NI0131,DC2112NI0132,DC2112NI0133,DC2112NI0134,DC2112NI0135,DC2112NI0136,DC2112NI0137,DC2112NI0138,DC2112NI0139,DC2112NI0140,DC2112NI0141,DC2112NI0142,DC2112NI0143,DC2112NI0144,DC2112NI0145,DC2112NI0146,DC2112NI0147,DC2112NI0148,DC2112NI0149,DC2112NI0150,DC2112NI0151,DC2112NI0152,DC2112NI0153,DC2112NI0154,DC2112NI0155,DC2112NI0156,DC2112NI0157,DC2112NI0158,DC2112NI0159,DC2112NI0160,DC2112NI0161,DC2112NI0162,DC2112NI0163,DC2112NI0164,DC2112NI0165,DC2112NI0166,DC2112NI0167,DC2112NI0168,DC2112NI0169,DC2112NI0170,DC2112NI0171,DC2112NI0172,DC2112NI0173,DC2112NI0174,DC2112NI0175,DC2112NI0176,DC2112NI0177,DC2112NI0178,DC2112NI0179,DC2112NI0180,DC2112NI0181,DC2112NI0182,DC2112NI0183,DC2112NI0184,DC2112NI0185,DC2112NI0186,DC2112NI0187,DC2112NI0188,DC2112NI0189,DC2112NI0190,DC2112NI0191,DC2112NI0192,DC2112NI0193,DC2112NI0194,DC2112NI0195,DC2112NI0196,DC2112NI0197,DC2112NI0198,DC2112NI0199,DC2112NI0200,DC2112NI0201,DC2112NI0202,DC2112NI0203,DC2112NI0204,DC2112NI0205,DC2112NI0206,DC2112NI0207,DC2112NI0208,DC2112NI0209,DC2112NI0210,DC2112NI0211,DC2112NI0212,DC2112NI0213,DC2112NI0214,DC2112NI0215,DC2112NI0216,DC2112NI0217,DC2112NI0218,DC2112NI0219,DC2112NI0220,DC2112NI0221,DC2112NI0222,DC2112NI0223,DC2112NI0224,DC2112NI0225,DC2112NI0226,DC2112NI0227,DC2112NI0228,DC2112NI0229,DC2112NI0230,DC2112NI0231,DC2112NI0232,DC2112NI0233,DC2112NI0234,DC2112NI0235,DC2112NI0236,DC2112NI0237,DC2112NI0238,DC2112NI0239,DC2112NI0240,DC2112NI0241,DC2112NI0242,DC2112NI0243,DC2112NI0244,DC2112NI0245,DC2112NI0246,DC2112NI0247,DC2112NI0248,DC2112NI0249,DC2112NI0250,DC2112NI0251,DC2112NI0252,DC2112NI0253,DC2112NI0254,DC2112NI0255,DC2112NI0256,DC2112NI0257,DC2112NI0258,DC2112NI0259,DC2112NI0260,DC2112NI0261,DC2112NI0262,DC2112NI0263,DC2112NI0264,DC2112NI0265,DC2112NI0266,DC2112NI0267,DC2112NI0268,DC2112NI0269,DC2112NI0270,DC2112NI0271,DC2112NI0272,DC2112NI0273,DC2112NI0274,DC2112NI0275,DC2112NI0276,DC2112NI0277,DC2112NI0278,DC2112NI0279,DC2112NI0280,DC2112NI0281,DC2112NI0282,DC2112NI0283,DC2112NI0284,DC2112NI0285,DC2112NI0286,DC2112NI0287,DC2112NI0288,DC2112NI0289,DC2112NI0290,DC2112NI0291,DC2112NI0292,DC2112NI0293,DC2112NI0294,DC2112NI0295,DC2112NI0296,DC2112NI0297,DC2112NI0298,DC2112NI0299,DC2112NI0300,DC2112NI0301,DC2112NI0302,DC2112NI0303,DC2112NI0304,DC2112NI0305,DC2112NI0306,DC2112NI0307,DC2112NI0308,DC2112NI0309,DC2112NI0310,DC2112NI0311,DC2112NI0312,DC2112NI0313,DC2112NI0314,DC2112NI0315,DC2112NI0316,DC2112NI0317,DC2112NI0318,DC2112NI0319,DC2112NI0320,DC2112NI0321,DC2112NI0322,DC2112NI0323,DC2112NI0324,DC2112NI0325,DC2112NI0326,DC2112NI0327,DC2112NI0328,DC2112NI0329,DC2112NI0330,DC2112NI0331,DC2112NI0332,DC2112NI0333,DC2112NI0334,DC2112NI0335,DC2112NI0336,DC2112NI0337,DC2112NI0338,DC2112NI0339,DC2112NI0340,DC2112NI0341,DC2112NI0342,DC2112NI0343,DC2112NI0344,DC2112NI0345,DC2112NI0346,DC2112NI0347,DC2112NI0348,DC2112NI0349,DC2112NI0350,DC2112NI0351,DC2112NI0352,DC2112NI0353,DC2112NI0354,DC2112NI0355,DC2112NI0356,DC2112NI0357,DC2112NI0358,DC2112NI0359,DC2112NI0360,DC2112NI0361,DC2112NI0362,DC2112NI0363,DC2112NI0364,DC2112NI0365,DC2112NI0366,DC2112NI0367,DC2112NI0368,DC2112NI0369,DC2112NI0370,DC2112NI0371,DC2112NI0372,DC2112NI0373,DC2112NI0374,DC2112NI0375,DC2112NI0376,DC2112NI0377,DC2112NI0378,DC2112NI0379,DC2112NI0380,DC2112NI0381,DC2112NI0382,DC2112NI0383,DC2112NI0384,DC2112NI0385,DC2112NI0386,DC2112NI0387,DC2112NI0388,DC2112NI0389,DC2112NI0390,DC2112NI0391,DC2112NI0392,DC2112NI0393,DC2112NI0394,DC2112NI0395,DC2112NI0396,DC2112NI0397,DC2112NI0398,DC2112NI0399,DC2112NI0400,DC2112NI0401,DC2112NI0402,DC2112NI0403,DC2112NI0404,DC2112NI0405,DC2112NI0406,DC2112NI0407,DC2112NI0408,DC2112NI0409,DC2112NI0410,DC2112NI0411,DC2112NI0412,DC2112NI0413,DC2112NI0414
N92000002,1735711,1681171,20260,19811,11802,2667,49230,47347,347,467,626,443,67662,65489,876,836,392,69,43625,42390,768,377,72,18,45453,44174,809,347,79,44,98201,95978,1456,580,138,49,51440,50460,649,260,58,13,50181,49163,539,330,113,36,126013,120897,1596,2341,1010,169,124099,114237,3214,4578,1845,225,119839,110321,3403,3894,1972,249,122260,115645,2360,2397,1636,222,131848,127671,1506,1280,1169,222,131645,128633,904,878,1020,210,116933,114547,701,629,801,255,99272,97951,403,278,487,153,94290,93623,247,137,196,87,82121,81743,158,81,79,60,63479,63183,130,58,45,63,50358,50134,109,37,33,45,36366,36266,48,12,23,17,21165,21110,27,9,7,12,10231,10209,10,5,1,6,849028,821021,9918,10664,6105,1320,25231,24275,173,233,311,239,34803,33676,431,458,201,37,22306,21672,396,193,35,10,23518,22838,429,177,44,30,50239,49088,718,328,79,26,26284,25776,326,142,31,9,25592,25085,250,183,58,16,63913,61581,721,1090,439,82,60795,56092,1436,2299,856,112,58210,53172,1615,2237,1042,144,60160,56465,1195,1435,943,122,64530,62288,754,757,629,102,64967,63360,478,466,570,93,57860,56591,387,343,420,119,49802,49103,221,138,267,73,46180,45842,136,75,89,38,39603,39410,91,44,39,19,29473,29317,71,35,24,26,21918,21806,60,23,15,14,14033,13994,19,5,11,4,6985,6972,6,2,2,3,2626,2618,5,1,0,2,886683,860150,10342,9147,5697,1347,23999,23072,174,234,315,204,32859,31813,445,378,191,32,21319,20718,372,184,37,8,21935,21336,380,170,35,14,47962,46890,738,252,59,23,25156,24684,323,118,27,4,24589,24078,289,147,55,20,62100,59316,875,1251,571,87,63304,58145,1778,2279,989,113,61629,57149,1788,1657,930,105,62100,59180,1165,962,693,100,67318,65383,752,523,540,120,66678,65273,426,412,450,117,59073,57956,314,286,381,136,49470,48848,182,140,220,80,48110,47781,111,62,107,49,42518,42333,67,37,40,41,34006,33866,59,23,21,37,28440,28328,49,14,18,31,22333,22272,29,7,12,13,14180,14138,21,7,5,9,7605,7591,5,4,1,4
BHSCT,334560,320127,6876,4901,2175,481,8453,8049,90,111,135,68,11268,10794,217,151,93,13,7118,6862,164,75,17,0,7593,7286,216,57,30,4,17049,16479,367,140,50,13,9037,8749,196,69,22,1,11567,11244,189,94,30,10,29904,28451,610,641,172,30,28003,25275,1225,1129,325,49,24886,22256,1266,974,339,51,22664,20798,948,622,265,31,23581,22509,532,320,190,30,24587,23908,277,201,171,30,22367,21814,234,160,117,42,17804,17486,122,75,95,26,15974,15773,82,34,63,22,14583,14476,47,21,24,15,12203,12110,41,15,16,21,10548,10486,30,9,9,14,8204,8176,12,1,8,7,4836,4819,8,1,4,4,2331,2327,3,1,0,0,160393,152995,3415,2660,1092,231,4342,4132,47,60,64,39,5863,5611,108,90,50,4,3596,3469,85,34,8,0,3871,3715,117,23,15,1,8667,8371,181,78,29,8,4548,4401,98,41,8,0,5717,5559,88,46,19,5,14391,13757,266,281,74,13,13843,12501,590,583,147,22,12050,10660,626,558,174,32,11312,10247,501,391,154,19,11481,10897,270,200,105,9,11756,11416,128,113,85,14,10778,10484,124,85,60,25,8967,8812,65,33,45,12,7720,7623,46,19,24,8,6765,6716,24,9,12,4,5379,5326,27,7,10,9,4287,4254,17,6,5,5,2946,2935,5,1,4,1,1518,1514,2,1,0,1,596,595,0,1,0,0,174167,167132,3461,2241,1083,250,4111,3917,43,51,71,29,5405,5183,109,61,43,9,3522,3393,79,41,9,0,3722,3571,99,34,15,3,8382,8108,186,62,21,5,4489,4348,98,28,14,1,5850,5685,101,48,11,5,15513,14694,344,360,98,17,14160,12774,635,546,178,27,12836,11596,640,416,165,19,11352,10551,447,231,111,12,12100,11612,262,120,85,21,12831,12492,149,88,86,16,11589,11330,110,75,57,17,8837,8674,57,42,50,14,8254,8150,36,15,39,14,7818,7760,23,12,12,11,6824,6784,14,8,6,12,6261,6232,13,3,4,9,5258,5241,7,0,4,6,3318,3305,6,0,4,3,1735,1732,3,0,0,0
NHSCT,444578,433481,3665,4127,2674,631,12416,12010,65,108,127,106,17450,16981,165,193,87,24,11340,11074,158,86,16,6,11617,11349,146,89,18,15,24883,24474,248,119,27,15,12895,12724,111,46,11,3,12661,12488,88,57,19,9,30809,29789,265,477,228,50,29035,27036,555,942,459,43,29567,27517,663,849,483,55,31578,30270,396,484,380,48,34476,33665,264,249,245,53,34260,33643,177,170,217,53,30175,29702,125,123,164,61,25962,25695,77,50,106,34,25028,24867,52,42,44,23,22154,22079,37,16,13,9,17161,17103,30,7,14,7,13476,13425,19,12,9,11,9587,9560,14,4,5,4,5458,5445,7,2,2,2,2590,2585,3,2,0,0,217568,211865,1757,2245,1386,315,6329,6123,27,53,70,56,8965,8723,72,111,41,18,5767,5635,78,42,9,3,6034,5901,68,45,10,10,12692,12477,120,73,17,5,6581,6498,56,19,7,1,6392,6305,41,33,10,3,15838,15360,124,242,88,24,14119,13178,230,477,219,15,14307,13192,339,486,256,34,15366,14634,189,295,222,26,16887,16462,129,137,131,28,16958,16628,94,88,125,23,15102,14850,69,72,85,26,13054,12912,39,25,57,21,12213,12129,24,23,24,13,10709,10673,20,9,5,2,7911,7879,18,6,6,2,5997,5976,9,7,2,3,3817,3805,8,2,1,1,1864,1861,1,0,1,1,666,664,2,0,0,0,227010,221616,1908,1882,1288,316,6087,5887,38,55,57,50,8485,8258,93,82,46,6,5573,5439,80,44,7,3,5583,5448,78,44,8,5,12191,11997,128,46,10,10,6314,6226,55,27,4,2,6269,6183,47,24,9,6,14971,14429,141,235,140,26,14916,13858,325,465,240,28,15260,14325,324,363,227,21,16212,15636,207,189,158,22,17589,17203,135,112,114,25,17302,17015,83,82,92,30,15073,14852,56,51,79,35,12908,12783,38,25,49,13,12815,12738,28,19,20,10,11445,11406,17,7,8,7,9250,9224,12,1,8,5,7479,7449,10,5,7,8,5770,5755,6,2,4,3,3594,3584,6,2,1,1,1924,1921,1,2,0,0
SEHSCT,333088,327171,2703,2018,986,210,9336,9148,45,52,71,20,12847,12616,123,76,28,4,8177,8043,94,27,9,4,8613,8491,83,30,3,6,18509,18239,196,58,7,9,9681,9581,70,27,1,2,8765,8658,60,31,12,4,21231,20763,178,206,63,21,21358,20413,377,413,142,13,21502,20520,459,372,142,9,22657,21943,318,255,116,25,25537,25022,228,149,117,21,25682,25305,156,129,78,14,23487,23141,130,93,104,19,20457,20296,68,41,46,6,20436,20346,37,26,19,8,17982,17921,32,9,14,6,12872,12824,23,12,8,5,10121,10084,18,6,4,9,7184,7171,4,4,2,3,4343,4338,3,1,0,1,2311,2308,1,1,0,1,162035,159097,1257,1069,504,108,4802,4716,19,23,32,12,6630,6509,65,42,11,3,4186,4114,48,16,6,2,4442,4371,44,20,2,5,9583,9444,90,38,5,6,4955,4902,36,14,1,2,4573,4518,28,19,5,3,11026,10806,76,100,32,12,10390,9985,136,189,74,6,10330,9827,193,227,78,5,10975,10606,157,137,57,18,12124,11871,108,87,51,7,12463,12270,85,60,45,3,11445,11269,74,44,52,6,10126,10030,35,25,33,3,9933,9891,19,12,6,5,8785,8752,17,4,9,3,6044,6023,10,6,3,2,4454,4431,13,5,1,4,2748,2743,2,1,1,1,1412,1410,2,0,0,0,609,609,0,0,0,0,171053,168074,1446,949,482,102,4534,4432,26,29,39,8,6217,6107,58,34,17,1,3991,3929,46,11,3,2,4171,4120,39,10,1,1,8926,8795,106,20,2,3,4726,4679,34,13,0,0,4192,4140,32,12,7,1,10205,9957,102,106,31,9,10968,10428,241,224,68,7,11172,10693,266,145,64,4,11682,11337,161,118,59,7,13413,13151,120,62,66,14,13219,13035,71,69,33,11,12042,11872,56,49,52,13,10331,10266,33,16,13,3,10503,10455,18,14,13,3,9197,9169,15,5,5,3,6828,6801,13,6,5,3,5667,5653,5,1,3,5,4436,4428,2,3,1,2,2931,2928,1,1,0,1,1702,1699,1,1,0,1
SHSCT,341383,324297,4710,6659,4667,1050,10895,10213,102,163,218,199,14775,14060,250,309,134,22,9322,8916,235,140,24,7,9597,9176,257,128,23,13,20140,19418,468,203,44,7,10561,10261,195,84,17,4,9091,8782,141,118,41,9,24204,22507,396,800,449,52,25606,22386,782,1627,726,85,24727,21878,690,1296,765,98,25194,23200,451,779,670,94,26348,25052,279,427,500,90,25490,24534,155,269,441,91,22158,21434,112,172,330,110,18640,18212,81,81,191,75,17472,17328,40,20,57,27,14951,14864,19,19,23,26,11593,11541,14,12,4,22,9000,8957,22,8,4,9,6303,6281,12,2,5,3,3650,3637,6,2,0,5,1666,1660,3,0,1,2,169224,160428,2322,3563,2402,509,5567,5226,55,81,104,101,7516,7154,121,161,71,9,4798,4593,121,73,7,4,4983,4757,140,62,13,11,10341,9964,244,106,24,3,5459,5295,105,45,11,3,4766,4620,60,65,16,5,12491,11713,186,373,197,22,12415,10880,352,804,332,47,12266,10742,319,756,396,53,12596,11473,217,463,392,51,13206,12477,149,259,276,45,12974,12463,82,146,240,43,11126,10755,62,90,170,49,9451,9225,47,40,107,32,8539,8467,26,10,27,9,7285,7239,14,13,10,9,5454,5430,3,10,3,8,3912,3892,12,4,2,2,2439,2430,3,1,4,1,1236,1233,1,1,0,1,404,400,3,0,0,1,172159,163869,2388,3096,2265,541,5328,4987,47,82,114,98,7259,6906,129,148,63,13,4524,4323,114,67,17,3,4614,4419,117,66,10,2,9799,9454,224,97,20,4,5102,4966,90,39,6,1,4325,4162,81,53,25,4,11713,10794,210,427,252,30,13191,11506,430,823,394,38,12461,11136,371,540,369,45,12598,11727,234,316,278,43,13142,12575,130,168,224,45,12516,12071,73,123,201,48,11032,10679,50,82,160,61,9189,8987,34,41,84,43,8933,8861,14,10,30,18,7666,7625,5,6,13,17,6139,6111,11,2,1,14,5088,5065,10,4,2,7,3864,3851,9,1,1,2,2414,2404,5,1,0,4,1262,1260,0,0,1,1
WHSCT,282102,276095,2306,2106,1300,295,8130,7927,45,33,75,50,11322,11038,121,107,50,6,7668,7495,117,49,6,1,8033,7872,107,43,5,6,17620,17368,177,60,10,5,9266,9145,77,34,7,3,8097,7991,61,30,11,4,19865,19387,147,217,98,16,20097,19127,275,467,193,35,19157,18150,325,403,243,36,20167,19434,247,257,205,24,21906,21423,203,135,117,28,21626,21243,139,109,113,22,18746,18456,100,81,86,23,16409,16262,55,31,49,12,15380,15309,36,15,13,7,12451,12403,23,16,5,4,9650,9605,22,12,3,8,7213,7182,20,2,7,2,5088,5078,6,1,3,0,2878,2871,3,3,1,0,1333,1329,0,1,0,3,139808,136636,1167,1127,721,157,4191,4078,25,16,41,31,5829,5679,65,54,28,3,3959,3861,64,28,5,1,4188,4094,60,27,4,3,8956,8832,83,33,4,4,4741,4680,31,23,4,3,4144,4083,33,20,8,0,10167,9945,69,94,48,11,10028,9548,128,246,84,22,9257,8751,138,210,138,20,9911,9505,131,149,118,8,10832,10581,98,74,66,13,10816,10583,89,59,75,10,9409,9233,58,52,53,13,8204,8124,35,15,25,5,7775,7732,21,11,8,3,6059,6030,16,9,3,1,4685,4659,13,6,2,5,3268,3253,9,1,5,0,2083,2081,1,0,1,0,955,954,0,0,1,0,351,350,0,0,0,1,142294,139459,1139,979,579,138,3939,3849,20,17,34,19,5493,5359,56,53,22,3,3709,3634,53,21,1,0,3845,3778,47,16,1,3,8664,8536,94,27,6,1,4525,4465,46,11,3,0,3953,3908,28,10,3,4,9698,9442,78,123,50,5,10069,9579,147,221,109,13,9900,9399,187,193,105,16,10256,9929,116,108,87,16,11074,10842,105,61,51,15,10810,10660,50,50,38,12,9337,9223,42,29,33,10,8205,8138,20,16,24,7,7605,7577,15,4,5,4,6392,6373,7,7,2,3,4965,4946,9,6,1,3,3945,3929,11,1,2,2,3005,2997,5,1,2,0,1923,1917,3,3,0,0,982,979,0,1,0,2
BELB,269804,256904,6083,4427,1944,446,6888,6526,86,97,118,61,9008,8592,190,130,84,12,5610,5384,146,64,16,0,6032,5762,188,52,27,3,13587,13067,332,130,45,13,7239,6976,178,65,19,1,9812,9516,171,90,27,8,26122,24739,573,619,161,30,24285,21746,1142,1049,301,47,20707,18356,1112,881,310,48,18094,16514,781,543,228,28,18384,17487,430,269,171,27,18981,18392,243,165,153,28,17476,16997,205,135,104,35,14049,13773,109,66,77,24,12639,12463,71,30,53,22,11346,11252,42,17,20,15,9475,9390,39,14,13,19,8193,8140,25,8,6,14,6254,6228,10,1,8,7,3737,3722,7,1,3,4,1886,1882,3,1,0,0,129391,122747,3037,2409,984,214,3557,3372,44,52,54,35,4660,4440,94,77,45,4,2828,2712,77,31,8,0,3081,2942,104,20,15,0,6884,6618,161,73,24,8,3627,3493,88,40,6,0,4767,4622,80,45,16,4,12510,11908,251,270,68,13,12097,10832,552,555,138,20,10086,8843,548,503,163,29,9007,8097,414,343,135,18,8993,8496,229,165,95,8,9098,8796,117,95,77,13,8431,8173,110,71,55,22,7093,6958,59,27,37,12,6126,6041,39,18,20,8,5291,5246,22,9,10,4,4144,4095,25,6,9,9,3304,3271,17,6,5,5,2212,2202,4,1,4,1,1128,1124,2,1,0,1,467,466,0,1,0,0,140413,134157,3046,2018,960,232,3331,3154,42,45,64,26,4348,4152,96,53,39,8,2782,2672,69,33,8,0,2951,2820,84,32,12,3,6703,6449,171,57,21,5,3612,3483,90,25,13,1,5045,4894,91,45,11,4,13612,12831,322,349,93,17,12188,10914,590,494,163,27,10621,9513,564,378,147,19,9087,8417,367,200,93,10,9391,8991,201,104,76,19,9883,9596,126,70,76,15,9045,8824,95,64,49,13,6956,6815,50,39,40,12,6513,6422,32,12,33,14,6055,6006,20,8,10,11,5331,5295,14,8,4,10,4889,4869,8,2,1,9,4042,4026,6,0,4,6,2609,2598,5,0,3,3,1419,1416,3,0,0,0
NEELB,409258,399392,3341,3661,2326,538,11307,10945,58,92,114,98,15956,15550,139,167,80,20,10390,10147,146,77,14,6,10671,10435,127,81,16,12,22781,22422,220,104,22,13,11783,11629,97,43,11,3,11653,11509,75,44,18,7,28017,27110,239,429,197,42,26334,24553,504,843,401,33,26838,25037,600,746,410,45,28921,27760,367,428,327,39,31932,31193,250,229,215,45,31742,31197,170,146,184,45,27913,27496,121,108,138,50,24098,23852,74,46,98,28,23254,23101,52,37,43,21,20631,20559,37,15,11,9,16000,15949,27,7,12,5,12640,12594,15,12,8,11,8913,8887,14,3,5,4,5085,5073,6,2,2,2,2399,2394,3,2,0,0,199953,194933,1581,1978,1200,261,5750,5570,22,46,62,50,8210,7996,64,97,39,14,5264,5145,70,37,9,3,5535,5425,54,41,8,7,11587,11403,106,60,13,5,6006,5934,47,17,7,1,5914,5845,32,25,10,2,14409,13992,109,214,74,20,12753,11919,213,422,189,10,12933,11962,301,431,212,27,14018,13375,173,258,191,21,15629,15243,118,125,121,22,15682,15389,91,77,105,20,13956,13738,66,61,71,20,12127,11996,36,24,54,17,11351,11270,24,21,23,13,9975,9941,20,8,4,2,7361,7331,17,6,5,2,5618,5600,7,7,1,3,3517,3506,8,1,1,1,1748,1745,1,0,1,1,610,608,2,0,0,0,209305,204459,1760,1683,1126,277,5557,5375,36,46,52,48,7746,7554,75,70,41,6,5126,5002,76,40,5,3,5136,5010,73,40,8,5,11194,11019,114,44,9,8,5777,5695,50,26,4,2,5739,5664,43,19,8,5,13608,13118,130,215,123,22,13581,12634,291,421,212,23,13905,13075,299,315,198,18,14903,14385,194,170,136,18,16303,15950,132,104,94,23,16060,15808,79,69,79,25,13957,13758,55,47,67,30,11971,11856,38,22,44,11,11903,11831,28,16,20,8,10656,10618,17,7,7,7,8639,8618,10,1,7,3,7022,6994,8,5,7,8,5396,5381,6,2,4,3,3337,3328,5,2,1,1,1789,1786,1,2,0,0
SEELB,397844,390394,3496,2492,1217,245,10901,10671,49,66,88,27,15107,14818,150,97,37,5,9685,9521,112,38,10,4,10174,10015,111,35,6,7,21971,21651,231,68,12,9,11479,11354,88,31,4,2,10520,10386,78,35,15,6,25013,24475,215,228,74,21,25076,23942,460,493,166,15,25681,24420,613,465,171,12,27227,26227,485,334,153,28,30734,30044,330,200,136,24,31288,30821,190,165,96,16,28378,27958,159,118,117,26,24212,24009,81,50,64,8,23771,23656,48,30,29,8,21219,21145,37,13,18,6,15600,15544,25,13,11,7,12476,12430,23,7,7,9,9134,9119,6,4,2,3,5442,5435,4,1,1,1,2756,2753,1,1,0,1,193037,189345,1635,1320,612,125,5587,5476,22,31,42,16,7833,7680,79,55,16,3,4954,4871,56,19,6,2,5232,5144,57,23,2,6,11366,11197,110,43,10,6,5876,5810,46,15,3,2,5523,5455,36,20,8,4,12907,12655,91,111,38,12,12136,11654,174,217,83,8,12294,11644,271,282,89,8,13280,12756,244,185,76,19,14612,14272,149,122,61,8,15121,14890,96,78,53,4,13792,13580,88,58,57,9,12000,11884,41,31,41,3,11527,11473,26,13,10,5,10259,10222,19,4,11,3,7279,7254,12,7,4,2,5437,5414,13,5,1,4,3482,3476,3,1,1,1,1802,1800,2,0,0,0,738,738,0,0,0,0,204807,201049,1861,1172,605,120,5314,5195,27,35,46,11,7274,7138,71,42,21,2,4731,4650,56,19,4,2,4942,4871,54,12,4,1,10605,10454,121,25,2,3,5603,5544,42,16,1,0,4997,4931,42,15,7,2,12106,11820,124,117,36,9,12940,12288,286,276,83,7,13387,12776,342,183,82,4,13947,13471,241,149,77,9,16122,15772,181,78,75,16,16167,15931,94,87,43,12,14586,14378,71,60,60,17,12212,12125,40,19,23,5,12244,12183,22,17,19,3,10960,10923,18,9,7,3,8321,8290,13,6,7,5,7039,7016,10,2,6,5,5652,5643,3,3,1,2,3640,3635,2,1,1,1,2018,2015,1,1,0,1
SELB,376703,358386,5034,7125,5015,1143,12004,11278,109,179,231,207,16269,15491,276,335,141,26,10272,9843,247,149,26,7,10543,10090,276,136,25,16,22242,21470,496,218,49,9,11673,11356,209,87,17,4,10099,9761,154,131,42,11,26996,25186,422,848,480,60,28307,24869,833,1726,784,95,27456,24358,753,1399,838,108,27851,25710,480,835,723,103,28892,27524,293,447,530,98,28008,26980,162,293,474,99,24420,23640,116,187,356,121,20504,20055,84,85,199,81,19246,19094,40,25,58,29,16474,16384,19,20,25,26,12754,12695,17,12,6,24,9836,9788,26,8,5,9,6977,6954,12,3,5,3,4023,4009,7,2,0,5,1857,1851,3,0,1,2,186839,177360,2498,3830,2588,563,6146,5779,60,88,112,107,8271,7881,129,175,73,13,5301,5083,129,78,7,4,5482,5233,154,66,15,14,11446,11038,258,119,28,3,6034,5859,114,47,11,3,5244,5080,69,73,16,6,13920,13081,201,401,211,26,13781,12139,369,859,362,52,13640,11972,357,811,440,60,13944,12732,233,500,423,56,14464,13696,160,271,286,51,14250,13702,85,157,260,46,12272,11867,65,101,184,55,10378,10141,50,41,110,36,9401,9326,26,12,28,9,8019,7971,14,14,11,9,6004,5978,4,10,4,8,4291,4268,14,4,3,2,2739,2729,3,2,4,1,1352,1349,1,1,0,1,460,456,3,0,0,1,189864,181026,2536,3295,2427,580,5858,5499,49,91,119,100,7998,7610,147,160,68,13,4971,4760,118,71,19,3,5061,4857,122,70,10,2,10796,10432,238,99,21,6,5639,5497,95,40,6,1,4855,4681,85,58,26,5,13076,12105,221,447,269,34,14526,12730,464,867,422,43,13816,12386,396,588,398,48,13907,12978,247,335,300,47,14428,13828,133,176,244,47,13758,13278,77,136,214,53,12148,11773,51,86,172,66,10126,9914,34,44,89,45,9845,9768,14,13,30,20,8455,8413,5,6,14,17,6750,6717,13,2,2,16,5545,5520,12,4,2,7,4238,4225,9,1,1,2,2671,2660,6,1,0,4,1397,1395,0,0,1,1
