GeographyCode,DC2204NI0001,DC2204NI0002,DC2204NI0003,DC2204NI0004,DC2204NI0005,DC2204NI0006,DC2204NI0007,DC2204NI0008,DC2204NI0009,DC2204NI0010,DC2204NI0011,DC2204NI0012,DC2204NI0013,DC2204NI0014,DC2204NI0015,DC2204NI0016,DC2204NI0017,DC2204NI0018,DC2204NI0019,DC2204NI0020,DC2204NI0021,DC2204NI0022,DC2204NI0023,DC2204NI0024,DC2204NI0025,DC2204NI0026,DC2204NI0027,DC2204NI0028,DC2204NI0029,DC2204NI0030,DC2204NI0031,DC2204NI0032,DC2204NI0033,DC2204NI0034,DC2204NI0035,DC2204NI0036,DC2204NI0037,DC2204NI0038,DC2204NI0039,DC2204NI0040,DC2204NI0041,DC2204NI0042,DC2204NI0043,DC2204NI0044,DC2204NI0045,DC2204NI0046,DC2204NI0047,DC2204NI0048,DC2204NI0049,DC2204NI0050,DC2204NI0051,DC2204NI0052,DC2204NI0053,DC2204NI0054,DC2204NI0055,DC2204NI0056,DC2204NI0057,DC2204NI0058,DC2204NI0059,DC2204NI0060,DC2204NI0061,DC2204NI0062,DC2204NI0063,DC2204NI0064,DC2204NI0065,DC2204NI0066,DC2204NI0067,DC2204NI0068,DC2204NI0069,DC2204NI0070,DC2204NI0071,DC2204NI0072,DC2204NI0073,DC2204NI0074,DC2204NI0075,DC2204NI0076,DC2204NI0077,DC2204NI0078,DC2204NI0079,DC2204NI0080,DC2204NI0081,DC2204NI0082,DC2204NI0083,DC2204NI0084,DC2204NI0085,DC2204NI0086,DC2204NI0087,DC2204NI0088,DC2204NI0089,DC2204NI0090,DC2204NI0091,DC2204NI0092,DC2204NI0093,DC2204NI0094,DC2204NI0095,DC2204NI0096,DC2204NI0097,DC2204NI0098,DC2204NI0099,DC2204NI0100,DC2204NI0101,DC2204NI0102,DC2204NI0103,DC2204NI0104,DC2204NI0105,DC2204NI0106,DC2204NI0107,DC2204NI0108,DC2204NI0109,DC2204NI0110,DC2204NI0111,DC2204NI0112,DC2204NI0113,DC2204NI0114,DC2204NI0115,DC2204NI0116,DC2204NI0117,DC2204NI0118,DC2204NI0119,DC2204NI0120,DC2204NI0121,DC2204NI0122,DC2204NI0123,DC2204NI0124,DC2204NI0125,DC2204NI0126,DC2204NI0127,DC2204NI0128,DC2204NI0129,DC2204NI0130,DC2204NI0131,DC2204NI0132,DC2204NI0133,DC2204NI0134,DC2204NI0135,DC2204NI0136,DC2204NI0137,DC2204NI0138,DC2204NI0139,DC2204NI0140,DC2204NI0141,DC2204NI0142,DC2204NI0143,DC2204NI0144
N92000002,1810863,1779750,1778449,1301,19130,6303,6198,1091,540,4998,3616,372,2345,899,6014,2353,341428,339495,338937,558,554,329,87,20,24,94,390,6,282,102,802,187,1485873,1466604,1465841,763,10587,4144,2784,789,364,2506,1963,246,1053,664,4999,1720,1070413,1055995,1055584,411,9020,3612,2372,653,322,2061,975,185,525,265,3559,864,375826,373050,372700,350,1067,355,309,126,31,246,223,19,136,68,1075,411,17740,17481,17480,1,125,42,53,3,2,25,51,0,46,5,44,39,7023,6933,6933,0,29,14,7,0,0,8,14,0,10,4,13,34,14871,13145,13144,1,346,121,43,7,9,166,700,42,336,322,308,372,21167,9710,9709,1,8774,2010,3427,396,176,2765,1389,134,1106,149,688,606
BHSCT,348204,336221,336009,212,8195,2722,2520,318,240,2395,1384,101,1127,156,1709,695,53550,52708,52610,98,303,185,46,7,11,54,266,3,230,33,221,52,296020,289454,289336,118,4099,1557,898,199,157,1288,569,66,406,97,1410,488,213719,208589,208532,57,3514,1330,740,167,135,1142,336,46,233,57,1000,280,74585,73653,73592,61,388,147,97,28,14,102,81,7,58,16,337,126,4094,3962,3962,0,75,21,38,2,1,13,30,0,30,0,14,13,322,311,311,0,5,2,1,0,0,2,0,0,0,0,2,4,3300,2939,2939,0,117,57,22,2,7,29,122,13,85,24,57,65,7564,2421,2420,1,4097,1058,1602,128,78,1231,603,35,536,32,234,209
NHSCT,463297,457259,457092,167,3795,1418,1291,280,36,770,556,68,374,114,1306,381,94973,94652,94581,71,76,48,7,5,3,13,22,0,11,11,185,38,372369,368486,368387,99,2217,948,708,209,17,335,308,49,169,90,1090,268,303954,300820,300756,64,1940,845,627,167,16,285,184,38,95,51,855,155,60053,59557,59522,35,217,66,75,42,0,34,32,4,22,6,182,65,4051,4013,4013,0,16,9,1,0,1,5,5,0,5,0,11,6,863,858,858,0,4,3,1,0,0,0,0,0,0,0,0,1,3448,3238,3238,0,40,25,4,0,0,11,87,7,47,33,42,41,4232,2116,2116,0,1636,455,593,104,16,468,239,25,199,15,141,100
SEHSCT,346911,341863,341721,142,2781,891,875,151,205,659,656,95,353,208,1218,393,55111,54858,54795,63,51,23,12,2,7,7,33,2,11,20,148,21,296433,293092,293011,81,1712,741,427,113,154,277,333,50,163,120,1028,268,244919,242049,241995,54,1545,679,379,103,149,235,284,47,138,99,849,192,47581,47207,47181,26,139,50,40,10,5,34,29,1,17,11,151,55,1514,1502,1501,1,8,2,5,0,0,1,2,0,1,1,2,0,653,644,644,0,6,1,2,0,0,3,0,0,0,0,2,1,1766,1690,1690,0,14,9,1,0,0,4,18,2,7,9,24,20,3745,1976,1976,0,1178,167,457,55,57,442,333,44,215,74,122,136
SHSCT,358034,353233,352704,529,2387,786,619,243,38,701,783,44,376,363,1041,590,70037,69747,69527,220,56,31,10,4,0,11,50,0,24,26,128,56,291918,288461,288144,317,1522,595,285,200,23,419,599,34,249,316,874,462,180546,178683,178525,158,1177,509,237,166,14,251,84,21,32,31,474,128,96073,95561,95403,158,167,52,34,30,8,43,56,1,28,27,208,81,5986,5931,5931,0,16,9,1,1,0,5,10,0,6,4,16,13,4589,4534,4534,0,10,7,1,0,0,2,14,0,10,4,9,22,4724,3752,3751,1,152,18,12,3,1,118,435,12,173,250,167,218,3088,1812,1812,0,928,178,341,69,15,325,143,12,109,22,103,102
WHSCT,294417,291174,290923,251,1972,486,893,99,21,473,237,64,115,58,740,294,67757,67530,67424,106,68,42,12,2,3,9,19,1,6,12,120,20,229133,227111,226963,148,1037,303,466,68,13,187,154,47,66,41,597,234,127275,125854,125776,78,844,249,389,50,8,148,87,33,27,27,381,109,97534,97072,97002,70,156,40,63,16,4,33,25,6,11,8,197,84,2095,2073,2073,0,10,1,8,0,0,1,4,0,4,0,1,7,596,586,586,0,4,1,2,0,0,1,0,0,0,0,0,6,1633,1526,1526,0,23,12,4,2,1,4,38,8,24,6,18,28,2538,1385,1385,0,935,152,434,40,10,299,71,18,47,6,88,59
BELB,280962,270945,270743,202,6785,2226,2203,222,202,1932,1255,90,1017,148,1401,576,45310,44549,44454,95,286,180,41,5,10,50,251,2,219,30,181,43,236374,231200,231089,111,3122,1141,743,129,122,987,514,59,361,94,1142,396,162711,158784,158732,52,2621,942,606,108,103,862,293,42,197,54,794,219,66716,65941,65882,59,324,128,82,18,11,85,72,6,50,16,281,98,3697,3575,3575,0,68,19,35,1,1,12,30,0,30,0,11,13,271,261,261,0,4,1,1,0,0,2,0,0,0,0,2,4,2979,2639,2639,0,105,51,19,2,7,26,119,11,84,24,54,62,6570,2038,2037,1,3629,973,1439,98,76,1043,525,31,464,30,197,181
NEELB,426284,420556,420395,161,3654,1329,1271,265,36,753,458,60,312,86,1245,371,85964,85665,85594,71,71,43,7,5,3,13,18,0,9,9,172,38,343939,340285,340192,93,2127,881,698,203,17,328,222,41,117,64,1043,262,284805,281802,281738,64,1859,781,618,162,16,282,172,36,86,50,822,150,51861,51380,51351,29,213,65,74,41,0,33,29,3,20,6,175,64,3794,3756,3756,0,16,9,1,0,1,5,5,0,5,0,11,6,713,708,708,0,4,3,1,0,0,0,0,0,0,0,0,1,2766,2639,2639,0,35,23,4,0,0,8,16,2,6,8,35,41,4020,1968,1968,0,1589,438,583,94,16,458,231,25,191,15,137,95
SEELB,414153,407139,406987,152,4191,1387,1192,247,243,1122,785,106,463,216,1526,512,63351,63017,62951,66,68,28,17,4,8,11,48,3,22,23,188,30,356079,351346,351258,88,2689,1157,582,183,189,578,388,57,208,123,1296,360,295927,291854,291795,59,2438,1067,513,162,181,515,327,51,174,102,1055,253,55450,54919,54891,28,203,69,55,20,8,51,38,2,25,11,207,83,1911,1889,1888,1,15,4,8,1,0,2,2,0,1,1,5,0,704,694,694,0,7,2,2,0,0,3,0,0,0,0,2,1,2087,1990,1990,0,26,15,4,0,0,7,21,4,8,9,27,23,4739,2359,2359,0,1646,252,620,85,59,630,411,48,287,76,159,164
SELB,395047,389936,389401,535,2528,875,639,258,38,718,881,52,438,391,1102,600,79046,78734,78514,220,61,36,10,4,0,11,54,0,26,28,141,56,320348,316662,316339,323,1612,662,295,206,23,426,685,42,301,342,921,468,199695,197701,197543,158,1258,573,246,171,14,254,96,23,41,32,507,133,104265,103738,103574,164,171,53,35,31,8,44,59,2,30,27,215,82,6243,6188,6188,0,16,9,1,1,0,5,10,0,6,4,16,13,4739,4684,4684,0,10,7,1,0,0,2,14,0,10,4,9,22,5406,4351,4350,1,157,20,12,3,1,121,506,17,214,275,174,218,3300,1960,1960,0,975,195,351,79,15,335,151,12,117,22,107,107
