GeographyCode,DC2206NI0001,DC2206NI0002,DC2206NI0003,DC2206NI0004,DC2206NI0005,DC2206NI0006,DC2206NI0007,DC2206NI0008,DC2206NI0009,DC2206NI0010,DC2206NI0011,DC2206NI0012,DC2206NI0013,DC2206NI0014,DC2206NI0015,DC2206NI0016,DC2206NI0017,DC2206NI0018,DC2206NI0019,DC2206NI0020,DC2206NI0021,DC2206NI0022,DC2206NI0023,DC2206NI0024,DC2206NI0025,DC2206NI0026,DC2206NI0027,DC2206NI0028,DC2206NI0029,DC2206NI0030,DC2206NI0031,DC2206NI0032,DC2206NI0033,DC2206NI0034,DC2206NI0035,DC2206NI0036,DC2206NI0037,DC2206NI0038,DC2206NI0039,DC2206NI0040,DC2206NI0041,DC2206NI0042,DC2206NI0043,DC2206NI0044,DC2206NI0045,DC2206NI0046,DC2206NI0047,DC2206NI0048,DC2206NI0049,DC2206NI0050,DC2206NI0051,DC2206NI0052,DC2206NI0053,DC2206NI0054,DC2206NI0055,DC2206NI0056,DC2206NI0057,DC2206NI0058,DC2206NI0059,DC2206NI0060,DC2206NI0061,DC2206NI0062,DC2206NI0063,DC2206NI0064,DC2206NI0065,DC2206NI0066,DC2206NI0067,DC2206NI0068,DC2206NI0069,DC2206NI0070,DC2206NI0071,DC2206NI0072,DC2206NI0073,DC2206NI0074,DC2206NI0075,DC2206NI0076,DC2206NI0077,DC2206NI0078,DC2206NI0079,DC2206NI0080,DC2206NI0081,DC2206NI0082,DC2206NI0083,DC2206NI0084,DC2206NI0085,DC2206NI0086,DC2206NI0087,DC2206NI0088,DC2206NI0089,DC2206NI0090,DC2206NI0091,DC2206NI0092,DC2206NI0093,DC2206NI0094,DC2206NI0095,DC2206NI0096,DC2206NI0097,DC2206NI0098,DC2206NI0099,DC2206NI0100,DC2206NI0101,DC2206NI0102,DC2206NI0103,DC2206NI0104,DC2206NI0105,DC2206NI0106,DC2206NI0107,DC2206NI0108,DC2206NI0109,DC2206NI0110,DC2206NI0111,DC2206NI0112,DC2206NI0113,DC2206NI0114,DC2206NI0115,DC2206NI0116,DC2206NI0117,DC2206NI0118,DC2206NI0119,DC2206NI0120,DC2206NI0121,DC2206NI0122,DC2206NI0123,DC2206NI0124,DC2206NI0125,DC2206NI0126,DC2206NI0127,DC2206NI0128,DC2206NI0129,DC2206NI0130,DC2206NI0131,DC2206NI0132,DC2206NI0133,DC2206NI0134,DC2206NI0135,DC2206NI0136,DC2206NI0137,DC2206NI0138,DC2206NI0139,DC2206NI0140,DC2206NI0141,DC2206NI0142,DC2206NI0143,DC2206NI0144,DC2206NI0145,DC2206NI0146,DC2206NI0147,DC2206NI0148,DC2206NI0149,DC2206NI0150,DC2206NI0151,DC2206NI0152,DC2206NI0153,DC2206NI0154,DC2206NI0155,DC2206NI0156,DC2206NI0157,DC2206NI0158,DC2206NI0159,DC2206NI0160,DC2206NI0161,DC2206NI0162,DC2206NI0163,DC2206NI0164,DC2206NI0165,DC2206NI0166,DC2206NI0167,DC2206NI0168,DC2206NI0169,DC2206NI0170,DC2206NI0171,DC2206NI0172,DC2206NI0173,DC2206NI0174,DC2206NI0175,DC2206NI0176,DC2206NI0177,DC2206NI0178,DC2206NI0179,DC2206NI0180,DC2206NI0181,DC2206NI0182,DC2206NI0183,DC2206NI0184,DC2206NI0185,DC2206NI0186,DC2206NI0187,DC2206NI0188,DC2206NI0189,DC2206NI0190,DC2206NI0191,DC2206NI0192,DC2206NI0193,DC2206NI0194,DC2206NI0195,DC2206NI0196,DC2206NI0197,DC2206NI0198,DC2206NI0199,DC2206NI0200,DC2206NI0201,DC2206NI0202,DC2206NI0203,DC2206NI0204,DC2206NI0205,DC2206NI0206,DC2206NI0207,DC2206NI0208,DC2206NI0209,DC2206NI0210,DC2206NI0211,DC2206NI0212,DC2206NI0213,DC2206NI0214,DC2206NI0215,DC2206NI0216,DC2206NI0217,DC2206NI0218,DC2206NI0219,DC2206NI0220,DC2206NI0221,DC2206NI0222,DC2206NI0223,DC2206NI0224,DC2206NI0225,DC2206NI0226,DC2206NI0227,DC2206NI0228,DC2206NI0229,DC2206NI0230,DC2206NI0231,DC2206NI0232,DC2206NI0233,DC2206NI0234,DC2206NI0235,DC2206NI0236,DC2206NI0237,DC2206NI0238,DC2206NI0239,DC2206NI0240,DC2206NI0241,DC2206NI0242,DC2206NI0243,DC2206NI0244,DC2206NI0245,DC2206NI0246,DC2206NI0247,DC2206NI0248,DC2206NI0249,DC2206NI0250,DC2206NI0251,DC2206NI0252,DC2206NI0253,DC2206NI0254,DC2206NI0255,DC2206NI0256,DC2206NI0257,DC2206NI0258,DC2206NI0259,DC2206NI0260,DC2206NI0261,DC2206NI0262,DC2206NI0263,DC2206NI0264,DC2206NI0265,DC2206NI0266,DC2206NI0267,DC2206NI0268,DC2206NI0269,DC2206NI0270,DC2206NI0271,DC2206NI0272,DC2206NI0273,DC2206NI0274,DC2206NI0275,DC2206NI0276,DC2206NI0277,DC2206NI0278,DC2206NI0279,DC2206NI0280,DC2206NI0281,DC2206NI0282,DC2206NI0283,DC2206NI0284,DC2206NI0285,DC2206NI0286,DC2206NI0287,DC2206NI0288,DC2206NI0289,DC2206NI0290,DC2206NI0291,DC2206NI0292,DC2206NI0293,DC2206NI0294,DC2206NI0295,DC2206NI0296,DC2206NI0297,DC2206NI0298,DC2206NI0299,DC2206NI0300,DC2206NI0301,DC2206NI0302,DC2206NI0303,DC2206NI0304,DC2206NI0305,DC2206NI0306,DC2206NI0307,DC2206NI0308,DC2206NI0309,DC2206NI0310,DC2206NI0311,DC2206NI0312,DC2206NI0313,DC2206NI0314,DC2206NI0315,DC2206NI0316,DC2206NI0317,DC2206NI0318,DC2206NI0319,DC2206NI0320,DC2206NI0321,DC2206NI0322,DC2206NI0323,DC2206NI0324,DC2206NI0325,DC2206NI0326,DC2206NI0327,DC2206NI0328,DC2206NI0329,DC2206NI0330,DC2206NI0331,DC2206NI0332,DC2206NI0333,DC2206NI0334,DC2206NI0335,DC2206NI0336,DC2206NI0337,DC2206NI0338,DC2206NI0339,DC2206NI0340,DC2206NI0341,DC2206NI0342,DC2206NI0343,DC2206NI0344,DC2206NI0345,DC2206NI0346,DC2206NI0347,DC2206NI0348,DC2206NI0349,DC2206NI0350,DC2206NI0351,DC2206NI0352,DC2206NI0353,DC2206NI0354,DC2206NI0355,DC2206NI0356,DC2206NI0357,DC2206NI0358,DC2206NI0359,DC2206NI0360,DC2206NI0361,DC2206NI0362,DC2206NI0363,DC2206NI0364,DC2206NI0365,DC2206NI0366,DC2206NI0367,DC2206NI0368,DC2206NI0369,DC2206NI0370,DC2206NI0371,DC2206NI0372,DC2206NI0373,DC2206NI0374,DC2206NI0375,DC2206NI0376,DC2206NI0377,DC2206NI0378,DC2206NI0379,DC2206NI0380,DC2206NI0381,DC2206NI0382,DC2206NI0383,DC2206NI0384,DC2206NI0385,DC2206NI0386,DC2206NI0387,DC2206NI0388,DC2206NI0389,DC2206NI0390,DC2206NI0391,DC2206NI0392,DC2206NI0393,DC2206NI0394,DC2206NI0395,DC2206NI0396,DC2206NI0397,DC2206NI0398,DC2206NI0399,DC2206NI0400,DC2206NI0401,DC2206NI0402,DC2206NI0403,DC2206NI0404,DC2206NI0405,DC2206NI0406,DC2206NI0407,DC2206NI0408,DC2206NI0409,DC2206NI0410,DC2206NI0411,DC2206NI0412,DC2206NI0413,DC2206NI0414,DC2206NI0415,DC2206NI0416
N92000002,1810863,1779750,1778449,1301,19130,6303,6198,1091,540,4998,3616,372,2345,899,6014,2353,1758068,1738604,1737307,1297,10944,4021,3155,787,400,2581,1825,241,1064,520,5271,1424,52795,41146,41142,4,8186,2282,3043,304,140,2417,1791,131,1281,379,743,929,722379,711086,710964,122,7797,2926,2306,557,318,1690,840,144,486,210,2165,491,457482,455161,454314,847,725,284,210,68,28,135,184,14,95,75,1045,367,379267,377331,377076,255,554,233,158,58,13,92,189,23,97,69,1023,170,111748,111016,111007,9,362,145,111,39,7,60,51,5,20,26,246,73,19132,19044,19028,16,26,9,7,2,0,8,3,0,1,2,50,9,18406,18249,18245,4,38,11,15,3,1,8,10,0,5,5,94,15,11877,11684,11670,14,80,21,38,5,2,14,7,0,2,5,94,12,10931,10709,10692,17,60,35,16,4,1,4,37,14,13,10,93,32,6771,6724,6724,0,14,6,5,0,0,3,7,3,1,3,13,13,1171,1152,1152,0,6,0,3,0,1,2,4,0,1,3,7,2,9815,9671,9658,13,38,17,12,6,0,3,15,7,4,4,61,30,5410,4300,4300,0,215,66,23,3,5,118,484,33,263,188,195,216,1302,1068,1068,0,39,11,1,1,1,25,118,2,51,65,47,30,32376,31848,31847,1,190,74,70,4,4,38,97,3,69,25,73,168,18618,18340,18340,0,130,44,58,4,2,22,71,3,61,7,39,38,6590,6513,6513,0,28,14,7,0,0,7,8,0,1,7,10,31,7168,6995,6994,1,32,16,5,0,2,9,18,0,7,11,24,99,2041,1998,1998,0,9,2,3,1,0,3,6,0,5,1,13,15,1152,1128,1128,0,8,2,2,1,0,3,3,0,3,0,8,5,427,427,427,0,0,0,0,0,0,0,0,0,0,0,0,0,462,443,443,0,1,0,1,0,0,0,3,0,2,1,5,10,15009,4998,4995,3,7781,2142,2950,297,131,2261,1210,95,949,166,475,545,5746,3711,3711,0,1196,321,270,43,28,534,354,29,283,42,320,165
BHSCT,348204,336221,336009,212,8195,2722,2520,318,240,2395,1384,101,1127,156,1709,695,334446,327765,327555,210,4140,1512,959,205,168,1296,656,69,484,103,1478,407,13758,8456,8454,2,4055,1210,1561,113,72,1099,728,32,643,53,231,288,134285,130177,130173,4,3049,1103,747,140,131,928,309,47,221,41,604,146,94702,93990,93848,142,259,112,71,16,10,50,58,5,39,14,296,99,65169,64611,64561,50,188,82,38,24,8,36,70,8,42,20,254,46,21467,21265,21263,2,98,37,21,8,5,27,16,0,9,7,67,21,4116,4079,4075,4,11,4,4,1,0,2,1,0,0,1,22,3,4546,4493,4493,0,12,6,3,0,1,2,7,0,4,3,33,1,2688,2611,2610,1,33,11,12,0,1,9,5,0,1,4,32,7,1780,1713,1711,2,28,14,9,3,1,1,8,0,7,1,23,8,1252,1237,1237,0,3,1,1,0,0,1,0,0,0,0,5,7,199,193,193,0,2,0,2,0,0,0,0,0,0,0,4,0,1942,1893,1888,5,15,8,3,1,0,3,3,2,0,1,22,9,1420,1221,1221,0,72,36,14,2,4,16,76,8,51,17,26,25,305,258,258,0,9,3,1,0,1,4,26,1,20,5,8,4,5917,5683,5683,0,105,36,45,3,2,19,50,1,47,2,25,54,4262,4105,4105,0,83,23,43,3,1,13,48,1,47,0,13,13,289,280,280,0,5,2,1,0,0,2,0,0,0,0,1,3,1366,1298,1298,0,17,11,1,0,1,4,2,0,0,2,11,38,369,352,352,0,5,1,2,1,0,1,4,0,3,1,4,4,228,219,219,0,4,1,1,1,0,1,1,0,1,0,3,1,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,117,109,109,0,1,0,1,0,0,0,3,0,2,1,1,3,6421,1552,1550,2,3878,1138,1502,108,66,1064,602,23,545,34,180,209,1626,893,893,0,428,130,45,11,10,232,149,6,138,5,104,52
NHSCT,463297,457259,457092,167,3795,1418,1291,280,36,770,556,68,374,114,1306,381,452355,448265,448098,167,2346,926,809,212,22,377,307,45,182,80,1193,244,10942,8994,8994,0,1449,492,482,68,14,393,249,23,192,34,113,137,226455,224018,223971,47,1618,644,600,149,16,209,166,24,97,45,555,98,73074,72677,72610,67,158,60,49,24,3,22,22,2,20,0,170,47,96118,95668,95628,40,126,51,46,14,0,15,30,3,16,11,265,29,35807,35602,35598,4,118,60,29,10,1,18,10,1,3,6,68,9,3926,3913,3911,2,8,2,2,0,0,4,1,0,1,0,3,1,4672,4641,4641,0,8,2,2,1,0,3,0,0,0,0,16,7,2858,2823,2822,1,13,6,5,1,1,0,0,0,0,0,21,1,2729,2693,2690,3,12,8,1,0,0,3,4,1,2,1,15,5,1905,1898,1898,0,3,1,1,0,0,1,1,0,0,1,3,0,299,294,294,0,1,0,1,0,0,0,1,0,0,1,2,1,2619,2583,2580,3,12,4,5,3,0,0,2,2,0,0,15,7,902,789,789,0,15,7,2,0,0,6,54,5,36,13,31,13,224,191,191,0,6,3,0,0,0,3,17,0,3,14,6,4,7233,7160,7160,0,23,14,2,0,1,6,11,0,7,4,9,30,4273,4239,4239,0,15,9,1,0,1,4,5,0,4,1,7,7,816,811,811,0,4,3,1,0,0,0,0,0,0,0,0,1,2144,2110,2110,0,4,2,0,0,0,2,6,0,3,3,2,22,418,407,407,0,1,1,0,0,0,0,1,0,1,0,5,4,279,270,270,0,1,1,0,0,0,0,1,0,1,0,4,3,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,108,106,106,0,0,0,0,0,0,0,0,0,0,0,1,1,2807,1045,1045,0,1411,471,478,68,13,381,184,18,149,17,73,94,1251,857,857,0,262,84,68,10,1,99,52,12,39,1,49,31
SEHSCT,346911,341863,341721,142,2781,891,875,151,205,659,656,95,353,208,1218,393,341194,337580,337439,141,1822,715,508,119,166,314,396,60,194,142,1131,265,5717,4283,4282,1,959,176,367,32,39,345,260,35,159,66,87,128,167650,165405,165385,20,1369,562,366,96,150,195,230,37,114,79,549,97,53389,53119,53036,83,70,27,24,2,5,12,19,1,7,11,134,47,71018,70627,70599,28,98,46,25,5,2,20,33,6,7,20,220,40,29268,29114,29112,2,65,27,25,5,0,8,17,4,5,8,57,15,2765,2752,2752,0,2,1,0,0,0,1,1,0,0,1,8,2,5039,4993,4992,1,12,1,7,2,0,2,0,0,0,0,27,7,2993,2956,2956,0,12,3,6,2,0,1,1,0,1,0,21,3,2760,2711,2706,5,7,7,0,0,0,0,12,5,3,4,24,6,1516,1505,1505,0,3,2,1,0,0,0,4,2,1,1,1,3,312,308,308,0,2,0,0,0,1,1,1,0,1,0,0,1,2890,2858,2856,2,5,2,3,0,0,0,6,2,2,2,12,9,640,603,603,0,9,5,1,0,0,3,14,2,5,7,9,5,213,201,201,0,0,0,0,0,0,0,0,0,0,0,10,2,2748,2716,2716,0,14,4,6,0,0,4,4,0,2,2,4,10,1488,1478,1478,0,6,2,4,0,0,0,2,0,1,1,2,0,577,570,570,0,6,1,2,0,0,3,0,0,0,0,1,0,683,668,668,0,2,1,0,0,0,1,2,0,1,1,1,10,277,272,272,0,2,0,1,0,0,1,0,0,0,0,1,2,151,148,148,0,2,0,1,0,0,1,0,0,0,0,1,0,62,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,64,62,62,0,0,0,0,0,0,0,0,0,0,0,0,2,2329,964,963,1,936,167,360,32,39,338,242,33,152,57,74,113,1104,759,759,0,175,37,50,7,8,73,72,3,53,16,67,31
SHSCT,358034,353233,352704,529,2387,786,619,243,38,701,783,44,376,363,1041,590,341215,338337,337809,528,1465,550,350,181,30,354,314,23,142,149,805,294,16819,14896,14895,1,922,236,269,62,8,347,469,21,234,214,236,296,116635,115191,115155,36,997,408,230,133,14,212,83,17,34,32,274,90,115787,115316,114943,373,114,43,26,11,5,29,50,1,17,32,217,90,77575,77281,77183,98,70,28,14,11,2,15,39,1,27,11,157,28,16340,16239,16238,1,44,19,9,12,1,3,8,0,3,5,38,11,4227,4218,4217,1,3,1,1,0,0,1,0,0,0,0,5,1,2423,2405,2404,1,3,0,2,0,0,1,1,0,0,1,14,0,1814,1793,1782,11,8,1,4,2,0,1,1,0,0,1,12,0,1816,1787,1782,5,2,0,2,0,0,0,4,1,1,2,14,9,975,968,968,0,2,0,1,0,0,1,1,0,0,1,2,2,197,195,195,0,0,0,0,0,0,0,2,0,0,2,0,0,1306,1293,1291,2,2,1,0,1,0,0,3,1,1,1,5,3,1949,1262,1262,0,107,10,4,1,1,91,307,11,151,145,119,154,408,283,283,0,22,4,0,1,0,17,73,1,26,46,14,16,12865,12719,12718,1,31,18,6,1,0,6,27,2,9,16,32,56,6411,6358,6358,0,15,9,1,1,0,4,11,2,5,4,16,11,4350,4304,4304,0,9,7,1,0,0,1,8,0,1,7,8,21,2104,2057,2056,1,7,2,4,0,0,1,8,0,3,5,8,24,695,686,686,0,1,0,0,0,0,1,0,0,0,0,3,5,322,320,320,0,1,0,0,0,0,1,0,0,0,0,0,1,269,269,269,0,0,0,0,0,0,0,0,0,0,0,0,0,104,97,97,0,0,0,0,0,0,0,0,0,0,0,3,4,2005,915,915,0,784,208,259,60,7,250,135,8,74,53,85,86,1017,682,682,0,197,45,61,10,8,73,49,1,33,15,50,39
WHSCT,294417,291174,290923,251,1972,486,893,99,21,473,237,64,115,58,740,294,288858,286657,286406,251,1171,318,529,70,14,240,152,44,62,46,664,214,5559,4517,4517,0,801,168,364,29,7,233,85,20,53,12,76,80,77354,76295,76280,15,764,209,363,39,7,146,52,19,20,13,183,60,120530,120059,119877,182,124,42,40,15,5,22,35,5,12,18,228,84,69387,69144,69105,39,72,26,35,4,1,6,17,5,5,7,127,27,8866,8796,8796,0,37,2,27,4,0,4,0,0,0,0,16,17,4098,4082,4073,9,2,1,0,1,0,0,0,0,0,0,12,2,1726,1717,1715,2,3,2,1,0,0,0,2,0,1,1,4,0,1524,1501,1500,1,14,0,11,0,0,3,0,0,0,0,8,1,1846,1805,1803,2,11,6,4,1,0,0,9,7,0,2,17,4,1123,1116,1116,0,3,2,1,0,0,0,1,1,0,0,2,1,164,162,162,0,1,0,0,0,0,1,0,0,0,0,1,0,1058,1044,1043,1,4,2,1,1,0,0,1,0,1,0,7,2,499,425,425,0,12,8,2,0,0,2,33,7,20,6,10,19,152,135,135,0,2,1,0,0,0,1,2,0,2,0,9,4,3613,3570,3570,0,17,2,11,0,1,3,5,0,4,1,3,18,2184,2160,2160,0,11,1,9,0,0,1,5,0,4,1,1,7,558,548,548,0,4,1,2,0,0,1,0,0,0,0,0,6,871,862,862,0,2,0,0,0,1,1,0,0,0,0,2,5,282,281,281,0,0,0,0,0,0,0,1,0,1,0,0,0,172,171,171,0,0,0,0,0,0,0,1,0,1,0,0,0,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,522,522,0,772,158,351,29,6,228,47,13,29,5,63,43,748,520,520,0,134,25,46,5,1,57,32,7,20,5,50,12
BELB,280962,270945,270743,202,6785,2226,2203,222,202,1932,1255,90,1017,148,1401,576,268625,263348,263148,200,3168,1113,792,134,132,997,593,61,435,97,1195,321,12337,7597,7595,2,3617,1113,1411,88,70,935,662,29,582,51,206,255,98532,95389,95385,4,2286,767,614,95,102,708,274,41,194,39,473,110,87312,86680,86545,135,235,104,64,11,8,48,56,5,37,14,256,85,52633,52204,52156,48,132,60,29,11,8,24,65,7,40,18,196,36,14928,14784,14782,2,63,26,15,4,2,16,12,0,7,5,52,17,3471,3445,3441,4,9,3,4,1,0,1,1,0,0,1,14,2,3456,3407,3407,0,11,6,2,0,1,2,6,0,3,3,31,1,2146,2090,2089,1,19,5,9,0,1,4,4,0,0,4,30,3,1472,1415,1413,2,26,14,8,2,1,1,7,0,6,1,19,5,1035,1027,1027,0,2,0,1,0,0,1,0,0,0,0,4,2,159,154,154,0,2,0,2,0,0,0,0,0,0,0,3,0,1526,1483,1479,4,10,5,3,0,0,2,3,2,0,1,22,8,1270,1084,1084,0,64,31,12,2,4,15,73,7,49,17,25,24,270,223,223,0,9,3,1,0,1,4,26,1,20,5,8,4,5374,5153,5153,0,95,33,42,2,2,16,50,1,47,2,22,54,3866,3717,3717,0,76,21,40,2,1,12,48,1,47,0,12,13,241,233,233,0,4,1,1,0,0,2,0,0,0,0,1,3,1267,1203,1203,0,15,11,1,0,1,2,2,0,0,2,9,38,335,320,320,0,4,1,1,1,0,1,4,0,3,1,3,4,207,199,199,0,4,1,1,1,0,1,1,0,1,0,2,1,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,107,100,100,0,0,0,0,0,0,0,3,0,2,1,1,3,5693,1360,1358,2,3458,1049,1357,84,64,904,539,21,486,32,159,177,1350,727,727,0,360,119,39,9,8,185,135,5,125,5,84,44
NEELB,426284,420556,420395,161,3654,1329,1271,265,36,753,458,60,312,86,1245,371,416533,412627,412466,161,2258,863,796,206,22,371,271,42,166,63,1140,237,9751,7929,7929,0,1396,466,475,59,14,382,187,18,146,23,105,134,214610,212256,212209,47,1564,604,592,144,16,208,156,22,91,43,538,96,61678,61301,61240,61,151,56,48,23,3,21,18,1,17,0,164,44,86458,86033,85993,40,121,47,45,14,0,15,27,3,14,10,248,29,34360,34171,34167,4,108,52,29,10,1,16,10,1,3,6,62,9,3433,3420,3418,2,8,2,2,0,0,4,1,0,1,0,3,1,4458,4427,4427,0,8,2,2,1,0,3,0,0,0,0,16,7,2684,2650,2649,1,13,6,5,1,1,0,0,0,0,0,20,1,2527,2495,2492,3,10,6,1,0,0,3,4,1,2,1,13,5,1802,1795,1795,0,3,1,1,0,0,1,1,0,0,1,3,0,288,283,283,0,1,0,1,0,0,0,1,0,0,1,2,1,2505,2470,2467,3,12,4,5,3,0,0,2,2,0,0,14,7,661,603,603,0,11,4,2,0,0,5,8,0,6,2,26,13,184,172,172,0,4,3,0,0,0,1,0,0,0,0,4,4,6434,6363,6363,0,23,14,2,0,1,6,9,0,5,4,9,30,4026,3992,3992,0,15,9,1,0,1,4,5,0,4,1,7,7,675,670,670,0,4,3,1,0,0,0,0,0,0,0,0,1,1733,1701,1701,0,4,2,0,0,0,2,4,0,1,3,2,22,371,360,360,0,1,1,0,0,0,0,1,0,1,0,5,4,258,249,249,0,1,1,0,0,0,0,1,0,1,0,4,3,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,85,83,83,0,0,0,0,0,0,0,0,0,0,0,1,1,2656,963,963,0,1362,448,471,59,13,371,170,18,135,17,70,91,1175,794,794,0,254,79,65,10,1,99,50,12,37,1,48,29
SEELB,414153,407139,406987,152,4191,1387,1192,247,243,1122,785,106,463,216,1526,512,407015,401997,401846,151,2794,1114,675,190,202,613,459,68,243,148,1414,351,7138,5142,5141,1,1397,273,517,57,41,509,326,38,220,68,112,161,203403,200193,200173,20,2132,898,499,141,179,415,265,43,141,81,680,133,60779,60429,60339,90,94,35,31,7,7,14,21,1,9,11,174,61,83554,83034,83004,30,154,68,34,18,2,32,38,7,9,22,278,50,35807,35595,35593,2,100,38,31,9,3,19,21,4,7,10,72,19,3410,3386,3386,0,4,2,0,0,0,2,1,0,0,1,16,3,6129,6079,6078,1,13,1,8,2,0,2,1,0,1,0,29,7,3535,3477,3477,0,26,9,9,2,0,6,2,0,2,0,23,7,3068,3009,3004,5,9,7,1,1,0,0,13,5,4,4,28,9,1733,1715,1715,0,4,3,1,0,0,0,4,2,1,1,2,8,352,347,347,0,2,0,0,0,1,1,1,0,1,0,1,1,3306,3268,3265,3,10,5,3,1,0,1,6,2,2,2,12,10,790,740,740,0,17,10,3,0,0,4,17,3,7,7,10,6,248,236,236,0,0,0,0,0,0,0,0,0,0,0,10,2,3291,3246,3246,0,24,7,9,1,0,7,4,0,2,2,7,10,1884,1866,1866,0,13,4,7,1,0,1,2,0,1,1,3,0,625,617,617,0,7,2,2,0,0,3,0,0,0,0,1,0,782,763,763,0,4,1,0,0,0,3,2,0,1,1,3,10,311,304,304,0,3,0,2,0,0,1,0,0,0,0,2,2,172,168,168,0,2,0,1,0,0,1,0,0,0,0,2,0,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,74,71,71,0,1,0,1,0,0,0,0,0,0,0,0,2,3057,1156,1155,1,1356,256,505,56,41,498,305,35,211,59,95,145,1380,925,925,0,243,48,56,9,10,120,86,4,66,16,87,39
SELB,395047,389936,389401,535,2528,875,639,258,38,718,881,52,438,391,1102,600,377037,373975,373441,534,1553,613,363,187,30,360,350,26,158,166,858,301,18010,15961,15960,1,975,262,276,71,8,358,531,26,280,225,244,299,128480,126953,126917,36,1051,448,238,138,14,213,93,19,40,34,291,92,127183,126692,126313,379,121,47,27,12,5,30,54,2,20,32,223,93,87235,86916,86818,98,75,32,15,11,2,15,42,1,29,12,174,28,17787,17670,17669,1,54,27,9,12,1,5,8,0,3,5,44,11,4720,4711,4710,1,3,1,1,0,0,1,0,0,0,0,5,1,2637,2619,2618,1,3,0,2,0,0,1,1,0,0,1,14,0,1988,1966,1955,11,8,1,4,2,0,1,1,0,0,1,13,0,2018,1985,1980,5,4,2,2,0,0,0,4,1,1,2,16,9,1078,1071,1071,0,2,0,1,0,0,1,1,0,0,1,2,2,208,206,206,0,0,0,0,0,0,0,2,0,0,2,0,0,1420,1406,1404,2,2,1,0,1,0,0,3,1,1,1,6,3,2190,1448,1448,0,111,13,4,1,1,92,353,16,181,156,124,154,448,302,302,0,24,4,0,1,0,19,90,1,29,60,16,16,13664,13516,13515,1,31,18,6,1,0,6,29,2,11,16,32,56,6658,6605,6605,0,15,9,1,1,0,4,11,2,5,4,16,11,4491,4445,4445,0,9,7,1,0,0,1,8,0,1,7,8,21,2515,2466,2465,1,7,2,4,0,0,1,10,0,5,5,8,24,742,733,733,0,1,0,0,0,0,1,0,0,0,0,3,5,343,341,341,0,1,0,0,0,0,1,0,0,0,0,0,1,272,272,272,0,0,0,0,0,0,0,0,0,0,0,0,0,127,120,120,0,0,0,0,0,0,0,0,0,0,0,3,4,2156,997,997,0,833,231,266,69,7,260,149,8,88,53,88,89,1093,745,745,0,205,50,64,10,8,73,51,1,35,15,51,41
