GeographyCode,DC2207NI0001,DC2207NI0002,DC2207NI0003,DC2207NI0004,DC2207NI0005,DC2207NI0006,DC2207NI0007,DC2207NI0008,DC2207NI0009,DC2207NI0010,DC2207NI0011,DC2207NI0012,DC2207NI0013,DC2207NI0014,DC2207NI0015,DC2207NI0016,DC2207NI0017,DC2207NI0018,DC2207NI0019,DC2207NI0020,DC2207NI0021,DC2207NI0022,DC2207NI0023,DC2207NI0024,DC2207NI0025,DC2207NI0026,DC2207NI0027,DC2207NI0028,DC2207NI0029,DC2207NI0030,DC2207NI0031,DC2207NI0032,DC2207NI0033,DC2207NI0034,DC2207NI0035,DC2207NI0036,DC2207NI0037,DC2207NI0038,DC2207NI0039,DC2207NI0040,DC2207NI0041,DC2207NI0042,DC2207NI0043,DC2207NI0044,DC2207NI0045,DC2207NI0046,DC2207NI0047,DC2207NI0048,DC2207NI0049,DC2207NI0050,DC2207NI0051,DC2207NI0052,DC2207NI0053,DC2207NI0054,DC2207NI0055,DC2207NI0056,DC2207NI0057,DC2207NI0058,DC2207NI0059,DC2207NI0060,DC2207NI0061,DC2207NI0062,DC2207NI0063,DC2207NI0064,DC2207NI0065,DC2207NI0066,DC2207NI0067,DC2207NI0068,DC2207NI0069,DC2207NI0070,DC2207NI0071,DC2207NI0072,DC2207NI0073,DC2207NI0074,DC2207NI0075,DC2207NI0076,DC2207NI0077,DC2207NI0078,DC2207NI0079,DC2207NI0080,DC2207NI0081,DC2207NI0082,DC2207NI0083,DC2207NI0084,DC2207NI0085,DC2207NI0086,DC2207NI0087,DC2207NI0088,DC2207NI0089,DC2207NI0090,DC2207NI0091,DC2207NI0092,DC2207NI0093,DC2207NI0094,DC2207NI0095,DC2207NI0096,DC2207NI0097,DC2207NI0098,DC2207NI0099,DC2207NI0100,DC2207NI0101,DC2207NI0102,DC2207NI0103,DC2207NI0104,DC2207NI0105,DC2207NI0106,DC2207NI0107,DC2207NI0108,DC2207NI0109,DC2207NI0110,DC2207NI0111,DC2207NI0112,DC2207NI0113,DC2207NI0114,DC2207NI0115,DC2207NI0116,DC2207NI0117,DC2207NI0118,DC2207NI0119,DC2207NI0120,DC2207NI0121,DC2207NI0122,DC2207NI0123,DC2207NI0124,DC2207NI0125,DC2207NI0126,DC2207NI0127,DC2207NI0128,DC2207NI0129,DC2207NI0130,DC2207NI0131,DC2207NI0132,DC2207NI0133,DC2207NI0134,DC2207NI0135,DC2207NI0136,DC2207NI0137,DC2207NI0138,DC2207NI0139,DC2207NI0140,DC2207NI0141,DC2207NI0142,DC2207NI0143,DC2207NI0144,DC2207NI0145,DC2207NI0146,DC2207NI0147,DC2207NI0148,DC2207NI0149,DC2207NI0150,DC2207NI0151,DC2207NI0152,DC2207NI0153,DC2207NI0154,DC2207NI0155,DC2207NI0156,DC2207NI0157,DC2207NI0158,DC2207NI0159,DC2207NI0160,DC2207NI0161,DC2207NI0162,DC2207NI0163,DC2207NI0164,DC2207NI0165,DC2207NI0166,DC2207NI0167,DC2207NI0168,DC2207NI0169,DC2207NI0170,DC2207NI0171,DC2207NI0172,DC2207NI0173,DC2207NI0174,DC2207NI0175,DC2207NI0176,DC2207NI0177,DC2207NI0178,DC2207NI0179,DC2207NI0180,DC2207NI0181,DC2207NI0182,DC2207NI0183,DC2207NI0184,DC2207NI0185,DC2207NI0186,DC2207NI0187,DC2207NI0188,DC2207NI0189,DC2207NI0190,DC2207NI0191,DC2207NI0192,DC2207NI0193,DC2207NI0194,DC2207NI0195,DC2207NI0196,DC2207NI0197,DC2207NI0198,DC2207NI0199,DC2207NI0200,DC2207NI0201,DC2207NI0202,DC2207NI0203,DC2207NI0204,DC2207NI0205,DC2207NI0206,DC2207NI0207,DC2207NI0208
N92000002,1810863,1779750,1778449,1301,19130,6303,6198,1091,540,4998,3616,372,2345,899,6014,2353,876577,863046,862887,159,8953,3313,2547,643,343,2107,1033,165,606,262,2844,701,513390,509358,508473,885,1434,443,468,93,45,385,585,37,364,184,1477,536,533085,529664,529374,290,1171,462,329,117,24,239,322,29,180,113,1602,326,18041,17669,17641,28,110,56,38,8,1,7,56,20,21,15,152,54,9374,9298,9293,5,21,8,5,2,0,6,9,4,2,3,23,23,1772,1746,1742,4,7,0,3,0,1,3,7,1,3,3,8,4,6712,5368,5368,0,254,77,24,4,6,143,602,35,314,253,242,246,34417,33846,33845,1,199,76,73,5,4,41,103,3,74,26,86,183,19770,19468,19468,0,138,46,60,5,2,25,74,3,64,7,47,43,7017,6940,6940,0,28,14,7,0,0,7,8,0,1,7,10,31,7630,7438,7437,1,33,16,6,0,2,9,21,0,9,12,29,109,20755,8709,8706,3,8977,2463,3220,340,159,2795,1564,124,1232,208,795,710
BHSCT,348204,336221,336009,212,8195,2722,2520,318,240,2395,1384,101,1127,156,1709,695,165783,160844,160833,11,3520,1264,810,157,145,1144,394,50,285,59,812,213,107535,106316,106169,147,424,161,108,20,16,119,210,12,168,30,435,150,96406,95367,95310,57,368,146,78,34,15,95,138,9,96,33,442,91,3107,2990,2984,6,49,21,20,3,1,4,14,1,11,2,42,12,1843,1815,1813,2,9,3,1,1,0,4,0,0,0,0,9,10,349,338,338,0,3,0,2,0,0,1,2,1,1,0,4,2,1725,1479,1479,0,81,39,15,2,5,20,102,9,71,22,34,29,6286,6035,6035,0,110,37,47,4,2,20,54,1,50,3,29,58,4490,4324,4324,0,87,24,44,4,1,14,49,1,48,0,16,14,313,304,304,0,5,2,1,0,0,2,0,0,0,0,1,3,1483,1407,1407,0,18,11,2,0,1,4,5,0,2,3,12,41,8047,2445,2443,2,4306,1268,1547,119,76,1296,751,29,683,39,284,261
NHSCT,463297,457259,457092,167,3795,1418,1291,280,36,770,556,68,374,114,1306,381,273012,270081,270027,54,1890,755,656,172,18,289,185,30,103,52,714,142,85771,85039,84969,70,338,114,114,33,5,72,84,10,60,14,231,79,141688,140893,140846,47,311,130,91,34,1,55,43,4,22,17,386,55,4581,4511,4506,5,25,13,6,3,0,3,6,3,2,1,31,8,2639,2624,2624,0,3,1,1,0,0,1,2,1,0,1,6,4,440,435,434,1,1,0,1,0,0,0,1,0,0,1,2,1,1126,980,980,0,21,10,2,0,0,9,71,5,39,27,37,17,7651,7567,7567,0,24,15,2,0,1,6,12,0,8,4,14,34,4552,4509,4509,0,16,10,1,0,1,4,6,0,5,1,11,10,847,842,842,0,4,3,1,0,0,0,0,0,0,0,0,1,2252,2216,2216,0,4,2,0,0,0,2,6,0,3,3,3,23,4058,1902,1902,0,1673,555,546,78,14,480,236,30,188,18,122,125
SEHSCT,346911,341863,341721,142,2781,891,875,151,205,659,656,95,353,208,1218,393,208430,205722,205698,24,1557,622,421,111,157,246,286,45,149,92,713,152,65155,64624,64538,86,168,40,68,7,6,47,61,3,32,26,232,70,109137,108430,108398,32,213,82,68,13,4,46,61,10,20,31,353,80,4882,4797,4790,7,16,11,5,0,0,0,18,7,5,6,36,15,2236,2222,2221,1,3,2,1,0,0,0,4,2,1,1,3,4,478,474,473,1,2,0,0,0,1,1,1,0,1,0,0,1,853,804,804,0,9,5,1,0,0,3,14,2,5,7,19,7,3025,2988,2988,0,16,4,7,0,0,5,4,0,2,2,5,12,1639,1626,1626,0,8,2,5,0,0,1,2,0,1,1,3,0,639,632,632,0,6,1,2,0,0,3,0,0,0,0,1,0,747,730,730,0,2,1,0,0,0,1,2,0,1,1,1,12,3433,1723,1722,1,1111,204,410,39,47,411,314,36,205,73,141,144
SHSCT,358034,353233,352704,529,2387,786,619,243,38,701,783,44,376,363,1041,590,138805,137071,137020,51,1141,455,250,156,16,264,105,18,44,43,374,114,125957,125109,124721,388,255,63,89,15,12,76,167,3,71,93,292,134,101318,100818,100715,103,153,69,27,25,3,29,59,1,36,22,237,51,2821,2775,2768,7,6,3,2,1,0,0,7,2,2,3,20,13,1300,1290,1288,2,2,0,1,0,0,1,2,0,1,1,3,3,282,278,276,2,0,0,0,0,0,0,3,0,1,2,1,0,2357,1545,1545,0,129,14,4,2,1,108,380,12,177,191,133,170,13560,13405,13404,1,32,18,6,1,0,7,27,2,9,16,35,61,6733,6678,6678,0,16,9,1,1,0,5,11,2,5,4,16,12,4619,4573,4573,0,9,7,1,0,0,1,8,0,1,7,8,21,2208,2154,2153,1,7,2,4,0,0,1,8,0,3,5,11,28,3022,1597,1597,0,981,253,320,70,15,323,184,9,107,68,135,125
WHSCT,294417,291174,290923,251,1972,486,893,99,21,473,237,64,115,58,740,294,90547,89328,89309,19,845,217,410,47,7,164,63,22,25,16,231,80,128972,128270,128076,194,249,65,89,18,6,71,63,9,33,21,287,103,84536,84156,84105,51,126,35,65,11,1,14,21,5,6,10,184,49,2650,2596,2593,3,14,8,5,1,0,0,11,7,1,3,23,6,1356,1347,1347,0,4,2,1,1,0,0,1,1,0,0,2,2,223,221,221,0,1,0,0,0,0,1,0,0,0,0,1,0,651,560,560,0,14,9,2,0,0,3,35,7,22,6,19,23,3895,3851,3851,0,17,2,11,0,1,3,6,0,5,1,3,18,2356,2331,2331,0,11,1,9,0,0,1,6,0,5,1,1,7,599,589,589,0,4,1,2,0,0,1,0,0,0,0,0,6,940,931,931,0,2,0,0,0,1,1,0,0,0,0,2,5,2195,1042,1042,0,906,183,397,34,7,285,79,20,49,10,113,55
BELB,280962,270945,270743,202,6785,2226,2203,222,202,1932,1255,90,1017,148,1401,576,121272,117464,117454,10,2651,899,664,105,112,871,345,44,246,55,649,163,97682,96615,96475,140,364,144,95,15,13,97,199,11,158,30,377,127,75356,74546,74492,54,266,112,59,17,11,67,125,8,88,29,347,72,2538,2435,2429,6,44,20,18,2,1,3,13,1,10,2,38,8,1474,1458,1457,1,4,0,1,0,0,3,0,0,0,0,8,4,282,274,274,0,3,0,2,0,0,1,1,1,0,0,3,1,1540,1307,1307,0,73,34,13,2,5,19,99,8,69,22,33,28,5709,5473,5473,0,99,34,43,3,2,17,54,1,50,3,25,58,4073,3916,3916,0,80,22,41,3,1,13,49,1,48,0,14,14,262,254,254,0,4,1,1,0,0,2,0,0,0,0,1,3,1374,1303,1303,0,15,11,1,0,1,2,5,0,2,3,10,41,7043,2087,2085,2,3818,1168,1396,93,72,1089,674,26,611,37,243,221
NEELB,426284,420556,420395,161,3654,1329,1271,265,36,753,458,60,312,86,1245,371,259216,256390,256336,54,1822,703,648,167,18,286,175,28,97,50,689,140,73354,72672,72608,64,325,109,110,32,5,69,61,9,52,0,222,74,129798,129045,128998,47,296,118,90,34,1,53,40,4,20,16,362,55,4294,4229,4224,5,23,11,6,3,0,3,6,3,2,1,28,8,2508,2493,2493,0,3,1,1,0,0,1,2,1,0,1,6,4,424,419,418,1,1,0,1,0,0,0,1,0,0,1,2,1,845,775,775,0,15,7,2,0,0,6,8,0,6,2,30,17,6805,6723,6723,0,24,15,2,0,1,6,10,0,6,4,14,34,4284,4241,4241,0,16,10,1,0,1,4,6,0,5,1,11,10,703,698,698,0,4,3,1,0,0,0,0,0,0,0,0,1,1818,1784,1784,0,4,2,0,0,0,2,4,0,1,3,3,23,3831,1757,1757,0,1616,527,536,69,14,470,220,30,172,18,118,120
SEELB,414153,407139,406987,152,4191,1387,1192,247,243,1122,785,106,463,216,1526,512,252941,249102,249077,25,2426,987,567,163,190,519,335,51,188,96,876,202,75008,74325,74232,93,228,57,81,12,9,69,72,4,42,26,290,93,130187,129251,129216,35,315,116,87,30,8,74,74,11,28,35,448,99,5451,5352,5345,7,21,12,7,1,0,1,19,7,6,6,40,19,2605,2579,2577,2,8,5,1,1,0,1,4,2,1,1,4,10,545,538,537,1,2,0,0,0,1,1,2,0,2,0,1,2,1038,976,976,0,17,10,3,0,0,4,17,3,7,7,20,8,3602,3550,3550,0,27,7,11,1,0,8,4,0,2,2,9,12,2056,2034,2034,0,15,4,8,1,0,2,2,0,1,1,5,0,690,682,682,0,7,2,2,0,0,3,0,0,0,0,1,0,856,834,834,0,5,1,1,0,0,3,2,0,1,1,3,12,4437,2081,2080,1,1599,304,561,65,51,618,391,39,277,75,182,184
SELB,395047,389936,389401,535,2528,875,639,258,38,718,881,52,438,391,1102,600,152601,150762,150711,51,1209,507,258,161,16,267,115,20,50,45,399,116,138374,137476,137082,394,268,68,93,16,12,79,190,4,79,107,301,139,113208,112666,112563,103,168,81,28,25,3,31,62,1,38,23,261,51,3108,3057,3050,7,8,5,2,1,0,0,7,2,2,3,23,13,1431,1421,1419,2,2,0,1,0,0,1,2,0,1,1,3,3,298,294,292,2,0,0,0,0,0,0,3,0,1,2,1,0,2638,1750,1750,0,135,17,4,2,1,111,443,17,210,216,140,170,14406,14249,14248,1,32,18,6,1,0,7,29,2,11,16,35,61,7001,6946,6946,0,16,9,1,1,0,5,11,2,5,4,16,12,4763,4717,4717,0,9,7,1,0,0,1,8,0,1,7,8,21,2642,2586,2585,1,7,2,4,0,0,1,10,0,5,5,11,28,3249,1742,1742,0,1038,281,330,79,15,333,200,9,123,68,139,130
WELB,294417,291174,290923,251,1972,486,893,99,21,473,237,64,115,58,740,294,90547,89328,89309,19,845,217,410,47,7,164,63,22,25,16,231,80,128972,128270,128076,194,249,65,89,18,6,71,63,9,33,21,287,103,84536,84156,84105,51,126,35,65,11,1,14,21,5,6,10,184,49,2650,2596,2593,3,14,8,5,1,0,0,11,7,1,3,23,6,1356,1347,1347,0,4,2,1,1,0,0,1,1,0,0,2,2,223,221,221,0,1,0,0,0,0,1,0,0,0,0,1,0,651,560,560,0,14,9,2,0,0,3,35,7,22,6,19,23,3895,3851,3851,0,17,2,11,0,1,3,6,0,5,1,3,18,2356,2331,2331,0,11,1,9,0,0,1,6,0,5,1,1,7,599,589,589,0,4,1,2,0,0,1,0,0,0,0,0,6,940,931,931,0,2,0,0,0,1,1,0,0,0,0,2,5,2195,1042,1042,0,906,183,397,34,7,285,79,20,49,10,113,55
UKN01,280962,270945,270743,202,6785,2226,2203,222,202,1932,1255,90,1017,148,1401,576,121272,117464,117454,10,2651,899,664,105,112,871,345,44,246,55,649,163,97682,96615,96475,140,364,144,95,15,13,97,199,11,158,30,377,127,75356,74546,74492,54,266,112,59,17,11,67,125,8,88,29,347,72,2538,2435,2429,6,44,20,18,2,1,3,13,1,10,2,38,8,1474,1458,1457,1,4,0,1,0,0,3,0,0,0,0,8,4,282,274,274,0,3,0,2,0,0,1,1,1,0,0,3,1,1540,1307,1307,0,73,34,13,2,5,19,99,8,69,22,33,28,5709,5473,5473,0,99,34,43,3,2,17,54,1,50,3,25,58,4073,3916,3916,0,80,22,41,3,1,13,49,1,48,0,14,14,262,254,254,0,4,1,1,0,0,2,0,0,0,0,1,3,1374,1303,1303,0,15,11,1,0,1,2,5,0,2,3,10,41,7043,2087,2085,2,3818,1168,1396,93,72,1089,674,26,611,37,243,221
UKN02,390597,382884,382752,132,4891,1685,1527,359,105,1215,756,90,499,167,1588,478,254009,249873,249847,26,2714,1086,764,221,77,566,310,51,180,79,929,183,60203,59458,59375,83,289,75,101,26,6,81,77,4,60,13,292,87,119890,118908,118880,28,369,139,99,42,6,83,68,7,30,31,463,82,4735,4647,4644,3,17,9,4,3,0,1,15,6,7,2,39,17,2490,2463,2461,2,8,5,1,1,0,1,3,1,1,1,6,10,496,488,487,1,1,0,1,0,0,0,2,0,2,0,3,2,1042,972,972,0,17,10,4,0,0,3,15,3,7,5,27,11,3471,3401,3401,0,35,17,8,1,1,8,10,0,7,3,12,13,2351,2316,2316,0,20,12,5,1,1,1,8,0,6,2,7,0,444,434,434,0,8,3,2,0,0,3,0,0,0,0,1,1,676,651,651,0,7,2,1,0,0,4,2,0,1,1,4,12,4686,1987,1987,0,1967,487,676,111,24,669,381,28,300,53,169,182
UKN03,438823,433005,432805,200,3365,1060,935,299,186,885,708,86,397,225,1306,439,256103,253184,253131,53,1863,696,443,213,137,374,222,33,117,72,670,164,81060,80455,80353,102,217,51,73,18,11,64,75,4,43,28,247,66,134976,134210,134160,50,247,105,53,41,5,43,69,7,36,26,374,76,4735,4653,4648,5,22,13,7,2,0,0,11,4,2,5,36,13,2351,2341,2341,0,1,0,1,0,0,0,4,2,0,2,3,2,456,451,450,1,2,0,0,0,1,1,1,0,0,1,1,1,1626,1299,1299,0,62,15,0,1,0,46,169,7,98,64,53,43,8972,8875,8875,0,21,9,4,0,0,8,15,2,4,9,25,36,4945,4903,4903,0,14,5,3,0,0,6,5,2,2,1,14,9,1826,1815,1815,0,5,4,1,0,0,0,1,0,1,0,1,4,2201,2157,2157,0,2,0,0,0,0,2,9,0,1,8,10,23,3683,1835,1834,1,1348,290,452,67,47,492,235,39,149,47,143,122
