GeographyCode,DC2216NI0001,DC2216NI0002,DC2216NI0003,DC2216NI0004,DC2216NI0005,DC2216NI0006,DC2216NI0007,DC2216NI0008,DC2216NI0009,DC2216NI0010,DC2216NI0011,DC2216NI0012,DC2216NI0013,DC2216NI0014,DC2216NI0015,DC2216NI0016,DC2216NI0017,DC2216NI0018,DC2216NI0019,DC2216NI0020,DC2216NI0021,DC2216NI0022,DC2216NI0023,DC2216NI0024,DC2216NI0025,DC2216NI0026,DC2216NI0027,DC2216NI0028,DC2216NI0029,DC2216NI0030,DC2216NI0031,DC2216NI0032,DC2216NI0033,DC2216NI0034,DC2216NI0035,DC2216NI0036,DC2216NI0037,DC2216NI0038,DC2216NI0039,DC2216NI0040,DC2216NI0041,DC2216NI0042,DC2216NI0043,DC2216NI0044,DC2216NI0045,DC2216NI0046,DC2216NI0047,DC2216NI0048,DC2216NI0049,DC2216NI0050,DC2216NI0051,DC2216NI0052,DC2216NI0053,DC2216NI0054,DC2216NI0055,DC2216NI0056,DC2216NI0057,DC2216NI0058,DC2216NI0059,DC2216NI0060,DC2216NI0061,DC2216NI0062,DC2216NI0063,DC2216NI0064,DC2216NI0065,DC2216NI0066,DC2216NI0067,DC2216NI0068,DC2216NI0069,DC2216NI0070,DC2216NI0071,DC2216NI0072,DC2216NI0073,DC2216NI0074,DC2216NI0075,DC2216NI0076,DC2216NI0077,DC2216NI0078,DC2216NI0079,DC2216NI0080,DC2216NI0081,DC2216NI0082,DC2216NI0083,DC2216NI0084,DC2216NI0085,DC2216NI0086,DC2216NI0087,DC2216NI0088,DC2216NI0089,DC2216NI0090,DC2216NI0091,DC2216NI0092,DC2216NI0093,DC2216NI0094,DC2216NI0095,DC2216NI0096,DC2216NI0097,DC2216NI0098,DC2216NI0099,DC2216NI0100,DC2216NI0101,DC2216NI0102,DC2216NI0103,DC2216NI0104,DC2216NI0105,DC2216NI0106,DC2216NI0107,DC2216NI0108,DC2216NI0109,DC2216NI0110,DC2216NI0111,DC2216NI0112,DC2216NI0113,DC2216NI0114,DC2216NI0115,DC2216NI0116,DC2216NI0117,DC2216NI0118,DC2216NI0119,DC2216NI0120,DC2216NI0121,DC2216NI0122,DC2216NI0123,DC2216NI0124,DC2216NI0125,DC2216NI0126,DC2216NI0127,DC2216NI0128,DC2216NI0129,DC2216NI0130,DC2216NI0131,DC2216NI0132,DC2216NI0133,DC2216NI0134,DC2216NI0135,DC2216NI0136,DC2216NI0137,DC2216NI0138,DC2216NI0139,DC2216NI0140,DC2216NI0141,DC2216NI0142,DC2216NI0143,DC2216NI0144,DC2216NI0145,DC2216NI0146,DC2216NI0147,DC2216NI0148,DC2216NI0149,DC2216NI0150,DC2216NI0151,DC2216NI0152,DC2216NI0153,DC2216NI0154,DC2216NI0155,DC2216NI0156,DC2216NI0157,DC2216NI0158,DC2216NI0159,DC2216NI0160,DC2216NI0161,DC2216NI0162,DC2216NI0163,DC2216NI0164,DC2216NI0165,DC2216NI0166,DC2216NI0167,DC2216NI0168,DC2216NI0169,DC2216NI0170,DC2216NI0171,DC2216NI0172,DC2216NI0173,DC2216NI0174,DC2216NI0175,DC2216NI0176,DC2216NI0177,DC2216NI0178,DC2216NI0179,DC2216NI0180,DC2216NI0181,DC2216NI0182
N92000002,1735711,1681171,54540,20260,19811,11802,2667,1685745,1672425,13320,7809,3278,1595,638,49966,8746,41220,12451,16533,10207,2029,696590,692228,4362,1984,1323,770,285,436051,431650,4401,3680,505,117,99,362403,361572,831,425,214,107,85,107030,106810,220,111,60,34,15,18185,18103,82,61,15,2,4,17579,17554,25,15,4,4,2,11454,11411,43,30,5,6,2,10792,10731,61,27,21,9,4,6735,6674,61,41,10,3,7,1163,1118,45,37,5,1,2,9547,9498,49,25,17,5,2,5311,910,4401,2352,1294,617,138,1167,619,548,305,163,59,21,30215,1083,29132,6590,12410,8472,1660,17202,516,16686,3663,7207,4788,1028,6180,247,5933,1200,2472,1913,348,6833,320,6513,1727,2731,1771,284,1709,260,1449,445,552,360,92,956,126,830,256,339,186,49,356,44,312,63,123,97,29,397,90,307,126,90,77,14,14440,6753,7687,3509,2829,1118,231,5340,4197,1143,623,384,118,18
BHSCT,334560,320127,14433,6876,4901,2175,481,321488,317023,4465,2933,949,433,150,13072,3104,9968,3943,3952,1742,331,129693,128073,1620,796,453,278,93,90563,88834,1729,1499,171,30,29,62513,62326,187,114,45,19,9,20669,20632,37,26,7,3,1,3944,3924,20,14,5,0,1,4350,4344,6,3,2,1,0,2588,2574,14,11,1,2,0,1759,1740,19,9,7,2,1,1245,1231,14,13,1,0,0,198,187,11,9,2,0,0,1885,1874,11,5,4,1,1,1397,254,1143,828,266,45,4,276,143,133,94,36,3,0,5539,224,5315,1518,2396,1198,203,3966,138,3828,1016,1767,877,168,274,16,258,99,96,57,6,1299,70,1229,403,533,264,29,310,48,262,107,96,51,8,184,28,156,49,69,32,6,19,3,16,3,5,8,0,107,17,90,55,22,11,2,6136,2626,3510,1597,1290,499,124,1495,1093,402,233,119,43,7
NHSCT,444578,433481,11097,3665,4127,2674,631,434226,431772,2454,1335,634,330,155,10352,1709,8643,2330,3493,2344,476,218570,217638,932,385,297,178,72,69585,68975,610,521,61,15,13,91686,91532,154,75,40,13,26,34275,34212,63,30,15,11,7,3720,3707,13,10,3,0,0,4478,4473,5,4,0,1,0,2766,2758,8,4,1,2,1,2688,2679,9,3,2,3,1,1895,1871,24,17,1,1,5,297,290,7,7,0,0,0,2553,2548,5,2,2,1,0,885,160,725,423,191,79,32,195,115,80,57,11,9,3,6743,198,6545,1324,2759,2044,418,3925,111,3814,692,1621,1230,271,762,22,740,151,295,245,49,2056,65,1991,481,843,569,98,358,52,306,85,126,73,22,243,30,213,62,92,46,13,27,3,24,4,10,7,3,88,19,69,19,24,20,6,2724,1351,1373,583,543,221,26,1160,922,238,135,75,23,5
SEHSCT,333088,327171,5917,2703,2018,986,210,327653,325580,2073,1164,549,265,95,5435,1591,3844,1539,1469,721,115,161858,161020,838,360,277,146,55,50864,50331,533,439,72,14,8,67766,67625,141,77,33,15,16,28048,27985,63,25,23,12,3,2630,2611,19,19,0,0,0,4809,4800,9,6,1,2,0,2896,2889,7,7,0,0,0,2724,2715,9,4,3,2,0,1511,1504,7,5,1,0,1,309,294,15,11,1,1,2,2807,2797,10,6,4,0,0,624,194,430,317,81,30,2,178,130,48,43,5,0,0,2560,147,2413,700,1036,582,95,1368,57,1311,365,575,324,47,536,39,497,128,216,128,25,656,51,605,207,245,130,23,241,27,214,72,76,57,9,134,10,124,34,50,36,4,54,5,49,16,17,13,3,53,12,41,22,9,8,2,2251,1250,1001,522,352,109,18,1012,852,160,90,53,16,1
SHSCT,341383,324297,17086,4710,6659,4667,1050,325522,322866,2656,1321,799,379,157,15861,1431,14430,3389,5860,4288,893,111997,111384,613,258,198,111,46,109923,109156,767,599,115,32,21,73939,73711,228,94,73,40,21,15500,15462,38,22,9,5,2,3994,3981,13,9,3,1,0,2295,2291,4,1,1,0,2,1738,1728,10,6,3,0,1,1800,1784,16,8,4,2,2,971,961,10,5,2,2,1,196,191,5,3,2,0,0,1265,1250,15,5,6,3,1,1916,212,1704,561,624,422,97,375,148,227,76,98,41,12,12004,402,11602,2352,4846,3656,748,5928,163,5765,1182,2418,1747,418,4093,150,3943,724,1650,1319,250,1983,89,1894,446,778,590,80,568,91,477,131,185,117,44,257,41,216,79,82,34,21,221,28,193,34,81,58,20,90,22,68,18,22,25,3,1941,817,1124,476,390,210,48,961,728,233,104,100,25,4
WHSCT,282102,276095,6007,2306,2106,1300,295,276856,275184,1672,1056,347,188,81,5246,911,4335,1250,1759,1112,214,74472,74113,359,185,98,57,19,115116,114354,762,622,86,26,28,66499,66378,121,65,23,20,13,8538,8519,19,8,6,3,2,3897,3880,17,9,4,1,3,1647,1646,1,1,0,0,0,1466,1462,4,2,0,2,0,1821,1813,8,3,5,0,0,1113,1107,6,1,5,0,0,163,156,7,7,0,0,0,1037,1029,8,7,1,0,0,489,90,399,223,132,41,3,143,83,60,35,13,6,6,3369,112,3257,696,1373,992,196,2015,47,1968,408,826,610,124,515,20,495,98,215,164,18,839,45,794,190,332,218,54,232,42,190,50,69,62,9,138,17,121,32,46,38,5,35,5,30,6,10,11,3,59,20,39,12,13,13,1,1388,709,679,331,254,79,15,712,602,110,61,37,11,1
BELB,269804,256904,12900,6083,4427,1944,446,258082,254215,3867,2573,812,345,137,11722,2689,9033,3510,3615,1599,309,95017,93791,1226,582,360,202,82,83552,81881,1671,1453,162,28,28,50511,50346,165,108,35,14,8,14392,14373,19,11,5,2,1,3342,3325,17,13,3,0,1,3306,3300,6,3,2,1,0,2069,2059,10,9,0,1,0,1453,1435,18,8,7,2,1,1028,1014,14,13,1,0,0,158,149,9,7,2,0,0,1480,1469,11,5,4,1,1,1249,216,1033,740,250,39,4,244,127,117,79,35,3,0,5044,203,4841,1371,2176,1106,188,3603,124,3479,907,1601,812,159,230,13,217,91,77,43,6,1211,66,1145,373,498,251,23,283,44,239,93,88,50,8,168,25,143,43,63,31,6,18,2,16,3,5,8,0,97,17,80,47,20,11,2,5429,2270,3159,1399,1189,454,117,1247,902,345,189,108,41,7
NEELB,409258,399392,9866,3341,3661,2326,538,400032,397760,2272,1249,583,292,148,9226,1632,7594,2092,3078,2034,390,207160,206267,893,373,282,167,71,58770,58212,558,478,56,12,12,82506,82365,141,68,36,12,25,32892,32834,58,30,14,7,7,3252,3239,13,10,3,0,0,4274,4269,5,4,0,1,0,2601,2594,7,4,0,2,1,2489,2481,8,3,2,2,1,1792,1769,23,16,1,1,5,286,279,7,7,0,0,0,2443,2438,5,2,2,1,0,648,147,501,339,116,36,10,161,103,58,47,7,2,2,6001,179,5822,1190,2466,1809,357,3699,105,3594,644,1527,1167,256,636,20,616,122,239,210,45,1666,54,1612,424,700,432,56,318,46,272,80,109,63,20,223,29,194,62,79,40,13,25,3,22,3,9,7,3,70,14,56,15,21,16,4,2577,1306,1271,563,496,189,23,1088,864,224,127,71,22,4
SEELB,397844,390394,7450,3496,2492,1217,245,391059,388388,2671,1524,686,353,108,6785,2006,4779,1972,1806,864,137,196534,195302,1232,574,370,222,66,57875,57284,591,485,81,16,9,79768,79605,163,83,43,20,17,34325,34244,81,40,25,13,3,3232,3210,22,20,2,0,0,5853,5844,9,6,1,2,0,3415,3404,11,9,1,1,0,3030,3020,10,5,3,2,0,1728,1721,7,5,1,0,1,349,332,17,13,1,1,2,3212,3202,10,6,4,0,0,772,232,540,405,97,36,2,210,146,64,58,6,0,0,3055,168,2887,847,1256,674,110,1731,71,1660,474,741,389,56,580,42,538,136,235,142,25,744,55,689,237,280,143,29,268,31,237,86,84,58,9,150,13,137,40,56,37,4,55,6,49,16,17,13,3,63,12,51,30,11,8,2,2958,1606,1352,720,453,154,25,1260,1043,217,134,64,18,1
SELB,376703,358386,18317,5034,7125,5015,1143,359716,356878,2838,1407,850,417,164,16987,1508,15479,3627,6275,4598,979,123407,122755,652,270,213,122,47,120738,119919,819,642,120,35,22,83119,82878,241,101,77,41,22,16883,16840,43,22,10,9,2,4462,4449,13,9,3,1,0,2499,2495,4,1,1,0,2,1903,1892,11,6,4,0,1,1999,1982,17,8,4,3,2,1074,1063,11,6,2,2,1,207,202,5,3,2,0,0,1375,1360,15,5,6,3,1,2153,225,1928,645,699,465,119,409,160,249,86,102,48,13,12746,421,12325,2486,5139,3891,809,6154,169,5985,1230,2512,1810,433,4219,152,4067,753,1706,1354,254,2373,100,2273,503,921,727,122,608,97,511,136,202,127,46,277,42,235,79,95,40,21,223,28,195,35,82,58,20,108,27,81,22,25,29,5,2088,862,1226,496,437,242,51,1033,786,247,112,104,26,5
