GeographyCode,DC2231NI0001,DC2231NI0002,DC2231NI0003,DC2231NI0004,DC2231NI0005,DC2231NI0006,DC2231NI0007,DC2231NI0008,DC2231NI0009,DC2231NI0010,DC2231NI0011,DC2231NI0012,DC2231NI0013,DC2231NI0014,DC2231NI0015,DC2231NI0016,DC2231NI0017,DC2231NI0018,DC2231NI0019,DC2231NI0020,DC2231NI0021,DC2231NI0022,DC2231NI0023,DC2231NI0024,DC2231NI0025,DC2231NI0026,DC2231NI0027,DC2231NI0028,DC2231NI0029,DC2231NI0030,DC2231NI0031,DC2231NI0032,DC2231NI0033,DC2231NI0034,DC2231NI0035,DC2231NI0036,DC2231NI0037,DC2231NI0038,DC2231NI0039,DC2231NI0040,DC2231NI0041,DC2231NI0042,DC2231NI0043,DC2231NI0044,DC2231NI0045,DC2231NI0046,DC2231NI0047,DC2231NI0048,DC2231NI0049,DC2231NI0050,DC2231NI0051,DC2231NI0052,DC2231NI0053,DC2231NI0054,DC2231NI0055,DC2231NI0056,DC2231NI0057,DC2231NI0058,DC2231NI0059,DC2231NI0060,DC2231NI0061,DC2231NI0062,DC2231NI0063,DC2231NI0064,DC2231NI0065,DC2231NI0066,DC2231NI0067,DC2231NI0068,DC2231NI0069,DC2231NI0070,DC2231NI0071,DC2231NI0072
N92000002,1735711,92040,10265,7801,16373,13725,140204,1595507,295861,14451,2300,1356,3536,2049,23692,272169,1017111,66318,6933,5681,10582,9836,99350,917761,334631,7661,585,480,1488,1189,11403,323228,30072,2143,179,190,278,381,3171,26901,4128,184,14,9,37,32,276,3852,2170,52,2,3,16,11,84,2086,37120,916,220,69,310,132,1647,35473,14618,315,32,13,126,95,581,14037
BHSCT,334560,12503,935,632,2397,2304,18771,315789,46311,1439,132,57,424,215,2267,44044,201444,8915,615,465,1558,1659,13212,188232,65151,1372,95,66,252,270,2055,63096,7029,382,33,24,46,92,577,6452,1131,32,2,4,11,5,54,1077,483,17,0,1,5,2,25,458,7174,240,43,13,59,31,386,6788,5837,106,15,2,42,30,195,5642
NHSCT,444578,39636,6026,4434,7118,5264,62478,382100,83182,7118,1585,890,1618,897,12108,71074,291105,29052,4083,3250,4872,3866,45123,245982,51632,2265,227,189,372,313,3366,48266,6634,740,66,84,122,101,1113,5521,1010,80,10,2,12,13,117,893,374,12,0,0,7,4,23,351,7837,264,54,13,80,32,443,7394,2804,105,1,6,35,38,185,2619
SEHSCT,333088,18498,1524,1317,2695,2760,26794,306294,47229,2463,269,197,526,351,3806,43423,232588,14196,1084,989,1900,2105,20274,212314,39190,1060,88,68,158,174,1548,37642,6759,558,44,54,48,92,796,5963,1019,42,2,1,11,9,65,954,313,9,2,0,1,1,13,300,3607,113,22,7,31,13,186,3421,2383,57,13,1,20,15,106,2277
SHSCT,341383,11698,911,802,2275,1915,17601,323782,59617,1727,156,133,523,337,2876,56741,171039,8156,589,550,1285,1299,11879,159160,87506,1255,65,76,300,180,1876,85630,5678,259,22,13,35,49,378,5300,574,20,0,2,3,3,28,546,510,9,0,1,1,0,11,499,14461,242,76,26,113,40,497,13964,1998,30,3,1,15,7,56,1942
WHSCT,282102,9705,869,616,1888,1482,14560,267542,59522,1704,158,79,445,249,2635,56887,120935,5999,562,427,967,907,8862,112073,91152,1709,110,81,406,252,2558,88594,3972,204,14,15,27,47,307,3665,394,10,0,0,0,2,12,382,490,5,0,1,2,4,12,478,4041,57,25,10,27,16,135,3906,1596,17,0,3,14,5,39,1557
BELB,269804,9272,739,499,1918,1753,14181,255623,39344,1093,105,40,357,168,1763,37581,152852,6367,467,367,1193,1221,9615,143237,58907,1165,86,59,228,229,1767,57140,5761,302,23,18,37,73,453,5308,890,27,2,2,8,5,44,846,406,16,0,0,5,2,23,383,6486,212,42,12,54,28,348,6138,5158,90,14,1,36,27,168,4990
NEELB,409258,38103,5913,4330,6863,5026,60235,349023,75346,6822,1562,875,1534,844,11637,63709,272846,28017,4011,3178,4734,3711,43651,229195,44192,2117,218,178,348,288,3149,41043,6098,706,63,78,117,99,1063,5035,954,76,10,2,12,13,113,841,344,11,0,0,7,4,22,322,6803,255,48,13,76,30,422,6381,2675,99,1,6,35,37,178,2497
SEELB,397844,21729,1720,1450,3174,3311,31384,366460,54196,2809,296,214,593,398,4310,49886,281180,16744,1232,1087,2265,2543,23871,257309,45434,1267,97,75,182,215,1836,43598,8027,638,54,60,57,111,920,7107,1260,47,2,3,14,9,75,1185,390,10,2,1,1,1,15,375,4295,141,23,8,36,16,224,4071,3062,73,14,2,26,18,133,2929
SELB,376703,13231,1024,906,2530,2153,19844,356859,67453,2023,179,148,607,390,3347,64106,189298,9191,661,622,1423,1454,13351,175947,94946,1403,74,87,324,205,2093,92853,6214,293,25,19,40,51,428,5786,630,24,0,2,3,3,32,598,540,10,0,1,1,0,12,528,15495,251,82,26,117,42,518,14977,2127,36,3,1,15,8,63,2064
WELB,282102,9705,869,616,1888,1482,14560,267542,59522,1704,158,79,445,249,2635,56887,120935,5999,562,427,967,907,8862,112073,91152,1709,110,81,406,252,2558,88594,3972,204,14,15,27,47,307,3665,394,10,0,0,0,2,12,382,490,5,0,1,2,4,12,478,4041,57,25,10,27,16,135,3906,1596,17,0,3,14,5,39,1557
UKN01,269804,9272,739,499,1918,1753,14181,255623,39344,1093,105,40,357,168,1763,37581,152852,6367,467,367,1193,1221,9615,143237,58907,1165,86,59,228,229,1767,57140,5761,302,23,18,37,73,453,5308,890,27,2,2,8,5,44,846,406,16,0,0,5,2,23,383,6486,212,42,12,54,28,348,6138,5158,90,14,1,36,27,168,4990
UKN02,374966,19802,1462,1163,3210,3085,28722,346244,45825,2326,234,141,488,318,3507,42318,276852,15655,1082,911,2418,2429,22495,254357,36132,1027,64,50,169,196,1506,34626,7097,523,45,45,54,96,763,6334,1231,42,4,3,12,4,65,1166,351,7,1,1,2,1,12,339,4138,137,24,9,34,13,217,3921,3340,85,8,3,33,28,157,3183
UKN03,420580,30379,3684,2996,4982,4234,46275,374305,72950,4999,847,598,1133,720,8297,64653,276085,22705,2539,2177,3363,3117,33901,242184,51365,1585,156,123,254,217,2335,49030,6819,647,58,73,93,105,976,5843,1005,60,4,3,14,14,95,910,315,9,1,0,4,1,15,300,9525,305,70,18,89,43,525,9000,2516,69,9,4,32,17,131,2385
UKN04,277050,19399,3308,2192,3777,2564,31240,245810,57734,3721,906,408,913,456,6404,51330,136208,13032,2183,1593,2314,1725,20847,115361,73800,2096,169,152,446,282,3145,70655,3880,379,28,30,49,57,543,3337,419,26,4,1,3,8,42,377,332,6,0,0,4,7,17,315,2975,95,18,6,38,13,170,2805,1702,44,0,2,10,16,72,1630
UKN05,393311,13188,1072,951,2486,2089,19786,373525,80008,2312,208,169,645,387,3721,76287,175114,8559,662,633,1294,1344,12492,162622,114427,1788,110,96,391,265,2650,111777,6515,292,25,24,45,50,436,6079,583,29,0,0,0,1,30,553,766,14,0,2,1,0,17,749,13996,167,66,24,95,35,387,13609,1902,27,1,3,15,7,53,1849
95AA,51042,3391,304,262,511,418,4886,46156,8058,488,62,36,101,60,747,7311,33472,2557,212,201,348,312,3630,29842,6680,195,15,10,25,25,270,6410,872,86,4,8,12,12,122,750,120,2,1,1,0,1,5,115,62,3,0,0,3,1,7,55,1313,46,10,5,15,5,81,1232,465,14,0,1,7,2,24,441
95BB,75313,6640,802,659,945,945,9991,65322,11702,1057,174,126,227,144,1728,9974,57504,5144,559,485,649,751,7588,49916,3618,229,35,26,41,16,347,3271,1213,155,19,20,17,22,233,980,230,17,2,0,0,4,23,207,37,3,1,0,0,0,4,33,645,18,6,1,5,3,33,612,364,17,6,1,6,5,35,329
95CC,56792,2225,156,157,370,405,3313,53479,10552,369,30,28,80,77,584,9968,28946,1560,94,111,215,294,2274,26672,14133,219,15,14,55,28,331,13802,973,50,6,1,6,5,68,905,100,1,0,0,0,0,1,99,59,0,0,0,0,0,0,59,1769,19,11,2,11,1,44,1725,260,7,0,1,3,0,11,249
95DD,61601,8542,1365,1131,1458,1146,13642,47959,12495,1559,366,274,326,245,2770,9725,41923,6389,915,794,1026,819,9943,31980,4201,328,51,34,45,42,500,3701,820,141,13,25,30,22,231,589,143,21,1,0,6,4,32,111,20,0,0,0,0,0,0,20,1689,90,19,2,17,11,139,1550,310,14,0,2,8,3,27,283
95EE,29937,4959,1384,851,1054,563,8811,21126,7470,1113,412,196,270,129,2120,5350,18510,3528,923,614,724,390,6179,12331,3208,250,37,29,44,32,392,2816,320,41,7,9,9,8,74,246,28,3,3,1,0,1,8,20,6,0,0,0,0,0,0,6,327,19,2,1,7,0,29,298,68,5,0,1,0,3,9,59
95FF,46112,2439,181,192,424,389,3625,42487,8066,402,30,30,89,74,625,7441,31370,1851,143,148,292,285,2719,28651,5097,119,4,10,29,7,169,4928,709,39,3,2,4,16,64,645,99,2,0,1,2,1,6,93,28,1,0,0,1,0,2,26,528,20,1,1,4,6,32,496,215,5,0,0,3,0,8,207
95GG,269804,9272,739,499,1918,1753,14181,255623,39344,1093,105,40,357,168,1763,37581,152852,6367,467,367,1193,1221,9615,143237,58907,1165,86,59,228,229,1767,57140,5761,302,23,18,37,73,453,5308,890,27,2,2,8,5,44,846,406,16,0,0,5,2,23,383,6486,212,42,12,54,28,348,6138,5158,90,14,1,36,27,168,4990
95HH,37739,2387,206,148,413,389,3543,34196,5134,329,39,31,52,34,485,4649,30097,1906,153,104,337,323,2823,27274,1293,84,7,4,14,16,125,1168,504,46,3,6,5,10,70,434,127,7,1,0,0,0,8,119,25,1,0,0,0,0,1,24,321,10,3,1,0,2,16,305,238,4,0,2,5,4,15,223
95II,64756,3231,196,133,479,551,4590,60166,6967,346,27,17,67,47,504,6463,48592,2548,148,98,365,438,3597,44995,6244,207,9,7,24,41,288,5956,1268,80,10,6,9,19,124,1144,241,5,0,2,3,0,10,231,77,1,0,1,0,0,2,75,688,28,1,1,5,3,38,650,679,16,1,1,6,3,27,652
95JJ,56990,6001,769,583,878,847,9078,47912,11177,1038,213,86,206,136,1679,9498,37878,4439,515,455,593,636,6638,31240,5350,313,25,33,46,37,454,4896,861,138,7,7,17,16,185,676,168,19,1,0,3,5,28,140,50,2,0,0,0,3,5,45,1046,35,8,2,12,4,61,985,460,17,0,0,1,10,28,432
95KK,35320,1533,113,104,255,238,2243,33077,7836,296,23,15,84,53,471,7365,18259,1035,72,72,138,155,1472,16787,7440,148,9,11,24,25,217,7223,536,34,3,6,5,2,50,486,56,4,0,0,0,0,4,52,30,1,0,0,0,0,1,29,1034,9,6,0,4,2,21,1013,129,6,0,0,0,1,7,122
95LL,88565,2981,229,160,626,513,4509,84056,14589,380,47,29,148,84,688,13901,51299,2198,130,100,363,355,3146,48153,16007,224,11,19,62,43,359,15648,1345,66,5,3,8,9,91,1254,187,8,0,1,1,2,12,175,65,0,0,0,0,0,0,65,4414,97,34,8,40,15,194,4220,659,8,2,0,4,5,19,640
95MM,103341,3098,232,184,656,465,4635,98706,17887,433,43,13,119,71,679,17208,37448,1767,134,119,290,239,2549,34899,44365,768,46,43,221,122,1200,43165,1575,90,5,7,6,22,130,1445,123,0,0,0,0,2,2,121,184,2,0,0,2,3,7,177,942,26,4,1,9,4,44,898,817,12,0,1,9,2,24,793
95NN,66882,2552,174,171,367,394,3658,63224,12110,388,24,27,98,59,596,11514,38070,1713,128,121,226,252,2440,35630,13883,332,18,13,28,60,451,13432,1435,89,3,9,9,18,128,1307,149,4,0,0,3,1,8,141,88,2,0,0,0,0,2,86,745,18,0,1,0,2,21,724,402,6,1,0,3,2,12,390
95OO,55075,1755,131,117,356,290,2649,52426,10827,276,18,16,82,54,446,10381,23681,1122,77,75,183,178,1635,22046,14621,259,12,10,47,30,358,14263,855,28,0,3,1,11,43,812,69,4,0,0,0,0,4,65,104,5,0,0,0,0,5,99,4612,60,23,13,42,16,154,4458,306,1,1,0,1,1,4,302
95PP,59282,1544,130,99,289,311,2373,56909,13637,274,24,18,75,60,451,13186,27171,998,79,59,138,196,1470,25701,15857,216,14,10,56,38,334,15523,783,34,2,2,8,10,56,727,90,3,0,0,0,0,3,87,93,2,0,1,0,0,3,90,1366,16,11,7,9,7,50,1316,285,1,0,2,3,0,6,279
95QQ,31065,3834,629,421,651,429,5964,25101,5930,725,144,76,144,54,1143,4787,22447,2853,452,328,459,343,4435,18012,1879,158,22,11,24,24,239,1640,425,71,11,6,13,6,107,318,77,6,0,0,2,1,9,68,15,0,0,0,0,0,0,15,191,16,0,0,8,1,25,166,101,5,0,0,1,0,6,95
95RR,32150,1656,191,119,312,241,2519,29631,7570,289,37,14,82,37,459,7111,17451,1117,137,91,202,172,1719,15732,6270,216,13,9,21,27,286,5984,390,28,2,3,5,4,42,348,38,1,0,0,0,0,1,37,41,0,0,0,0,0,0,41,236,3,2,2,2,1,10,226,154,2,0,0,0,0,2,152
95SS,114825,5028,305,237,771,734,7075,107750,15669,614,43,19,114,89,879,14790,76369,3864,210,191,558,550,5373,70996,17770,308,24,16,59,62,469,17301,2298,166,11,8,13,23,221,2077,300,7,0,0,6,1,14,286,110,1,0,0,0,1,2,108,1472,50,11,3,16,3,83,1389,837,18,6,0,5,5,34,803
95TT,42883,2155,190,214,447,295,3301,39582,10536,473,55,51,127,55,761,9775,19186,1339,109,134,237,187,2006,17180,11199,275,21,24,64,41,425,10774,784,49,3,5,5,6,68,716,53,7,0,0,0,1,8,45,90,2,0,0,1,0,3,87,893,9,2,0,11,4,26,867,142,1,0,0,2,1,4,138
95UU,16423,1956,554,325,516,215,3566,12857,4239,464,174,76,140,42,896,3343,8184,1144,348,222,319,135,2168,6016,3476,277,27,23,44,30,401,3075,298,51,5,4,8,4,72,226,15,2,0,0,0,0,2,13,15,2,0,0,2,0,4,11,111,8,0,0,3,3,14,97,85,8,0,0,0,1,9,76
95VV,94839,2298,214,176,499,318,3505,91334,15583,300,31,30,124,48,533,15050,35743,1425,145,116,232,187,2105,33638,37648,434,23,23,107,72,659,36989,1796,76,8,4,16,8,112,1684,119,5,0,0,0,0,5,114,254,3,0,1,0,0,4,250,3138,46,7,2,16,2,73,3065,558,9,0,0,4,1,14,544
95WW,81578,4878,512,395,935,724,7444,74134,10307,633,97,49,168,89,1036,9271,61149,3862,384,326,691,566,5829,55320,6906,237,13,10,42,41,343,6563,1214,83,10,8,18,15,134,1080,223,9,3,0,1,0,13,210,61,1,0,0,1,0,2,59,912,22,4,2,3,0,31,881,806,31,1,0,11,13,56,750
95XX,76068,4278,243,250,612,687,6070,69998,7748,404,28,25,87,59,603,7145,60645,3475,187,192,467,552,4873,55772,3919,191,11,13,30,36,281,3638,1813,148,11,17,9,29,214,1599,340,14,0,1,2,3,20,320,78,3,1,0,1,0,5,73,745,27,5,2,10,5,49,696,780,16,0,0,6,3,25,755
95YY,49120,1678,138,84,270,232,2402,46718,11037,324,27,11,73,40,475,10562,22128,1080,86,66,151,147,1530,20598,13529,237,16,4,38,31,326,13203,788,21,3,3,4,8,39,749,96,5,0,0,0,0,5,91,136,1,0,0,0,0,1,135,1184,8,6,0,2,3,19,1165,222,2,0,0,2,3,7,215
95ZZ,38209,1729,178,130,361,233,2631,35578,9391,384,27,23,96,41,571,8820,16737,1037,126,92,186,153,1594,15143,11131,272,21,15,70,34,412,10719,436,31,2,0,4,3,40,396,47,1,0,0,0,0,1,46,36,0,0,0,0,1,1,35,313,4,2,0,5,1,12,301,118,0,0,0,0,0,0,118
