GeographyCode,DC2236NI0001,DC2236NI0002,DC2236NI0003,DC2236NI0004,DC2236NI0005,DC2236NI0006,DC2236NI0007,DC2236NI0008,DC2236NI0009,DC2236NI0010,DC2236NI0011,DC2236NI0012,DC2236NI0013,DC2236NI0014,DC2236NI0015,DC2236NI0016,DC2236NI0017,DC2236NI0018,DC2236NI0019,DC2236NI0020,DC2236NI0021,DC2236NI0022,DC2236NI0023,DC2236NI0024,DC2236NI0025,DC2236NI0026,DC2236NI0027,DC2236NI0028,DC2236NI0029,DC2236NI0030,DC2236NI0031,DC2236NI0032,DC2236NI0033,DC2236NI0034,DC2236NI0035,DC2236NI0036,DC2236NI0037,DC2236NI0038,DC2236NI0039,DC2236NI0040,DC2236NI0041,DC2236NI0042,DC2236NI0043,DC2236NI0044,DC2236NI0045,DC2236NI0046,DC2236NI0047,DC2236NI0048,DC2236NI0049,DC2236NI0050,DC2236NI0051,DC2236NI0052,DC2236NI0053,DC2236NI0054,DC2236NI0055,DC2236NI0056,DC2236NI0057,DC2236NI0058,DC2236NI0059,DC2236NI0060,DC2236NI0061,DC2236NI0062,DC2236NI0063
N92000002,1735711,295861,1017111,334631,30072,4128,2170,37120,14618,1681171,292361,1012142,330946,29912,3570,2019,3092,7129,54540,3500,4969,3685,160,558,151,34028,7489,20260,926,2480,3060,129,373,109,9614,3569,19811,1141,1341,440,17,154,32,13863,2823,11802,1008,848,116,9,30,10,8873,908,2667,425,300,69,5,1,0,1678,189
BHSCT,334560,46311,201444,65151,7029,1131,483,7174,5837,320127,45343,199570,63704,6981,897,428,686,2518,14433,968,1874,1447,48,234,55,6488,3319,6876,279,1005,1256,37,162,42,2526,1569,4901,296,466,152,7,58,10,2671,1241,2175,306,296,23,4,14,3,1114,415,481,87,107,16,0,0,0,177,94
NHSCT,444578,83182,291105,51632,6634,1010,374,7837,2804,433481,82426,290022,51147,6605,924,342,595,1420,11097,756,1083,485,29,86,32,7242,1384,3665,176,474,412,27,60,22,1872,622,4127,259,318,47,1,25,8,2922,547,2674,212,209,16,0,1,2,2041,193,631,109,82,10,1,0,0,407,22
SEHSCT,333088,47229,232588,39190,6759,1019,313,3607,2383,327171,46921,231744,38742,6725,894,291,521,1333,5917,308,844,448,34,125,22,3086,1050,2703,108,391,380,25,80,15,1155,549,2018,102,251,51,4,35,6,1185,384,986,54,159,11,4,9,1,646,102,210,44,43,6,1,1,0,100,15
SHSCT,341383,59617,171039,87506,5678,574,510,14461,1998,324297,58588,170344,86796,5651,496,489,957,976,17086,1029,695,710,27,78,21,13504,1022,4710,207,320,534,23,47,17,3086,476,6659,372,203,115,2,26,3,5561,377,4667,324,124,38,1,5,1,4047,127,1050,126,48,23,1,0,0,810,42
WHSCT,282102,59522,120935,91152,3972,394,490,4041,1596,276095,59083,120462,90557,3950,359,469,333,882,6007,439,473,595,22,35,21,3708,714,2306,156,290,478,17,24,13,975,353,2106,112,103,75,3,10,5,1524,274,1300,112,60,28,0,1,3,1025,71,295,59,20,14,2,0,0,184,16
BELB,269804,39344,152852,58907,5761,890,406,6486,5158,256904,38424,151405,57511,5720,698,364,600,2182,12900,920,1447,1396,41,192,42,5886,2976,6083,266,770,1215,34,126,33,2265,1374,4427,279,367,144,4,52,8,2431,1142,1944,293,212,21,3,14,1,1026,374,446,82,98,16,0,0,0,164,86
NEELB,409258,75346,272846,44192,6098,954,344,6803,2675,399392,74664,271831,43741,6075,870,313,536,1362,9866,682,1015,451,23,84,31,6267,1313,3341,152,455,383,21,58,21,1649,602,3661,235,288,44,1,25,8,2544,516,2326,194,190,14,0,1,2,1750,175,538,101,82,10,1,0,0,324,20
SEELB,397844,54196,281180,45434,8027,1260,390,4295,3062,390394,53840,279909,44935,7986,1093,355,607,1669,7450,356,1271,499,41,167,35,3688,1393,3496,121,626,421,28,116,24,1416,744,2492,119,350,59,7,41,8,1425,483,1217,67,243,13,5,9,3,734,143,245,49,52,6,1,1,0,113,23
SELB,376703,67453,189298,94946,6214,630,540,15495,2127,358386,66350,188535,94202,6181,550,518,1016,1034,18317,1103,763,744,33,80,22,14479,1093,5034,231,339,563,29,49,18,3309,496,7125,396,233,118,2,26,3,5939,408,5015,342,143,40,1,5,1,4338,145,1143,134,48,23,1,0,0,893,44
