GeographyCode,DC2239NI0001,DC2239NI0002,DC2239NI0003,DC2239NI0004,DC2239NI0005,DC2239NI0006,DC2239NI0007,DC2239NI0008,DC2239NI0009,DC2239NI0010,DC2239NI0011,DC2239NI0012,DC2239NI0013,DC2239NI0014,DC2239NI0015,DC2239NI0016,DC2239NI0017,DC2239NI0018,DC2239NI0019,DC2239NI0020,DC2239NI0021,DC2239NI0022,DC2239NI0023,DC2239NI0024,DC2239NI0025,DC2239NI0026,DC2239NI0027,DC2239NI0028,DC2239NI0029,DC2239NI0030,DC2239NI0031,DC2239NI0032,DC2239NI0033,DC2239NI0034,DC2239NI0035,DC2239NI0036,DC2239NI0037,DC2239NI0038,DC2239NI0039,DC2239NI0040,DC2239NI0041,DC2239NI0042,DC2239NI0043,DC2239NI0044,DC2239NI0045,DC2239NI0046,DC2239NI0047,DC2239NI0048,DC2239NI0049,DC2239NI0050,DC2239NI0051,DC2239NI0052,DC2239NI0053,DC2239NI0054,DC2239NI0055,DC2239NI0056,DC2239NI0057,DC2239NI0058,DC2239NI0059,DC2239NI0060,DC2239NI0061,DC2239NI0062,DC2239NI0063,DC2239NI0064,DC2239NI0065,DC2239NI0066,DC2239NI0067,DC2239NI0068,DC2239NI0069,DC2239NI0070,DC2239NI0071,DC2239NI0072,DC2239NI0073,DC2239NI0074,DC2239NI0075,DC2239NI0076,DC2239NI0077,DC2239NI0078,DC2239NI0079,DC2239NI0080,DC2239NI0081,DC2239NI0082,DC2239NI0083,DC2239NI0084,DC2239NI0085,DC2239NI0086,DC2239NI0087,DC2239NI0088,DC2239NI0089,DC2239NI0090,DC2239NI0091,DC2239NI0092,DC2239NI0093,DC2239NI0094,DC2239NI0095,DC2239NI0096,DC2239NI0097,DC2239NI0098,DC2239NI0099,DC2239NI0100,DC2239NI0101,DC2239NI0102,DC2239NI0103,DC2239NI0104,DC2239NI0105,DC2239NI0106,DC2239NI0107,DC2239NI0108,DC2239NI0109,DC2239NI0110,DC2239NI0111,DC2239NI0112,DC2239NI0113,DC2239NI0114,DC2239NI0115,DC2239NI0116,DC2239NI0117,DC2239NI0118,DC2239NI0119,DC2239NI0120,DC2239NI0121,DC2239NI0122,DC2239NI0123,DC2239NI0124,DC2239NI0125,DC2239NI0126,DC2239NI0127,DC2239NI0128,DC2239NI0129,DC2239NI0130
N92000002,1810863,738033,752555,345101,248821,54253,104380,14859,183164,122252,876577,95158,613725,287776,202099,44698,79152,7445,102390,57859,513390,422052,29001,10874,10307,1997,5823,1836,25722,34779,533085,226540,202713,92826,67616,14834,27437,2679,64500,36653,18041,3817,6845,1340,1639,364,3502,276,5850,1253,9374,2083,3494,1245,590,133,1526,120,2960,717,1772,279,656,145,161,36,314,32,663,142,6712,2895,849,107,126,27,589,147,2321,500,34417,24356,2096,94,87,20,1895,246,5189,2530,19770,16467,397,35,36,3,323,94,1543,1269,7017,5280,213,19,22,2,170,29,973,522,7630,2609,1486,40,29,15,1402,123,2673,739,20755,5532,4742,910,629,266,2937,3936,5410,1135
BHSCT,348204,130813,134436,57385,43155,14653,19243,5025,48241,29689,165783,16192,109084,47686,35277,12079,14042,2002,24687,13818,107535,83129,5833,2082,1940,581,1230,549,8748,9276,96406,33462,36615,15541,11782,3980,5312,733,17109,8487,3107,521,1058,229,218,71,540,74,1183,271,1843,278,698,228,130,31,309,24,652,191,349,43,123,24,34,7,58,6,139,38,1725,466,241,35,25,4,177,65,781,172,6286,3977,374,12,9,4,349,74,1361,500,4490,3422,129,8,2,1,118,55,582,302,313,181,13,1,0,0,12,3,99,17,1483,374,232,3,7,3,219,16,680,181,8047,1601,1423,210,141,72,1000,2083,2418,522
NHSCT,463297,141816,240423,127421,65547,14406,33049,3412,50147,27499,273012,25440,198462,107418,53308,11955,25781,2005,30903,16202,85771,68576,7342,3152,2213,433,1544,367,4659,4827,141688,50085,64666,33579,18296,3997,8794,679,17850,8408,4581,715,1920,457,444,89,930,71,1574,301,2639,491,1132,455,148,35,494,33,821,162,440,41,192,49,48,10,85,12,165,30,1126,443,163,23,25,9,106,22,438,60,7651,5375,594,28,14,2,550,35,1112,535,4552,3917,62,12,7,1,42,3,307,263,847,627,28,1,1,0,26,7,108,77,2252,831,504,15,6,1,482,25,697,195,4058,1037,1133,291,173,52,617,637,1089,162
SEHSCT,346911,96805,175255,83481,54136,12719,24919,2856,50833,21162,208430,20235,142195,69097,43774,10401,18923,1743,31857,12400,65155,48104,7198,2873,2495,510,1320,314,5480,4059,109137,32073,50727,24209,15834,3717,6967,659,18861,6817,4882,659,2072,328,431,98,1215,65,1817,269,2236,303,971,352,149,35,435,37,787,138,478,53,184,35,33,6,110,9,202,30,853,262,189,27,25,13,124,17,336,49,3025,1965,269,27,13,1,228,23,613,155,1639,1354,54,9,6,0,39,6,155,70,639,424,31,10,4,0,17,4,141,39,747,187,184,8,3,1,172,13,317,46,3433,881,1076,223,153,87,613,429,896,151
SHSCT,358034,185603,123822,47461,48829,7575,19957,2091,21744,24774,138805,16186,101699,39710,40171,6320,15498,1085,10207,9628,125957,109439,4473,1463,1769,243,998,312,3492,8241,101318,55302,31333,12087,12538,1916,4792,379,6965,7339,2821,943,987,202,292,52,441,22,658,211,1300,388,382,106,90,19,167,17,398,115,282,76,91,20,29,10,32,3,87,25,2357,1406,166,21,27,1,117,33,577,175,13560,10090,624,21,41,12,550,76,1655,1115,6733,5688,100,5,13,1,81,20,392,533,4619,3630,106,5,16,2,83,9,533,341,2208,772,418,11,12,9,386,47,730,241,3022,1125,718,121,114,39,444,390,604,185
WHSCT,294417,182996,78619,29353,37154,4900,7212,1475,12199,19128,90547,17105,62285,23865,29569,3943,4908,610,4736,5811,128972,112804,4155,1304,1890,230,731,294,3343,8376,84536,55618,19372,7410,9166,1224,1572,229,3715,5602,2650,979,808,124,254,54,376,44,618,201,1356,623,311,104,73,13,121,9,302,111,223,66,66,17,17,3,29,2,70,19,651,318,90,1,24,0,65,10,189,44,3895,2949,235,6,10,1,218,38,448,225,2356,2086,52,1,8,0,43,10,107,101,599,418,35,2,1,0,32,6,92,48,940,445,148,3,1,1,143,22,249,76,2195,888,392,65,48,16,263,397,403,115
BELB,280962,117712,95919,40463,32035,10334,13087,4258,37239,25834,121272,13447,77085,33397,26071,8516,9101,1572,17870,11298,97682,76410,4530,1603,1546,433,948,479,7543,8720,75356,28987,25723,10898,8594,2663,3568,572,12877,7197,2538,477,782,178,151,47,406,63,987,229,1474,250,522,164,98,18,242,21,507,174,282,39,91,19,20,5,47,6,114,32,1540,410,208,31,16,3,158,61,697,164,5709,3599,346,10,4,4,328,70,1212,482,4073,3103,118,8,2,1,107,53,513,286,262,152,9,0,0,0,9,3,81,17,1374,344,219,2,2,3,212,14,618,179,7043,1338,1152,159,110,66,817,1906,2161,486
NEELB,426284,121437,227855,122568,60074,13937,31276,3257,48555,25180,259216,23846,187946,103302,48732,11584,24328,1915,30245,15264,73354,57552,6921,3015,2033,413,1460,349,4407,4125,129798,42380,61758,32431,16983,3874,8470,645,17373,7642,4294,603,1837,431,418,86,902,67,1514,273,2508,440,1097,450,139,34,474,32,789,150,424,33,187,47,47,10,83,12,164,28,845,261,150,19,20,9,102,21,368,45,6805,4787,555,26,9,2,518,30,954,479,4284,3684,57,12,5,1,39,2,291,250,703,511,25,1,1,0,23,7,97,63,1818,592,473,13,3,1,456,21,566,166,3831,958,1076,287,154,52,583,613,1033,151
SEELB,414153,109906,213772,100403,65256,17038,31075,3623,61835,25017,252941,22980,174194,83386,52980,13964,23864,2173,38674,14920,75008,54823,8501,3352,2889,658,1602,384,6685,4615,130187,36548,61619,28852,19022,5034,8711,820,23093,8107,5451,703,2348,379,498,122,1349,76,2013,311,2605,331,1147,416,181,48,502,40,932,155,545,57,216,40,47,8,121,9,227,36,1038,318,222,31,34,14,143,21,420,57,3602,2343,297,29,18,1,249,27,762,173,2056,1673,65,9,6,0,50,8,224,86,690,453,35,11,4,0,20,4,159,39,856,217,197,9,8,1,179,15,379,48,4437,1144,1347,274,184,93,796,606,1153,187
SELB,395047,205982,136390,52314,54302,8044,21730,2246,23336,27093,152601,17780,112215,43826,44747,6691,16951,1175,10865,10566,138374,120463,4894,1600,1949,263,1082,330,3744,8943,113208,63007,34241,13235,13851,2039,5116,413,7442,8105,3108,1055,1070,228,318,55,469,26,718,239,1431,439,417,111,99,20,187,18,430,127,298,84,96,22,30,10,34,3,88,27,2638,1588,179,25,32,1,121,34,647,190,14406,10678,663,23,46,12,582,81,1813,1171,7001,5921,105,5,15,1,84,21,408,546,4763,3746,109,5,16,2,86,9,544,355,2642,1011,449,13,15,9,412,51,861,270,3249,1204,775,125,133,39,478,414,660,196
