GeographyCode,DC2250NI0001,DC2250NI0002,DC2250NI0003,DC2250NI0004,DC2250NI0005,DC2250NI0006,DC2250NI0007,DC2250NI0008,DC2250NI0009,DC2250NI0010,DC2250NI0011,DC2250NI0012,DC2250NI0013,DC2250NI0014,DC2250NI0015,DC2250NI0016,DC2250NI0017,DC2250NI0018,DC2250NI0019,DC2250NI0020,DC2250NI0021,DC2250NI0022,DC2250NI0023,DC2250NI0024,DC2250NI0025,DC2250NI0026,DC2250NI0027,DC2250NI0028,DC2250NI0029,DC2250NI0030,DC2250NI0031,DC2250NI0032,DC2250NI0033,DC2250NI0034,DC2250NI0035,DC2250NI0036,DC2250NI0037,DC2250NI0038,DC2250NI0039,DC2250NI0040,DC2250NI0041,DC2250NI0042,DC2250NI0043,DC2250NI0044,DC2250NI0045
N92000002,1810863,817385,875717,16592,101169,341428,156908,162417,1650,20453,1485873,673597,721493,11493,79290,1070413,313552,681583,9293,65985,375826,330942,35916,1667,7301,17740,16216,468,100,956,7023,5854,296,41,832,14871,7033,3230,392,4216,21167,7461,5847,4310,3549
BHSCT,348204,151452,164525,5667,26560,53550,22842,25775,450,4483,296020,131408,140164,3290,21158,213719,61664,132274,2590,17191,74585,64737,7033,513,2302,4094,3533,143,53,365,322,221,25,4,72,3300,1253,689,130,1228,7564,2032,1702,2211,1619
NHSCT,463297,155691,276015,3790,27801,94973,32170,56113,486,6204,372369,126134,222158,2749,21328,303954,70740,212239,2355,18620,60053,49333,8906,324,1490,4051,3791,65,5,190,863,717,46,9,91,3448,1553,902,56,937,4232,1392,1369,725,746
SEHSCT,346911,107991,207432,3151,28337,55111,18902,30442,307,5460,296433,91069,179912,2527,22925,244919,52298,169920,2177,20524,47581,36318,9318,304,1641,1514,1354,72,5,83,653,500,42,5,106,1766,599,560,36,571,3745,1176,1493,511,565
SHSCT,358034,202952,140163,2344,12575,70037,37929,29008,260,2840,291918,168260,112267,1799,9592,180546,67049,105492,1348,6657,96073,88983,5737,287,1066,5986,5564,127,22,273,4589,3963,143,16,467,4724,2701,768,126,1129,3088,1485,823,421,359
WHSCT,294417,199299,87582,1640,5896,67757,45065,21079,147,1466,229133,156726,66992,1128,4287,127275,61801,61658,823,2993,97534,91571,4922,239,802,2095,1974,61,15,45,596,453,40,7,96,1633,927,311,44,351,2538,1376,460,442,260
BELB,280962,136497,118856,4825,20784,45310,21584,19770,388,3568,236374,117353,100050,2639,16332,162711,53799,93978,2031,12903,66716,59041,5314,433,1928,3697,3204,126,50,317,271,185,21,3,62,2979,1124,611,122,1122,6570,1705,1382,2014,1469
NEELB,426284,133758,262033,3613,26880,85964,26936,52617,454,5957,343939,109065,211578,2622,20674,284805,62164,202185,2254,18202,51861,41669,8460,305,1427,3794,3549,59,3,183,713,582,40,9,82,2766,1101,834,51,780,4020,1273,1331,700,716
SEELB,414153,122946,253101,3993,34113,63351,20160,36447,369,6375,356079,105124,220026,3178,27751,295927,60163,208216,2736,24812,55450,42014,11037,384,2015,1911,1683,89,8,131,704,536,46,6,116,2087,728,638,44,677,4739,1503,1813,708,715
SELB,395047,224885,154145,2521,13496,79046,43163,32504,292,3087,320348,185329,122847,1926,10246,199695,75625,115546,1449,7075,104265,96647,6183,306,1129,6243,5806,133,24,280,4739,4098,149,16,476,5406,3153,836,131,1286,3300,1604,861,446,389
