GeographyCode,DC2417NI0001,DC2417NI0002,DC2417NI0003,DC2417NI0004,DC2417NI0005,DC2417NI0006,DC2417NI0007,DC2417NI0008,DC2417NI0009,DC2417NI0010,DC2417NI0011,DC2417NI0012,DC2417NI0013,DC2417NI0014,DC2417NI0015,DC2417NI0016,DC2417NI0017,DC2417NI0018,DC2417NI0019,DC2417NI0020,DC2417NI0021,DC2417NI0022,DC2417NI0023,DC2417NI0024,DC2417NI0025,DC2417NI0026,DC2417NI0027,DC2417NI0028,DC2417NI0029,DC2417NI0030,DC2417NI0031,DC2417NI0032,DC2417NI0033,DC2417NI0034,DC2417NI0035,DC2417NI0036,DC2417NI0037,DC2417NI0038,DC2417NI0039,DC2417NI0040,DC2417NI0041,DC2417NI0042,DC2417NI0043,DC2417NI0044,DC2417NI0045,DC2417NI0046,DC2417NI0047,DC2417NI0048,DC2417NI0049,DC2417NI0050,DC2417NI0051,DC2417NI0052,DC2417NI0053,DC2417NI0054,DC2417NI0055,DC2417NI0056,DC2417NI0057,DC2417NI0058,DC2417NI0059,DC2417NI0060,DC2417NI0061,DC2417NI0062,DC2417NI0063,DC2417NI0064,DC2417NI0065,DC2417NI0066,DC2417NI0067,DC2417NI0068,DC2417NI0069,DC2417NI0070,DC2417NI0071,DC2417NI0072,DC2417NI0073,DC2417NI0074,DC2417NI0075,DC2417NI0076,DC2417NI0077,DC2417NI0078,DC2417NI0079,DC2417NI0080,DC2417NI0081,DC2417NI0082,DC2417NI0083,DC2417NI0084,DC2417NI0085,DC2417NI0086,DC2417NI0087,DC2417NI0088,DC2417NI0089,DC2417NI0090,DC2417NI0091,DC2417NI0092,DC2417NI0093,DC2417NI0094,DC2417NI0095,DC2417NI0096,DC2417NI0097,DC2417NI0098,DC2417NI0099,DC2417NI0100,DC2417NI0101,DC2417NI0102,DC2417NI0103,DC2417NI0104,DC2417NI0105,DC2417NI0106,DC2417NI0107,DC2417NI0108,DC2417NI0109,DC2417NI0110,DC2417NI0111,DC2417NI0112,DC2417NI0113,DC2417NI0114,DC2417NI0115,DC2417NI0116,DC2417NI0117,DC2417NI0118,DC2417NI0119,DC2417NI0120,DC2417NI0121,DC2417NI0122,DC2417NI0123,DC2417NI0124,DC2417NI0125
N92000002,1788339,809383,863163,16197,99596,946862,389706,506531,7223,43402,393463,179716,184438,3470,25839,277346,138905,116433,2824,19184,170668,101056,55761,2680,11171,1285113,567266,651089,9190,57568,816946,332023,446063,5729,33131,246521,112789,118613,1754,13365,141262,72114,60550,1021,7577,80384,50340,25863,686,3495,170881,77674,81283,1187,10737,25982,11131,13598,186,1067,55380,22591,29000,374,3415,56193,25145,26529,386,4133,33326,18807,12156,241,2122,48831,26714,18739,535,2843,5072,2668,2051,46,307,11714,5784,5161,112,657,19969,11047,7730,155,1037,12076,7215,3797,222,842,283514,137729,112052,5285,28448,98862,43884,44819,1262,8897,79848,38552,31664,1230,8402,59922,30599,21624,1262,6437,44882,24694,13945,1531,4712
BHSCT,342643,149495,161539,5512,26097,139665,56585,72579,1633,8868,84045,34405,41746,1159,6735,70719,32399,31000,1242,6078,48214,26106,16214,1478,4416,204390,88194,101307,2245,12644,114546,46247,60654,1183,6462,46264,19544,22972,502,3246,27862,13107,12496,297,1962,15718,9296,5185,263,974,51008,20617,26366,462,3563,6975,2556,4058,45,316,15406,5278,9030,126,972,17194,6724,8911,170,1389,11433,6059,4367,121,886,21814,11097,8934,276,1507,2356,1123,1083,14,136,5129,2205,2537,70,317,8779,4546,3580,88,565,5550,3223,1734,104,489,65431,29587,24932,2529,8383,15788,6659,6784,391,1954,17246,7378,7207,461,2200,16884,8022,6013,687,2162,15513,7528,4928,990,2067
NHSCT,457038,153764,272275,3659,27340,265451,83828,166826,1991,12806,96326,32625,55737,793,7171,61903,22162,34308,531,4902,33358,15149,15404,344,2461,347457,117474,210592,2436,16955,231381,72999,146896,1604,9882,63400,22299,36792,426,3883,34531,13178,18880,286,2187,18145,8998,8024,120,1003,37136,9760,24209,254,2913,6396,1584,4435,60,317,12790,3097,8583,95,1015,12144,3052,7927,64,1101,5806,2027,3264,35,480,4772,1506,2956,58,252,456,145,277,9,25,1146,333,732,10,71,2165,685,1377,16,87,1005,343,570,23,69,67673,25024,34518,911,7220,27218,9100,15218,318,2582,18990,6896,9630,262,2202,13063,5247,6124,165,1527,8402,3781,3546,166,909
SEHSCT,342197,106941,204281,3104,27871,193919,52484,126537,1621,13277,74236,23757,42417,690,7372,49066,18591,24976,482,5017,24976,12109,10351,311,2205,261330,78151,162913,2124,18142,173306,46125,115114,1350,10717,49749,16052,29036,406,4255,26249,9967,13775,227,2280,12026,6007,4988,141,890,29448,10330,16174,238,2706,3812,1203,2335,39,235,9707,2752,5980,79,896,10195,3585,5421,76,1113,5734,2790,2438,44,462,8261,3756,3822,65,618,732,341,300,9,82,1785,583,1029,11,162,3616,1712,1642,21,241,2128,1120,851,24,133,43158,14704,21372,677,6405,16069,4815,8788,223,2243,12995,4370,6372,194,2059,9006,3327,4138,158,1383,5088,2192,2074,102,720
SHSCT,355580,201841,138903,2331,12505,197895,102923,88218,1156,5598,75976,44659,27644,476,3197,49452,31446,15478,331,2197,32257,22813,7563,368,1513,265738,146854,110747,1428,6709,171122,88061,78073,933,4055,49138,28446,19021,258,1413,28073,17755,9376,125,817,17405,12592,4277,112,424,23900,14710,8011,145,1034,4164,2422,1587,23,132,8101,4684,3024,44,349,7371,4633,2354,50,334,4264,2971,1046,28,219,5572,3514,1667,93,298,686,386,244,12,44,1589,970,531,11,77,1996,1342,564,10,80,1301,816,328,60,97,60370,36763,18478,665,4464,21923,12054,8314,188,1367,17148,10559,5068,163,1358,12012,7716,3184,146,966,9287,6434,1912,168,773
WHSCT,290881,197342,86165,1591,5783,149932,93886,52371,822,2853,62880,44270,16894,352,1364,46206,34307,10671,238,990,31863,24879,6229,179,576,206198,136593,65530,957,3118,126591,78591,45326,659,2015,37970,26448,10792,162,568,24547,18107,6023,86,331,17090,13447,3389,50,204,29389,22257,6523,88,521,4635,3366,1183,19,67,9376,6780,2383,30,183,9289,7151,1916,26,196,6089,4960,1041,13,75,8412,6841,1360,43,168,842,673,147,2,20,2065,1693,332,10,30,3413,2762,567,20,64,2092,1713,314,11,54,46882,31651,12752,503,1976,17864,11256,5715,142,751,13469,9349,3387,150,583,8957,6287,2165,106,399,6592,4759,1485,105,243
BELB,276141,134740,116378,4680,20343,101963,47445,46848,1210,6460,68536,31281,31202,964,5089,61223,30809,24347,1114,4953,44419,25205,13981,1392,3841,152027,75723,65966,1649,8689,80380,37815,37311,826,4428,35422,17134,15756,383,2149,22431,12020,8810,230,1371,13794,8754,4089,210,741,44637,20385,21031,416,2805,6066,2531,3234,40,261,13163,5211,7110,111,731,14896,6621,7033,153,1089,10512,6022,3654,112,724,20851,10960,8208,251,1432,2231,1099,992,12,128,4829,2176,2295,59,299,8394,4489,3288,81,536,5397,3196,1633,99,469,58626,27672,21173,2364,7417,13286,6000,5311,332,1643,15122,6760,6041,411,1910,15502,7679,5216,650,1957,14716,7233,4605,971,1907
NEELB,420327,131984,258434,3483,26426,244471,72317,157818,1905,12431,88953,28005,53273,766,6909,56893,18927,32726,507,4733,30010,12735,14617,305,2353,318742,100441,199442,2326,16533,213116,62987,138969,1537,9623,58336,19043,35082,412,3799,31366,11074,17879,270,2143,15924,7337,7512,107,968,35165,8646,23447,237,2835,6059,1398,4292,58,311,12123,2764,8296,91,972,11560,2723,7696,63,1078,5423,1761,3163,25,474,4543,1368,2871,56,248,407,113,261,8,25,1104,305,720,10,69,2072,642,1328,16,86,960,308,562,22,68,61877,21529,32674,864,6810,24889,7819,14296,302,2472,17390,5893,9175,253,2069,11895,4488,5823,158,1426,7703,3329,3380,151,843
SEELB,408699,121696,249442,3936,33625,231621,61624,152268,2044,15685,89745,26881,52961,885,9018,58562,20181,31629,610,6142,28771,13010,12584,397,2780,313693,90622,198254,2720,22097,207472,54557,138457,1707,12751,60591,18462,36252,525,5352,31680,11054,17461,294,2871,13950,6549,6084,194,1123,35819,10562,21509,284,3464,4721,1228,3159,44,290,11950,2819,7900,94,1137,12493,3688,7299,93,1413,6655,2827,3151,53,624,9224,3893,4548,90,693,857,365,391,11,90,2085,612,1271,22,180,4001,1769,1934,28,270,2281,1147,952,29,153,49963,16619,25131,842,7371,18571,5474,10261,282,2554,15119,4988,7538,244,2349,10388,3670,4935,195,1588,5885,2487,2397,121,880
SELB,392291,223621,152744,2507,13419,218875,114434,97226,1242,5973,83349,49279,30108,503,3459,54462,34681,17060,355,2366,35605,25227,8350,407,1621,294453,163887,121897,1538,7131,189387,98073,86000,1000,4314,54202,31702,20731,272,1497,31238,19859,10377,141,861,19626,14253,4789,125,459,25871,15824,8773,162,1112,4501,2608,1730,25,138,8768,5017,3311,48,392,7955,4962,2585,51,357,4647,3237,1147,38,225,5801,3652,1752,95,302,735,418,260,13,44,1631,998,543,11,79,2089,1385,613,10,81,1346,851,336,61,98,66166,40258,20322,712,4874,24252,13335,9236,204,1477,18748,11562,5523,172,1491,13180,8475,3485,153,1067,9986,6886,2078,183,839
WELB,290881,197342,86165,1591,5783,149932,93886,52371,822,2853,62880,44270,16894,352,1364,46206,34307,10671,238,990,31863,24879,6229,179,576,206198,136593,65530,957,3118,126591,78591,45326,659,2015,37970,26448,10792,162,568,24547,18107,6023,86,331,17090,13447,3389,50,204,29389,22257,6523,88,521,4635,3366,1183,19,67,9376,6780,2383,30,183,9289,7151,1916,26,196,6089,4960,1041,13,75,8412,6841,1360,43,168,842,673,147,2,20,2065,1693,332,10,30,3413,2762,567,20,64,2092,1713,314,11,54,46882,31651,12752,503,1976,17864,11256,5715,142,751,13469,9349,3387,150,583,8957,6287,2165,106,399,6592,4759,1485,105,243
UKN01,276141,134740,116378,4680,20343,101963,47445,46848,1210,6460,68536,31281,31202,964,5089,61223,30809,24347,1114,4953,44419,25205,13981,1392,3841,152027,75723,65966,1649,8689,80380,37815,37311,826,4428,35422,17134,15756,383,2149,22431,12020,8810,230,1371,13794,8754,4089,210,741,44637,20385,21031,416,2805,6066,2531,3234,40,261,13163,5211,7110,111,731,14896,6621,7033,153,1089,10512,6022,3654,112,724,20851,10960,8208,251,1432,2231,1099,992,12,128,4829,2176,2295,59,299,8394,4489,3288,81,536,5397,3196,1633,99,469,58626,27672,21173,2364,7417,13286,6000,5311,332,1643,15122,6760,6041,411,1910,15502,7679,5216,650,1957,14716,7233,4605,971,1907
UKN02,384428,90861,255452,4002,34113,217491,46011,153922,2074,15484,85793,20301,55295,878,9319,55315,14886,33354,629,6446,25829,9663,12881,421,2864,296377,68793,202149,2805,22630,195556,41342,139765,1765,12684,58661,14743,37723,526,5669,29901,8178,18342,318,3063,12259,4530,6319,196,1214,34816,7526,23341,265,3684,4901,880,3661,47,313,11692,1856,8555,86,1195,12116,2581,7942,79,1514,6107,2209,3183,53,662,8843,3461,4644,91,647,820,323,411,10,76,2061,543,1318,24,176,3883,1569,2024,31,259,2079,1026,891,26,136,44392,11081,25318,841,7152,16214,3466,10085,252,2411,13379,3159,7699,242,2279,9415,2558,5046,201,1610,5384,1898,2488,146,852
UKN03,434612,155091,248828,3625,27068,249192,79153,155308,1889,12842,95027,35960,51186,826,7055,59578,24569,29790,509,4710,30815,15409,12544,401,2461,328687,112889,196760,2389,16649,218158,67980,138623,1551,10004,61936,22912,34820,467,3737,32892,13699,16894,237,2062,15701,8298,6423,134,846,33798,12296,18529,298,2675,5581,1999,3237,56,289,11913,4090,6782,109,932,11040,3948,6030,98,964,5264,2259,2480,35,490,5812,2247,3057,97,411,623,224,329,10,60,1414,483,816,11,104,2386,961,1280,14,131,1389,579,632,62,116,66315,27659,30482,841,7333,24830,8950,13119,272,2489,19764,8475,8768,239,2282,13260,5961,5586,160,1553,8461,4273,3009,170,1009
UKN04,284667,161386,112915,1795,8571,145185,73525,66449,965,4246,62283,36771,23095,379,2038,46364,29539,15092,272,1461,30835,21551,8279,179,826,195977,108133,82022,1044,4778,120944,60792,56359,727,3066,36298,21443,13830,170,855,23373,14995,7735,100,543,15362,10903,4098,47,314,33055,20293,11710,117,935,5304,2988,2183,21,112,10550,6018,4155,44,333,10526,6573,3562,37,354,6675,4714,1810,15,136,8244,6301,1747,40,156,769,589,166,4,10,2006,1548,424,5,29,3397,2574,739,20,64,2072,1590,418,11,53,47391,26659,17436,594,2702,18168,9156,7741,213,1058,13429,7762,4686,160,821,9068,5397,3056,115,500,6726,4344,1953,106,323
