GeographyCode,DC2509NI0001,DC2509NI0002,DC2509NI0003,DC2509NI0004,DC2509NI0005,DC2509NI0006,DC2509NI0007,DC2509NI0008,DC2509NI0009,DC2509NI0010,DC2509NI0011,DC2509NI0012,DC2509NI0013,DC2509NI0014,DC2509NI0015,DC2509NI0016,DC2509NI0017,DC2509NI0018,DC2509NI0019,DC2509NI0020,DC2509NI0021,DC2509NI0022,DC2509NI0023,DC2509NI0024,DC2509NI0025,DC2509NI0026,DC2509NI0027,DC2509NI0028,DC2509NI0029,DC2509NI0030,DC2509NI0031,DC2509NI0032,DC2509NI0033,DC2509NI0034,DC2509NI0035,DC2509NI0036,DC2509NI0037,DC2509NI0038,DC2509NI0039,DC2509NI0040,DC2509NI0041,DC2509NI0042,DC2509NI0043,DC2509NI0044,DC2509NI0045,DC2509NI0046,DC2509NI0047,DC2509NI0048,DC2509NI0049,DC2509NI0050,DC2509NI0051,DC2509NI0052,DC2509NI0053,DC2509NI0054,DC2509NI0055,DC2509NI0056,DC2509NI0057,DC2509NI0058,DC2509NI0059,DC2509NI0060,DC2509NI0061,DC2509NI0062,DC2509NI0063,DC2509NI0064,DC2509NI0065,DC2509NI0066,DC2509NI0067,DC2509NI0068,DC2509NI0069,DC2509NI0070,DC2509NI0071,DC2509NI0072,DC2509NI0073,DC2509NI0074,DC2509NI0075,DC2509NI0076,DC2509NI0077,DC2509NI0078,DC2509NI0079,DC2509NI0080,DC2509NI0081,DC2509NI0082,DC2509NI0083,DC2509NI0084,DC2509NI0085,DC2509NI0086,DC2509NI0087,DC2509NI0088,DC2509NI0089,DC2509NI0090,DC2509NI0091,DC2509NI0092,DC2509NI0093,DC2509NI0094,DC2509NI0095,DC2509NI0096,DC2509NI0097,DC2509NI0098,DC2509NI0099,DC2509NI0100,DC2509NI0101,DC2509NI0102,DC2509NI0103,DC2509NI0104,DC2509NI0105,DC2509NI0106,DC2509NI0107,DC2509NI0108,DC2509NI0109,DC2509NI0110,DC2509NI0111,DC2509NI0112,DC2509NI0113,DC2509NI0114,DC2509NI0115,DC2509NI0116,DC2509NI0117,DC2509NI0118,DC2509NI0119,DC2509NI0120
N92000002,1431540,630341,725460,13496,62243,416851,183174,219090,2797,11790,164798,70799,84442,1146,8411,213570,92681,108494,1491,10904,60462,24325,33878,320,1939,176110,78387,86863,1385,9475,338544,151561,166498,4841,15644,61205,29414,26195,1516,4080,692931,302337,347879,7080,35635,199177,90980,100026,1412,6759,79728,34319,40000,589,4820,91019,39802,44671,750,5796,56368,22662,31641,289,1776,84644,36228,42272,729,5415,149202,62157,75868,2457,8720,32793,16189,13401,854,2349,738609,328004,377581,6416,26608,217674,92194,119064,1385,5031,85070,36480,44442,557,3591,122551,52879,63823,741,5108,4094,1663,2237,31,163,91466,42159,44591,656,4060,189342,89404,90630,2384,6924,28412,13225,12794,662,1731
BHSCT,283079,120473,140503,4567,17536,82416,32808,45849,702,3057,30671,12878,15445,288,2060,36764,15776,17993,397,2598,9997,3199,6355,69,374,36650,16319,16985,487,2859,75840,35119,33270,2010,5441,10741,4374,4606,614,1147,134054,55889,65600,2513,10052,35962,14999,18943,356,1664,13924,5821,6783,146,1174,15581,6704,7241,206,1430,9230,2920,5908,63,339,17884,7592,8344,257,1691,36105,15581,16282,1123,3119,5368,2272,2099,362,635,149025,64584,74903,2054,7484,46454,17809,26906,346,1393,16747,7057,8662,142,886,21183,9072,10752,191,1168,767,279,447,6,35,18766,8727,8641,230,1168,39735,19538,16988,887,2322,5373,2102,2507,252,512
NHSCT,366872,119592,227703,3113,16464,106538,32215,70321,712,3290,43450,13645,27061,300,2444,56884,18681,34670,368,3165,17053,5226,11154,101,572,45576,15247,27525,319,2485,82138,28661,48982,1020,3475,15233,5917,7990,293,1033,177781,57622,109239,1581,9339,51137,16356,32564,333,1884,20935,6835,12589,152,1359,23504,7822,13872,180,1630,15991,4887,10481,91,532,22312,7126,13584,169,1433,35597,11225,21972,497,1903,8305,3371,4177,159,598,189091,61970,118464,1532,7125,55401,15859,37757,379,1406,22515,6810,14472,148,1085,33380,10859,20798,188,1535,1062,339,673,10,40,23264,8121,13941,150,1052,46541,17436,27010,523,1572,6928,2546,3813,134,435
SEHSCT,275606,82614,173621,2566,16805,67575,20299,43802,585,2889,32900,9879,20288,285,2448,44203,13203,27289,359,3352,13260,3585,8977,73,625,34752,10785,21067,256,2644,72479,21491,46004,792,4192,10437,3372,6194,216,655,132392,38865,82629,1284,9614,30746,9798,19003,287,1658,15386,4451,9363,143,1429,18571,5539,11083,178,1771,12325,3340,8340,69,576,16754,4902,10243,128,1481,33285,9064,21562,355,2304,5325,1771,3035,124,395,143214,43749,90992,1282,7191,36829,10501,24799,298,1231,17514,5428,10925,142,1019,25632,7664,16206,181,1581,935,245,637,4,49,17998,5883,10824,128,1163,39194,12427,24442,437,1888,5112,1601,3159,92,260
SHSCT,276654,154535,112478,1919,7722,83107,46305,34570,514,1718,31412,17243,12967,186,1016,41914,22740,17740,229,1205,11933,6728,4895,46,264,32571,18056,13362,183,970,60400,33835,24403,538,1624,15317,9628,4541,223,925,136019,75687,54904,998,4430,42105,23855,16926,287,1037,16001,8638,6677,97,589,18205,9869,7585,129,622,11150,6302,4572,40,236,15281,8356,6314,91,520,24777,13297,10354,240,886,8500,5370,2476,114,540,140635,78848,57574,921,3292,41002,22450,17644,227,681,15411,8605,6290,89,427,23709,12871,10155,100,583,783,426,323,6,28,17290,9700,7048,92,450,35623,20538,14049,298,738,6817,4258,2065,109,385
WHSCT,229329,153127,71155,1331,3716,77215,51547,24548,284,836,26365,17154,8681,87,443,33805,22281,10802,138,584,8219,5587,2497,31,104,26561,17980,7924,140,517,47687,32455,13839,481,912,9477,6123,2864,170,320,112685,74274,35507,704,2200,39227,25972,12590,149,516,13482,8574,4588,51,269,15158,9868,4890,57,343,7672,5213,2340,26,93,12413,8252,3787,84,290,19438,12990,5698,242,508,5295,3405,1614,95,181,116644,78853,35648,627,1516,37988,25575,11958,135,320,12883,8580,4093,36,174,18647,12413,5912,81,241,547,374,157,5,11,14148,9728,4137,56,227,28249,19465,8141,239,404,4182,2718,1250,75,139
BELB,228679,109160,101616,3898,14005,69498,31578,34939,579,2402,24585,11998,10793,234,1560,28773,14303,12158,338,1974,7444,2945,4190,56,253,30052,14900,12433,410,2309,59536,29460,23838,1724,4514,8791,3976,3265,557,993,108381,50740,47403,2188,8050,30581,14423,14556,298,1304,11179,5412,4745,121,901,12237,6060,4915,178,1084,6848,2691,3877,52,228,14586,6896,6084,224,1382,28482,13183,11703,986,2610,4468,2075,1523,329,541,120298,58420,54213,1710,5955,38917,17155,20383,281,1098,13406,6586,6048,113,659,16536,8243,7243,160,890,596,254,313,4,25,15466,8004,6349,186,927,31054,16277,12135,738,1904,4323,1901,1742,228,452
NEELB,338153,102979,216341,2963,15870,96871,26775,66320,656,3120,40086,11672,25763,286,2365,52525,16169,32921,347,3088,15888,4507,10722,98,561,42220,13283,26222,302,2413,76717,25458,46874,995,3390,13846,5115,7519,279,933,163607,49478,103643,1497,8989,46087,13499,30503,302,1783,19189,5800,11940,142,1307,21699,6803,13141,170,1585,14909,4219,10080,88,522,20755,6237,12963,160,1395,33512,10033,21141,483,1855,7456,2887,3875,152,542,174546,53501,112698,1466,6881,50784,13276,35817,354,1337,20897,5872,13823,144,1058,30826,9366,19780,177,1503,979,288,642,10,39,21465,7046,13259,142,1018,43205,15425,25733,512,1535,6390,2228,3644,127,391
SEELB,330006,93927,212508,3235,20336,80493,21529,54712,708,3544,38986,10759,24940,339,2948,52194,14676,33124,418,3976,15813,3839,11142,86,746,41350,12204,25619,333,3194,88783,27150,55436,1078,5119,12387,3770,7535,273,809,158065,44014,100826,1609,11616,36127,10374,23390,345,2018,18131,4860,11401,168,1702,21915,6183,13409,206,2117,14707,3569,10371,80,687,20052,5598,12503,161,1790,40908,11462,26141,492,2813,6225,1968,3611,157,489,171941,49913,111682,1626,8720,44366,11155,31322,363,1526,20855,5899,13539,171,1246,30279,8493,19715,212,1859,1106,270,771,6,59,21298,6606,13116,172,1404,47875,15688,29295,586,2306,6162,1802,3924,116,320
SELB,305373,171148,123840,2069,8316,92774,51745,38571,570,1888,34776,19216,14265,200,1095,46273,25252,19489,250,1282,13098,7447,5327,49,275,35927,20020,14665,200,1042,65821,37038,26511,563,1709,16704,10430,5012,237,1025,150193,83831,60500,1082,4780,47155,26712,18987,318,1138,17747,9673,7326,107,641,20010,10888,8316,139,667,12232,6970,4973,43,246,16838,9245,6935,100,558,26862,14489,11185,254,934,9349,5854,2778,121,596,155180,87317,63340,987,3536,45619,25033,19584,252,750,17029,9543,6939,93,454,26263,14364,11173,111,615,866,477,354,6,29,19089,10775,7730,100,484,38959,22549,15326,309,775,7355,4576,2234,116,429
