GeographyCode,DC3401NI0001,DC3401NI0002,DC3401NI0003,DC3401NI0004,DC3401NI0005,DC3401NI0006,DC3401NI0007,DC3401NI0008,DC3401NI0009,DC3401NI0010,DC3401NI0011,DC3401NI0012,DC3401NI0013,DC3401NI0014,DC3401NI0015,DC3401NI0016,DC3401NI0017,DC3401NI0018,DC3401NI0019,DC3401NI0020,DC3401NI0021,DC3401NI0022,DC3401NI0023,DC3401NI0024,DC3401NI0025,DC3401NI0026,DC3401NI0027,DC3401NI0028,DC3401NI0029,DC3401NI0030,DC3401NI0031,DC3401NI0032,DC3401NI0033,DC3401NI0034,DC3401NI0035,DC3401NI0036,DC3401NI0037,DC3401NI0038,DC3401NI0039,DC3401NI0040,DC3401NI0041,DC3401NI0042,DC3401NI0043,DC3401NI0044,DC3401NI0045,DC3401NI0046,DC3401NI0047,DC3401NI0048,DC3401NI0049,DC3401NI0050,DC3401NI0051,DC3401NI0052
N92000002,1788339,1285113,219712,283514,89700,65581,14045,10074,28402,18313,6265,3824,25179,14158,6635,4386,197250,126686,44504,26060,37158,19876,10123,7159,101005,51319,29245,20441,178860,116265,38227,24368,155398,98180,33136,24082,29196,15806,8478,4912,115107,80914,20696,13497,92329,63322,15921,13086,1235326,912992,118482,203852
BHSCT,342643,204390,72822,65431,18708,11865,4844,1999,6461,3498,2145,818,5593,2426,2313,854,43371,23284,15190,4897,8262,3400,3433,1429,24741,9882,10359,4500,38765,20881,13225,4659,35046,17983,11628,5435,7385,3170,3189,1026,24290,14521,6995,2774,19067,10840,5462,2765,227848,139987,38976,48885
NHSCT,457038,347457,41908,67673,23092,17676,2852,2564,6726,4648,1212,866,5775,3548,1176,1051,47104,32186,8589,6329,8426,4944,1807,1675,22348,12595,5163,4590,43717,30327,7436,5954,38135,25987,6290,5858,6381,3810,1443,1128,29585,21854,4311,3420,23206,16928,3063,3215,318443,248218,22102,48123
SEHSCT,342197,261330,37709,43158,18412,14173,2463,1776,5176,3478,1086,612,4423,2646,1109,668,36212,24493,7551,4168,7075,4036,1831,1208,16949,9332,4600,3017,33517,22990,6504,4023,29134,19765,5585,3784,5042,2863,1405,774,22635,16846,3582,2207,17773,13112,2710,1951,235829,185022,20347,30460
SHSCT,355580,265738,29472,60370,15787,11958,1833,1996,5321,3674,828,819,4917,3017,950,950,37166,25598,5943,5625,6807,3988,1350,1469,18380,10396,3920,4064,33326,23180,5012,5134,27657,18896,4093,4668,5348,3237,1088,1023,20436,15273,2583,2580,17094,12296,2054,2744,253320,193061,16076,44183
WHSCT,290881,206198,37801,46882,13701,9909,2053,1739,4718,3015,994,709,4471,2521,1087,863,33397,21125,7231,5041,6588,3508,1702,1378,18587,9114,5203,4270,29535,18887,6050,4598,25426,15549,5540,4337,5040,2726,1353,961,18161,12420,3225,2516,15189,10146,2632,2411,199886,146704,20981,32201
BELB,276141,152027,65488,58626,14774,8806,4251,1717,5351,2718,1920,713,4807,1933,2105,769,36049,18187,13556,4306,7011,2653,3095,1263,21391,7924,9383,4084,32136,16208,11823,4105,29196,13903,10448,4845,6411,2576,2905,930,19559,10945,6182,2432,15485,8195,4860,2430,182567,103279,35289,43999
NEELB,420327,318742,39708,61877,21530,16397,2734,2399,6220,4254,1159,807,5240,3181,1109,950,42989,29111,8135,5743,7691,4458,1699,1534,20059,11126,4804,4129,39998,27522,7053,5423,35070,23798,5941,5331,5800,3417,1359,1024,27456,20157,4135,3164,21481,15608,2930,2943,292739,227806,20967,43966
SEELB,408699,313693,45043,49963,22346,17232,3056,2058,6286,4258,1311,717,5209,3139,1317,753,43534,29590,9185,4759,8326,4783,2169,1374,20299,11290,5576,3433,40146,27663,7906,4577,34984,23845,6765,4374,6016,3457,1689,870,27366,20422,4395,2549,21355,15757,3312,2286,281110,221730,24034,35346
SELB,392291,294453,31672,66166,17349,13237,1951,2161,5827,4068,881,878,5452,3384,1017,1051,41281,28673,6397,6211,7542,4474,1458,1610,20669,11865,4279,4525,37045,25985,5395,5665,30722,21085,4442,5195,5929,3630,1172,1127,22565,16970,2759,2836,18819,13616,2187,3016,279024,213473,17211,48340
WELB,290881,206198,37801,46882,13701,9909,2053,1739,4718,3015,994,709,4471,2521,1087,863,33397,21125,7231,5041,6588,3508,1702,1378,18587,9114,5203,4270,29535,18887,6050,4598,25426,15549,5540,4337,5040,2726,1353,961,18161,12420,3225,2516,15189,10146,2632,2411,199886,146704,20981,32201
UKN01,276141,152027,65488,58626,14774,8806,4251,1717,5351,2718,1920,713,4807,1933,2105,769,36049,18187,13556,4306,7011,2653,3095,1263,21391,7924,9383,4084,32136,16208,11823,4105,29196,13903,10448,4845,6411,2576,2905,930,19559,10945,6182,2432,15485,8195,4860,2430,182567,103279,35289,43999
UKN02,384428,296377,43659,44392,21110,16280,3065,1765,5878,3972,1322,584,4853,2886,1325,642,40535,27537,9138,3860,7436,4244,2090,1102,19149,10771,5513,2865,37612,26024,7833,3755,33211,22807,6611,3793,5598,3226,1679,693,26038,19420,4410,2208,20213,14881,3301,2031,264942,209875,23176,31891
