GeographyCode,DC3402NI0001,DC3402NI0002,DC3402NI0003,DC3402NI0004,DC3402NI0005,DC3402NI0006,DC3402NI0007,DC3402NI0008,DC3402NI0009,DC3402NI0010,DC3402NI0011,DC3402NI0012,DC3402NI0013,DC3402NI0014,DC3402NI0015,DC3402NI0016,DC3402NI0017,DC3402NI0018,DC3402NI0019,DC3402NI0020,DC3402NI0021,DC3402NI0022,DC3402NI0023,DC3402NI0024,DC3402NI0025,DC3402NI0026,DC3402NI0027,DC3402NI0028,DC3402NI0029,DC3402NI0030,DC3402NI0031,DC3402NI0032,DC3402NI0033,DC3402NI0034,DC3402NI0035,DC3402NI0036,DC3402NI0037,DC3402NI0038,DC3402NI0039,DC3402NI0040,DC3402NI0041,DC3402NI0042,DC3402NI0043,DC3402NI0044,DC3402NI0045,DC3402NI0046,DC3402NI0047,DC3402NI0048,DC3402NI0049,DC3402NI0050,DC3402NI0051,DC3402NI0052,DC3402NI0053,DC3402NI0054,DC3402NI0055,DC3402NI0056,DC3402NI0057,DC3402NI0058,DC3402NI0059,DC3402NI0060,DC3402NI0061,DC3402NI0062,DC3402NI0063,DC3402NI0064,DC3402NI0065,DC3402NI0066,DC3402NI0067,DC3402NI0068,DC3402NI0069,DC3402NI0070,DC3402NI0071,DC3402NI0072,DC3402NI0073,DC3402NI0074,DC3402NI0075,DC3402NI0076,DC3402NI0077,DC3402NI0078,DC3402NI0079,DC3402NI0080,DC3402NI0081,DC3402NI0082,DC3402NI0083,DC3402NI0084,DC3402NI0085,DC3402NI0086,DC3402NI0087,DC3402NI0088,DC3402NI0089,DC3402NI0090,DC3402NI0091
N92000002,1788339,118758,94605,3753,7511,2851,1589915,89700,7099,12309,591,3203,373,70286,28402,3041,5126,1046,703,164,20596,25179,3564,4815,315,799,294,17621,197250,21074,39688,1180,2596,857,141906,37158,3930,4819,317,496,381,29326,101005,8278,12737,452,828,439,81935,178860,16662,30520,887,2032,624,135963,155398,12601,19096,678,1507,538,126237,29196,3411,6581,301,549,247,20253,115107,9840,16776,646,1298,507,90710,92329,7654,10670,388,761,385,75794,1235326,75727,34451,1397,2315,981,1133041
BHSCT,342643,15225,23217,1049,2092,657,307250,18708,1295,3333,170,933,116,13977,6461,613,1378,265,224,51,4557,5593,722,1211,66,203,51,3858,43371,4110,10466,332,777,239,29959,8262,798,1218,63,124,73,6473,24741,1894,3720,135,276,122,19668,38765,3226,8216,260,628,171,28260,35046,2615,5607,217,501,146,27524,7385,790,1897,103,192,97,4957,24290,1803,4541,172,369,124,18447,19067,1370,2821,114,246,96,15273,227848,7647,7662,431,615,181,214062
NHSCT,457038,29086,22806,866,1581,673,408449,23092,1765,3016,162,673,85,18347,6726,706,1214,277,140,37,4879,5775,774,1100,75,187,64,4050,47104,4765,9552,267,525,196,34060,8426,857,1059,63,113,66,6691,22348,1647,2750,92,143,83,18364,43717,3832,7345,198,419,151,33562,38135,2826,4364,168,292,126,31461,6381,721,1441,55,106,45,4433,29585,2389,4088,142,249,107,23675,23206,1817,2495,89,129,88,19323,318443,19004,8339,301,510,253,292788
SEHSCT,342197,19809,16570,579,1148,526,308649,18412,1353,2327,105,531,80,14784,5176,528,891,192,110,27,3805,4423,616,797,36,103,35,3145,36212,4034,7191,199,400,178,26097,7075,716,832,35,47,63,5684,16949,1432,2117,71,125,78,13745,33517,3136,5525,157,303,130,25750,29134,2293,3208,117,237,106,24115,5042,608,1141,52,81,40,3501,22635,1959,3048,104,208,111,18076,17773,1329,1943,62,108,79,14838,235829,11888,5744,197,338,157,219599
SHSCT,355580,29963,17208,659,1497,605,311381,15787,1379,1983,84,585,48,12415,5321,619,884,166,135,29,3873,4917,732,892,85,172,76,3467,37166,4157,6690,192,479,140,27230,6807,792,886,93,117,98,5315,18380,1557,2062,76,138,91,15037,33326,3277,4991,123,373,98,25723,27657,2456,3058,84,258,90,22544,5348,646,1079,39,89,37,3804,20436,1818,2657,116,246,101,16271,17094,1591,1813,61,142,81,13986,253320,21022,6861,259,510,243,227198
WHSCT,290881,24675,14804,600,1193,390,254186,13701,1307,1650,70,481,44,10763,4718,575,759,146,94,20,3482,4471,720,815,53,134,68,3101,33397,4008,5789,190,415,104,24560,6588,767,824,63,95,81,5163,18587,1748,2088,78,146,65,15121,29535,3191,4443,149,309,74,22668,25426,2411,2859,92,219,70,20593,5040,646,1023,52,81,28,3558,18161,1871,2442,112,226,64,14241,15189,1547,1598,62,136,41,12374,199886,16166,5845,209,342,147,179394
BELB,276141,13259,19850,930,1830,554,245797,14774,1103,2765,153,788,99,10845,5351,533,1150,224,196,49,3747,4807,650,1066,57,181,43,3277,36049,3506,8802,288,670,205,24758,7011,720,1060,51,115,62,5432,21391,1730,3293,123,250,106,16870,32136,2771,6950,233,539,152,23236,29196,2302,4836,198,439,131,22685,6411,712,1654,94,166,91,4276,19559,1541,3798,156,309,108,14667,15485,1168,2359,98,214,75,12299,182567,6709,6687,386,548,151,170573
NEELB,420327,25509,20549,791,1474,624,377181,21530,1615,2774,149,637,84,17166,6220,643,1124,260,132,37,4524,5240,706,992,72,175,61,3680,42989,4297,8699,244,497,189,31141,7691,779,964,61,101,63,6125,20059,1433,2432,80,133,78,16561,39998,3438,6700,179,396,144,30790,35070,2515,3973,149,274,115,29054,5800,666,1315,45,96,45,4026,27456,2163,3777,127,233,103,22031,21481,1650,2284,85,120,84,17934,292739,16488,7391,269,465,227,270315
SEELB,408699,21775,19937,698,1410,629,370102,22346,1545,2895,122,676,97,17916,6286,608,1119,233,138,29,4615,5209,688,942,45,125,43,3726,43534,4638,8855,243,507,212,31298,8326,794,990,47,56,74,6725,20299,1596,2544,83,151,94,16543,40146,3591,6791,184,392,149,30774,34984,2606,3979,136,299,121,28954,6016,686,1384,61,107,46,4182,27366,2221,3791,120,268,127,21856,21355,1531,2405,78,140,100,17812,281110,12826,6719,242,405,187,263088
SELB,392291,33540,19465,734,1604,654,342649,17349,1529,2225,97,621,49,13596,5827,682,974,183,143,29,4228,5452,800,1000,88,184,79,3837,41281,4625,7543,215,507,147,30149,7542,870,981,95,129,101,5881,20669,1771,2380,88,148,96,16840,37045,3671,5636,142,396,105,28495,30722,2767,3449,103,276,101,24951,5929,701,1205,49,99,37,4211,22565,2044,2968,131,262,105,17915,18819,1758,2024,65,151,85,15375,279024,23538,7809,291,555,269,249671
WELB,290881,24675,14804,600,1193,390,254186,13701,1307,1650,70,481,44,10763,4718,575,759,146,94,20,3482,4471,720,815,53,134,68,3101,33397,4008,5789,190,415,104,24560,6588,767,824,63,95,81,5163,18587,1748,2088,78,146,65,15121,29535,3191,4443,149,309,74,22668,25426,2411,2859,92,219,70,20593,5040,646,1023,52,81,28,3558,18161,1871,2442,112,226,64,14241,15189,1547,1598,62,136,41,12374,199886,16166,5845,209,342,147,179394
UKN01,276141,13259,19850,930,1830,554,245797,14774,1103,2765,153,788,99,10845,5351,533,1150,224,196,49,3747,4807,650,1066,57,181,43,3277,36049,3506,8802,288,670,205,24758,7011,720,1060,51,115,62,5432,21391,1730,3293,123,250,106,16870,32136,2771,6950,233,539,152,23236,29196,2302,4836,198,439,131,22685,6411,712,1654,94,166,91,4276,19559,1541,3798,156,309,108,14667,15485,1168,2359,98,214,75,12299,182567,6709,6687,386,548,151,170573
UKN02,384428,16481,19126,674,1414,553,351321,21110,1356,2856,133,709,95,16849,5878,563,1110,240,142,34,4251,4853,600,910,50,165,42,3458,40535,3996,8815,246,532,199,28849,7436,658,949,41,82,53,6017,19149,1374,2492,79,146,78,15661,37612,3116,6847,178,411,143,28591,33211,2166,4017,142,302,114,27550,5598,641,1387,55,117,52,3795,26038,1905,3824,126,279,119,20782,20213,1315,2326,82,142,96,16936,264942,9117,6167,217,374,154,250796
UKN03,434612,28556,21006,727,1461,714,388424,22045,1660,2780,113,636,71,17649,6543,659,1118,221,123,30,4835,5502,754,1000,60,146,61,3902,46272,4831,8911,227,496,198,33799,8449,856,996,56,76,93,6757,21779,1627,2571,66,144,108,17932,42642,3797,6760,163,385,145,33034,36476,2811,4050,118,282,129,30145,6330,701,1340,44,81,43,4504,28077,2355,3746,122,235,108,22484,22136,1722,2354,70,121,88,18450,301698,18618,7530,268,444,278,277290
UKN04,284667,19573,15291,567,1192,382,252186,13705,1167,1774,84,480,54,10783,4480,498,800,158,101,23,3275,4218,619,836,56,135,54,2925,32600,3624,6130,196,414,107,23754,6115,655,801,58,89,69,4810,17619,1478,2045,75,140,62,14428,29273,2868,4745,142,311,81,22392,25344,2115,3008,101,231,70,20630,4787,579,1044,50,85,26,3349,18289,1690,2592,94,209,65,14386,15082,1336,1690,56,123,49,12356,194462,12212,5864,194,366,132,177612
UKN05,408491,40889,19332,855,1614,648,352187,18066,1813,2134,108,590,54,14160,6150,788,948,203,141,28,4488,5799,941,1003,92,172,94,4059,41794,5117,7030,223,484,148,30746,8147,1041,1013,111,134,104,6310,21067,2069,2336,109,148,85,17044,37197,4110,5218,171,386,103,28710,31171,3207,3185,119,253,94,25227,6070,778,1156,58,100,35,4329,23144,2349,2816,148,266,107,18391,19413,2113,1941,82,161,77,15753,291657,29071,8203,332,583,266,256770
95AA,52540,3660,2610,74,167,84,46679,2387,190,321,12,70,9,1876,661,76,117,19,10,3,483,626,92,113,5,18,8,437,5004,545,1056,15,51,20,3548,990,105,121,5,6,11,781,2445,189,330,5,22,13,1966,4755,438,835,14,42,12,3600,4234,330,511,16,37,16,3441,650,83,154,3,10,6,441,3065,296,469,8,21,8,2368,2586,265,313,9,13,12,2077,37466,2457,964,33,51,40,34254
95BB,77483,4909,3879,128,204,118,69495,4734,367,609,25,109,15,3803,1353,137,237,57,31,2,998,923,139,170,11,20,10,646,9049,1050,1784,48,88,32,6541,1393,148,155,7,10,17,1113,3912,338,501,21,26,18,3160,8570,870,1399,45,71,24,6558,7014,621,757,29,45,23,5779,1209,153,272,14,16,9,837,5640,532,733,33,46,24,4501,4031,320,439,15,18,13,3372,51973,2880,1287,34,52,39,48196
95CC,58638,5770,2760,86,223,167,50618,2764,271,305,16,91,13,2184,813,104,129,24,20,5,593,727,121,125,5,18,6,507,5797,669,993,25,69,40,4245,1015,143,132,7,14,6,775,2541,246,289,14,23,14,2048,5258,545,747,24,59,27,4058,4211,400,430,12,46,21,3419,764,99,168,7,13,5,525,3314,317,401,15,34,20,2644,2655,268,275,8,19,20,2156,42257,4187,1186,33,73,85,37220
95DD,63403,4336,2889,104,245,103,56661,3156,256,373,20,100,7,2539,893,99,144,33,18,2,663,663,104,116,3,20,7,461,6033,640,1201,31,77,26,4376,989,112,116,4,11,6,787,2732,229,326,10,18,14,2236,5460,494,865,25,60,17,4237,4874,371,510,14,42,9,4069,828,94,175,4,11,6,584,4114,335,508,15,31,13,3348,3124,245,290,7,21,17,2629,45029,2953,1100,42,82,49,41227
95EE,31054,2588,1396,41,77,22,27352,1446,129,160,10,33,4,1169,419,46,64,15,10,1,314,411,61,75,6,10,4,291,3353,402,550,16,30,7,2499,572,68,55,3,6,4,461,1453,124,135,4,5,7,1214,3029,320,451,10,22,3,2342,2467,228,246,9,18,5,2039,420,49,85,2,5,1,303,1925,193,237,7,15,4,1543,1613,151,157,4,7,1,1346,21671,1739,557,11,22,6,19522
