ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC3604NI0001,Count,PERSONS,"All categories: Economic Activity, All categories: Sex, Disability: Total"
DC3604NI0002,Count,PERSONS,"All categories: Economic Activity, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0003,Count,PERSONS,"All categories: Economic Activity, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0004,Count,PERSONS,"All categories: Economic Activity, All categories: Sex, Day-to-day activities not limited"
DC3604NI0005,Count,PERSONS,"All categories: Economic Activity, Males, Disability: Total"
DC3604NI0006,Count,PERSONS,"All categories: Economic Activity, Males, Day-to-day activities limited a lot"
DC3604NI0007,Count,PERSONS,"All categories: Economic Activity, Males, Day-to-day activities limited a little"
DC3604NI0008,Count,PERSONS,"All categories: Economic Activity, Males, Day-to-day activities not limited"
DC3604NI0009,Count,PERSONS,"All categories: Economic Activity, Females, Disability: Total"
DC3604NI0010,Count,PERSONS,"All categories: Economic Activity, Females, Day-to-day activities limited a lot"
DC3604NI0011,Count,PERSONS,"All categories: Economic Activity, Females, Day-to-day activities limited a little"
DC3604NI0012,Count,PERSONS,"All categories: Economic Activity, Females, Day-to-day activities not limited"
DC3604NI0013,Count,PERSONS,"Economically Active, All categories: Sex, Disability: Total"
DC3604NI0014,Count,PERSONS,"Economically Active, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0015,Count,PERSONS,"Economically Active, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0016,Count,PERSONS,"Economically Active, All categories: Sex, Day-to-day activities not limited"
DC3604NI0017,Count,PERSONS,"Economically Active, Males, Disability: Total"
DC3604NI0018,Count,PERSONS,"Economically Active, Males, Day-to-day activities limited a lot"
DC3604NI0019,Count,PERSONS,"Economically Active, Males, Day-to-day activities limited a little"
DC3604NI0020,Count,PERSONS,"Economically Active, Males, Day-to-day activities not limited"
DC3604NI0021,Count,PERSONS,"Economically Active, Females, Disability: Total"
DC3604NI0022,Count,PERSONS,"Economically Active, Females, Day-to-day activities limited a lot"
DC3604NI0023,Count,PERSONS,"Economically Active, Females, Day-to-day activities limited a little"
DC3604NI0024,Count,PERSONS,"Economically Active, Females, Day-to-day activities not limited"
DC3604NI0025,Count,PERSONS,"Economically Active: In employment, All categories: Sex, Disability: Total"
DC3604NI0026,Count,PERSONS,"Economically Active: In employment, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0027,Count,PERSONS,"Economically Active: In employment, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0028,Count,PERSONS,"Economically Active: In employment, All categories: Sex, Day-to-day activities not limited"
DC3604NI0029,Count,PERSONS,"Economically Active: In employment, Males, Disability: Total"
DC3604NI0030,Count,PERSONS,"Economically Active: In employment, Males, Day-to-day activities limited a lot"
DC3604NI0031,Count,PERSONS,"Economically Active: In employment, Males, Day-to-day activities limited a little"
DC3604NI0032,Count,PERSONS,"Economically Active: In employment, Males, Day-to-day activities not limited"
DC3604NI0033,Count,PERSONS,"Economically Active: In employment, Females, Disability: Total"
DC3604NI0034,Count,PERSONS,"Economically Active: In employment, Females, Day-to-day activities limited a lot"
DC3604NI0035,Count,PERSONS,"Economically Active: In employment, Females, Day-to-day activities limited a little"
DC3604NI0036,Count,PERSONS,"Economically Active: In employment, Females, Day-to-day activities not limited"
DC3604NI0037,Count,PERSONS,"Economically Active: In employment: Employee, All categories: Sex, Disability: Total"
DC3604NI0038,Count,PERSONS,"Economically Active: In employment: Employee, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0039,Count,PERSONS,"Economically Active: In employment: Employee, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0040,Count,PERSONS,"Economically Active: In employment: Employee, All categories: Sex, Day-to-day activities not limited"
DC3604NI0041,Count,PERSONS,"Economically Active: In employment: Employee, Males, Disability: Total"
DC3604NI0042,Count,PERSONS,"Economically Active: In employment: Employee, Males, Day-to-day activities limited a lot"
DC3604NI0043,Count,PERSONS,"Economically Active: In employment: Employee, Males, Day-to-day activities limited a little"
DC3604NI0044,Count,PERSONS,"Economically Active: In employment: Employee, Males, Day-to-day activities not limited"
DC3604NI0045,Count,PERSONS,"Economically Active: In employment: Employee, Females, Disability: Total"
DC3604NI0046,Count,PERSONS,"Economically Active: In employment: Employee, Females, Day-to-day activities limited a lot"
DC3604NI0047,Count,PERSONS,"Economically Active: In employment: Employee, Females, Day-to-day activities limited a little"
DC3604NI0048,Count,PERSONS,"Economically Active: In employment: Employee, Females, Day-to-day activities not limited"
DC3604NI0049,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, All categories: Sex, Disability: Total"
DC3604NI0050,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0051,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0052,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0053,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, Males, Disability: Total"
DC3604NI0054,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, Males, Day-to-day activities limited a lot"
DC3604NI0055,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, Males, Day-to-day activities limited a little"
DC3604NI0056,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, Males, Day-to-day activities not limited"
DC3604NI0057,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, Females, Disability: Total"
DC3604NI0058,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, Females, Day-to-day activities limited a lot"
DC3604NI0059,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, Females, Day-to-day activities limited a little"
DC3604NI0060,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 15 hours or less worked, Females, Day-to-day activities not limited"
DC3604NI0061,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, All categories: Sex, Disability: Total"
DC3604NI0062,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0063,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0064,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0065,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, Males, Disability: Total"
DC3604NI0066,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, Males, Day-to-day activities limited a lot"
DC3604NI0067,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, Males, Day-to-day activities limited a little"
DC3604NI0068,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, Males, Day-to-day activities not limited"
DC3604NI0069,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, Females, Disability: Total"
DC3604NI0070,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, Females, Day-to-day activities limited a lot"
DC3604NI0071,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, Females, Day-to-day activities limited a little"
DC3604NI0072,Count,PERSONS,"Economically Active: In employment: Employee: Part-time: 16 to 30 hours worked, Females, Day-to-day activities not limited"
DC3604NI0073,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, All categories: Sex, Disability: Total"
DC3604NI0074,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0075,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0076,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0077,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, Males, Disability: Total"
DC3604NI0078,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, Males, Day-to-day activities limited a lot"
DC3604NI0079,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, Males, Day-to-day activities limited a little"
DC3604NI0080,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, Males, Day-to-day activities not limited"
DC3604NI0081,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, Females, Disability: Total"
DC3604NI0082,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, Females, Day-to-day activities limited a lot"
DC3604NI0083,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, Females, Day-to-day activities limited a little"
DC3604NI0084,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 31 to 48 hours worked, Females, Day-to-day activities not limited"
DC3604NI0085,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, All categories: Sex, Disability: Total"
DC3604NI0086,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0087,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0088,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0089,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, Males, Disability: Total"
DC3604NI0090,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, Males, Day-to-day activities limited a lot"
DC3604NI0091,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, Males, Day-to-day activities limited a little"
DC3604NI0092,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, Males, Day-to-day activities not limited"
DC3604NI0093,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, Females, Disability: Total"
DC3604NI0094,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, Females, Day-to-day activities limited a lot"
DC3604NI0095,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, Females, Day-to-day activities limited a little"
DC3604NI0096,Count,PERSONS,"Economically Active: In employment: Employee: Full-time: 49 or more hours worked, Females, Day-to-day activities not limited"
DC3604NI0097,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, All categories: Sex, Disability: Total"
DC3604NI0098,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0099,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0100,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, All categories: Sex, Day-to-day activities not limited"
DC3604NI0101,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, Males, Disability: Total"
DC3604NI0102,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, Males, Day-to-day activities limited a lot"
DC3604NI0103,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, Males, Day-to-day activities limited a little"
DC3604NI0104,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, Males, Day-to-day activities not limited"
DC3604NI0105,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, Females, Disability: Total"
DC3604NI0106,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, Females, Day-to-day activities limited a lot"
DC3604NI0107,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, Females, Day-to-day activities limited a little"
DC3604NI0108,Count,PERSONS,"Economically Active: In employment: Self-employed with employees, Females, Day-to-day activities not limited"
DC3604NI0109,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 15 hours or less worked, All categories: Sex, Disability: Total"
DC3604NI0110,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 15 hours or less worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0111,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 15 hours or less worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0112,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 15 hours or less worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0113,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 15 hours or less worked, Males, Disability: Total"
DC3604NI0114,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 15 hours or less worked, Males, Day-to-day activities limited a lot"
DC3604NI0115,Count,PERSONS,"Economically Active: In employment: Self-employed with employees: Part-time: 15 hours or less worked, Males, Day-to-day activities limited a little"
