GeographyCode,DC4413NI0001,DC4413NI0002,DC4413NI0003,DC4413NI0004,DC4413NI0005,DC4413NI0006,DC4413NI0007,DC4413NI0008,DC4413NI0009,DC4413NI0010,DC4413NI0011,DC4413NI0012,DC4413NI0013,DC4413NI0014,DC4413NI0015,DC4413NI0016,DC4413NI0017,DC4413NI0018,DC4413NI0019,DC4413NI0020,DC4413NI0021,DC4413NI0022,DC4413NI0023,DC4413NI0024,DC4413NI0025,DC4413NI0026,DC4413NI0027,DC4413NI0028
N92000002,1788339,118758,94605,3753,7511,2851,1589915,1285113,81713,54712,1854,4559,1411,1155897,219712,25821,30200,1250,1970,1132,170075,283514,11224,9693,649,982,308,263943
BHSCT,342643,15225,23217,1049,2092,657,307250,204390,4161,10115,364,1085,177,190337,72822,8967,10718,418,696,404,55551,65431,2097,2384,267,311,76,61362
NHSCT,457038,29086,22806,866,1581,673,408449,347457,22834,14823,527,1067,395,311994,41908,3859,5653,221,358,199,33253,67673,2393,2330,118,156,79,63202
SEHSCT,342197,19809,16570,579,1148,526,308649,261330,12972,9596,292,709,260,240035,37709,5128,5404,205,304,233,28512,43158,1709,1570,82,135,33,40102
SHSCT,355580,29963,17208,659,1497,605,311381,265738,24371,11488,357,983,366,231948,29472,3111,3817,188,287,160,23257,60370,2481,1903,114,227,79,56176
WHSCT,290881,24675,14804,600,1193,390,254186,206198,17375,8690,314,715,213,181583,37801,4756,4608,218,325,136,29502,46882,2544,1506,68,153,41,43101
BELB,276141,13259,19850,930,1830,554,245797,152027,3082,8010,299,907,141,141084,65488,8253,9707,384,635,343,49746,58626,1924,2133,247,288,70,54967
NEELB,420327,25509,20549,791,1474,624,377181,318742,19693,13115,483,996,354,287802,39708,3645,5376,214,343,193,31495,61877,2171,2058,94,135,77,57884
SEELB,408699,21775,19937,698,1410,629,370102,313693,14051,11701,357,887,296,289288,45043,5842,6415,239,365,294,34317,49963,1882,1821,102,158,39,46497
SELB,392291,33540,19465,734,1604,654,342649,294453,27512,13196,401,1054,407,256140,31672,3325,4094,195,302,166,25015,66166,2703,2175,138,248,81,61494
WELB,290881,24675,14804,600,1193,390,254186,206198,17375,8690,314,715,213,181583,37801,4756,4608,218,325,136,29502,46882,2544,1506,68,153,41,43101
UKN01,276141,13259,19850,930,1830,554,245797,152027,3082,8010,299,907,141,141084,65488,8253,9707,384,635,343,49746,58626,1924,2133,247,288,70,54967
UKN02,384428,16481,19126,674,1414,553,351321,296377,9602,11207,354,894,235,276433,43659,5476,6266,231,403,272,33332,44392,1403,1653,89,117,46,41556
UKN03,434612,28556,21006,727,1461,714,388424,328687,22001,13107,381,920,416,295666,39610,4028,5613,234,352,234,30972,66315,2527,2286,112,189,64,61786
UKN04,284667,19573,15291,567,1192,382,252186,195977,12738,8750,295,719,188,175569,41299,4759,4974,198,325,135,32661,47391,2076,1567,74,148,59,43956
UKN05,408491,40889,19332,855,1614,648,352187,312045,34290,13638,525,1119,431,267145,29656,3305,3640,203,255,148,23364,66790,3294,2054,127,240,69,61678
95AA,52540,3660,2610,74,167,84,46679,39880,2985,1677,45,107,60,35516,4771,398,681,25,50,20,3756,7889,277,252,4,10,4,7407
95BB,77483,4909,3879,128,204,118,69495,60143,3441,2347,57,131,54,54802,8265,1018,1189,45,50,58,6352,9075,450,343,26,23,6,8341
95CC,58638,5770,2760,86,223,167,50618,45904,4909,1996,51,189,113,39402,4005,412,465,18,12,25,3227,8729,449,299,17,22,29,7989
95DD,63403,4336,2889,104,245,103,56661,48075,3466,1795,51,157,70,43122,5557,558,789,40,57,22,4364,9771,312,305,13,31,11,9175
95EE,31054,2588,1396,41,77,22,27352,23393,2121,938,37,53,12,20555,3030,204,311,2,19,6,2548,4631,263,147,2,5,4,4249
95FF,48045,4017,2122,82,147,42,42318,38058,3299,1383,50,103,30,33633,3462,380,488,22,23,12,2693,6525,338,251,10,21,0,5992
95GG,276141,13259,19850,930,1830,554,245797,152027,3082,8010,299,907,141,141084,65488,8253,9707,384,635,343,49746,58626,1924,2133,247,288,70,54967
95HH,38785,1440,2113,71,163,66,35503,29969,763,1226,38,81,16,28106,4010,536,678,30,77,41,2909,4806,141,209,3,5,9,4488
95II,66502,1966,3367,119,262,103,61453,52363,1079,2105,65,178,36,49253,7334,714,1011,34,61,61,5805,6805,173,251,20,23,6,6395
95JJ,57761,3157,2818,112,231,79,52147,40116,2336,1651,63,157,51,36314,6627,522,784,21,36,14,5450,11018,299,383,28,38,14,10383
95KK,36711,3577,2257,75,107,49,31268,28715,3141,1708,44,71,41,24192,2200,214,277,7,15,6,1758,5796,222,272,24,21,2,5318
95LL,92513,5360,4795,144,349,159,82981,65735,3999,2849,57,195,82,59219,9465,846,1327,47,96,54,7523,17313,515,619,40,58,23,16239
95MM,106500,6372,6848,255,479,192,94413,67455,2684,3482,93,251,77,61581,21450,2877,2709,132,180,96,16570,17595,811,657,30,48,19,16262
