GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
N92000002,1431540,213851,1217689,1223024,163608,1059416,117926,35942,81984,34815,6323,28492,55775,7978,47797
BHSCT,283079,43158,239921,241102,34042,207060,22936,6603,16333,7270,1100,6170,11771,1413,10358
NHSCT,366872,53975,312897,314694,41106,273588,30411,9333,21078,8241,1541,6700,13526,1995,11531
SEHSCT,275606,43217,232389,232246,32605,199641,25892,7745,18147,6576,1223,5353,10892,1644,9248
SHSCT,276654,39908,236746,237210,30216,206994,21918,6796,15122,6969,1338,5631,10557,1558,8999
WHSCT,229329,33593,195736,197772,25639,172133,16769,5465,11304,5759,1121,4638,9029,1368,7661
BELB,228679,34407,194272,195550,27454,168096,17420,4994,12426,6047,877,5170,9662,1082,8580
NEELB,338153,50153,288000,289955,38225,251730,28213,8667,19546,7505,1405,6100,12480,1856,10624
SEELB,330006,51968,278038,277798,39193,238605,31408,9354,22054,7799,1446,6353,13001,1975,11026
SELB,305373,43730,261643,261949,33097,228852,24116,7462,16654,7705,1474,6231,11603,1697,9906
WELB,229329,33593,195736,197772,25639,172133,16769,5465,11304,5759,1121,4638,9029,1368,7661
UKN01,228679,34407,194272,195550,27454,168096,17420,4994,12426,6047,877,5170,9662,1082,8580
UKN02,311648,48632,263016,262794,36781,226013,29820,8773,21047,7063,1309,5754,11971,1769,10202
UKN03,346252,50184,296068,294583,37928,256655,29910,8800,21110,8275,1470,6805,13484,1986,11498
UKN04,226804,32457,194347,195896,25097,170799,16329,5139,11190,5542,996,4546,9037,1225,7812
UKN05,318157,48171,269986,274201,36348,237853,24447,8236,16211,7888,1671,6217,11621,1916,9705
95AA,41479,5784,35695,35666,4331,31335,3438,1073,2365,917,175,742,1458,205,1253
95BB,62813,9075,53738,52459,6795,45664,6134,1657,4477,1570,259,1311,2650,364,2286
95CC,46195,7049,39146,39788,5321,34467,3757,1252,2505,1084,234,850,1566,242,1324
95DD,51185,7640,43545,44208,5904,38304,4122,1262,2860,1068,181,887,1787,293,1494
95EE,24608,3439,21169,21289,2685,18604,1826,546,1280,538,78,460,955,130,825
95FF,37527,5636,31891,31885,4246,27639,3300,989,2311,906,182,724,1436,219,1217
95GG,228679,34407,194272,195550,27454,168096,17420,4994,12426,6047,877,5170,9662,1082,8580
95HH,31409,4677,26732,26546,3539,23007,2891,812,2079,693,129,564,1279,197,1082
95II,54400,8751,45649,45552,6588,38964,5516,1609,3907,1223,223,1000,2109,331,1778
95JJ,47617,7967,39650,41370,6269,35101,3598,1267,2331,1019,196,823,1630,235,1395
95KK,28719,3822,24897,24739,2881,21858,2198,666,1532,736,136,600,1046,139,907
95LL,72503,9629,62874,61950,7384,54566,5884,1631,4253,1828,274,1554,2841,340,2501
95MM,83663,11510,72153,71772,8861,62911,6089,1779,4310,2212,393,1819,3590,477,3113
95NN,54746,8779,45967,46353,6590,39763,4722,1516,3206,1396,284,1112,2275,389,1886
95OO,44467,6266,38201,38562,4715,33847,3198,1041,2157,1159,248,911,1548,262,1286
95PP,48664,8164,40500,42091,6200,35891,3760,1390,2370,1123,268,855,1690,306,1384
95QQ,25999,3641,22358,22062,2678,19384,2310,672,1638,590,115,475,1037,176,861
95RR,26293,3363,22930,22977,2646,20331,1711,500,1211,589,91,498,1016,126,890
95SS,93625,14276,79349,79159,10814,68345,8454,2520,5934,2259,416,1843,3753,526,3227
95TT,34461,4976,29485,29829,3743,26086,2627,880,1747,833,171,662,1172,182,990
95UU,13603,2188,11415,11723,1642,10081,1024,375,649,310,83,227,546,88,458
95VV,75962,11328,64634,65025,8550,56475,5779,1883,3896,1992,400,1592,3166,495,2671
95WW,67792,9841,57951,57262,7434,49828,6377,1780,4597,1537,277,1260,2616,350,2266
95XX,64422,11087,53335,54275,8406,45869,6582,2052,4530,1351,264,1087,2214,365,1849
95YY,39689,6566,33123,34167,4938,29229,3128,1124,2004,961,214,747,1433,290,1143
95ZZ,31020,3990,27030,26765,2994,23771,2081,672,1409,874,155,719,1300,169,1131
