GeographyCode,DC6402NI0001,DC6402NI0002,DC6402NI0003,DC6402NI0004,DC6402NI0005,DC6402NI0006,DC6402NI0007,DC6402NI0008,DC6402NI0009,DC6402NI0010,DC6402NI0011,DC6402NI0012,DC6402NI0013,DC6402NI0014,DC6402NI0015,DC6402NI0016,DC6402NI0017,DC6402NI0018,DC6402NI0019,DC6402NI0020,DC6402NI0021,DC6402NI0022,DC6402NI0023,DC6402NI0024,DC6402NI0025,DC6402NI0026,DC6402NI0027,DC6402NI0028,DC6402NI0029,DC6402NI0030,DC6402NI0031,DC6402NI0032,DC6402NI0033,DC6402NI0034,DC6402NI0035,DC6402NI0036,DC6402NI0037,DC6402NI0038,DC6402NI0039,DC6402NI0040,DC6402NI0041,DC6402NI0042,DC6402NI0043,DC6402NI0044,DC6402NI0045,DC6402NI0046,DC6402NI0047,DC6402NI0048,DC6402NI0049,DC6402NI0050,DC6402NI0051,DC6402NI0052,DC6402NI0053,DC6402NI0054,DC6402NI0055,DC6402NI0056,DC6402NI0057,DC6402NI0058,DC6402NI0059,DC6402NI0060,DC6402NI0061,DC6402NI0062,DC6402NI0063,DC6402NI0064,DC6402NI0065,DC6402NI0066,DC6402NI0067,DC6402NI0068,DC6402NI0069,DC6402NI0070,DC6402NI0071,DC6402NI0072,DC6402NI0073,DC6402NI0074,DC6402NI0075,DC6402NI0076,DC6402NI0077,DC6402NI0078,DC6402NI0079,DC6402NI0080,DC6402NI0081,DC6402NI0082,DC6402NI0083,DC6402NI0084,DC6402NI0085,DC6402NI0086,DC6402NI0087,DC6402NI0088,DC6402NI0089,DC6402NI0090,DC6402NI0091,DC6402NI0092,DC6402NI0093,DC6402NI0094,DC6402NI0095,DC6402NI0096,DC6402NI0097,DC6402NI0098,DC6402NI0099,DC6402NI0100,DC6402NI0101,DC6402NI0102,DC6402NI0103,DC6402NI0104,DC6402NI0105,DC6402NI0106,DC6402NI0107,DC6402NI0108,DC6402NI0109,DC6402NI0110,DC6402NI0111,DC6402NI0112,DC6402NI0113,DC6402NI0114,DC6402NI0115,DC6402NI0116,DC6402NI0117,DC6402NI0118,DC6402NI0119,DC6402NI0120,DC6402NI0121,DC6402NI0122,DC6402NI0123,DC6402NI0124,DC6402NI0125,DC6402NI0126,DC6402NI0127,DC6402NI0128,DC6402NI0129,DC6402NI0130,DC6402NI0131,DC6402NI0132,DC6402NI0133,DC6402NI0134,DC6402NI0135,DC6402NI0136,DC6402NI0137,DC6402NI0138,DC6402NI0139,DC6402NI0140,DC6402NI0141,DC6402NI0142,DC6402NI0143,DC6402NI0144,DC6402NI0145,DC6402NI0146,DC6402NI0147,DC6402NI0148,DC6402NI0149,DC6402NI0150,DC6402NI0151,DC6402NI0152,DC6402NI0153,DC6402NI0154,DC6402NI0155,DC6402NI0156,DC6402NI0157,DC6402NI0158,DC6402NI0159,DC6402NI0160,DC6402NI0161,DC6402NI0162,DC6402NI0163,DC6402NI0164,DC6402NI0165,DC6402NI0166,DC6402NI0167,DC6402NI0168,DC6402NI0169,DC6402NI0170,DC6402NI0171,DC6402NI0172,DC6402NI0173,DC6402NI0174,DC6402NI0175,DC6402NI0176,DC6402NI0177,DC6402NI0178,DC6402NI0179,DC6402NI0180,DC6402NI0181,DC6402NI0182,DC6402NI0183,DC6402NI0184,DC6402NI0185,DC6402NI0186,DC6402NI0187,DC6402NI0188,DC6402NI0189,DC6402NI0190,DC6402NI0191,DC6402NI0192,DC6402NI0193,DC6402NI0194,DC6402NI0195,DC6402NI0196,DC6402NI0197,DC6402NI0198,DC6402NI0199,DC6402NI0200,DC6402NI0201,DC6402NI0202,DC6402NI0203,DC6402NI0204,DC6402NI0205,DC6402NI0206,DC6402NI0207,DC6402NI0208,DC6402NI0209,DC6402NI0210,DC6402NI0211,DC6402NI0212,DC6402NI0213,DC6402NI0214,DC6402NI0215,DC6402NI0216,DC6402NI0217,DC6402NI0218,DC6402NI0219,DC6402NI0220,DC6402NI0221,DC6402NI0222,DC6402NI0223,DC6402NI0224,DC6402NI0225,DC6402NI0226,DC6402NI0227,DC6402NI0228,DC6402NI0229,DC6402NI0230,DC6402NI0231,DC6402NI0232,DC6402NI0233,DC6402NI0234,DC6402NI0235,DC6402NI0236,DC6402NI0237,DC6402NI0238,DC6402NI0239,DC6402NI0240,DC6402NI0241,DC6402NI0242,DC6402NI0243,DC6402NI0244,DC6402NI0245,DC6402NI0246,DC6402NI0247,DC6402NI0248,DC6402NI0249,DC6402NI0250,DC6402NI0251,DC6402NI0252,DC6402NI0253,DC6402NI0254,DC6402NI0255,DC6402NI0256,DC6402NI0257,DC6402NI0258,DC6402NI0259,DC6402NI0260,DC6402NI0261,DC6402NI0262,DC6402NI0263,DC6402NI0264,DC6402NI0265,DC6402NI0266,DC6402NI0267,DC6402NI0268,DC6402NI0269,DC6402NI0270,DC6402NI0271,DC6402NI0272,DC6402NI0273,DC6402NI0274,DC6402NI0275,DC6402NI0276,DC6402NI0277,DC6402NI0278,DC6402NI0279,DC6402NI0280,DC6402NI0281,DC6402NI0282,DC6402NI0283,DC6402NI0284,DC6402NI0285,DC6402NI0286,DC6402NI0287,DC6402NI0288,DC6402NI0289,DC6402NI0290,DC6402NI0291,DC6402NI0292,DC6402NI0293,DC6402NI0294,DC6402NI0295,DC6402NI0296,DC6402NI0297,DC6402NI0298,DC6402NI0299,DC6402NI0300,DC6402NI0301,DC6402NI0302,DC6402NI0303,DC6402NI0304,DC6402NI0305,DC6402NI0306,DC6402NI0307,DC6402NI0308,DC6402NI0309,DC6402NI0310,DC6402NI0311,DC6402NI0312,DC6402NI0313,DC6402NI0314,DC6402NI0315,DC6402NI0316,DC6402NI0317,DC6402NI0318,DC6402NI0319,DC6402NI0320,DC6402NI0321,DC6402NI0322,DC6402NI0323,DC6402NI0324,DC6402NI0325,DC6402NI0326,DC6402NI0327,DC6402NI0328,DC6402NI0329,DC6402NI0330,DC6402NI0331,DC6402NI0332,DC6402NI0333,DC6402NI0334,DC6402NI0335,DC6402NI0336,DC6402NI0337,DC6402NI0338,DC6402NI0339,DC6402NI0340,DC6402NI0341,DC6402NI0342,DC6402NI0343,DC6402NI0344,DC6402NI0345,DC6402NI0346,DC6402NI0347,DC6402NI0348,DC6402NI0349,DC6402NI0350,DC6402NI0351,DC6402NI0352,DC6402NI0353,DC6402NI0354,DC6402NI0355,DC6402NI0356,DC6402NI0357,DC6402NI0358,DC6402NI0359,DC6402NI0360
N92000002,1301310,865281,638191,116432,64985,45673,436029,168807,78816,58333,92744,37329,191983,91445,60932,4129,20312,6072,100538,28595,11714,14955,32625,12649,461091,278867,215339,26835,24307,12386,182224,83677,23757,22098,38689,14003,439605,332568,251555,52811,13491,14711,107037,43517,25656,15300,15283,7281,138260,105986,73013,20213,4659,8101,32274,9734,11814,4082,4370,2274,70371,56415,37352,12444,2216,4403,13956,3284,5875,1898,1777,1122,948048,664052,496880,102571,33109,31492,283996,134287,55453,30841,44239,19176,50681,25697,19573,1686,3272,1166,24984,12590,2243,1797,6023,2331,309339,188986,148977,20487,12355,7167,120353,67726,14402,10591,19972,7662,391552,296050,224006,48764,11121,12159,95502,41354,22555,12878,12644,6071,129259,99237,68414,19436,4265,7122,30022,9419,10806,3783,3956,2058,67217,54082,35910,12198,2096,3878,13135,3198,5447,1792,1644,1054,121099,54268,35980,2631,12435,3222,66831,16697,7383,10737,24434,7580,61660,24227,14560,766,7425,1476,37433,8844,3691,5830,14313,4755,48888,23319,16434,1337,4234,1314,25569,7069,3028,4170,8880,2422,8808,5543,4123,423,650,347,3265,684,557,643,1044,337,1355,927,678,86,97,66,428,78,88,65,144,53,388,252,185,19,29,19,136,22,19,29,53,13,30137,12220,8014,641,2648,917,17917,4723,1981,2997,6506,1710,15115,5307,3233,165,1515,394,9808,2529,896,1602,3735,1046,12654,5513,3835,316,964,398,7141,2030,903,1219,2452,537,1937,1168,803,135,136,94,769,146,148,149,246,80,306,182,119,16,24,23,124,11,25,22,38,28,125,50,24,9,9,8,75,7,9,5,35,19,202026,134741,97317,10589,16793,10042,67285,13100,13999,13758,17565,8863,64527,36214,23566,1512,8100,3036,28313,4632,4884,5726,8554,4517,90210,61049,46093,4695,6754,3507,29161,6852,5424,6118,7385,3382,37308,29807,22623,3489,1584,2111,7501,1333,2396,1630,1349,793,7340,5640,3802,675,273,890,1700,226,895,212,232,135,2641,2031,1233,218,82,498,610,57,400,72,45,36
BHSCT,253881,165519,125293,14333,13319,12574,88362,31046,16978,11162,21568,7608,69134,34497,23824,1162,6241,3270,34637,9212,4960,5084,11400,3981,100901,65722,52190,4852,4789,3891,35179,15241,5499,3979,7952,2508,63913,49747,38542,6159,1732,3314,14166,5531,4325,1641,1796,873,15063,11774,8261,1580,435,1498,3289,839,1585,341,333,191,4870,3779,2476,580,122,601,1091,223,609,117,87,55,151828,106677,84442,11387,5202,5646,45151,22179,8507,4155,7405,2905,17016,9092,7295,383,966,448,7924,3887,805,597,1926,709,64202,42501,34858,3442,2378,1823,21701,12002,2933,1768,3691,1307,54053,42012,32964,5538,1379,2131,12041,5261,3315,1361,1421,683,12689,9997,7195,1471,377,954,2692,817,1100,318,301,156,3868,3075,2130,553,102,290,793,212,354,111,66,50,36230,16129,10968,635,3456,1070,20101,4662,2176,3231,7892,2140,21803,8673,5490,203,2379,601,13130,2895,1322,2109,5258,1546,12389,6066,4408,334,961,363,6323,1650,742,998,2412,521,1783,1206,927,85,105,89,577,107,98,118,195,59,194,148,117,10,7,14,46,5,12,5,13,11,61,36,26,3,4,3,25,5,2,1,14,3,13789,5922,3948,262,1245,467,7867,2067,842,1373,2830,755,8101,3102,1948,89,820,245,4999,1250,450,872,1901,526,4973,2353,1694,123,365,171,2620,759,342,463,860,196,623,408,273,48,49,38,215,51,36,37,61,30,66,42,26,2,6,8,24,6,8,1,6,3,26,17,7,0,5,5,9,1,6,0,2,0,52034,36791,25935,2049,3416,5391,15243,2138,5453,2403,3441,1808,22214,13630,9091,487,2076,1976,8584,1180,2383,1506,2315,1200,19337,14802,11230,953,1085,1534,4535,830,1482,750,989,484,7454,6121,4378,488,199,1056,1333,112,876,125,119,101,2114,1587,923,97,45,522,527,11,465,17,13,21,915,651,313,24,11,303,264,5,247,5,5,2
NHSCT,332241,225539,168689,31630,14631,10589,106702,45462,18785,13971,19945,8539,37041,17593,12004,907,3871,811,19448,6519,1782,2839,5844,2464,114401,69075,54043,6864,5561,2607,45326,23013,5289,5281,8439,3304,120191,91518,70178,14335,3351,3654,28673,12104,6695,4099,3948,1827,39404,30224,21039,5767,1223,2195,9180,2877,3284,1160,1227,632,21204,17129,11425,3757,625,1322,4075,949,1735,592,487,312,256542,181470,136950,28343,8060,8117,75072,37018,14521,8142,10630,4761,10604,5414,4170,414,618,212,5190,2914,394,352,1079,451,80111,48560,38607,5407,2951,1595,31551,18910,3392,2709,4661,1879,108110,82330,63133,13300,2773,3124,25780,11488,5996,3452,3301,1543,37221,28585,19945,5545,1120,1975,8636,2782,3068,1073,1125,588,20496,16581,11095,3677,598,1211,3915,924,1671,556,464,300,26236,12146,8265,625,2681,575,14090,4052,1370,2290,4753,1625,12420,4969,3019,175,1542,233,7451,2022,587,1159,2696,987,11294,5571,4031,324,959,257,5723,1807,627,957,1788,544,2118,1336,1021,97,148,70,782,191,132,149,230,80,329,222,162,24,25,11,107,26,19,18,31,13,75,48,32,5,7,4,27,6,5,7,8,1,2809,946,638,61,193,54,1863,777,132,175,626,153,1294,329,203,13,99,14,965,378,43,83,378,83,1221,446,309,29,81,27,775,374,64,77,206,54,247,144,107,17,10,10,103,23,23,12,31,14,41,24,16,2,3,3,17,2,2,2,9,2,6,3,3,0,0,0,3,0,0,1,2,0,46654,30977,22836,2601,3697,1843,15677,3615,2762,3364,3936,2000,12723,6881,4612,305,1612,352,5842,1205,758,1245,1691,943,21775,14498,11096,1104,1570,728,7277,1922,1206,1538,1784,827,9716,7708,5917,921,420,450,2008,402,544,486,386,190,1813,1393,916,196,75,206,420,67,195,67,62,29,627,497,295,75,20,107,130,19,59,28,13,11
SEHSCT,249201,169360,127085,23763,10466,8046,79841,37220,13271,9833,13960,5557,26810,12694,8529,646,2879,640,14116,4517,1516,2130,4378,1575,85770,51770,40550,5276,3958,1986,34000,18263,3801,3611,6162,2163,94706,71774,55175,11219,2476,2904,22932,11390,4727,2993,2520,1302,29081,22706,15880,4326,829,1671,6375,2331,2259,758,671,356,12834,10416,6951,2296,324,845,2418,719,968,341,229,161,194409,137526,104144,21151,5678,6553,56883,31219,10173,5519,6833,3139,7818,3997,3048,283,486,180,3821,2102,343,242,805,329,60269,36668,29251,4062,2043,1312,23601,15170,2414,1690,3115,1212,86190,65164,50062,10395,2076,2631,21026,10962,4313,2547,2090,1114,27709,21605,15067,4160,768,1610,6104,2280,2170,713,611,330,12423,10092,6716,2251,305,820,2331,705,933,327,212,154,20479,9663,6475,560,2075,553,10816,2912,1346,1752,3734,1072,9649,3990,2410,148,1203,229,5659,1403,669,897,2041,649,8793,4288,3023,278,741,246,4505,1362,548,736,1495,364,1767,1184,892,115,109,68,583,136,109,106,181,51,203,154,115,17,16,6,49,8,13,8,14,6,67,47,35,2,6,4,20,3,7,5,3,2,4689,1815,1229,92,371,123,2874,742,311,546,1013,262,1909,634,400,15,173,46,1275,301,125,254,457,138,2356,930,661,47,165,57,1426,410,157,254,490,115,355,205,140,22,30,13,150,29,25,34,56,6,47,34,21,4,3,6,13,0,4,3,3,3,22,12,7,4,0,1,10,2,0,1,7,0,29624,20356,15237,1960,2342,817,9268,2347,1441,2016,2380,1084,7434,4073,2671,200,1017,185,3361,711,379,737,1075,459,14352,9884,7615,889,1009,371,4468,1321,682,931,1062,472,6394,5221,4081,687,261,192,1173,263,280,306,193,131,1122,913,677,145,42,49,209,43,72,34,43,17,322,265,193,39,13,20,57,9,28,8,7,5
SHSCT,255225,172086,124788,26324,13058,7916,83139,29638,15251,12050,18446,7754,27325,12932,8607,674,3133,518,14393,4146,1312,2096,4756,2083,85697,50643,38569,5320,4860,1894,35054,14628,4471,4754,8121,3080,92093,69524,51471,12056,3199,2798,22569,8087,5274,3700,3815,1693,31262,23863,16137,4870,1194,1662,7399,2001,2636,1020,1184,558,18848,15124,10004,3404,672,1044,3724,776,1558,480,570,340,193231,135494,98060,23579,7425,6430,57737,24034,11926,7179,10271,4327,7353,3448,2431,294,583,140,3905,1901,280,290,1019,415,56412,33231,25460,4076,2470,1225,23181,11821,2858,2358,4466,1678,81805,61657,45371,11166,2637,2483,20148,7645,4737,3136,3201,1429,29436,22494,15131,4699,1091,1573,6942,1915,2527,943,1062,495,18225,14664,9667,3344,644,1009,3561,752,1524,452,523,310,17043,7672,5160,379,1722,411,9371,2448,961,1383,3424,1155,7297,2807,1689,90,893,135,4490,1192,379,581,1710,628,7729,3628,2543,209,685,191,4101,1113,448,644,1439,457,1600,956,729,58,116,53,644,122,111,137,217,57,333,220,152,19,23,26,113,17,21,15,48,12,84,61,47,3,5,6,23,4,2,6,10,1,3577,1453,956,109,305,83,2124,466,202,322,907,227,1487,485,292,20,151,22,1002,250,73,125,444,110,1648,716,494,53,121,48,932,203,100,161,400,68,311,202,141,28,25,8,109,12,25,25,32,15,79,44,28,5,6,5,35,0,2,8,9,16,52,6,1,3,2,0,46,1,2,3,22,18,41374,27467,20612,2257,3606,992,13907,2690,2162,3166,3844,2045,11188,6192,4195,270,1506,221,4996,803,580,1100,1583,930,19908,13068,10072,982,1584,430,6840,1491,1065,1591,1816,877,8377,6709,5230,804,421,254,1668,308,401,402,365,192,1414,1105,826,147,74,58,309,69,86,54,65,35,487,393,289,54,21,29,94,19,30,19,15,11
WHSCT,210762,132777,92336,20382,13511,6548,77985,25441,14531,11317,18825,7871,31673,13729,7968,740,4188,833,17944,4201,2144,2806,6247,2546,74322,41657,29987,4523,5139,2008,32665,12532,4697,4473,8015,2948,68702,50005,36189,9042,2733,2041,18697,6405,4635,2867,3204,1586,23450,17419,11696,3670,978,1075,6031,1686,2050,803,955,537,12615,9967,6496,2407,473,591,2648,617,1005,368,404,254,152038,102885,73284,18111,6744,4746,49153,19837,10326,5846,9100,4044,7890,3746,2629,312,619,186,4144,1786,421,316,1194,427,48345,28026,20801,3500,2513,1212,20319,9823,2805,2066,4039,1586,61394,44887,32476,8365,2256,1790,16507,5998,4194,2382,2631,1302,22204,16556,11076,3561,909,1010,5648,1625,1941,736,857,489,12205,9670,6302,2373,447,548,2535,605,965,346,379,240,21111,8658,5112,432,2501,613,12453,2623,1530,2081,4631,1588,10491,3788,1952,150,1408,278,6703,1332,734,1084,2608,945,8683,3766,2429,192,888,257,4917,1137,663,835,1746,536,1540,861,554,68,172,67,679,128,107,133,221,90,296,183,132,16,26,9,113,22,23,19,38,11,101,60,45,6,7,2,41,4,3,10,18,6,5273,2084,1243,117,534,190,3189,671,494,581,1130,313,2324,757,390,28,272,67,1567,350,205,268,555,189,2456,1068,677,64,232,95,1388,284,240,264,496,104,401,209,142,20,22,25,192,31,39,41,66,15,73,38,28,3,6,1,35,3,9,8,11,4,19,12,6,2,2,2,7,3,1,0,2,1,32340,19150,12697,1722,3732,999,13190,2310,2181,2809,3964,1926,10968,5438,2997,250,1889,302,5530,733,784,1138,1890,985,14838,8797,6080,767,1506,444,6041,1288,989,1308,1734,722,5367,4048,3017,589,283,159,1319,248,295,311,286,179,877,642,460,90,37,55,235,36,77,40,49,33,290,225,143,26,17,39,65,5,36,12,5,7
BELB,205649,131578,98076,10917,11740,10845,74071,23882,14461,9682,19319,6727,64272,32093,22067,1058,5810,3158,32179,8179,4771,4775,10688,3766,82767,54139,42525,3982,4188,3444,28628,11406,4781,3392,6931,2118,44891,34774,26381,4423,1338,2632,10117,3622,3242,1193,1392,668,10368,8008,5504,1066,310,1128,2360,537,1204,236,246,137,3351,2564,1599,388,94,483,787,138,463,86,62,38,113430,78894,62003,8373,4290,4228,34536,16188,6447,3281,6276,2344,15358,8232,6595,329,886,422,7126,3361,767,555,1793,650,50836,33987,27671,2772,2029,1515,16849,8778,2438,1445,3138,1050,36630,28374,21885,3932,1039,1518,8256,3404,2293,978,1078,503,8202,6400,4565,975,260,600,1802,518,733,222,222,107,2404,1901,1287,365,76,173,503,127,216,81,45,34,31703,13755,9219,527,3078,931,17948,3969,1957,2925,7136,1961,19906,7818,4914,188,2157,559,12088,2578,1238,1969,4856,1447,10286,4924,3547,264,821,292,5362,1299,630,871,2109,453,1309,862,644,63,90,65,447,83,79,83,152,50,145,116,89,9,6,12,29,4,8,2,7,8,57,35,25,3,4,3,22,5,2,0,12,3,13220,5701,3781,253,1210,457,7519,1900,820,1342,2722,735,7873,3043,1910,87,804,242,4830,1171,445,857,1840,517,4695,2234,1595,118,355,166,2461,678,329,448,819,187,567,371,246,46,42,37,196,44,32,36,56,28,63,40,25,2,6,7,23,6,8,1,5,3,22,13,5,0,3,5,9,1,6,0,2,0,47296,33228,23073,1764,3162,5229,14068,1825,5237,2134,3185,1687,21135,13000,8648,454,1963,1935,8135,1069,2321,1394,2199,1152,16950,12994,9712,828,983,1471,3956,651,1384,628,865,428,6385,5167,3606,382,167,1012,1218,91,838,96,106,87,1958,1452,825,80,38,509,506,9,455,11,12,19,868,615,282,20,11,302,253,5,239,5,3,1
NEELB,305705,208156,156498,28485,13379,9794,97549,42514,16954,12629,17809,7643,34843,16560,11310,834,3647,769,18283,6198,1674,2693,5412,2306,106270,64575,50749,6290,5087,2449,41695,21613,4861,4769,7516,2936,110673,84663,65283,12958,3031,3391,26010,11248,6046,3670,3456,1590,35516,27424,19163,5157,1077,2027,8092,2617,2878,1003,1047,547,18403,14934,9993,3246,537,1158,3469,838,1495,494,378,264,235571,167376,127141,25501,7280,7454,68195,34530,13016,7227,9242,4180,9957,5143,3990,378,574,201,4814,2757,365,324,952,416,74641,45608,36465,4950,2697,1496,29033,17747,3116,2416,4093,1661,99690,76276,58838,12041,2508,2889,23414,10678,5417,3096,2882,1341,33509,25901,18144,4955,987,1815,7608,2533,2681,928,957,509,17774,14448,9704,3177,514,1053,3326,815,1437,463,358,253,24805,11528,7868,580,2549,531,13277,3886,1260,2172,4449,1510,11867,4758,2898,160,1480,220,7109,1945,554,1123,2554,933,10606,5267,3827,303,901,236,5339,1733,573,895,1642,496,1965,1255,962,88,140,65,710,181,112,131,218,68,306,210,154,24,22,10,96,22,18,16,28,12,61,38,27,5,6,0,23,5,3,7,7,1,2661,897,613,55,178,51,1764,743,122,169,588,142,1250,321,197,13,97,14,929,367,42,82,358,80,1140,416,293,27,69,27,724,355,60,73,190,46,224,133,104,13,9,7,91,19,18,11,29,14,41,24,16,2,3,3,17,2,2,2,9,2,6,3,3,0,0,0,3,0,0,1,2,0,42668,28355,20876,2349,3372,1758,14313,3355,2556,3061,3530,1811,11769,6338,4225,283,1496,334,5431,1129,713,1164,1548,877,19883,13284,10164,1010,1420,690,6599,1778,1112,1385,1591,733,8794,6999,5379,816,374,430,1795,370,499,432,327,167,1660,1289,849,176,65,199,371,60,177,57,53,24,562,445,259,64,17,105,117,18,55,23,11,10
SEELB,297433,203301,154302,27179,12045,9775,94132,44384,15788,11313,16209,6438,31672,15098,10286,750,3310,752,16574,5550,1705,2439,5090,1790,103904,63353,50215,6146,4559,2433,40551,22098,4519,4198,7183,2553,113728,86747,67336,12955,2870,3586,26981,13299,5810,3441,2924,1507,33776,26472,18637,4840,954,2041,7304,2633,2640,863,758,410,14353,11631,7828,2488,352,963,2722,804,1114,372,254,178,232807,165309,126583,24165,6590,7971,67498,37210,12233,6393,7962,3700,9476,4857,3748,337,566,206,4619,2628,381,284,938,388,73635,45182,36438,4732,2392,1620,28453,18394,2909,2013,3668,1469,103613,78802,61141,12001,2416,3244,24811,12819,5335,2930,2433,1294,32196,25202,17697,4656,885,1964,6994,2579,2537,809,690,379,13887,11266,7559,2439,331,937,2621,790,1071,357,233,170,25006,12037,8224,668,2453,692,12969,3605,1565,2058,4490,1251,11546,4845,2986,163,1425,271,6701,1720,753,1037,2443,748,10896,5430,3884,348,881,317,5466,1713,660,863,1798,432,2241,1528,1175,137,124,92,713,160,128,141,224,60,252,186,143,18,17,8,66,9,17,11,20,9,71,48,36,2,6,4,23,3,7,6,5,2,5258,2036,1396,101,406,133,3222,909,333,577,1121,282,2137,693,438,17,189,49,1444,380,130,269,518,147,2634,1049,760,52,175,62,1585,491,170,269,531,124,411,242,167,24,37,14,169,36,29,35,61,8,50,36,22,4,3,7,14,0,4,3,4,3,26,16,9,4,2,1,10,2,0,1,7,0,34362,23919,18099,2245,2596,979,10443,2660,1657,2285,2636,1205,8513,4703,3114,233,1130,226,3810,822,441,849,1191,507,16739,11692,9133,1014,1111,434,5047,1500,780,1053,1186,528,7463,6175,4853,793,293,236,1288,284,318,335,206,145,1278,1048,775,162,49,62,230,45,82,40,44,19,369,301,224,43,13,21,68,9,36,8,9,6
SELB,281761,189469,136979,29469,14310,8711,92292,32586,17082,13392,20582,8650,29523,13965,9301,747,3357,560,15558,4467,1420,2242,5188,2241,93828,55143,41863,5894,5334,2052,38685,16028,4899,5266,9044,3448,101611,76379,56366,13433,3519,3061,25232,8943,5923,4129,4307,1930,35150,26663,18013,5480,1340,1830,8487,2261,3042,1177,1364,643,21649,17319,11436,3915,760,1208,4330,887,1798,578,679,388,214202,149588,107869,26421,8205,7093,64614,26522,13431,8094,11659,4908,8000,3719,2611,330,627,151,4281,2058,309,318,1146,450,61882,36183,27602,4533,2724,1324,25699,12984,3134,2651,5034,1896,90225,67711,49666,12425,2902,2718,22514,8455,5316,3492,3620,1631,33148,25178,16932,5289,1224,1733,7970,2164,2914,1088,1230,574,20947,16797,11058,3844,728,1167,4150,861,1758,545,629,357,18474,8290,5557,424,1854,455,10184,2614,1071,1501,3728,1270,7850,3018,1810,105,955,148,4832,1269,412,617,1852,682,8417,3932,2747,230,743,212,4485,1187,502,706,1585,505,1753,1037,788,67,124,58,716,132,131,155,229,69,356,232,160,19,26,27,124,21,22,17,51,13,98,71,52,3,6,10,27,5,4,6,11,1,3725,1502,981,115,320,86,2223,500,212,328,945,238,1531,493,298,20,153,22,1038,261,74,126,464,113,1729,746,510,55,133,48,983,222,104,165,416,76,334,213,144,32,26,11,121,16,30,26,34,15,79,44,28,5,6,5,35,0,2,8,9,16,52,6,1,3,2,0,46,1,2,3,22,18,45360,30089,22572,2509,3931,1077,15271,2950,2368,3469,4250,2234,12142,6735,4582,292,1622,239,5407,879,625,1181,1726,996,21800,14282,11004,1076,1734,468,7518,1635,1159,1744,2009,971,9299,7418,5768,909,467,274,1881,340,446,456,424,215,1567,1209,893,167,84,65,358,76,104,64,74,40,552,445,325,65,24,31,107,20,34,24,17,12
