GeographyCode,DC2108NI0001,DC2108NI0002,DC2108NI0003,DC2108NI0004,DC2108NI0005,DC2108NI0006,DC2108NI0007,DC2108NI0008,DC2108NI0009,DC2108NI0010,DC2108NI0011,DC2108NI0012,DC2108NI0013,DC2108NI0014,DC2108NI0015,DC2108NI0016,DC2108NI0017,DC2108NI0018,DC2108NI0019,DC2108NI0020,DC2108NI0021,DC2108NI0022,DC2108NI0023,DC2108NI0024,DC2108NI0025,DC2108NI0026,DC2108NI0027,DC2108NI0028,DC2108NI0029,DC2108NI0030,DC2108NI0031,DC2108NI0032,DC2108NI0033,DC2108NI0034,DC2108NI0035,DC2108NI0036,DC2108NI0037,DC2108NI0038,DC2108NI0039,DC2108NI0040,DC2108NI0041,DC2108NI0042,DC2108NI0043,DC2108NI0044,DC2108NI0045,DC2108NI0046,DC2108NI0047,DC2108NI0048,DC2108NI0049,DC2108NI0050,DC2108NI0051,DC2108NI0052,DC2108NI0053,DC2108NI0054,DC2108NI0055,DC2108NI0056,DC2108NI0057,DC2108NI0058,DC2108NI0059,DC2108NI0060,DC2108NI0061,DC2108NI0062,DC2108NI0063,DC2108NI0064,DC2108NI0065,DC2108NI0066,DC2108NI0067,DC2108NI0068,DC2108NI0069,DC2108NI0070,DC2108NI0071,DC2108NI0072,DC2108NI0073,DC2108NI0074,DC2108NI0075,DC2108NI0076,DC2108NI0077,DC2108NI0078,DC2108NI0079,DC2108NI0080,DC2108NI0081,DC2108NI0082,DC2108NI0083,DC2108NI0084,DC2108NI0085,DC2108NI0086,DC2108NI0087,DC2108NI0088,DC2108NI0089,DC2108NI0090
95AA01S1,626,128,325,55,16,4,25,3,70,550,93,296,53,15,1,23,3,66,532,84,292,52,15,1,21,1,66,18,9,4,1,0,0,2,2,0,76,35,29,2,1,3,2,0,4,50,25,18,1,1,3,1,0,1,9,2,5,0,0,0,0,0,2,7,4,3,0,0,0,0,0,0,8,2,3,1,0,0,1,0,1,2,2,0,0,0,0,0,0,0
95AA01S2,1378,1233,65,13,2,21,4,12,28,896,785,50,10,2,20,4,7,18,826,732,41,6,2,18,3,7,17,70,53,9,4,0,2,1,0,1,482,448,15,3,0,1,0,5,10,344,323,13,1,0,0,0,2,5,13,9,1,0,0,0,0,3,0,33,31,0,0,0,0,0,0,2,29,27,0,0,0,0,0,0,2,63,58,1,2,0,1,0,0,1
95AA01S3,1190,1026,60,13,2,16,6,41,26,722,618,41,9,1,13,5,16,19,644,558,39,7,1,10,4,10,15,78,60,2,2,0,3,1,6,4,468,408,19,4,1,3,1,25,7,313,275,12,1,0,1,1,18,5,9,4,0,0,0,0,0,4,1,41,35,5,1,0,0,0,0,0,44,37,1,1,1,0,0,3,1,61,57,1,1,0,2,0,0,0
95AA02W1,1468,1254,82,21,4,23,9,48,27,738,616,48,12,2,9,7,30,14,606,515,42,10,2,8,6,14,9,132,101,6,2,0,1,1,16,5,730,638,34,9,2,14,2,18,13,416,366,16,3,1,4,1,17,8,15,14,0,0,0,0,0,1,0,58,50,5,1,0,0,1,0,1,91,79,7,0,0,3,0,0,2,150,129,6,5,1,7,0,0,2
95AA03W1,1436,1265,58,18,4,21,12,27,31,668,578,26,9,4,11,5,14,21,548,473,23,8,4,8,4,10,18,120,105,3,1,0,3,1,4,3,768,687,32,9,0,10,7,13,10,434,383,20,4,0,5,6,10,6,11,10,0,0,0,0,0,1,0,79,70,4,1,0,1,1,0,2,120,111,5,1,0,0,0,1,2,124,113,3,3,0,4,0,1,0
95AA04W1,2364,2166,102,11,3,38,2,5,37,1484,1341,77,8,2,27,1,4,24,1372,1253,65,8,1,22,1,2,20,112,88,12,0,1,5,0,2,4,880,825,25,3,1,11,1,1,13,651,611,18,2,1,7,1,1,10,20,18,0,0,0,1,0,0,1,58,54,3,0,0,1,0,0,0,56,51,2,0,0,1,0,0,2,95,91,2,1,0,1,0,0,0
95AA05W1,2036,1844,69,13,5,27,6,33,39,1238,1101,51,9,2,23,5,23,24,1140,1026,41,9,2,20,4,14,24,98,75,10,0,0,3,1,9,0,798,743,18,4,3,4,1,10,15,589,555,8,0,3,0,1,9,13,12,7,3,0,0,0,0,1,1,42,41,1,0,0,0,0,0,0,56,51,4,0,0,0,0,0,1,99,89,2,4,0,4,0,0,0
95AA06S1,1437,1295,67,10,5,25,6,3,26,802,713,41,5,4,16,3,1,19,712,640,35,3,3,15,2,0,14,90,73,6,2,1,1,1,1,5,635,582,26,5,1,9,3,2,7,416,383,18,1,0,3,2,2,7,14,14,0,0,0,0,0,0,0,68,66,1,0,0,0,1,0,0,44,37,4,2,0,1,0,0,0,93,82,3,2,1,5,0,0,0
95AA06S2,1866,1708,71,10,4,28,9,15,21,1080,981,43,5,4,20,4,6,17,974,885,39,4,4,17,3,5,17,106,96,4,1,0,3,1,1,0,786,727,28,5,0,8,5,9,4,570,536,16,3,0,5,2,5,3,13,11,0,0,0,0,0,2,0,75,64,6,1,0,1,2,0,1,55,48,3,1,0,0,1,2,0,73,68,3,0,0,2,0,0,0
95AA07W1,1693,1531,69,17,1,15,11,31,18,1020,910,50,11,0,13,7,17,12,908,826,40,6,0,13,5,7,11,112,84,10,5,0,0,2,10,1,673,621,19,6,1,2,4,14,6,446,418,10,2,1,1,4,7,3,17,15,0,0,0,0,0,1,1,49,42,4,3,0,0,0,0,0,74,62,5,0,0,1,0,6,0,87,84,0,1,0,0,0,0,2
