ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2251NI0001,Count,PERSONS,"All categories: Passport (Classification 2), All categories: Religion"
DC2251NI0002,Count,PERSONS,"All categories: Passport (Classification 2), Catholic"
DC2251NI0003,Count,PERSONS,"All categories: Passport (Classification 2), Protestant and other Christian: Total"
DC2251NI0004,Count,PERSONS,"All categories: Passport (Classification 2), Protestant and other Christian: Presbyterian Church in Ireland"
DC2251NI0005,Count,PERSONS,"All categories: Passport (Classification 2), Protestant and other Christian: Church of Ireland"
DC2251NI0006,Count,PERSONS,"All categories: Passport (Classification 2), Protestant and other Christian: Methodist Church in Ireland"
DC2251NI0007,Count,PERSONS,"All categories: Passport (Classification 2), Protestant and other Christian: Other Christian (including Christian related)"
DC2251NI0008,Count,PERSONS,"All categories: Passport (Classification 2), Other religions "
DC2251NI0009,Count,PERSONS,"All categories: Passport (Classification 2), No religion"
DC2251NI0010,Count,PERSONS,"All categories: Passport (Classification 2), Not stated"
DC2251NI0011,Count,PERSONS,"No passport, All categories: Religion"
DC2251NI0012,Count,PERSONS,"No passport, Catholic"
DC2251NI0013,Count,PERSONS,"No passport, Protestant and other Christian: Total"
DC2251NI0014,Count,PERSONS,"No passport, Protestant and other Christian: Presbyterian Church in Ireland"
DC2251NI0015,Count,PERSONS,"No passport, Protestant and other Christian: Church of Ireland"
DC2251NI0016,Count,PERSONS,"No passport, Protestant and other Christian: Methodist Church in Ireland"
DC2251NI0017,Count,PERSONS,"No passport, Protestant and other Christian: Other Christian (including Christian related)"
DC2251NI0018,Count,PERSONS,"No passport, Other religions "
DC2251NI0019,Count,PERSONS,"No passport, No religion"
DC2251NI0020,Count,PERSONS,"No passport, Not stated"
DC2251NI0021,Count,PERSONS,"United Kingdom only, All categories: Religion"
DC2251NI0022,Count,PERSONS,"United Kingdom only, Catholic"
DC2251NI0023,Count,PERSONS,"United Kingdom only, Protestant and other Christian: Total"
DC2251NI0024,Count,PERSONS,"United Kingdom only, Protestant and other Christian: Presbyterian Church in Ireland"
DC2251NI0025,Count,PERSONS,"United Kingdom only, Protestant and other Christian: Church of Ireland"
DC2251NI0026,Count,PERSONS,"United Kingdom only, Protestant and other Christian: Methodist Church in Ireland"
DC2251NI0027,Count,PERSONS,"United Kingdom only, Protestant and other Christian: Other Christian (including Christian related)"
DC2251NI0028,Count,PERSONS,"United Kingdom only, Other religions "
