GeographyCode,DC2418NI0001,DC2418NI0002,DC2418NI0003,DC2418NI0004,DC2418NI0005,DC2418NI0006,DC2418NI0007,DC2418NI0008,DC2418NI0009,DC2418NI0010,DC2418NI0011,DC2418NI0012,DC2418NI0013,DC2418NI0014,DC2418NI0015,DC2418NI0016,DC2418NI0017,DC2418NI0018,DC2418NI0019,DC2418NI0020,DC2418NI0021,DC2418NI0022,DC2418NI0023,DC2418NI0024,DC2418NI0025,DC2418NI0026,DC2418NI0027,DC2418NI0028,DC2418NI0029,DC2418NI0030,DC2418NI0031,DC2418NI0032,DC2418NI0033,DC2418NI0034,DC2418NI0035,DC2418NI0036,DC2418NI0037,DC2418NI0038,DC2418NI0039,DC2418NI0040,DC2418NI0041,DC2418NI0042,DC2418NI0043,DC2418NI0044,DC2418NI0045,DC2418NI0046,DC2418NI0047,DC2418NI0048,DC2418NI0049,DC2418NI0050,DC2418NI0051,DC2418NI0052,DC2418NI0053,DC2418NI0054,DC2418NI0055,DC2418NI0056,DC2418NI0057,DC2418NI0058,DC2418NI0059,DC2418NI0060,DC2418NI0061,DC2418NI0062,DC2418NI0063,DC2418NI0064,DC2418NI0065,DC2418NI0066,DC2418NI0067,DC2418NI0068,DC2418NI0069,DC2418NI0070,DC2418NI0071,DC2418NI0072,DC2418NI0073,DC2418NI0074,DC2418NI0075,DC2418NI0076,DC2418NI0077,DC2418NI0078,DC2418NI0079,DC2418NI0080,DC2418NI0081,DC2418NI0082,DC2418NI0083,DC2418NI0084,DC2418NI0085,DC2418NI0086,DC2418NI0087,DC2418NI0088,DC2418NI0089,DC2418NI0090,DC2418NI0091,DC2418NI0092,DC2418NI0093,DC2418NI0094,DC2418NI0095,DC2418NI0096,DC2418NI0097,DC2418NI0098,DC2418NI0099,DC2418NI0100,DC2418NI0101,DC2418NI0102,DC2418NI0103,DC2418NI0104,DC2418NI0105,DC2418NI0106,DC2418NI0107,DC2418NI0108,DC2418NI0109,DC2418NI0110,DC2418NI0111,DC2418NI0112,DC2418NI0113,DC2418NI0114,DC2418NI0115,DC2418NI0116,DC2418NI0117,DC2418NI0118,DC2418NI0119,DC2418NI0120,DC2418NI0121,DC2418NI0122,DC2418NI0123,DC2418NI0124,DC2418NI0125,DC2418NI0126,DC2418NI0127,DC2418NI0128,DC2418NI0129,DC2418NI0130,DC2418NI0131,DC2418NI0132,DC2418NI0133,DC2418NI0134,DC2418NI0135,DC2418NI0136,DC2418NI0137,DC2418NI0138,DC2418NI0139,DC2418NI0140
95AA01S1,310,46,137,19,16,3,99,8,117,2,26,6,9,5,2,0,2,2,9,0,5,0,3,2,0,0,1,2,0,0,21,6,6,3,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0,2,1,5,0,2,1,0,0,0,0,0,0,1,0,7,0,2,0,0,0,2,1,4,0,270,39,123,13,13,3,94,5,101,2,24,6,7,3,0,0,4,0,10,1,186,27,88,6,9,2,71,4,66,1,1,0,1,1,0,0,0,0,0,0,59,6,27,3,4,1,19,1,25,0,5,0,3,1,1,0,1,0,2,0
95AA01S2,624,277,248,116,91,18,23,4,63,32,540,241,215,97,83,13,22,4,55,25,230,67,129,52,57,9,11,1,21,12,310,174,86,45,26,4,11,3,34,13,0,0,0,0,0,0,0,0,0,0,12,7,4,2,2,0,0,0,0,1,11,6,4,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,58,25,22,12,6,3,1,0,8,3,45,20,16,10,3,2,1,0,6,3,4,1,3,0,2,1,0,0,0,0,7,2,3,2,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,14,4,7,5,0,2,0,0,0,3
95AA01S3,588,103,353,230,69,11,43,5,83,44,468,72,292,194,55,8,35,3,64,37,215,20,161,113,29,4,15,1,17,16,253,52,131,81,26,4,20,2,47,21,1,0,1,1,0,0,0,0,0,0,4,0,4,3,1,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,99,30,45,26,9,3,7,2,17,5,85,28,35,16,9,3,7,2,16,4,4,2,1,1,0,0,0,0,1,0,7,0,6,6,0,0,0,0,0,1,3,0,3,3,0,0,0,0,0,0,16,1,11,6,4,0,1,0,2,2
95AA02W1,839,223,451,249,160,12,30,3,86,76,498,133,283,162,99,7,15,1,45,36,253,67,149,89,53,2,5,0,18,19,245,66,134,73,46,5,10,1,27,17,5,1,3,0,3,0,0,0,1,0,148,35,84,46,32,1,5,0,10,19,141,33,82,46,30,1,5,0,9,17,7,2,2,0,2,0,0,0,1,2,162,48,65,32,23,4,6,2,28,19,148,44,57,29,19,4,5,2,26,19,0,0,0,0,0,0,0,0,0,0,12,3,7,2,4,0,1,0,2,0,2,1,1,1,0,0,0,0,0,0,26,6,16,9,3,0,4,0,2,2
95AA03W1,845,60,587,341,162,26,58,8,123,67,469,28,335,195,94,17,29,4,68,34,206,6,157,97,40,7,13,1,22,20,263,22,178,98,54,10,16,3,46,14,7,2,1,1,0,0,0,0,2,2,233,8,174,98,51,7,18,1,29,21,226,7,168,95,49,7,17,1,29,21,7,1,6,3,2,0,1,0,0,0,121,21,66,40,15,2,9,3,24,7,112,21,61,35,15,2,9,2,21,7,3,0,0,0,0,0,0,1,2,0,6,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,1,11,7,2,0,2,0,0,3
95AA04W1,1014,232,614,424,106,23,61,7,111,50,919,211,561,387,96,20,58,6,99,42,480,70,337,247,49,8,33,2,45,26,439,141,224,140,47,12,25,4,54,16,5,3,1,1,0,0,0,0,0,1,5,1,2,1,0,0,1,1,1,0,5,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,61,15,32,22,7,2,1,0,10,4,53,14,25,15,7,2,1,0,10,4,0,0,0,0,0,0,0,0,0,0,8,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,18,13,3,1,1,0,1,3
95AA05W1,920,495,300,185,69,3,43,4,56,65,727,405,240,151,53,2,34,3,37,42,357,178,142,89,35,2,16,1,8,28,370,227,98,62,18,0,18,2,29,14,3,2,1,1,0,0,0,0,0,0,68,35,15,9,4,0,2,0,7,11,68,35,15,9,4,0,2,0,7,11,0,0,0,0,0,0,0,0,0,0,98,43,32,17,9,1,5,0,11,12,83,41,25,14,6,1,4,0,10,7,1,0,0,0,0,0,0,0,0,1,10,2,6,2,3,0,1,0,0,2,4,0,1,1,0,0,0,0,1,2,24,10,12,7,3,0,2,1,1,0
95AA06S1,710,501,119,41,58,3,17,3,44,43,542,396,85,29,46,1,9,2,28,31,180,116,47,17,24,1,5,1,5,11,362,280,38,12,22,0,4,1,23,20,10,5,0,0,0,0,0,0,3,2,74,42,23,10,8,1,4,0,5,4,38,25,8,3,4,0,1,0,2,3,36,17,15,7,4,1,3,0,3,1,71,47,9,1,3,1,4,1,8,6,54,37,7,1,3,1,2,0,5,5,4,1,1,0,0,0,1,0,2,0,11,8,0,0,0,0,0,1,1,1,2,1,1,0,0,0,1,0,0,0,13,11,2,1,1,0,0,0,0,0
95AA06S2,860,589,155,71,68,2,14,0,50,66,670,475,117,51,55,1,10,0,34,44,157,77,55,22,29,0,4,0,9,16,513,398,62,29,26,1,6,0,25,28,9,5,1,0,1,0,0,0,1,2,85,47,19,10,7,0,2,0,7,12,58,30,15,8,5,0,2,0,4,9,27,17,4,2,2,0,0,0,3,3,78,55,9,3,3,1,2,0,8,6,61,44,4,0,2,0,2,0,8,5,1,1,0,0,0,0,0,0,0,0,11,7,3,1,1,1,0,0,0,1,5,3,2,2,0,0,0,0,0,0,18,7,9,7,2,0,0,0,0,2
95AA07W1,820,96,608,405,124,4,75,5,61,50,617,57,476,321,92,3,60,3,42,39,344,20,278,198,46,1,33,1,18,27,273,37,198,123,46,2,27,2,24,12,1,0,1,1,0,0,0,0,0,0,70,10,48,31,10,1,6,1,8,3,69,10,48,31,10,1,6,1,8,2,1,0,0,0,0,0,0,0,0,1,110,26,66,42,17,0,7,0,10,8,95,24,53,33,15,0,5,0,10,8,2,0,2,1,1,0,0,0,0,0,11,2,9,7,0,0,2,0,0,0,2,0,2,1,1,0,0,0,0,0,22,3,17,10,5,0,2,1,1,0
