GeographyCode,DC2612NI0001,DC2612NI0002,DC2612NI0003,DC2612NI0004,DC2612NI0005,DC2612NI0006,DC2612NI0007,DC2612NI0008,DC2612NI0009,DC2612NI0010,DC2612NI0011,DC2612NI0012,DC2612NI0013,DC2612NI0014,DC2612NI0015,DC2612NI0016,DC2612NI0017,DC2612NI0018,DC2612NI0019,DC2612NI0020,DC2612NI0021,DC2612NI0022,DC2612NI0023,DC2612NI0024,DC2612NI0025,DC2612NI0026,DC2612NI0027,DC2612NI0028,DC2612NI0029,DC2612NI0030,DC2612NI0031,DC2612NI0032,DC2612NI0033,DC2612NI0034,DC2612NI0035,DC2612NI0036,DC2612NI0037,DC2612NI0038,DC2612NI0039,DC2612NI0040,DC2612NI0041,DC2612NI0042,DC2612NI0043,DC2612NI0044,DC2612NI0045,DC2612NI0046,DC2612NI0047,DC2612NI0048,DC2612NI0049,DC2612NI0050,DC2612NI0051,DC2612NI0052,DC2612NI0053,DC2612NI0054,DC2612NI0055,DC2612NI0056,DC2612NI0057,DC2612NI0058,DC2612NI0059,DC2612NI0060,DC2612NI0061,DC2612NI0062,DC2612NI0063,DC2612NI0064,DC2612NI0065,DC2612NI0066,DC2612NI0067,DC2612NI0068,DC2612NI0069,DC2612NI0070,DC2612NI0071,DC2612NI0072,DC2612NI0073,DC2612NI0074,DC2612NI0075,DC2612NI0076,DC2612NI0077,DC2612NI0078,DC2612NI0079,DC2612NI0080,DC2612NI0081,DC2612NI0082,DC2612NI0083,DC2612NI0084,DC2612NI0085,DC2612NI0086,DC2612NI0087,DC2612NI0088,DC2612NI0089,DC2612NI0090,DC2612NI0091,DC2612NI0092,DC2612NI0093,DC2612NI0094,DC2612NI0095,DC2612NI0096,DC2612NI0097,DC2612NI0098,DC2612NI0099,DC2612NI0100,DC2612NI0101,DC2612NI0102,DC2612NI0103,DC2612NI0104,DC2612NI0105,DC2612NI0106,DC2612NI0107,DC2612NI0108,DC2612NI0109,DC2612NI0110,DC2612NI0111,DC2612NI0112,DC2612NI0113,DC2612NI0114,DC2612NI0115,DC2612NI0116,DC2612NI0117,DC2612NI0118,DC2612NI0119,DC2612NI0120,DC2612NI0121,DC2612NI0122,DC2612NI0123,DC2612NI0124,DC2612NI0125,DC2612NI0126,DC2612NI0127,DC2612NI0128,DC2612NI0129,DC2612NI0130,DC2612NI0131,DC2612NI0132,DC2612NI0133,DC2612NI0134,DC2612NI0135,DC2612NI0136,DC2612NI0137,DC2612NI0138,DC2612NI0139,DC2612NI0140,DC2612NI0141,DC2612NI0142,DC2612NI0143,DC2612NI0144,DC2612NI0145,DC2612NI0146,DC2612NI0147,DC2612NI0148,DC2612NI0149,DC2612NI0150,DC2612NI0151,DC2612NI0152,DC2612NI0153,DC2612NI0154,DC2612NI0155,DC2612NI0156,DC2612NI0157,DC2612NI0158,DC2612NI0159,DC2612NI0160,DC2612NI0161,DC2612NI0162,DC2612NI0163,DC2612NI0164,DC2612NI0165,DC2612NI0166,DC2612NI0167,DC2612NI0168,DC2612NI0169,DC2612NI0170,DC2612NI0171,DC2612NI0172,DC2612NI0173,DC2612NI0174,DC2612NI0175,DC2612NI0176,DC2612NI0177,DC2612NI0178,DC2612NI0179,DC2612NI0180,DC2612NI0181,DC2612NI0182,DC2612NI0183,DC2612NI0184,DC2612NI0185,DC2612NI0186,DC2612NI0187,DC2612NI0188,DC2612NI0189,DC2612NI0190,DC2612NI0191,DC2612NI0192,DC2612NI0193,DC2612NI0194,DC2612NI0195,DC2612NI0196
95AA01S1,754,729,0,2,1,0,0,0,0,0,1,0,0,21,625,603,0,2,1,0,0,0,0,0,1,0,0,18,80,80,0,0,0,0,0,0,0,0,0,0,0,0,483,468,0,0,1,0,0,0,0,0,1,0,0,13,12,11,0,0,0,0,0,0,0,0,0,0,0,1,9,7,0,0,0,0,0,0,0,0,0,0,0,2,34,30,0,2,0,0,0,0,0,0,0,0,0,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,129,126,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0,0,1,84,83,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,0,0,0,0,1
95AA01S2,1313,1295,9,2,2,0,0,0,0,0,0,0,0,5,987,973,8,2,2,0,0,0,0,0,0,0,0,2,173,169,2,1,0,0,0,0,0,0,0,0,0,1,528,519,5,1,2,0,0,0,0,0,0,0,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,149,149,0,0,0,0,0,0,0,0,0,0,0,0,34,33,1,0,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,326,322,1,0,0,0,0,0,0,0,0,0,0,3,140,140,0,0,0,0,0,0,0,0,0,0,0,0,63,62,0,0,0,0,0,0,0,0,0,0,0,1,37,36,0,0,0,0,0,0,0,0,0,0,0,1,63,62,0,0,0,0,0,0,0,0,0,0,0,1,23,22,1,0,0,0,0,0,0,0,0,0,0,0
95AA01S3,1110,1064,15,4,0,1,2,0,0,0,1,0,10,13,861,816,15,4,0,1,2,0,0,0,1,0,10,12,130,128,0,0,0,1,0,0,0,0,0,0,0,1,507,470,15,1,0,0,2,0,0,0,1,0,10,8,36,36,0,0,0,0,0,0,0,0,0,0,0,0,112,111,0,0,0,0,0,0,0,0,0,0,0,1,39,35,0,2,0,0,0,0,0,0,0,0,0,2,37,36,0,1,0,0,0,0,0,0,0,0,0,0,249,248,0,0,0,0,0,0,0,0,0,0,0,1,132,132,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,36,35,0,0,0,0,0,0,0,0,0,0,0,1,28,28,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
95AA02W1,1319,1262,23,3,0,0,12,2,1,0,0,0,5,11,892,842,21,3,0,0,10,1,1,0,0,0,4,10,189,181,3,0,0,0,1,0,0,0,0,0,1,3,543,504,17,2,0,0,9,1,1,0,0,0,3,6,17,17,0,0,0,0,0,0,0,0,0,0,0,0,46,44,1,0,0,0,0,0,0,0,0,0,0,1,57,56,0,1,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,427,420,2,0,0,0,2,1,0,0,0,0,1,1,232,232,0,0,0,0,0,0,0,0,0,0,0,0,32,30,0,0,0,0,1,1,0,0,0,0,0,0,37,34,1,0,0,0,0,0,0,0,0,0,1,1,99,98,0,0,0,0,1,0,0,0,0,0,0,0,27,26,1,0,0,0,0,0,0,0,0,0,0,0
95AA03W1,1317,1283,16,2,0,0,2,0,2,0,0,0,3,9,840,812,15,1,0,0,0,0,1,0,0,0,3,8,204,198,4,1,0,0,0,0,0,0,0,0,1,0,502,482,11,0,0,0,0,0,1,0,0,0,2,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,41,40,0,0,0,0,0,0,0,0,0,0,0,1,57,56,0,0,0,0,0,0,0,0,0,0,0,1,29,29,0,0,0,0,0,0,0,0,0,0,0,0,477,471,1,1,0,0,2,0,1,0,0,0,0,1,204,204,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,69,67,0,0,0,0,0,0,1,0,0,0,0,1,103,103,0,0,0,0,0,0,0,0,0,0,0,0,59,55,1,1,0,0,2,0,0,0,0,0,0,0
95AA04W1,2227,2215,0,0,0,0,4,1,0,0,2,0,0,5,1660,1652,0,0,0,0,4,1,0,0,0,0,0,3,318,316,0,0,0,0,0,1,0,0,0,0,0,1,800,795,0,0,0,0,4,0,0,0,0,0,0,1,69,69,0,0,0,0,0,0,0,0,0,0,0,0,295,294,0,0,0,0,0,0,0,0,0,0,0,1,72,72,0,0,0,0,0,0,0,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,0,0,0,567,563,0,0,0,0,0,0,0,0,2,0,0,2,244,244,0,0,0,0,0,0,0,0,0,0,0,0,125,124,0,0,0,0,0,0,0,0,0,0,0,1,77,76,0,0,0,0,0,0,0,0,0,0,0,1,75,75,0,0,0,0,0,0,0,0,0,0,0,0,46,44,0,0,0,0,0,0,0,0,2,0,0,0
95AA05W1,1924,1884,2,10,5,2,2,0,3,0,2,0,0,14,1362,1332,2,7,3,2,2,0,3,0,2,0,0,9,228,220,0,2,1,1,0,0,0,0,1,0,0,3,758,740,2,2,1,1,2,0,3,0,1,0,0,6,34,34,0,0,0,0,0,0,0,0,0,0,0,0,195,194,0,1,0,0,0,0,0,0,0,0,0,0,77,74,0,2,1,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,562,552,0,3,2,0,0,0,0,0,0,0,0,5,242,242,0,0,0,0,0,0,0,0,0,0,0,0,99,95,0,0,2,0,0,0,0,0,0,0,0,2,69,69,0,0,0,0,0,0,0,0,0,0,0,0,98,95,0,0,0,0,0,0,0,0,0,0,0,3,54,51,0,3,0,0,0,0,0,0,0,0,0,0
95AA06S1,1322,1300,2,0,10,0,0,0,3,0,0,3,0,4,968,951,1,0,8,0,0,0,2,0,0,3,0,3,221,218,0,0,1,0,0,0,0,0,0,1,0,1,507,496,0,0,5,0,0,0,2,0,0,2,0,2,26,25,0,0,1,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,59,58,1,0,0,0,0,0,0,0,0,0,0,0,76,75,0,0,1,0,0,0,0,0,0,0,0,0,354,349,1,0,2,0,0,0,1,0,0,0,0,1,139,138,0,0,1,0,0,0,0,0,0,0,0,0,74,71,1,0,1,0,0,0,1,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,68,67,0,0,0,0,0,0,0,0,0,0,0,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0
95AA06S2,1811,1775,11,0,15,1,2,0,2,0,1,0,1,3,1290,1260,11,0,10,1,2,0,2,0,1,0,1,2,282,276,2,0,2,0,1,0,1,0,0,0,0,0,724,705,8,0,5,0,1,0,1,0,1,0,1,2,36,35,0,0,1,0,0,0,0,0,0,0,0,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0,67,65,1,0,0,1,0,0,0,0,0,0,0,0,87,85,0,0,2,0,0,0,0,0,0,0,0,0,521,515,0,0,5,0,0,0,0,0,0,0,0,1,137,136,0,0,1,0,0,0,0,0,0,0,0,0,123,122,0,0,1,0,0,0,0,0,0,0,0,0,86,85,0,0,0,0,0,0,0,0,0,0,0,1,138,135,0,0,3,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0
95AA07W1,1592,1558,6,16,0,0,5,0,0,0,0,0,0,7,1112,1086,5,13,0,0,4,0,0,0,0,0,0,4,206,203,0,1,0,0,1,0,0,0,0,0,0,1,591,573,4,10,0,0,3,0,0,0,0,0,0,1,35,35,0,0,0,0,0,0,0,0,0,0,0,0,181,181,0,0,0,0,0,0,0,0,0,0,0,0,56,51,1,2,0,0,0,0,0,0,0,0,0,2,43,43,0,0,0,0,0,0,0,0,0,0,0,0,480,472,1,3,0,0,1,0,0,0,0,0,0,3,215,214,0,0,0,0,0,0,0,0,0,0,0,1,64,63,1,0,0,0,0,0,0,0,0,0,0,0,48,46,0,1,0,0,1,0,0,0,0,0,0,0,117,115,0,0,0,0,0,0,0,0,0,0,0,2,36,34,0,2,0,0,0,0,0,0,0,0,0,0
