GeographyCode,DC4403NI0001,DC4403NI0002,DC4403NI0003,DC4403NI0004,DC4403NI0005,DC4403NI0006,DC4403NI0007,DC4403NI0008,DC4403NI0009,DC4403NI0010,DC4403NI0011,DC4403NI0012,DC4403NI0013,DC4403NI0014,DC4403NI0015,DC4403NI0016,DC4403NI0017,DC4403NI0018,DC4403NI0019,DC4403NI0020,DC4403NI0021,DC4403NI0022,DC4403NI0023,DC4403NI0024,DC4403NI0025,DC4403NI0026,DC4403NI0027,DC4403NI0028,DC4403NI0029,DC4403NI0030,DC4403NI0031,DC4403NI0032,DC4403NI0033,DC4403NI0034,DC4403NI0035,DC4403NI0036,DC4403NI0037,DC4403NI0038,DC4403NI0039,DC4403NI0040,DC4403NI0041,DC4403NI0042,DC4403NI0043,DC4403NI0044,DC4403NI0045,DC4403NI0046,DC4403NI0047,DC4403NI0048,DC4403NI0049,DC4403NI0050,DC4403NI0051,DC4403NI0052,DC4403NI0053,DC4403NI0054,DC4403NI0055,DC4403NI0056,DC4403NI0057,DC4403NI0058,DC4403NI0059,DC4403NI0060,DC4403NI0061,DC4403NI0062,DC4403NI0063,DC4403NI0064,DC4403NI0065,DC4403NI0066,DC4403NI0067,DC4403NI0068,DC4403NI0069,DC4403NI0070,DC4403NI0071,DC4403NI0072,DC4403NI0073,DC4403NI0074,DC4403NI0075,DC4403NI0076,DC4403NI0077,DC4403NI0078,DC4403NI0079,DC4403NI0080,DC4403NI0081,DC4403NI0082,DC4403NI0083,DC4403NI0084,DC4403NI0085,DC4403NI0086,DC4403NI0087,DC4403NI0088,DC4403NI0089,DC4403NI0090,DC4403NI0091,DC4403NI0092,DC4403NI0093,DC4403NI0094,DC4403NI0095,DC4403NI0096,DC4403NI0097,DC4403NI0098,DC4403NI0099,DC4403NI0100,DC4403NI0101,DC4403NI0102,DC4403NI0103,DC4403NI0104,DC4403NI0105,DC4403NI0106,DC4403NI0107,DC4403NI0108,DC4403NI0109,DC4403NI0110,DC4403NI0111,DC4403NI0112,DC4403NI0113,DC4403NI0114,DC4403NI0115,DC4403NI0116,DC4403NI0117,DC4403NI0118,DC4403NI0119,DC4403NI0120,DC4403NI0121,DC4403NI0122,DC4403NI0123,DC4403NI0124,DC4403NI0125,DC4403NI0126,DC4403NI0127,DC4403NI0128,DC4403NI0129,DC4403NI0130,DC4403NI0131,DC4403NI0132
95AA01S1,982,14,79,0,8,18,66,601,3,187,6,982,14,79,0,8,18,66,601,3,187,6,973,14,76,0,8,18,62,599,3,187,6,247,8,54,0,0,4,14,118,0,49,0,675,5,10,0,3,14,36,466,3,135,3,51,1,12,0,5,0,12,15,0,3,3,9,0,3,0,0,0,4,2,0,0,0,9,0,3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA01S2,1814,542,1081,0,15,7,105,12,16,8,28,1814,542,1081,0,15,7,105,12,16,8,28,1766,537,1052,0,9,7,99,12,15,8,27,1472,470,912,0,6,0,45,9,9,8,13,163,39,68,0,2,7,38,3,0,0,6,131,28,72,0,1,0,16,0,6,0,8,40,2,26,0,4,0,6,0,1,0,1,38,2,26,0,4,0,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA01S3,1494,514,717,1,5,3,180,16,16,6,36,1494,514,717,1,5,3,180,16,16,6,36,1416,500,700,1,4,3,138,16,16,4,34,848,397,364,0,0,0,48,6,7,0,26,274,53,144,1,4,3,46,10,4,3,6,294,50,192,0,0,0,44,0,5,1,2,76,14,17,0,1,0,42,0,0,2,0,69,14,17,0,1,0,37,0,0,0,0,7,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
95AA02W1,1734,481,667,8,223,8,290,0,19,2,36,1734,481,667,8,223,8,290,0,19,2,36,1474,452,634,7,127,7,201,0,14,0,32,209,64,111,0,4,0,22,0,0,0,8,211,43,98,2,20,3,37,0,4,0,4,1054,345,425,5,103,4,142,0,10,0,20,260,29,33,1,96,1,89,0,5,2,4,256,28,33,1,96,1,86,0,5,2,4,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA03W1,1822,396,719,17,408,11,225,11,16,0,19,1822,396,719,17,408,11,225,11,16,0,19,1776,395,714,17,389,10,205,11,16,0,19,205,39,116,0,27,0,19,0,1,0,3,356,87,136,1,64,9,53,3,0,0,3,1215,269,462,16,298,1,133,8,15,0,13,46,1,5,0,19,1,20,0,0,0,0,40,1,1,0,18,1,19,0,0,0,0,6,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA04W1,3002,1233,1550,8,13,0,126,0,22,0,50,3002,1233,1550,8,13,0,126,0,22,0,50,2948,1202,1538,5,11,0,122,0,22,0,48,2583,1090,1363,1,0,0,66,0,17,0,46,233,69,118,1,1,0,42,0,0,0,2,132,43,57,3,10,0,14,0,5,0,0,16,3,4,3,2,0,2,0,0,0,2,16,3,4,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,28,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA05W1,2654,912,1308,9,132,0,200,8,29,14,42,2654,912,1308,9,132,0,200,8,29,14,42,2620,907,1301,9,126,0,184,8,29,14,42,1622,669,811,1,8,0,81,0,15,4,33,863,219,448,8,65,0,93,0,14,10,6,135,19,42,0,53,0,10,8,0,0,3,29,0,7,0,6,0,16,0,0,0,0,19,0,3,0,6,0,10,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA06S1,1953,371,1224,18,75,46,154,12,34,2,17,1953,371,1224,18,75,46,154,12,34,2,17,1870,367,1206,13,69,22,145,5,33,0,10,858,199,604,0,0,9,40,0,0,0,6,736,121,463,10,32,8,64,5,29,0,4,276,47,139,3,37,5,41,0,4,0,0,83,4,18,5,6,24,9,7,1,2,7,76,4,17,3,6,24,5,7,1,2,7,2,0,1,0,0,0,1,0,0,0,0,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA06S2,2651,309,1881,22,117,91,153,5,28,19,26,2651,309,1881,22,117,91,153,5,28,19,26,2586,305,1875,22,98,71,142,5,25,18,25,1259,149,1028,4,11,3,48,0,9,6,1,864,106,623,15,28,4,59,5,4,12,8,463,50,224,3,59,64,35,0,12,0,16,65,4,6,0,19,20,11,0,3,1,1,53,2,4,0,19,20,5,0,1,1,1,2,1,0,0,0,0,1,0,0,0,0,10,1,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA07W1,2119,802,876,2,145,1,214,10,25,7,37,2119,802,876,2,145,1,214,10,25,7,37,2085,796,871,2,134,1,203,10,25,7,36,1291,580,587,0,8,0,80,4,8,0,24,292,103,81,0,58,0,30,6,2,7,5,502,113,203,2,68,1,93,0,15,0,7,29,1,5,0,11,0,11,0,0,0,1,29,1,5,0,11,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
