GeographyCode,DC4410NI0001,DC4410NI0002,DC4410NI0003,DC4410NI0004,DC4410NI0005,DC4410NI0006,DC4410NI0007,DC4410NI0008,DC4410NI0009,DC4410NI0010,DC4410NI0011,DC4410NI0012,DC4410NI0013,DC4410NI0014,DC4410NI0015,DC4410NI0016,DC4410NI0017,DC4410NI0018,DC4410NI0019,DC4410NI0020,DC4410NI0021,DC4410NI0022,DC4410NI0023,DC4410NI0024,DC4410NI0025,DC4410NI0026,DC4410NI0027,DC4410NI0028,DC4410NI0029,DC4410NI0030,DC4410NI0031,DC4410NI0032,DC4410NI0033,DC4410NI0034,DC4410NI0035,DC4410NI0036,DC4410NI0037,DC4410NI0038,DC4410NI0039,DC4410NI0040,DC4410NI0041,DC4410NI0042,DC4410NI0043,DC4410NI0044,DC4410NI0045,DC4410NI0046,DC4410NI0047,DC4410NI0048,DC4410NI0049,DC4410NI0050,DC4410NI0051,DC4410NI0052,DC4410NI0053,DC4410NI0054,DC4410NI0055,DC4410NI0056,DC4410NI0057,DC4410NI0058,DC4410NI0059,DC4410NI0060,DC4410NI0061,DC4410NI0062,DC4410NI0063,DC4410NI0064,DC4410NI0065,DC4410NI0066,DC4410NI0067,DC4410NI0068,DC4410NI0069,DC4410NI0070,DC4410NI0071,DC4410NI0072,DC4410NI0073,DC4410NI0074,DC4410NI0075,DC4410NI0076,DC4410NI0077,DC4410NI0078,DC4410NI0079,DC4410NI0080,DC4410NI0081,DC4410NI0082,DC4410NI0083,DC4410NI0084,DC4410NI0085,DC4410NI0086,DC4410NI0087,DC4410NI0088,DC4410NI0089,DC4410NI0090,DC4410NI0091,DC4410NI0092,DC4410NI0093,DC4410NI0094,DC4410NI0095,DC4410NI0096,DC4410NI0097,DC4410NI0098,DC4410NI0099,DC4410NI0100,DC4410NI0101,DC4410NI0102,DC4410NI0103,DC4410NI0104,DC4410NI0105,DC4410NI0106,DC4410NI0107,DC4410NI0108,DC4410NI0109,DC4410NI0110,DC4410NI0111,DC4410NI0112,DC4410NI0113,DC4410NI0114,DC4410NI0115,DC4410NI0116,DC4410NI0117,DC4410NI0118,DC4410NI0119,DC4410NI0120,DC4410NI0121,DC4410NI0122,DC4410NI0123,DC4410NI0124,DC4410NI0125,DC4410NI0126,DC4410NI0127,DC4410NI0128,DC4410NI0129,DC4410NI0130,DC4410NI0131,DC4410NI0132,DC4410NI0133,DC4410NI0134,DC4410NI0135,DC4410NI0136,DC4410NI0137,DC4410NI0138,DC4410NI0139,DC4410NI0140,DC4410NI0141,DC4410NI0142,DC4410NI0143,DC4410NI0144,DC4410NI0145,DC4410NI0146,DC4410NI0147,DC4410NI0148,DC4410NI0149,DC4410NI0150,DC4410NI0151,DC4410NI0152,DC4410NI0153,DC4410NI0154,DC4410NI0155,DC4410NI0156,DC4410NI0157,DC4410NI0158,DC4410NI0159,DC4410NI0160,DC4410NI0161,DC4410NI0162,DC4410NI0163,DC4410NI0164,DC4410NI0165,DC4410NI0166,DC4410NI0167,DC4410NI0168,DC4410NI0169,DC4410NI0170,DC4410NI0171,DC4410NI0172,DC4410NI0173,DC4410NI0174,DC4410NI0175,DC4410NI0176,DC4410NI0177,DC4410NI0178,DC4410NI0179,DC4410NI0180
95AA01S1,310,0,24,272,10,4,23,0,4,16,3,0,199,0,15,180,2,2,82,0,5,73,4,0,3,0,0,2,1,0,3,0,0,1,0,2,26,0,4,15,3,4,2,0,1,1,0,0,12,0,3,6,1,2,9,0,0,7,2,0,0,0,0,0,0,0,3,0,0,1,0,2,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,1,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,20,248,7,0,18,0,3,12,3,0,184,0,12,171,1,0,70,0,5,63,2,0,3,0,0,2,1,0,0,0,0,0,0,0
95AA01S2,624,0,134,336,89,65,44,0,30,7,6,1,209,0,92,88,23,6,259,0,8,210,23,18,72,0,1,26,30,15,40,0,3,5,7,25,540,0,97,302,81,60,21,0,19,2,0,0,167,0,67,74,21,5,242,0,7,196,23,16,70,0,1,25,30,14,40,0,3,5,7,25,11,0,10,1,0,0,4,0,4,0,0,0,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,27,33,8,4,18,0,7,5,6,0,35,0,19,13,2,1,17,0,1,14,0,2,2,0,0,1,0,1,0,0,0,0,0,0
95AA01S3,588,0,185,288,64,51,46,0,37,7,1,1,219,0,133,73,11,2,229,0,12,178,26,13,57,0,1,23,20,13,37,0,2,7,6,22,469,0,125,251,50,43,26,0,21,3,1,1,155,0,91,58,5,1,204,0,12,161,22,9,51,0,0,22,17,12,33,0,1,7,5,20,3,0,1,2,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,58,35,14,8,19,0,15,4,0,0,61,0,41,13,6,1,25,0,0,17,4,4,6,0,1,1,3,1,4,0,1,0,1,2
95AA02W1,839,0,395,317,97,30,287,0,200,63,17,7,392,0,185,171,32,4,128,0,10,76,33,9,25,0,0,5,15,5,7,0,0,2,0,5,503,0,180,220,79,24,108,0,74,22,9,3,256,0,99,130,24,3,111,0,7,64,31,9,21,0,0,2,15,4,7,0,0,2,0,5,141,0,100,30,9,2,99,0,69,24,5,1,37,0,30,4,3,0,4,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,6,1,0,0,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,109,66,9,4,73,0,51,16,3,3,99,0,56,37,5,1,13,0,2,10,1,0,3,0,0,3,0,0,0,0,0,0,0,0
95AA03W1,845,0,409,326,81,29,293,0,219,58,14,2,399,0,181,174,34,10,129,0,7,89,27,6,22,0,2,4,6,10,2,0,0,1,0,1,476,0,154,233,64,25,85,0,50,27,7,1,262,0,97,130,27,8,108,0,6,72,24,6,20,0,1,4,6,9,1,0,0,0,0,1,226,0,171,45,10,0,138,0,115,18,5,0,78,0,55,19,4,0,10,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,2,0,3,0,3,0,0,0,3,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,79,48,5,4,67,0,51,13,2,1,56,0,27,25,2,2,10,0,0,9,1,0,2,0,1,0,0,1,1,0,0,1,0,0
95AA04W1,1014,0,194,508,195,117,46,0,28,11,4,3,312,0,140,134,28,10,418,0,18,298,75,27,167,0,8,52,74,33,71,0,0,13,14,44,924,0,150,476,186,112,30,0,17,9,3,1,267,0,111,121,25,10,392,0,16,282,70,24,164,0,6,51,74,33,71,0,0,13,14,44,5,0,2,1,2,0,1,0,1,0,0,0,3,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,42,31,7,5,15,0,10,2,1,2,42,0,28,12,2,0,25,0,2,16,4,3,3,0,2,1,0,0,0,0,0,0,0,0
95AA05W1,920,0,238,429,145,108,86,0,63,17,6,0,357,0,155,156,28,18,339,0,19,223,72,25,93,0,0,25,35,33,45,0,1,8,4,32,730,0,135,376,121,98,27,0,20,5,2,0,253,0,96,127,17,13,317,0,18,213,64,22,90,0,0,23,34,33,43,0,1,8,4,30,68,0,43,15,10,0,28,0,20,5,3,0,37,0,23,8,6,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,60,38,14,10,31,0,23,7,1,0,67,0,36,21,5,5,20,0,1,9,7,3,2,0,0,1,1,0,2,0,0,0,0,2
95AA06S1,710,0,238,322,87,63,125,0,95,27,3,0,302,0,132,138,20,12,222,0,8,142,43,29,46,0,2,13,19,12,15,0,1,2,2,10,552,0,147,262,80,63,49,0,36,12,1,0,230,0,100,101,17,12,213,0,8,134,42,29,45,0,2,13,18,12,15,0,1,2,2,10,38,0,26,11,1,0,19,0,14,4,1,0,19,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,27,9,0,0,24,0,21,3,0,0,12,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,38,40,6,0,33,0,24,8,1,0,41,0,14,24,3,0,9,0,0,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0
95AA06S2,860,0,249,386,132,93,126,0,94,20,10,2,367,0,145,161,42,19,300,0,9,195,63,33,47,0,1,6,15,25,20,0,0,4,2,14,679,0,142,339,112,86,48,0,36,9,3,0,277,0,98,132,32,15,291,0,8,189,61,33,44,0,0,6,14,24,19,0,0,3,2,14,58,0,37,14,4,3,33,0,25,5,2,1,25,0,12,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,13,8,2,4,12,0,7,4,0,1,13,0,6,3,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,96,0,57,25,14,0,33,0,26,2,5,0,52,0,29,17,6,0,8,0,1,5,2,0,2,0,1,0,1,0,1,0,0,1,0,0
95AA07W1,820,0,239,398,112,71,107,0,77,24,5,1,319,0,152,139,21,7,263,0,9,197,46,11,85,0,1,30,31,23,46,0,0,8,9,29,618,0,130,334,94,60,32,0,25,7,0,0,221,0,99,107,11,4,237,0,5,182,43,7,84,0,1,30,31,22,44,0,0,8,9,27,69,0,39,21,8,1,33,0,22,8,3,0,32,0,16,11,5,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,69,43,10,10,42,0,30,9,2,1,65,0,36,21,5,3,22,0,3,13,3,3,1,0,0,0,0,1,2,0,0,0,0,2
