GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
95AA01S1,757,110,647,728,102,626,14,5,9,4,0,4,11,3,8
95AA01S2,1393,244,1149,1170,186,984,152,40,112,33,12,21,38,6,32
95AA01S3,1194,219,975,1049,166,883,92,37,55,22,6,16,31,10,21
95AA02W1,1468,164,1304,1265,125,1140,107,28,79,35,6,29,61,5,56
95AA03W1,1436,133,1303,1218,100,1118,98,20,78,45,5,40,75,8,67
95AA04W1,2373,453,1920,1975,333,1642,261,88,173,64,15,49,73,17,56
95AA05W1,2083,324,1759,1777,245,1532,208,59,149,36,7,29,62,13,49
95AA06S1,1437,199,1238,1207,144,1063,125,39,86,34,8,26,71,8,63
95AA06S2,1909,233,1676,1602,171,1431,169,45,124,55,8,47,83,9,74
95AA07W1,1714,281,1433,1449,201,1248,172,62,110,41,8,33,52,10,42
95AA08W1,1347,148,1199,1143,112,1031,80,18,62,43,6,37,81,12,69
95AA09W1,1772,198,1574,1574,147,1427,113,36,77,26,7,19,59,8,51
95AA10W1,1551,208,1343,1300,164,1136,123,30,93,44,4,40,84,10,74
95AA11S1,2227,310,1917,1960,247,1713,160,45,115,50,6,44,57,12,45
95AA11S2,1925,216,1709,1691,176,1515,134,31,103,32,4,28,68,5,63
95AA12W1,2162,421,1741,1789,295,1494,263,108,155,51,8,43,59,10,49
95AA13S1,1330,184,1146,1157,131,1026,115,47,68,11,1,10,47,5,42
95AA13S2,1198,168,1030,1040,120,920,85,29,56,32,9,23,41,10,31
95AA14W1,1852,318,1534,1570,230,1340,173,69,104,52,10,42,57,9,48
95AA15S1,2016,222,1794,1787,181,1606,119,27,92,46,7,39,64,7,57
95AA15S2,1134,98,1036,996,81,915,79,12,67,21,2,19,38,3,35
95AA16W1,1463,117,1346,1274,83,1191,102,24,78,30,6,24,57,4,53
95AA17W1,1669,170,1499,1472,127,1345,113,32,81,31,7,24,53,4,49
95AA18W1,2063,403,1660,1735,295,1440,237,90,147,34,11,23,57,7,50
95AA19W1,2006,243,1763,1738,169,1569,144,52,92,45,12,33,79,10,69
95BB01S1,1242,208,1034,1013,142,871,147,51,96,37,5,32,45,10,35
95BB01S2,1595,237,1358,1320,179,1141,169,38,131,45,5,40,61,15,46
95BB02W1,2020,232,1788,1689,170,1519,159,40,119,59,10,49,113,12,101
95BB03S1,1614,182,1432,1339,128,1211,133,27,106,54,12,42,88,15,73
95BB03S2,1788,255,1533,1492,194,1298,146,40,106,49,4,45,101,17,84
