GeographyCode,KS106NI0001,KS106NI0002,KS106NI0003,KS106NI0004,KS106NI0005,KS106NI0006,KS106NI0007,KS106NI0008,KS106NI0009,KS106NI0010,KS106NI0011,KS106NI0012,KS106NI0013
N06000001,40918,1810,13317,11368,4698,2863,12968,4.42,32.55,27.78,11.48,7.00,31.69
N06000002,44601,3819,16223,13865,5817,4338,16375,8.56,36.37,31.09,13.04,9.73,36.71
N06000003,46630,1660,13042,11448,4646,2650,11970,3.56,27.97,24.55,9.96,5.68,25.67
N06000004,36580,4522,12099,14128,5564,5455,13575,12.36,33.08,38.62,15.21,14.91,37.11
N06000005,36112,1533,10845,11761,4299,2939,10803,4.25,30.03,32.57,11.90,8.14,29.92
N06000006,37981,2414,11649,12812,4876,3406,11631,6.36,30.67,33.73,12.84,8.97,30.62
N06000007,37590,1712,10518,13224,5497,3394,11604,4.55,27.98,35.18,14.62,9.03,30.87
N06000008,38404,4130,12194,14511,5609,4715,12533,10.75,31.75,37.79,14.61,12.28,32.63
N06000009,39850,1348,10881,13306,5475,3056,10905,3.38,27.30,33.39,13.74,7.67,27.37
N06000010,33690,1962,8573,13325,5676,3877,10683,5.82,25.45,39.55,16.85,11.51,31.71
N06000011,40538,2716,11366,15206,6326,4237,12623,6.70,28.04,37.51,15.61,10.45,31.14
N06000012,41458,1933,12188,13684,5381,3333,12860,4.66,29.40,33.01,12.98,8.04,31.02
N06000013,37740,1185,12124,10900,4255,2301,11024,3.14,32.13,28.88,11.27,6.10,29.21
N06000014,37715,1462,9268,13762,5719,3168,10125,3.88,24.57,36.49,15.16,8.40,26.85
N06000015,39030,2166,10804,14599,6042,4089,11978,5.55,27.68,37.40,15.48,10.48,30.69
N06000016,35412,1405,10392,11538,4237,2851,10896,3.97,29.35,32.58,11.96,8.05,30.77
N06000017,45766,2563,12987,16454,7158,4460,14077,5.60,28.38,35.95,15.64,9.75,30.76
N06000018,33260,2407,10171,12203,4755,3905,11666,7.24,30.58,36.69,14.30,11.74,35.08
