GeographyCode,KS206NI0001,KS206NI0002,KS206NI0003,KS206NI0004,KS206NI0005,KS206NI0006,KS206NI0007,KS206NI0008,KS206NI0009,KS206NI0010,KS206NI0011,KS206NI0012,KS206NI0013,KS206NI0014,KS206NI0015,KS206NI0016,KS206NI0017
N06000001,92221,13283,68501,5028,1574,347,84,2135,1269,14.40,74.28,5.45,1.71,0.38,0.09,2.32,1.38
N06000002,102531,19019,60865,18010,1622,214,86,1769,946,18.55,59.36,17.57,1.58,0.21,0.08,1.73,0.92
N06000003,111402,12421,64929,22978,3171,548,278,3532,3545,11.15,58.28,20.63,2.85,0.49,0.25,3.17,3.18
N06000004,93986,18006,38293,34554,1618,118,103,663,631,19.16,40.74,36.77,1.72,0.13,0.11,0.71,0.67
N06000005,90067,15028,66051,5815,1292,303,59,742,777,16.69,73.34,6.46,1.43,0.34,0.07,0.82,0.86
N06000006,99673,22777,58927,14218,1401,222,106,1370,652,22.85,59.12,14.26,1.41,0.22,0.11,1.37,0.65
N06000007,102553,24206,45661,24915,1337,151,164,5567,552,23.60,44.52,24.29,1.30,0.15,0.16,5.43,0.54
N06000008,100807,18967,35301,42975,1441,115,184,983,841,18.82,35.02,42.63,1.43,0.11,0.18,0.98,0.83
N06000009,101710,15686,74261,7144,1822,322,85,1561,829,15.42,73.01,7.02,1.79,0.32,0.08,1.53,0.82
N06000010,99155,24795,44053,25307,1637,126,165,2736,336,25.01,44.43,25.52,1.65,0.13,0.17,2.76,0.34
N06000011,112401,22012,45737,37866,1806,148,206,4023,603,19.58,40.69,33.69,1.61,0.13,0.18,3.58,0.54
N06000012,108207,26163,68066,9738,1340,196,39,2212,453,24.18,62.90,9.00,1.24,0.18,0.04,2.04,0.42
N06000013,89498,10943,69965,4377,2015,389,87,833,889,12.23,78.17,4.89,2.25,0.43,0.10,0.93,0.99
N06000014,99238,15824,68270,10790,1578,222,112,1768,674,15.95,68.79,10.87,1.59,0.22,0.11,1.78,0.68
N06000015,108835,22042,52519,29288,2219,186,197,1824,560,20.25,48.26,26.91,2.04,0.17,0.18,1.68,0.51
N06000016,89370,15366,65685,5270,1428,287,53,854,427,17.19,73.50,5.90,1.60,0.32,0.06,0.96,0.48
N06000017,118010,21733,68944,19490,1746,250,95,4943,809,18.42,58.42,16.52,1.48,0.21,0.08,4.19,0.69
N06000018,91199,23157,39423,25124,1229,147,179,1588,352,25.39,43.23,27.55,1.35,0.16,0.20,1.74,0.39
