GeographyCode,KS208NI0001,KS208NI0002,KS208NI0003,KS208NI0004,KS208NI0005,KS208NI0006,KS208NI0007,KS208NI0008,KS208NI0009
N06000001,40918,39289,571,113,945,96.02,1.40,0.28,2.31
N06000002,44601,43099,614,113,775,96.63,1.38,0.25,1.74
N06000003,46630,43149,1307,208,1966,92.53,2.80,0.45,4.22
N06000004,36580,35369,594,84,533,96.69,1.62,0.23,1.46
N06000005,36112,35465,287,51,309,98.21,0.79,0.14,0.86
N06000006,37981,37067,328,56,530,97.59,0.86,0.15,1.40
N06000007,37590,35260,485,146,1699,93.80,1.29,0.39,4.52
N06000008,38404,37450,413,61,480,97.52,1.08,0.16,1.25
N06000009,39850,38799,413,59,579,97.36,1.04,0.15,1.45
N06000010,33690,32349,386,76,879,96.02,1.15,0.23,2.61
N06000011,40538,38547,551,107,1333,95.09,1.36,0.26,3.29
N06000012,41458,40299,349,50,760,97.20,0.84,0.12,1.83
N06000013,37740,36984,359,57,340,98.00,0.95,0.15,0.90
N06000014,37715,36651,368,61,635,97.18,0.98,0.16,1.68
N06000015,39030,37959,442,50,579,97.26,1.13,0.13,1.48
N06000016,35412,34803,270,41,298,98.28,0.76,0.12,0.84
N06000017,45766,43255,599,182,1730,94.51,1.31,0.40,3.78
N06000018,33260,32341,282,31,606,97.24,0.85,0.09,1.82
