ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"KS210NI0001","Count","PERSONS","All usual residents: Aged 3+ years"
"KS210NI0002","Count","PERSONS","Knowledge of Ulster-Scots: Understand but cannot read, write or speak Ulster-Scots: Aged 3+ years"
"KS210NI0003","Count","PERSONS","Knowledge of Ulster-Scots: Speak but do not read or write Ulster-Scots: Aged 3+ years"
"KS210NI0004","Count","PERSONS","Knowledge of Ulster-Scots: Speak and read but do not write Ulster-Scots: Aged 3+ years"
"KS210NI0005","Count","PERSONS","Knowledge of Ulster-Scots: Speak, read, write and understand Ulster-Scots: Aged 3+ years"
"KS210NI0006","Count","PERSONS","Knowledge of Ulster-Scots: Other combination of skills: Aged 3+ years"
"KS210NI0007","Count","PERSONS","Knowledge of Ulster-Scots: Some ability in Ulster-Scots: Aged 3+ years"
"KS210NI0008","Count","PERSONS","Knowledge of Ulster-Scots: No ability in Ulster-Scots: Aged 3+ years"
"KS210NI0009","Percentage","PERSONS","Knowledge of Ulster-Scots: Understand but cannot read, write or speak Ulster-Scots: Aged 3+ years"
"KS210NI0010","Percentage","PERSONS","Knowledge of Ulster-Scots: Speak but do not read or write Ulster-Scots: Aged 3+ years"
"KS210NI0011","Percentage","PERSONS","Knowledge of Ulster-Scots: Speak and read but do not write Ulster-Scots: Aged 3+ years"
"KS210NI0012","Percentage","PERSONS","Knowledge of Ulster-Scots: Speak, read, write and understand Ulster-Scots: Aged 3+ years"
"KS210NI0013","Percentage","PERSONS","Knowledge of Ulster-Scots: Other combination of skills: Aged 3+ years"
"KS210NI0014","Percentage","PERSONS","Knowledge of Ulster-Scots: Some ability in Ulster-Scots: Aged 3+ years"
"KS210NI0015","Percentage","PERSONS","Knowledge of Ulster-Scots: No ability in Ulster-Scots: Aged 3+ years"
