GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
N06000001,40918,11675,18343,9111,1418,371,42444,28.53,44.83,22.27,3.47,0.91
N06000002,44601,18167,18577,6488,1102,267,36015,40.73,41.65,14.55,2.47,0.60
N06000003,46630,13668,19662,10732,1968,600,49652,29.31,42.17,23.02,4.22,1.29
N06000004,36580,16314,14924,4382,760,200,26839,44.60,40.80,11.98,2.08,0.55
N06000005,36112,7406,15268,10293,2327,818,46411,20.51,42.28,28.50,6.44,2.27
N06000006,37981,7695,15892,10775,2618,1001,49767,20.26,41.84,28.37,6.89,2.64
N06000007,37590,6117,14910,11873,3130,1560,54954,16.27,39.66,31.59,8.33,4.15
N06000008,38404,12489,16236,7549,1604,526,38469,32.52,42.28,19.66,4.18,1.37
N06000009,39850,6304,16387,13065,2946,1148,56495,15.82,41.12,32.79,7.39,2.88
N06000010,33690,4942,12862,10914,3145,1827,52283,14.67,38.18,32.40,9.34,5.42
N06000011,40538,7352,16510,12022,3098,1556,56801,18.14,40.73,29.66,7.64,3.84
N06000012,41458,7117,16982,12641,3253,1465,58522,17.17,40.96,30.49,7.85,3.53
N06000013,37740,6614,16306,11769,2364,687,49938,17.53,43.21,31.18,6.26,1.82
N06000014,37715,6017,15555,12292,2748,1103,53282,15.95,41.24,32.59,7.29,2.92
N06000015,39030,5987,15385,12694,3340,1624,57988,15.34,39.42,32.52,8.56,4.16
N06000016,35412,5631,14144,11524,2964,1149,51194,15.90,39.94,32.54,8.37,3.24
N06000017,45766,9658,19649,12659,2816,984,57729,21.10,42.93,27.66,6.15,2.15
N06000018,33260,6506,13424,9413,2626,1291,45806,19.56,40.36,28.30,7.90,3.88
