GeographyCode,KS601NI0001,KS601NI0002,KS601NI0003,KS601NI0004,KS601NI0005,KS601NI0006,KS601NI0007,KS601NI0008,KS601NI0009,KS601NI0010,KS601NI0011,KS601NI0012,KS601NI0013,KS601NI0014,KS601NI0015,KS601NI0016,KS601NI0017,KS601NI0018,KS601NI0019,KS601NI0020,KS601NI0021,KS601NI0022,KS601NI0023,KS601NI0024,KS601NI0025,KS601NI0026,KS601NI0027,KS601NI0028,KS601NI0029,KS601NI0030,KS601NI0031
N06000001,67039,9221,27388,4339,2842,2010,9484,3116,2570,4501,1568,11108,804,495,469,1237,13.75,40.85,6.47,4.24,3.00,14.15,4.65,3.83,6.71,2.34,16.57,28.29,17.42,16.50,43.53
N06000002,73558,10311,24641,3406,4664,2580,9709,3978,3823,7822,2624,9180,1386,731,957,2089,14.02,33.50,4.63,6.34,3.51,13.20,5.41,5.20,10.63,3.57,12.48,29.72,15.67,20.52,44.79
N06000003,86086,9096,34242,5669,3435,7469,8844,8551,2477,4347,1956,18071,996,552,558,1385,10.57,39.78,6.59,3.99,8.68,10.27,9.93,2.88,5.05,2.27,20.99,29.00,16.07,16.24,40.32
N06000004,67002,9804,18848,2684,4672,2835,7479,4641,4267,9001,2771,7119,1557,654,1188,2064,14.63,28.13,4.01,6.97,4.23,11.16,6.93,6.37,13.43,4.14,10.63,33.33,14.00,25.43,44.18
N06000005,66012,8844,25450,5038,2777,2771,9762,3988,2320,3682,1380,10743,824,576,374,1216,13.40,38.55,7.63,4.21,4.20,14.79,6.04,3.51,5.58,2.09,16.27,29.67,20.74,13.47,43.79
N06000006,72822,9208,22630,7290,4064,2911,10014,5165,3581,5110,2849,11674,1158,655,629,1894,12.64,31.08,10.01,5.58,4.00,13.75,7.09,4.92,7.02,3.91,16.03,28.49,16.12,15.48,46.60
N06000007,73713,9546,26264,8818,3440,2014,8696,4411,3412,4610,2502,12349,879,576,589,1555,12.95,35.63,11.96,4.67,2.73,11.80,5.98,4.63,6.25,3.39,16.75,25.55,16.74,17.12,45.20
N06000008,73474,9420,21546,4484,5613,3143,8787,5611,4151,8001,2718,10330,1589,763,1287,2711,12.82,29.32,6.10,7.64,4.28,11.96,7.64,5.65,10.89,3.70,14.06,28.31,13.59,22.93,48.30
N06000009,73686,10051,29916,6868,2512,2207,10496,3736,2734,3494,1672,12463,711,482,271,1079,13.64,40.60,9.32,3.41,3.00,14.24,5.07,3.71,4.74,2.27,16.91,28.30,19.19,10.79,42.95
N06000010,70671,8713,24023,8420,3320,2098,7595,5141,3679,5303,2379,10139,954,532,504,1461,12.33,33.99,11.91,4.70,2.97,10.75,7.27,5.21,7.50,3.37,14.35,28.73,16.02,15.18,44.01
N06000011,80362,10522,27029,8307,4738,2529,9323,5020,4010,6199,2685,12170,1261,793,741,2256,13.09,33.63,10.34,5.90,3.15,11.60,6.25,4.99,7.71,3.34,15.14,26.61,16.74,15.64,47.62
N06000012,78306,10292,28164,8596,3654,1970,11005,4312,3420,4759,2134,12203,1108,619,529,1610,13.14,35.97,10.98,4.67,2.52,14.05,5.51,4.37,6.08,2.73,15.58,30.32,16.94,14.48,44.06
N06000013,65480,9090,25088,5823,2468,1955,11442,3028,2261,3064,1261,11736,681,540,273,1078,13.88,38.31,8.89,3.77,2.99,17.47,4.62,3.45,4.68,1.93,17.92,27.59,21.88,11.06,43.68
N06000014,71856,9998,30043,6194,2570,2495,9259,3397,2608,3818,1474,10768,744,468,353,1058,13.91,41.81,8.62,3.58,3.47,12.89,4.73,3.63,5.31,2.05,14.99,28.95,18.21,13.74,41.17
N06000015,77403,10078,25523,9980,3900,2507,9150,4755,3718,5484,2308,12969,1085,663,542,1700,13.02,32.97,12.89,5.04,3.24,11.82,6.14,4.80,7.08,2.98,16.76,27.82,17.00,13.90,43.59
N06000016,65507,9109,23948,6813,2637,1932,10425,3245,2415,3557,1426,10349,824,501,345,1154,13.91,36.56,10.40,4.03,2.95,15.91,4.95,3.69,5.43,2.18,15.80,31.25,19.00,13.08,43.76
N06000017,85110,11181,32786,6572,4052,2753,10725,4634,3518,6511,2378,11908,1256,640,595,1923,13.14,38.52,7.72,4.76,3.23,12.60,5.44,4.13,7.65,2.79,13.99,31.00,15.79,14.68,47.46
N06000018,65333,7654,20276,7365,3838,1783,7821,4429,3434,6217,2516,10234,1053,587,753,1854,11.72,31.03,11.27,5.87,2.73,11.97,6.78,5.26,9.52,3.85,15.66,27.44,15.29,19.62,48.31
