GeographyCode,KS605NI0001,KS605NI0002,KS605NI0003,KS605NI0004,KS605NI0005,KS605NI0006,KS605NI0007,KS605NI0008,KS605NI0009,KS605NI0010,KS605NI0011,KS605NI0012,KS605NI0013,KS605NI0014,KS605NI0015,KS605NI0016,KS605NI0017,KS605NI0018,KS605NI0019,KS605NI0020,KS605NI0021,KS605NI0022,KS605NI0023,KS605NI0024,KS605NI0025,KS605NI0026,KS605NI0027,KS605NI0028,KS605NI0029,KS605NI0030,KS605NI0031,KS605NI0032,KS605NI0033,KS605NI0034,KS605NI0035,KS605NI0036,KS605NI0037
N06000001,42630,92,29,3197,210,284,1920,6792,1617,2466,1771,2035,491,2602,2108,4689,3761,6214,2352,0.22,0.07,7.50,0.49,0.67,4.50,15.93,3.79,5.78,4.15,4.77,1.15,6.10,4.94,11.00,8.82,14.58,5.52
N06000002,40396,36,31,2901,175,369,2112,7664,2433,2341,1363,1600,463,1799,2080,3290,3653,5947,2139,0.09,0.08,7.18,0.43,0.91,5.23,18.97,6.02,5.80,3.37,3.96,1.15,4.45,5.15,8.14,9.04,14.72,5.30
N06000003,55372,82,29,2768,285,278,1846,8981,1300,4307,3071,2777,691,4420,2048,4865,6317,8632,2675,0.15,0.05,5.00,0.51,0.50,3.33,16.22,2.35,7.78,5.55,5.02,1.25,7.98,3.70,8.79,11.41,15.59,4.83
N06000004,33464,36,20,1960,97,251,1788,6168,1785,2148,885,1313,364,1216,1594,2858,3131,6089,1761,0.11,0.06,5.86,0.29,0.75,5.34,18.43,5.33,6.42,2.64,3.92,1.09,3.63,4.76,8.54,9.36,18.20,5.26
N06000005,41541,526,137,4290,470,304,2956,7108,2583,2069,1117,1627,405,1711,1767,3450,3778,5275,1968,1.27,0.33,10.33,1.13,0.73,7.12,17.11,6.22,4.98,2.69,3.92,0.97,4.12,4.25,8.31,9.09,12.70,4.74
N06000006,41416,1232,124,3574,169,226,4052,7386,1293,2874,620,996,427,1644,1722,3231,4528,5392,1926,2.97,0.30,8.63,0.41,0.55,9.78,17.83,3.12,6.94,1.50,2.40,1.03,3.97,4.16,7.80,10.93,13.02,4.65
N06000007,46305,2494,366,6753,142,248,4474,7902,1683,2328,791,1410,274,1696,1418,2210,4308,5928,1880,5.39,0.79,14.58,0.31,0.54,9.66,17.07,3.63,5.03,1.71,3.05,0.59,3.66,3.06,4.77,9.30,12.80,4.06
N06000008,37685,288,42,3284,144,334,2112,6910,1395,2426,1290,1170,447,1353,2049,2348,4278,6032,1783,0.76,0.11,8.71,0.38,0.89,5.60,18.34,3.70,6.44,3.42,3.10,1.19,3.59,5.44,6.23,11.35,16.01,4.73
N06000009,48661,697,62,4480,221,261,3253,9138,1746,2083,1158,1721,416,2544,1966,5406,4193,7053,2263,1.43,0.13,9.21,0.45,0.54,6.69,18.78,3.59,4.28,2.38,3.54,0.85,5.23,4.04,11.11,8.62,14.49,4.65
N06000010,42894,1850,216,6202,123,303,6491,6990,1426,1824,573,851,287,1637,1066,2111,4001,5299,1644,4.31,0.50,14.46,0.29,0.71,15.13,16.30,3.32,4.25,1.34,1.98,0.67,3.82,2.49,4.92,9.33,12.35,3.83
N06000011,47887,1851,164,5223,128,605,4830,9067,2125,2183,735,1078,323,1908,1623,2752,4662,6606,2024,3.87,0.34,10.91,0.27,1.26,10.09,18.93,4.44,4.56,1.53,2.25,0.67,3.98,3.39,5.75,9.74,13.79,4.23
N06000012,48624,1927,128,6424,225,460,4896,8689,1914,2283,706,1002,434,1743,1668,3094,4297,6672,2062,3.96,0.26,13.21,0.46,0.95,10.07,17.87,3.94,4.70,1.45,2.06,0.89,3.58,3.43,6.36,8.84,13.72,4.24
N06000013,41565,195,20,2779,201,216,2157,6899,1440,2141,1451,1827,573,2427,2498,5118,3599,5864,2160,0.47,0.05,6.69,0.48,0.52,5.19,16.60,3.46,5.15,3.49,4.40,1.38,5.84,6.01,12.31,8.66,14.11,5.20
N06000014,48258,796,88,4629,236,399,3628,8767,2998,2304,1255,1719,401,1898,1978,4162,3988,7044,1968,1.65,0.18,9.59,0.49,0.83,7.52,18.17,6.21,4.77,2.60,3.56,0.83,3.93,4.10,8.62,8.26,14.60,4.08
N06000015,47692,1682,129,3885,136,389,6548,7689,1644,2631,819,1184,364,2188,1550,3181,4680,6795,2198,3.53,0.27,8.15,0.29,0.82,13.73,16.12,3.45,5.52,1.72,2.48,0.76,4.59,3.25,6.67,9.81,14.25,4.61
N06000016,41427,1070,95,3318,179,252,3483,6862,1438,2024,1002,1576,419,1910,2074,4602,3234,5898,1991,2.58,0.23,8.01,0.43,0.61,8.41,16.56,3.47,4.89,2.42,3.80,1.01,4.61,5.01,11.11,7.81,14.24,4.81
N06000017,52770,803,83,8007,177,412,4017,10152,2029,2625,1073,1196,432,2219,2162,3746,4447,7079,2111,1.52,0.16,15.17,0.34,0.78,7.61,19.24,3.84,4.97,2.03,2.27,0.82,4.21,4.10,7.10,8.43,13.41,4.00
N06000018,36676,2165,209,3398,190,201,4496,6220,1157,1646,587,911,293,1362,1076,2309,3714,5176,1566,5.90,0.57,9.26,0.52,0.55,12.26,16.96,3.15,4.49,1.60,2.48,0.80,3.71,2.93,6.30,10.13,14.11,4.27
