GeographyCode,KS610NI0001,KS610NI0002,KS610NI0003,KS610NI0004,KS610NI0005,KS610NI0006,KS610NI0007,KS610NI0008,KS610NI0009,KS610NI0010,KS610NI0011,KS610NI0012,KS610NI0013,KS610NI0014,KS610NI0015,KS610NI0016,KS610NI0017,KS610NI0018,KS610NI0019
N06000001,21161,1318,4529,1984,4753,424,3077,2486,237,2353,6.23,21.40,9.38,22.46,2.00,14.54,11.75,1.12,11.12
N06000002,20351,1073,3095,1535,4573,471,3447,3321,259,2577,5.27,15.21,7.54,22.47,2.31,16.94,16.32,1.27,12.66
N06000003,27490,1614,8316,2761,4636,484,2949,3988,150,2592,5.87,30.25,10.04,16.86,1.76,10.73,14.51,0.55,9.43
N06000004,17553,789,2263,1236,4203,426,3159,2906,181,2390,4.49,12.89,7.04,23.94,2.43,18.00,16.56,1.03,13.62
N06000005,20242,1320,3628,1615,4791,561,3364,2709,357,1897,6.52,17.92,7.98,23.67,2.77,16.62,13.38,1.76,9.37
N06000006,19709,1197,3973,1218,4021,708,3199,2807,326,2260,6.07,20.16,6.18,20.40,3.59,16.23,14.24,1.65,11.47
N06000007,21334,1274,4324,1271,3635,942,3861,2743,959,2325,5.97,20.27,5.96,17.04,4.42,18.10,12.86,4.50,10.90
N06000008,18611,1063,3776,1279,3308,554,2899,3406,327,1999,5.71,20.29,6.87,17.77,2.98,15.58,18.30,1.76,10.74
N06000009,23274,1632,5170,1968,5249,544,3571,2970,303,1867,7.01,22.21,8.46,22.55,2.34,15.34,12.76,1.30,8.02
N06000010,19491,1070,4380,1226,3701,798,3406,2360,553,1997,5.49,22.47,6.29,18.99,4.09,17.47,12.11,2.84,10.25
N06000011,22663,1359,4783,1457,4292,901,4023,2863,519,2466,6.00,21.10,6.43,18.94,3.98,17.75,12.63,2.29,10.88
N06000012,22852,1387,4444,1480,4680,818,3984,3030,664,2365,6.07,19.45,6.48,20.48,3.58,17.43,13.26,2.91,10.35
N06000013,20317,1532,4167,1885,4659,397,3353,2666,195,1463,7.54,20.51,9.28,22.93,1.95,16.50,13.12,0.96,7.20
N06000014,23350,1642,4449,1847,5345,645,3714,2975,411,2322,7.03,19.05,7.91,22.89,2.76,15.91,12.74,1.76,9.94
N06000015,22392,1453,4947,1491,4410,825,4139,2588,501,2038,6.49,22.09,6.66,19.69,3.68,18.48,11.56,2.24,9.10
N06000016,20252,1339,3685,1554,5102,584,3501,2439,286,1762,6.61,18.20,7.67,25.19,2.88,17.29,12.04,1.41,8.70
N06000017,25171,1556,4758,1734,4997,767,4121,3436,1242,2560,6.18,18.90,6.89,19.85,3.05,16.37,13.65,4.93,10.17
N06000018,16920,1007,3633,1076,3328,674,3072,2136,284,1710,5.95,21.47,6.36,19.67,3.98,18.16,12.62,1.68,10.11
