GeographyCode,KS801NI0001,KS801NI0002,KS801NI0003,KS801NI0004,KS801NI0005,KS801NI0006,KS801NI0007,KS801NI0008,KS801NI0009,KS801NI0010
N06000001,81562,75291,1504,1403,3364,116,92.31,1.84,1.72,4.12
N06000002,93058,87749,1424,1076,2809,98,94.29,1.53,1.16,3.02
N06000003,91768,82735,2744,1976,4313,878,90.16,2.99,2.15,4.70
N06000004,88307,84727,1104,653,1823,71,95.95,1.25,0.74,2.06
N06000005,81529,75948,1321,1092,3168,205,93.15,1.62,1.34,3.89
N06000006,89728,83615,1590,1295,3228,230,93.19,1.77,1.44,3.60
N06000007,85330,79548,1628,1315,2839,130,93.22,1.91,1.54,3.33
N06000008,89038,82857,1764,1286,3131,129,93.06,1.98,1.44,3.52
N06000009,89848,83242,1651,1411,3544,80,92.65,1.84,1.57,3.94
N06000010,91033,86751,1346,876,2060,50,95.30,1.48,0.96,2.26
N06000011,97462,91599,1758,1333,2772,122,93.98,1.80,1.37,2.84
N06000012,98710,93125,1490,1146,2949,73,94.34,1.51,1.16,2.99
N06000013,77207,69261,1742,1629,4575,74,89.71,2.26,2.11,5.93
N06000014,89166,83734,1399,1114,2919,46,93.91,1.57,1.25,3.27
N06000015,97646,91068,1665,1463,3450,56,93.26,1.71,1.50,3.53
N06000016,81514,76380,1229,1033,2872,31,93.70,1.51,1.27,3.52
N06000017,104371,98710,1552,1215,2894,107,94.58,1.49,1.16,2.77
N06000018,81576,76863,1405,1038,2270,39,94.22,1.72,1.27,2.78
