GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
95AA01,4202,4106,26,10,5,1,2,0,0,0,2,0,10,40,97.72,0.62,0.24,0.12,0.02,0.05,0,0,0,0.05,0,0.24,0.95
95AA02,1683,1619,25,3,0,0,13,2,1,0,0,0,8,12,96.20,1.49,0.18,0,0,0.77,0.12,0.06,0,0,0,0.48,0.71
95AA03,1736,1699,18,2,0,0,2,0,2,0,0,0,4,9,97.87,1.04,0.12,0,0,0.12,0,0.12,0,0,0,0.23,0.52
95AA04,2922,2906,0,0,0,0,6,1,0,0,4,0,0,5,99.45,0,0,0,0,0.21,0.03,0,0,0.14,0,0,0.17
95AA05,2586,2537,4,12,5,4,2,0,3,0,3,0,0,16,98.11,0.15,0.46,0.19,0.15,0.08,0,0.12,0,0.12,0,0,0.62
95AA06,4421,4332,17,0,48,1,2,0,5,0,1,6,1,8,97.99,0.38,0,1.09,0.02,0.05,0,0.11,0,0.02,0.14,0.02,0.18
95AA07,2070,2027,6,23,0,0,7,0,0,0,0,0,0,7,97.92,0.29,1.11,0,0,0.34,0,0,0,0,0,0,0.34
95AA08,1616,1539,26,16,1,4,7,0,2,0,0,2,3,16,95.24,1.61,0.99,0.06,0.25,0.43,0,0.12,0,0,0.12,0.19,0.99
95AA09,2105,2017,36,3,0,0,4,2,1,0,0,11,3,28,95.82,1.71,0.14,0,0,0.19,0.10,0.05,0,0,0.52,0.14,1.33
95AA10,1884,1816,26,10,2,0,0,1,1,3,0,0,0,25,96.39,1.38,0.53,0.11,0,0,0.05,0.05,0.16,0,0,0,1.33
95AA11,5109,4793,128,18,3,11,52,8,10,1,0,19,21,45,93.81,2.51,0.35,0.06,0.22,1.02,0.16,0.20,0.02,0,0.37,0.41,0.88
95AA12,2690,2689,0,0,0,0,0,0,0,0,0,0,0,1,99.96,0,0,0,0,0,0,0,0,0,0,0,0.04
95AA13,3147,2982,20,86,9,15,7,4,1,1,7,0,3,12,94.76,0.64,2.73,0.29,0.48,0.22,0.13,0.03,0.03,0.22,0,0.10,0.38
95AA14,2275,2267,3,0,1,0,0,3,0,0,0,0,0,1,99.65,0.13,0,0.04,0,0,0.13,0,0,0,0,0,0.04
95AA15,3906,3497,146,68,0,5,41,4,31,5,0,35,10,64,89.53,3.74,1.74,0,0.13,1.05,0.10,0.79,0.13,0,0.90,0.26,1.64
95AA16,1722,1585,60,8,0,8,34,0,0,1,0,0,10,16,92.04,3.48,0.46,0,0.46,1.97,0,0,0.06,0,0,0.58,0.93
95AA17,2044,1969,20,19,1,0,9,0,0,3,0,6,2,15,96.33,0.98,0.93,0.05,0,0.44,0,0,0.15,0,0.29,0.10,0.73
