GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
95AA01,4444,1356,921,441,82,527,43,887,187,30.51,20.72,9.92,1.85,11.86,0.97,19.96,4.21
95AA02,1734,504,461,348,20,59,6,204,132,29.07,26.59,20.07,1.15,3.40,0.35,11.76,7.61
95AA03,1822,135,684,378,50,110,15,315,135,7.41,37.54,20.75,2.74,6.04,0.82,17.29,7.41
95AA04,3013,751,1198,317,64,193,19,343,128,24.93,39.76,10.52,2.12,6.41,0.63,11.38,4.25
95AA05,2701,1579,482,157,8,110,10,178,177,58.46,17.85,5.81,0.30,4.07,0.37,6.59,6.55
95AA06,4647,3511,240,262,13,69,9,222,321,75.55,5.16,5.64,0.28,1.48,0.19,4.78,6.91
95AA07,2140,283,1042,300,10,201,16,189,99,13.22,48.69,14.02,0.47,9.39,0.75,8.83,4.63
95AA08,1698,680,353,192,12,66,13,247,135,40.05,20.79,11.31,0.71,3.89,0.77,14.55,7.95
95AA09,2220,387,669,410,47,118,26,346,217,17.43,30.14,18.47,2.12,5.32,1.17,15.59,9.77
95AA10,1953,712,437,224,54,95,23,292,116,36.46,22.38,11.47,2.76,4.86,1.18,14.95,5.94
95AA11,5364,1875,1191,717,114,278,53,801,335,34.96,22.20,13.37,2.13,5.18,0.99,14.93,6.25
95AA12,2775,133,1491,357,31,282,20,332,129,4.79,53.73,12.86,1.12,10.16,0.72,11.96,4.65
95AA13,3307,2139,400,178,21,102,9,230,228,64.68,12.10,5.38,0.64,3.08,0.27,6.95,6.89
95AA14,2349,816,836,169,27,183,13,178,127,34.74,35.59,7.19,1.15,7.79,0.55,7.58,5.41
95AA15,4186,1586,786,458,69,229,95,696,267,37.89,18.78,10.94,1.65,5.47,2.27,16.63,6.38
95AA16,1807,291,608,366,34,120,14,256,118,16.10,33.65,20.25,1.88,6.64,0.77,14.17,6.53
95AA17,2142,694,407,301,45,99,25,395,176,32.40,19.00,14.05,2.10,4.62,1.17,18.44,8.22
95AA18,2439,283,1043,346,61,158,34,348,166,11.60,42.76,14.19,2.50,6.48,1.39,14.27,6.81
95AA19,2687,2335,94,37,3,36,3,56,123,86.90,3.50,1.38,0.11,1.34,0.11,2.08,4.58
95BB01,3609,348,1607,441,114,362,25,523,189,9.64,44.53,12.22,3.16,10.03,0.69,14.49,5.24
95BB02,2347,184,861,388,113,184,31,390,196,7.84,36.69,16.53,4.81,7.84,1.32,16.62,8.35
95BB03,4219,174,1615,903,162,420,45,669,231,4.12,38.28,21.40,3.84,9.95,1.07,15.86,5.48
95BB04,3048,173,1160,505,190,319,22,476,203,5.68,38.06,16.57,6.23,10.47,0.72,15.62,6.66
95BB05,3401,79,1451,645,135,328,50,520,193,2.32,42.66,18.97,3.97,9.64,1.47,15.29,5.67
95BB06,2870,255,1102,401,106,186,56,520,244,8.89,38.40,13.97,3.69,6.48,1.95,18.12,8.50
95BB07,2953,86,1353,416,145,241,30,512,170,2.91,45.82,14.09,4.91,8.16,1.02,17.34,5.76
95BB08,2625,122,1241,385,119,186,31,407,134,4.65,47.28,14.67,4.53,7.09,1.18,15.50,5.10
95BB09,2943,107,1354,451,107,237,12,540,135,3.64,46.01,15.32,3.64,8.05,0.41,18.35,4.59
95BB10,3327,192,1178,671,237,192,40,614,203,5.77,35.41,20.17,7.12,5.77,1.20,18.46,6.10
95BB11,2955,98,1105,711,162,195,37,479,168,3.32,37.39,24.06,5.48,6.60,1.25,16.21,5.69
95BB12,2776,196,961,448,117,237,53,570,194,7.06,34.62,16.14,4.21,8.54,1.91,20.53,6.99
