GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
95AA01,1522,113,627,570,132,80,2523,7.42,41.20,37.45,8.67,5.26
95AA02,839,287,392,128,25,7,756,34.21,46.72,15.26,2.98,0.83
95AA03,845,293,399,129,22,2,731,34.67,47.22,15.27,2.60,0.24
95AA04,1014,46,312,418,167,71,1975,4.54,30.77,41.22,16.47,7.00
95AA05,920,86,357,339,93,45,1515,9.35,38.80,36.85,10.11,4.89
95AA06,1570,251,669,522,93,35,2143,15.99,42.61,33.25,5.92,2.23
95AA07,820,107,319,263,85,46,1308,13.05,38.90,32.07,10.37,5.61
95AA08,699,230,333,100,26,10,665,32.90,47.64,14.31,3.72,1.43
95AA09,943,357,370,172,34,10,861,37.86,39.24,18.24,3.61,1.06
95AA10,792,228,335,177,40,12,860,28.79,42.30,22.35,5.05,1.52
95AA11,1993,303,884,690,97,19,2635,15.20,44.36,34.62,4.87,0.95
95AA12,971,46,251,454,144,76,1933,4.74,25.85,46.76,14.83,7.83
95AA13,1239,221,516,389,80,33,1683,17.84,41.65,31.40,6.46,2.66
95AA14,779,45,230,318,116,70,1521,5.78,29.53,40.82,14.89,8.99
95AA15,1595,319,753,452,58,13,1887,20.00,47.21,28.34,3.64,0.82
95AA16,832,290,411,108,18,5,705,34.86,49.40,12.98,2.16,0.60
95AA17,855,220,405,186,33,11,922,25.73,47.37,21.75,3.86,1.29
95AA18,1004,66,404,409,92,33,1643,6.57,40.24,40.74,9.16,3.29
95AA19,832,108,321,250,95,58,1368,12.98,38.58,30.05,11.42,6.97
95BB01,1307,99,443,553,153,59,2267,7.57,33.89,42.31,11.71,4.51
95BB02,1126,398,490,180,37,21,1052,35.35,43.52,15.99,3.29,1.87
95BB03,1776,278,832,534,98,34,2342,15.65,46.85,30.07,5.52,1.91
95BB04,1307,199,530,426,122,30,1894,15.23,40.55,32.59,9.33,2.30
95BB05,1318,124,438,527,158,71,2279,9.41,33.23,39.98,11.99,5.39
95BB06,1518,642,675,164,32,5,1119,42.29,44.47,10.80,2.11,0.33
