GeographyCode,KS501NI0001,KS501NI0002,KS501NI0003,KS501NI0004,KS501NI0005,KS501NI0006,KS501NI0007,KS501NI0008,KS501NI0009,KS501NI0010,KS501NI0011,KS501NI0012,KS501NI0013,KS501NI0014,KS501NI0015,KS501NI0016,KS501NI0017,KS501NI0018,KS501NI0019,KS501NI0020,KS501NI0021,KS501NI0022,KS501NI0023
95AA01,3344,582,392,609,138,511,977,135,104,116,59,14,43,17.40,11.72,18.21,4.13,15.28,29.22,4.04,50.86,12.07,37.07
95AA02,1468,506,207,242,69,140,230,74,30,41,27,4,10,34.47,14.10,16.49,4.70,9.54,15.67,5.04,65.85,9.76,24.39
95AA03,1436,565,210,219,60,163,167,52,31,37,17,2,18,39.35,14.62,15.25,4.18,11.35,11.63,3.62,45.95,5.41,48.65
95AA04,2373,580,282,385,113,308,634,71,98,133,65,11,57,24.44,11.88,16.22,4.76,12.98,26.72,2.99,48.87,8.27,42.86
95AA05,2083,513,243,298,141,260,546,82,69,100,47,3,50,24.63,11.67,14.31,6.77,12.48,26.21,3.94,47.00,3.00,50.00
95AA06,3346,808,470,632,147,471,685,133,164,192,95,25,72,24.15,14.05,18.89,4.39,14.08,20.47,3.97,49.48,13.02,37.50
95AA07,1714,474,205,270,90,188,413,74,53,52,21,5,26,27.65,11.96,15.75,5.25,10.97,24.10,4.32,40.38,9.62,50.00
95AA08,1347,497,191,225,51,130,164,89,36,46,20,13,13,36.90,14.18,16.70,3.79,9.65,12.18,6.61,43.48,28.26,28.26
95AA09,1772,602,248,259,59,171,339,94,50,67,31,5,31,33.97,14.00,14.62,3.33,9.65,19.13,5.30,46.27,7.46,46.27
95AA10,1551,514,208,239,79,166,273,72,54,57,34,6,17,33.14,13.41,15.41,5.09,10.70,17.60,4.64,59.65,10.53,29.82
95AA11,4152,899,506,704,165,555,1090,233,116,137,73,9,55,21.65,12.19,16.96,3.97,13.37,26.25,5.61,53.28,6.57,40.15
95AA12,2162,460,217,357,85,284,708,51,92,110,49,4,57,21.28,10.04,16.51,3.93,13.14,32.75,2.36,44.55,3.64,51.82
95AA13,2528,665,279,432,109,280,627,136,85,98,42,5,51,26.31,11.04,17.09,4.31,11.08,24.80,5.38,42.86,5.10,52.04
95AA14,1852,435,162,289,135,217,540,74,53,96,50,5,41,23.49,8.75,15.60,7.29,11.72,29.16,4.00,52.08,5.21,42.71
95AA15,3150,716,394,518,118,361,792,251,86,126,70,13,43,22.73,12.51,16.44,3.75,11.46,25.14,7.97,55.56,10.32,34.13
95AA16,1463,538,224,205,53,137,199,107,41,44,26,0,18,36.77,15.31,14.01,3.62,9.36,13.60,7.31,59.09,0,40.91
95AA17,1669,462,248,325,66,187,303,78,50,66,27,3,36,27.68,14.86,19.47,3.95,11.20,18.15,4.67,40.91,4.55,54.55
