GeographyCode,KS601NI0001,KS601NI0002,KS601NI0003,KS601NI0004,KS601NI0005,KS601NI0006,KS601NI0007,KS601NI0008,KS601NI0009,KS601NI0010,KS601NI0011,KS601NI0012,KS601NI0013,KS601NI0014,KS601NI0015,KS601NI0016,KS601NI0017,KS601NI0018,KS601NI0019,KS601NI0020,KS601NI0021,KS601NI0022,KS601NI0023,KS601NI0024,KS601NI0025,KS601NI0026,KS601NI0027,KS601NI0028,KS601NI0029,KS601NI0030,KS601NI0031
95AA01,3177,383,1518,368,107,97,275,129,157,94,49,562,26,14,13,43,12.06,47.78,11.58,3.37,3.05,8.66,4.06,4.94,2.96,1.54,17.69,24.30,13.08,12.15,40.19
95AA02,1319,189,543,63,57,40,232,32,37,99,27,151,11,14,5,30,14.33,41.17,4.78,4.32,3.03,17.59,2.43,2.81,7.51,2.05,11.45,19.30,24.56,8.77,52.63
95AA03,1317,204,502,48,57,29,204,42,69,103,59,126,13,14,3,27,15.49,38.12,3.64,4.33,2.20,15.49,3.19,5.24,7.82,4.48,9.57,22.81,24.56,5.26,47.37
95AA04,2227,318,800,364,72,106,244,125,77,75,46,440,22,12,9,27,14.28,35.92,16.34,3.23,4.76,10.96,5.61,3.46,3.37,2.07,19.76,30.56,16.67,12.50,37.50
95AA05,1924,228,758,229,77,70,242,99,69,98,54,319,29,18,12,33,11.85,39.40,11.90,4.00,3.64,12.58,5.15,3.59,5.09,2.81,16.58,37.66,23.38,15.58,42.86
95AA06,3133,503,1231,235,126,163,276,197,141,206,55,424,32,17,16,57,16.05,39.29,7.50,4.02,5.20,8.81,6.29,4.50,6.58,1.76,13.53,25.40,13.49,12.70,45.24
95AA07,1592,206,591,216,56,43,215,64,48,117,36,267,11,11,7,21,12.94,37.12,13.57,3.52,2.70,13.51,4.02,3.02,7.35,2.26,16.77,19.64,19.64,12.50,37.50
95AA08,1262,200,434,43,88,39,182,44,59,136,37,142,24,18,7,42,15.85,34.39,3.41,6.97,3.09,14.42,3.49,4.68,10.78,2.93,11.25,27.27,20.45,7.95,47.73
95AA09,1595,233,576,68,90,48,251,73,78,126,52,183,29,15,14,31,14.61,36.11,4.26,5.64,3.01,15.74,4.58,4.89,7.90,3.26,11.47,32.22,16.67,15.56,34.44
95AA10,1461,196,488,79,77,60,260,53,75,127,46,203,25,14,8,33,13.42,33.40,5.41,5.27,4.11,17.80,3.63,5.13,8.69,3.15,13.89,32.47,18.18,10.39,42.86
95AA11,3834,513,1935,252,108,126,416,128,95,186,75,509,26,17,13,40,13.38,50.47,6.57,2.82,3.29,10.85,3.34,2.48,4.85,1.96,13.28,24.07,15.74,12.04,37.04
