GeographyCode,KS201NI0001,KS201NI0002,KS201NI0003,KS201NI0004,KS201NI0005,KS201NI0006,KS201NI0007,KS201NI0008,KS201NI0009,KS201NI0010,KS201NI0011,KS201NI0012,KS201NI0013,KS201NI0014,KS201NI0015,KS201NI0016,KS201NI0017,KS201NI0018,KS201NI0019,KS201NI0020,KS201NI0021,KS201NI0022,KS201NI0023,KS201NI0024,KS201NI0025
N92000002,1810863,1778449,6303,1301,6198,1091,540,4998,372,2345,899,6014,2353,98.21,0.35,0.07,0.34,0.06,0.03,0.28,0.02,0.13,0.05,0.33,0.13
BHSCT,348204,336009,2722,212,2520,318,240,2395,101,1127,156,1709,695,96.50,0.78,0.06,0.72,0.09,0.07,0.69,0.03,0.32,0.04,0.49,0.20
NHSCT,463297,457092,1418,167,1291,280,36,770,68,374,114,1306,381,98.66,0.31,0.04,0.28,0.06,0.01,0.17,0.01,0.08,0.02,0.28,0.08
SEHSCT,346911,341721,891,142,875,151,205,659,95,353,208,1218,393,98.50,0.26,0.04,0.25,0.04,0.06,0.19,0.03,0.10,0.06,0.35,0.11
SHSCT,358034,352704,786,529,619,243,38,701,44,376,363,1041,590,98.51,0.22,0.15,0.17,0.07,0.01,0.20,0.01,0.11,0.10,0.29,0.16
WHSCT,294417,290923,486,251,893,99,21,473,64,115,58,740,294,98.81,0.17,0.09,0.30,0.03,0.01,0.16,0.02,0.04,0.02,0.25,0.10
BELB,280962,270743,2226,202,2203,222,202,1932,90,1017,148,1401,576,96.36,0.79,0.07,0.78,0.08,0.07,0.69,0.03,0.36,0.05,0.50,0.21
NEELB,426284,420395,1329,161,1271,265,36,753,60,312,86,1245,371,98.62,0.31,0.04,0.30,0.06,0.01,0.18,0.01,0.07,0.02,0.29,0.09
SEELB,414153,406987,1387,152,1192,247,243,1122,106,463,216,1526,512,98.27,0.33,0.04,0.29,0.06,0.06,0.27,0.03,0.11,0.05,0.37,0.12
SELB,395047,389401,875,535,639,258,38,718,52,438,391,1102,600,98.57,0.22,0.14,0.16,0.07,0.01,0.18,0.01,0.11,0.10,0.28,0.15
WELB,294417,290923,486,251,893,99,21,473,64,115,58,740,294,98.81,0.17,0.09,0.30,0.03,0.01,0.16,0.02,0.04,0.02,0.25,0.10
UKN01,280962,270743,2226,202,2203,222,202,1932,90,1017,148,1401,576,96.36,0.79,0.07,0.78,0.08,0.07,0.69,0.03,0.36,0.05,0.50,0.21
UKN02,390597,382752,1685,132,1527,359,105,1215,90,499,167,1588,478,97.99,0.43,0.03,0.39,0.09,0.03,0.31,0.02,0.13,0.04,0.41,0.12
UKN03,438823,432805,1060,200,935,299,186,885,86,397,225,1306,439,98.63,0.24,0.05,0.21,0.07,0.04,0.20,0.02,0.09,0.05,0.30,0.10
UKN04,288597,284968,640,156,895,87,23,435,68,157,60,818,290,98.74,0.22,0.05,0.31,0.03,0.01,0.15,0.02,0.05,0.02,0.28,0.10
