GeographyCode,KS202NI0001,KS202NI0002,KS202NI0003,KS202NI0004,KS202NI0005,KS202NI0006,KS202NI0007,KS202NI0008,KS202NI0009,KS202NI0010,KS202NI0011,KS202NI0012,KS202NI0013,KS202NI0014,KS202NI0015,KS202NI0016,KS202NI0017
N92000002,1810863,722379,457482,379267,11877,111748,19132,18406,90572,39.89,25.26,20.94,0.66,6.17,1.06,1.02,5.00
BHSCT,348204,134285,94702,65169,2688,21467,4116,4546,21231,38.57,27.20,18.72,0.77,6.17,1.18,1.31,6.10
NHSCT,463297,226455,73074,96118,2858,35807,3926,4672,20387,48.88,15.77,20.75,0.62,7.73,0.85,1.01,4.40
SEHSCT,346911,167650,53389,71018,2993,29268,2765,5039,14789,48.33,15.39,20.47,0.86,8.44,0.80,1.45,4.26
SHSCT,358034,116635,115787,77575,1814,16340,4227,2423,23233,32.58,32.34,21.67,0.51,4.56,1.18,0.68,6.49
WHSCT,294417,77354,120530,69387,1524,8866,4098,1726,10932,26.27,40.94,23.57,0.52,3.01,1.39,0.59,3.71
BELB,280962,98532,87312,52633,2146,14928,3471,3456,18484,35.07,31.08,18.73,0.76,5.31,1.24,1.23,6.58
NEELB,426284,214610,61678,86458,2684,34360,3433,4458,18603,50.34,14.47,20.28,0.63,8.06,0.81,1.05,4.36
SEELB,414153,203403,60779,83554,3535,35807,3410,6129,17536,49.11,14.68,20.17,0.85,8.65,0.82,1.48,4.23
SELB,395047,128480,127183,87235,1988,17787,4720,2637,25017,32.52,32.19,22.08,0.50,4.50,1.19,0.67,6.33
WELB,294417,77354,120530,69387,1524,8866,4098,1726,10932,26.27,40.94,23.57,0.52,3.01,1.39,0.59,3.71
UKN01,280962,98532,87312,52633,2146,14928,3471,3456,18484,35.07,31.08,18.73,0.76,5.31,1.24,1.23,6.58
UKN02,390597,204501,47437,73323,3144,36826,2820,5750,16796,52.36,12.14,18.77,0.80,9.43,0.72,1.47,4.30
UKN03,438823,211619,68741,92176,2955,33497,3411,4739,21685,48.22,15.66,21.01,0.67,7.63,0.78,1.08,4.94
UKN04,288597,96989,96913,63916,1611,13016,3589,2173,10390,33.61,33.58,22.15,0.56,4.51,1.24,0.75,3.60
UKN05,411884,110738,157079,97219,2021,13481,5841,2288,23217,26.89,38.14,23.60,0.49,3.27,1.42,0.56,5.64
95AA,53428,24456,9197,11521,385,3539,456,588,3286,45.77,17.21,21.56,0.72,6.62,0.85,1.10,6.15
95BB,78078,46385,3867,14526,546,8782,311,1024,2637,59.41,4.95,18.60,0.70,11.25,0.40,1.31,3.38
95CC,59340,22357,17751,11962,272,3069,550,387,2992,37.68,29.91,20.16,0.46,5.17,0.93,0.65,5.04
95DD,64044,37060,5642,11017,345,5738,371,607,3264,57.87,8.81,17.20,0.54,8.96,0.58,0.95,5.10
95EE,31224,16028,4418,6802,169,2263,256,241,1047,51.33,14.15,21.78,0.54,7.25,0.82,0.77,3.35
95FF,48339,24679,6473,10685,330,3689,337,551,1595,51.05,13.39,22.10,0.68,7.63,0.70,1.14,3.30
95GG,280962,98532,87312,52633,2146,14928,3471,3456,18484,35.07,31.08,18.73,0.76,5.31,1.24,1.23,6.58
95HH,39114,24436,1225,6692,236,4481,125,440,1479,62.47,3.13,17.11,0.60,11.46,0.32,1.12,3.78
95II,67242,35753,7390,12536,542,6539,645,1090,2747,53.17,10.99,18.64,0.81,9.72,0.96,1.62,4.09
95JJ,59067,30378,6776,12420,396,4855,451,749,3042,51.43,11.47,21.03,0.67,8.22,0.76,1.27,5.15
95KK,37013,11845,11396,9660,174,1447,493,214,1784,32.00,30.79,26.10,0.47,3.91,1.33,0.58,4.82
95LL,93023,37475,21426,19246,476,5711,842,679,7168,40.29,23.03,20.69,0.51,6.14,0.91,0.73,7.71
95MM,107877,21369,55949,21310,540,2602,1786,669,3652,19.81,51.86,19.75,0.50,2.41,1.66,0.62,3.39
95NN,69731,23056,19681,18814,680,2975,956,889,2680,33.06,28.22,26.98,0.98,4.27,1.37,1.27,3.84
95OO,57852,15338,20644,12704,243,1770,763,319,6071,26.51,35.68,21.96,0.42,3.06,1.32,0.55,10.49
95PP,61805,19729,20635,14799,320,2288,695,373,2966,31.92,33.39,23.94,0.52,3.70,1.12,0.60,4.80
95QQ,32180,18508,2455,6367,193,3063,138,401,1055,57.51,7.63,19.79,0.60,9.52,0.43,1.25,3.28
95RR,33536,12295,9825,8363,210,1298,362,215,968,36.66,29.30,24.94,0.63,3.87,1.08,0.64,2.89
95SS,120165,54098,25744,22527,924,8995,1071,1526,5280,45.02,21.42,18.75,0.77,7.49,0.89,1.27,4.39
95TT,45038,12043,17705,10781,237,1471,848,227,1726,26.74,39.31,23.94,0.53,3.27,1.88,0.50,3.83
95UU,17050,5598,5279,4441,124,655,236,111,606,32.83,30.96,26.05,0.73,3.84,1.38,0.65,3.55
95VV,99480,16786,49493,22978,493,2101,1735,487,5407,16.87,49.75,23.10,0.50,2.11,1.74,0.49,5.44
95WW,85139,46103,8981,16417,599,8295,552,1094,3098,54.15,10.55,19.28,0.70,9.74,0.65,1.28,3.64
95XX,78937,44111,4097,15151,843,8516,427,1600,4192,55.88,5.19,19.19,1.07,10.79,0.54,2.03,5.31
95YY,51356,12640,19455,14335,282,1335,757,281,2271,24.61,37.88,27.91,0.55,2.60,1.47,0.55,4.42
95ZZ,39843,11321,14666,10580,172,1343,498,188,1075,28.41,36.81,26.55,0.43,3.37,1.25,0.47,2.70
