GeographyCode,KS205NI0001,KS205NI0002,KS205NI0003,KS205NI0004,KS205NI0005,KS205NI0006,KS205NI0007,KS205NI0008,KS205NI0009,KS205NI0010,KS205NI0011,KS205NI0012,KS205NI0013,KS205NI0014,KS205NI0015,KS205NI0016,KS205NI0017,KS205NI0018,KS205NI0019,KS205NI0020,KS205NI0021,KS205NI0022,KS205NI0023
N92000002,1810863,341428,1070413,375826,39527,1085,2134,9189,5989,120,477,2280,18.85,59.11,20.75,2.18,0.06,0.12,0.51,0.33,0.01,0.03,0.13
BHSCT,348204,53550,213719,74585,7662,377,857,4212,1490,33,125,524,15.38,61.38,21.42,2.20,0.11,0.25,1.21,0.43,0.01,0.04,0.15
NHSCT,463297,94973,303954,60053,8348,212,422,1706,1190,27,82,607,20.50,65.61,12.96,1.80,0.05,0.09,0.37,0.26,0.01,0.02,0.13
SEHSCT,346911,55111,244919,47581,3913,210,446,1231,1242,28,74,534,15.89,70.60,13.72,1.13,0.06,0.13,0.35,0.36,0.01,0.02,0.15
SHSCT,358034,70037,180546,96073,15282,217,267,1040,1041,14,159,367,19.56,50.43,26.83,4.27,0.06,0.07,0.29,0.29,0.00,0.04,0.10
WHSCT,294417,67757,127275,97534,4322,69,142,1000,1026,18,37,248,23.01,43.23,33.13,1.47,0.02,0.05,0.34,0.35,0.01,0.01,0.08
BELB,280962,45310,162711,66716,6903,314,723,3725,1271,28,110,443,16.13,57.91,23.75,2.46,0.11,0.26,1.33,0.45,0.01,0.04,0.16
NEELB,426284,85964,284805,51861,7260,196,403,1659,1091,27,71,586,20.17,66.81,12.17,1.70,0.05,0.09,0.39,0.26,0.01,0.02,0.14
SEELB,414153,63351,295927,55450,4672,273,580,1718,1461,33,89,615,15.30,71.45,13.39,1.13,0.07,0.14,0.41,0.35,0.01,0.02,0.15
SELB,395047,79046,199695,104265,16370,233,286,1087,1140,14,170,388,20.01,50.55,26.39,4.14,0.06,0.07,0.28,0.29,0.00,0.04,0.10
WELB,294417,67757,127275,97534,4322,69,142,1000,1026,18,37,248,23.01,43.23,33.13,1.47,0.02,0.05,0.34,0.35,0.01,0.01,0.08
UKN01,280962,45310,162711,66716,6903,314,723,3725,1271,28,110,443,16.13,57.91,23.75,2.46,0.11,0.26,1.33,0.45,0.01,0.04,0.16
UKN02,390597,54272,290763,45023,4528,269,606,2100,1293,32,92,599,13.89,74.44,11.53,1.16,0.07,0.16,0.54,0.33,0.01,0.02,0.15
UKN03,438823,84126,289090,60031,10104,223,425,1409,1137,21,104,583,19.17,65.88,13.68,2.30,0.05,0.10,0.32,0.26,0.00,0.02,0.13
UKN04,288597,65367,142688,79633,3188,95,178,1055,870,25,45,250,22.65,49.44,27.59,1.10,0.03,0.06,0.37,0.30,0.01,0.02,0.09
UKN05,411884,92353,185161,124423,14804,184,202,900,1418,14,126,405,22.42,44.95,30.21,3.59,0.04,0.05,0.22,0.34,0.00,0.03,0.10
95AA,53428,9467,35149,7833,1410,25,82,305,130,2,8,112,17.72,65.79,14.66,2.64,0.05,0.15,0.57,0.24,0.00,0.01,0.21
95BB,78078,13301,59992,4999,678,55,49,202,228,7,9,86,17.04,76.84,6.40,0.87,0.07,0.06,0.26,0.29,0.01,0.01,0.11
95CC,59340,12243,30530,15450,1862,50,21,116,152,1,28,56,20.63,51.45,26.04,3.14,0.08,0.04,0.20,0.26,0.00,0.05,0.09
95DD,64044,14016,43624,5153,1783,21,52,167,144,3,10,83,21.88,68.12,8.05,2.78,0.03,0.08,0.26,0.22,0.00,0.02,0.13
95EE,31224,8383,19149,3608,349,16,6,25,38,0,3,18,26.85,61.33,11.56,1.12,0.05,0.02,0.08,0.12,0,0.01,0.06
95FF,48339,9473,32833,6014,557,23,49,84,121,5,5,66,19.60,67.92,12.44,1.15,0.05,0.10,0.17,0.25,0.01,0.01,0.14
95GG,280962,45310,162711,66716,6903,314,723,3725,1271,28,110,443,16.13,57.91,23.75,2.46,0.11,0.26,1.33,0.45,0.01,0.04,0.16
95HH,39114,5898,31279,1876,346,29,43,141,118,2,9,55,15.08,79.97,4.80,0.88,0.07,0.11,0.36,0.30,0.01,0.02,0.14
95II,67242,8240,51008,7869,759,63,134,487,219,5,15,81,12.25,75.86,11.70,1.13,0.09,0.20,0.72,0.33,0.01,0.02,0.12
95JJ,59067,12508,39465,6407,1133,26,72,268,199,7,18,90,21.18,66.81,10.85,1.92,0.04,0.12,0.45,0.34,0.01,0.03,0.15
95KK,37013,9009,19149,8192,1088,16,19,47,99,0,11,21,24.34,51.74,22.13,2.94,0.04,0.05,0.13,0.27,0,0.03,0.06
95LL,93023,17255,53871,17935,4672,59,99,444,178,1,59,93,18.55,57.91,19.28,5.02,0.06,0.11,0.48,0.19,0.00,0.06,0.10
95MM,107877,20685,39838,47115,1007,37,69,564,400,12,16,68,19.17,36.93,43.67,0.93,0.03,0.06,0.52,0.37,0.01,0.01,0.06
95NN,69731,13953,40321,15740,797,29,78,160,261,1,10,107,20.01,57.82,22.57,1.14,0.04,0.11,0.23,0.37,0.00,0.01,0.15
95OO,57852,12543,25027,16005,4864,29,39,149,165,2,46,44,21.68,43.26,27.67,8.41,0.05,0.07,0.26,0.29,0.00,0.08,0.08
95PP,61805,15364,28475,17027,1465,16,35,185,176,2,4,55,24.86,46.07,27.55,2.37,0.03,0.06,0.30,0.28,0.00,0.01,0.09
95QQ,32180,6661,23300,2357,207,11,16,47,75,2,3,36,20.70,72.41,7.32,0.64,0.03,0.05,0.15,0.23,0.01,0.01,0.11
95RR,33536,8551,18145,6842,247,4,14,75,108,0,4,33,25.50,54.11,20.40,0.74,0.01,0.04,0.22,0.32,0,0.01,0.10
95SS,120165,18624,80594,20873,1608,60,160,458,392,9,40,170,15.50,67.07,17.37,1.34,0.05,0.13,0.38,0.33,0.01,0.03,0.14
95TT,45038,12085,20343,12328,930,6,16,59,143,4,6,54,26.83,45.17,27.37,2.06,0.01,0.04,0.13,0.32,0.01,0.01,0.12
95UU,17050,4669,8626,3863,117,11,6,44,41,2,1,16,27.38,50.59,22.66,0.69,0.06,0.04,0.26,0.24,0.01,0.01,0.09
95VV,99480,18523,38285,40669,3327,56,59,247,425,5,21,108,18.62,38.49,40.88,3.34,0.06,0.06,0.25,0.43,0.01,0.02,0.11
95WW,85139,12277,63870,8436,985,51,110,603,203,5,13,122,14.42,75.02,9.91,1.16,0.06,0.13,0.71,0.24,0.01,0.02,0.14
95XX,78937,9233,64012,5969,830,66,159,411,361,11,15,171,11.70,81.09,7.56,1.05,0.08,0.20,0.52,0.46,0.01,0.02,0.22
95YY,51356,12586,23352,14752,1268,11,13,97,258,0,10,67,24.51,45.47,28.72,2.47,0.02,0.03,0.19,0.50,0,0.02,0.13
95ZZ,39843,10571,17465,11798,335,1,11,79,84,4,3,25,26.53,43.83,29.61,0.84,0.00,0.03,0.20,0.21,0.01,0.01,0.06
