ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"KS206NI0001","Count","PERSONS","All usual residents"
"KS206NI0002","Count","PERSONS","Passports held: No passport"
"KS206NI0003","Count","PERSONS","Passports held: United Kingdom only"
"KS206NI0004","Count","PERSONS","Passports held: Ireland only"
"KS206NI0005","Count","PERSONS","Passports held: United Kingdom and Ireland only"
"KS206NI0006","Count","PERSONS","Passports held: United Kingdom and other (not Ireland)"
"KS206NI0007","Count","PERSONS","Passports held: Ireland and other (not United Kingdom)"
"KS206NI0008","Count","PERSONS","Passports held: EU/EEA (not United Kingdom or Ireland)"
"KS206NI0009","Count","PERSONS","Passports held: Other"
"KS206NI0010","Percentage","PERSONS","Passports held: No passport"
"KS206NI0011","Percentage","PERSONS","Passports held: United Kingdom only"
"KS206NI0012","Percentage","PERSONS","Passports held: Ireland only"
"KS206NI0013","Percentage","PERSONS","Passports held: United Kingdom and Ireland only"
"KS206NI0014","Percentage","PERSONS","Passports held: United Kingdom and other (not Ireland)"
"KS206NI0015","Percentage","PERSONS","Passports held: Ireland and other (not United Kingdom)"
"KS206NI0016","Percentage","PERSONS","Passports held: EU/EEA (not United Kingdom or Ireland)"
"KS206NI0017","Percentage","PERSONS","Passports held: Other"
